Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa01130:Biosynthesis of antibiotics	27	13.917525773195877	1.0557223978091858E-14	ENSG00000138796, ENSG00000146701, ENSG00000166411, ENSG00000163931, ENSG00000117054, ENSG00000163541, ENSG00000149925, ENSG00000150768, ENSG00000100412, ENSG00000079739, ENSG00000248098, ENSG00000117118, ENSG00000138413, ENSG00000004455, ENSG00000067829, ENSG00000143252, ENSG00000062485, ENSG00000131473, ENSG00000127884, ENSG00000141959, ENSG00000177156, ENSG00000167315, ENSG00000137992, ENSG00000164237, ENSG00000091140, ENSG00000121691, ENSG00000111275	131	212	6879	6.6877790580440735	2.0355939156502245E-12	2.0355939156502245E-12	1.3145040611561853E-11
KEGG_PATHWAY	hsa01200:Carbon metabolism	21	10.824742268041238	1.3970915337203413E-14	ENSG00000117118, ENSG00000138413, ENSG00000067829, ENSG00000143252, ENSG00000065833, ENSG00000062485, ENSG00000146701, ENSG00000198130, ENSG00000166411, ENSG00000163931, ENSG00000117054, ENSG00000127884, ENSG00000141959, ENSG00000177156, ENSG00000163541, ENSG00000149925, ENSG00000150768, ENSG00000091140, ENSG00000122971, ENSG00000121691, ENSG00000100412	131	113	6879	9.758765115179354	2.6998403512834557E-12	1.3499201756417278E-12	1.7430501486614958E-11
KEGG_PATHWAY	hsa01100:Metabolic pathways	61	31.443298969072163	4.1045042988347536E-14	ENSG00000176340, ENSG00000138796, ENSG00000010256, ENSG00000146701, ENSG00000198130, ENSG00000116171, ENSG00000160216, ENSG00000132423, ENSG00000172893, ENSG00000163541, ENSG00000128609, ENSG00000149925, ENSG00000150768, ENSG00000131174, ENSG00000133027, ENSG00000213316, ENSG00000248098, ENSG00000127540, ENSG00000117118, ENSG00000067829, ENSG00000143252, ENSG00000062485, ENSG00000119927, ENSG00000131473, ENSG00000103876, ENSG00000099795, ENSG00000162368, ENSG00000184076, ENSG00000164237, ENSG00000120915, ENSG00000091140, ENSG00000179091, ENSG00000111275, ENSG00000004779, ENSG00000241837, ENSG00000115361, ENSG00000065833, ENSG00000166411, ENSG00000163931, ENSG00000213619, ENSG00000117054, ENSG00000114480, ENSG00000074416, ENSG00000151552, ENSG00000122971, ENSG00000164405, ENSG00000100412, ENSG00000079739, ENSG00000138413, ENSG00000004455, ENSG00000130717, ENSG00000128311, ENSG00000110871, ENSG00000078070, ENSG00000127884, ENSG00000161533, ENSG00000141959, ENSG00000177156, ENSG00000167315, ENSG00000137992, ENSG00000111775	131	1219	6879	2.627726393176737	7.928102618848243E-12	2.64266386551526E-12	5.119238366546597E-11
KEGG_PATHWAY	hsa00020:Citrate cycle (TCA cycle)	12	6.185567010309279	2.887014626734238E-12	ENSG00000117118, ENSG00000163541, ENSG00000138413, ENSG00000143252, ENSG00000067829, ENSG00000062485, ENSG00000146701, ENSG00000150768, ENSG00000166411, ENSG00000091140, ENSG00000131473, ENSG00000100412	131	30	6879	21.004580152671757	5.571956229744046E-10	1.3929890574360115E-10	3.597466768923141E-9
KEGG_PATHWAY	hsa03320:PPAR signaling pathway	14	7.216494845360824	2.284567889649696E-10	ENSG00000135218, ENSG00000130304, ENSG00000115361, ENSG00000175445, ENSG00000095637, ENSG00000116171, ENSG00000117054, ENSG00000161533, ENSG00000170323, ENSG00000181092, ENSG00000167772, ENSG00000150991, ENSG00000157184, ENSG00000132170	131	67	6879	10.972541870798677	4.4092163142828156E-8	8.818432761792394E-9	2.846758384578152E-7
KEGG_PATHWAY	hsa00280:Valine, leucine and isoleucine degradation	11	5.670103092783505	1.174448321952444E-8	ENSG00000138796, ENSG00000167315, ENSG00000137992, ENSG00000198130, ENSG00000091140, ENSG00000122971, ENSG00000078070, ENSG00000111275, ENSG00000117054, ENSG00000127884, ENSG00000248098	131	47	6879	12.289913919116454	2.2666827164119496E-6	3.777808095239976E-7	1.463458418893282E-5
KEGG_PATHWAY	hsa04932:Non-alcoholic fatty liver disease (NAFLD)	17	8.762886597938143	1.8584815733553913E-8	ENSG00000176340, ENSG00000127540, ENSG00000117118, ENSG00000010256, ENSG00000143252, ENSG00000213619, ENSG00000099795, ENSG00000128609, ENSG00000184076, ENSG00000181092, ENSG00000111775, ENSG00000006831, ENSG00000179091, ENSG00000174697, ENSG00000131174, ENSG00000164405, ENSG00000004779	131	151	6879	5.911885142308275	3.58686302803779E-6	5.124097917086345E-7	2.3158195439076934E-5
KEGG_PATHWAY	hsa05010:Alzheimer's disease	17	8.762886597938143	8.516529212185684E-8	ENSG00000176340, ENSG00000241837, ENSG00000127540, ENSG00000117118, ENSG00000010256, ENSG00000143252, ENSG00000175445, ENSG00000130203, ENSG00000213619, ENSG00000099795, ENSG00000128609, ENSG00000184076, ENSG00000111775, ENSG00000179091, ENSG00000131174, ENSG00000164405, ENSG00000004779	131	168	6879	5.3136586695747	1.643676700013863E-5	2.054610649948607E-6	1.0612285650246633E-4
KEGG_PATHWAY	hsa00190:Oxidative phosphorylation	15	7.731958762886598	1.6666461869586632E-7	ENSG00000176340, ENSG00000241837, ENSG00000127540, ENSG00000117118, ENSG00000010256, ENSG00000143252, ENSG00000213619, ENSG00000099795, ENSG00000128609, ENSG00000184076, ENSG00000111775, ENSG00000179091, ENSG00000131174, ENSG00000164405, ENSG00000004779	131	133	6879	5.922344028008953	3.2165756753133046E-5	3.574024066699266E-6	2.07677525698724E-4
KEGG_PATHWAY	hsa05012:Parkinson's disease	15	7.731958762886598	3.7806576052790044E-7	ENSG00000176340, ENSG00000241837, ENSG00000127540, ENSG00000117118, ENSG00000010256, ENSG00000143252, ENSG00000213619, ENSG00000099795, ENSG00000128609, ENSG00000184076, ENSG00000111775, ENSG00000179091, ENSG00000131174, ENSG00000164405, ENSG00000004779	131	142	6879	5.5469841952478225	7.296404355960906E-5	7.2966439358390645E-6	4.710997883239365E-4
KEGG_PATHWAY	hsa05016:Huntington's disease	17	8.762886597938143	5.408558613635607E-7	ENSG00000176340, ENSG00000241837, ENSG00000127540, ENSG00000117118, ENSG00000010256, ENSG00000143252, ENSG00000142168, ENSG00000213619, ENSG00000099795, ENSG00000128609, ENSG00000184076, ENSG00000111775, ENSG00000179091, ENSG00000131174, ENSG00000164405, ENSG00000004779, ENSG00000132170	131	192	6879	4.649451335877862	1.0437976151689288E-4	9.489519470884389E-6	6.739484786244532E-4
KEGG_PATHWAY	hsa00071:Fatty acid degradation	9	4.639175257731959	9.017840153683241E-7	ENSG00000138796, ENSG00000115361, ENSG00000167315, ENSG00000122971, ENSG00000111275, ENSG00000117054, ENSG00000127884, ENSG00000157184, ENSG00000161533	131	42	6879	11.252453653217014	1.740292485910011E-4	1.4503594275017129E-5	0.0011236907125455886
KEGG_PATHWAY	hsa01212:Fatty acid metabolism	9	4.639175257731959	2.6213311193747563E-6	ENSG00000138796, ENSG00000115361, ENSG00000167315, ENSG00000170522, ENSG00000122971, ENSG00000117054, ENSG00000127884, ENSG00000157184, ENSG00000161533	131	48	6879	9.845896946564885	5.057896144170515E-4	3.89159788406479E-5	0.0032663435575397415
KEGG_PATHWAY	hsa04146:Peroxisome	10	5.154639175257731	2.3504067392274528E-5	ENSG00000142655, ENSG00000138413, ENSG00000104823, ENSG00000142168, ENSG00000120915, ENSG00000095321, ENSG00000107537, ENSG00000116171, ENSG00000121691, ENSG00000161533	131	83	6879	6.3266807688770355	0.004526064676224739	3.2397167541931005E-4	0.029284042807964372
KEGG_PATHWAY	hsa01230:Biosynthesis of amino acids	9	4.639175257731959	5.6854483058942064E-5	ENSG00000141959, ENSG00000177156, ENSG00000138413, ENSG00000067829, ENSG00000149925, ENSG00000062485, ENSG00000166411, ENSG00000163931, ENSG00000100412	131	72	6879	6.563931297709924	0.010913240929339318	7.312809617768812E-4	0.0708222516189072
KEGG_PATHWAY	hsa04260:Cardiac muscle contraction	9	4.639175257731959	7.64266622724518E-5	ENSG00000176340, ENSG00000127540, ENSG00000010256, ENSG00000184076, ENSG00000179091, ENSG00000111775, ENSG00000069849, ENSG00000131174, ENSG00000164405	131	75	6879	6.301374045801527	0.014642647814695486	9.215069956052258E-4	0.09519216477184012
KEGG_PATHWAY	hsa01210:2-Oxocarboxylic acid metabolism	5	2.5773195876288657	2.3947839950755253E-4	ENSG00000138413, ENSG00000067829, ENSG00000062485, ENSG00000166411, ENSG00000100412	131	17	6879	15.444544229905704	0.0451727703741539	0.0027154163490461514	0.2980004721986784
KEGG_PATHWAY	hsa00630:Glyoxylate and dicarboxylate metabolism	5	2.5773195876288657	0.0015254809455943626	ENSG00000062485, ENSG00000146701, ENSG00000091140, ENSG00000121691, ENSG00000100412	131	27	6879	9.724342663273962	0.25520228095418196	0.016235789575063553	1.8843451606544215
KEGG_PATHWAY	hsa00030:Pentose phosphate pathway	5	2.5773195876288657	0.0020051270564401436	ENSG00000141959, ENSG00000177156, ENSG00000149925, ENSG00000163931, ENSG00000079739	131	29	6879	9.053698341668861	0.3211655685359247	0.020181880603210245	2.4700429654176403
KEGG_PATHWAY	hsa00620:Pyruvate metabolism	5	2.5773195876288657	0.006575610355881105	ENSG00000065833, ENSG00000146701, ENSG00000150768, ENSG00000091140, ENSG00000111275	131	40	6879	6.5639312977099245	0.7200890355622283	0.061679951918306664	7.891969723567094
KEGG_PATHWAY	hsa00010:Glycolysis / Gluconeogenesis	6	3.0927835051546393	0.008453690057926878	ENSG00000141959, ENSG00000149925, ENSG00000150768, ENSG00000091140, ENSG00000111275, ENSG00000079739	131	67	6879	4.7025179446280045	0.8057283139832505	0.0750574929261858	10.038434945097096
KEGG_PATHWAY	hsa04152:AMPK signaling pathway	8	4.123711340206185	0.008479676994607478	ENSG00000135218, ENSG00000141959, ENSG00000181092, ENSG00000170525, ENSG00000079435, ENSG00000006831, ENSG00000174697, ENSG00000132170	131	123	6879	3.4153788866132935	0.8067085184130943	0.07198472776920728	10.067810113627596
