"category"	"ID"	"Term"	"count"	"genes"	"logFC"	"adj_pval"	"zscore"
"BP"	"GO:0006120"	"mitochondrial electron transport, NADH to ubiquinone"	"1202"	"COX11"	"0.0"	"3.50514640697316e-76"	"18.434"
"BP"	"GO:0032981"	"mitochondrial respiratory chain complex I assembly"	"923"	"ATAD3A"	"0.0"	"6.14307056145563e-71"	"17.769"
"BP"	"GO:0055114"	"oxidation-reduction process"	"5654"	"ELAVL1"	"0.0"	"5.3717632809529e-62"	"16.574"
"BP"	"GO:0006099"	"tricarboxylic acid cycle"	"1479"	"AKT1"	"0.0"	"1.63815380190747e-52"	"15.205"
"BP"	"GO:1902600"	"hydrogen ion transmembrane transport"	"2261"	"STOML3"	"0.0"	"8.10485874205659e-48"	"14.48"
"BP"	"GO:0006122"	"mitochondrial electron transport, ubiquinol to cytochrome c"	"563"	"CYCS"	"0.0"	"2.73868788130355e-46"	"14.236"
"BP"	"GO:0009060"	"aerobic respiration"	"1149"	"AHCY"	"0.0"	"1.23736615067589e-40"	"13.295"
"BP"	"GO:0006096"	"glycolytic process"	"2195"	"ALDOB"	"0.0"	"6.03092705640302e-40"	"13.176"
"BP"	"GO:0061621"	"canonical glycolysis"	"2240"	"DLK1"	"0.0"	"2.27987875280954e-38"	"12.899"
"BP"	"GO:0022900"	"electron transport chain"	"1851"	"APP"	"0.0"	"6.35269764058898e-37"	"12.64"
"BP"	"GO:0009083"	"branched-chain amino acid catabolic process"	"658"	"CKAP5"	"0.0"	"9.18239471473803e-37"	"12.611"
"BP"	"GO:0006094"	"gluconeogenesis"	"2411"	"ALDOB"	"0.0"	"4.39531232983171e-36"	"12.487"
"BP"	"GO:0006754"	"ATP biosynthetic process"	"879"	"ALDOB"	"0.0"	"1.142091776694e-32"	"11.845"
"BP"	"GO:0042776"	"mitochondrial ATP synthesis coupled proton transport"	"513"	"ATP5H"	"0.0"	"4.85844568318892e-32"	"11.723"
"BP"	"GO:0006986"	"response to unfolded protein"	"4770"	"CNBP"	"0.0"	"1.16083589234572e-31"	"11.649"
"BP"	"GO:0042026"	"protein refolding"	"3807"	"BAG6"	"0.0"	"7.69407664036776e-30"	"11.286"
"BP"	"GO:0043312"	"neutrophil degranulation"	"9193"	"ABCC6"	"0.0"	"4.90245012755342e-29"	"11.122"
"BP"	"GO:0006418"	"tRNA aminoacylation for protein translation"	"1482"	"ABCE1"	"0.0"	"5.9560109972862e-28"	"10.897"
"BP"	"GO:0006000"	"fructose metabolic process"	"473"	"ALDOB"	"0.0"	"1.98784686013552e-26"	"10.573"
"BP"	"GO:0007017"	"microtubule-based process"	"2520"	"DCTN4"	"0.0"	"4.18388459420508e-26"	"10.503"
"BP"	"GO:0015853"	"adenine transport"	"869"	"SLC25A5"	"0.0"	"1.230385488491e-24"	"10.179"
"BP"	"GO:0006123"	"mitochondrial electron transport, cytochrome c to oxygen"	"483"	"COX15"	"0.0"	"3.28446313142418e-24"	"10.083"
"BP"	"GO:0045454"	"cell redox homeostasis"	"2207"	"APP"	"0.0"	"2.16629233022354e-23"	"9.896"
"BP"	"GO:0006119"	"oxidative phosphorylation"	"568"	"CHCHD2"	"0.0"	"3.42719879411367e-23"	"9.85"
"BP"	"GO:0051085"	"chaperone mediated protein folding requiring cofactor"	"3324"	"BCL2"	"0.0"	"5.74184171594614e-23"	"9.798"
"BP"	"GO:0006457"	"protein folding"	"6481"	"FKBP1A"	"0.0"	"5.71958730963351e-22"	"9.563"
"BP"	"GO:0046322"	"negative regulation of fatty acid oxidation"	"207"	"GJA1"	"0.0"	"2.62636487652279e-21"	"9.404"
"BP"	"GO:0034599"	"cellular response to oxidative stress"	"4714"	"ABL2"	"0.0"	"4.72656541598615e-21"	"9.342"
"BP"	"GO:0006744"	"ubiquinone biosynthetic process"	"369"	"DLG4"	"0.0"	"5.24383385733572e-21"	"9.331"
"BP"	"GO:0046034"	"ATP metabolic process"	"3605"	"ADCYAP1R1"	"0.0"	"5.49709466307869e-21"	"9.326"
"BP"	"GO:0007339"	"binding of sperm to zona pellucida"	"2634"	"E2F4"	"0.0"	"7.86072949038292e-21"	"9.288"
"BP"	"GO:0006103"	"2-oxoglutarate metabolic process"	"1194"	"AARS"	"0.0"	"1.11201033083706e-20"	"9.251"
"BP"	"GO:0030388"	"fructose 1,6-bisphosphate metabolic process"	"1096"	"ALDOB"	"0.0"	"1.19840497711365e-20"	"9.243"
"BP"	"GO:0034620"	"cellular response to unfolded protein"	"3308"	"BAX"	"0.0"	"1.64588597478293e-20"	"9.209"
"BP"	"GO:0097745"	NA	"310"	"HSPB2"	"0.0"	"2.57092979484547e-20"	"9.161"
"BP"	"GO:0070072"	"vacuolar proton-transporting V-type ATPase complex assembly"	"340"	"ANXA6"	"0.0"	"3.12261650872937e-20"	"9.14"
