"GO.ID"	"GO.Term"	"zscore"	"obs"	"mean"	"std"
"GO:0006120"	"mitochondrial electron transport, NADH to ubiquinone"	"18.434"	"299"	"100.857"	"10.749"
"GO:0032981"	"mitochondrial respiratory chain complex I assembly"	"17.769"	"349"	"122.795"	"12.73"
"GO:0055114"	"oxidation-reduction process"	"16.574"	"1116"	"703.94"	"24.861"
"GO:0006099"	"tricarboxylic acid cycle"	"15.205"	"282"	"118.663"	"10.742"
"GO:1902600"	"hydrogen ion transmembrane transport"	"14.48"	"312"	"144.914"	"11.539"
"GO:0006122"	"mitochondrial electron transport, ubiquinol to cytochrome c"	"14.236"	"89"	"24.001"	"4.566"
"GO:0009060"	"aerobic respiration"	"13.295"	"152"	"55.659"	"7.247"
"GO:0006096"	"glycolytic process"	"13.176"	"343"	"179.924"	"12.377"
"GO:0061621"	"canonical glycolysis"	"12.899"	"346"	"185.217"	"12.464"
"GO:0022900"	"electron transport chain"	"12.64"	"230"	"108.562"	"9.607"
"GO:0009083"	"branched-chain amino acid catabolic process"	"12.611"	"87"	"27.025"	"4.756"
"GO:0006094"	"gluconeogenesis"	"12.487"	"336"	"178.008"	"12.653"
"GO:0006754"	"ATP biosynthetic process"	"11.845"	"99"	"32.978"	"5.574"
"GO:0042776"	"mitochondrial ATP synthesis coupled proton transport"	"11.723"	"74"	"21.682"	"4.463"
"GO:0006986"	"response to unfolded protein"	"11.649"	"668"	"444.749"	"19.165"
"GO:0042026"	"protein refolding"	"11.286"	"492"	"315.251"	"15.66"
"GO:0043312"	"neutrophil degranulation"	"11.122"	"1623"	"1245.284"	"33.962"
"GO:0006418"	"tRNA aminoacylation for protein translation"	"10.897"	"218"	"110.353"	"9.878"
"GO:0006000"	"fructose metabolic process"	"10.573"	"64"	"20.684"	"4.097"
"GO:0007017"	"microtubule-based process"	"10.503"	"434"	"267.396"	"15.862"
"GO:0015853"	"adenine transport"	"10.179"	"96"	"37.661"	"5.732"
"GO:0006123"	"mitochondrial electron transport, cytochrome c to oxygen"	"10.083"	"70"	"23.35"	"4.627"
"GO:0045454"	"cell redox homeostasis"	"9.896"	"235"	"130.709"	"10.538"
"GO:0006119"	"oxidative phosphorylation"	"9.85"	"56"	"17.334"	"3.925"
"GO:0051085"	"chaperone mediated protein folding requiring cofactor"	"9.798"	"447"	"296.966"	"15.313"
"GO:0006457"	"protein folding"	"9.563"	"822"	"599.977"	"23.217"
"GO:0046322"	"negative regulation of fatty acid oxidation"	"9.404"	"26"	"5.685"	"2.16"
"GO:0034599"	"cellular response to oxidative stress"	"9.342"	"402"	"259.672"	"15.235"
"GO:0006744"	"ubiquinone biosynthetic process"	"9.331"	"51"	"16.652"	"3.681"
"GO:0046034"	"ATP metabolic process"	"9.326"	"337"	"214.349"	"13.152"
"GO:0007339"	"binding of sperm to zona pellucida"	"9.288"	"211"	"119.265"	"9.876"
"GO:0006103"	"2-oxoglutarate metabolic process"	"9.251"	"122"	"55.662"	"7.171"
"GO:0030388"	"fructose 1,6-bisphosphate metabolic process"	"9.243"	"114"	"51.463"	"6.766"
"GO:0034620"	"cellular response to unfolded protein"	"9.209"	"373"	"243.428"	"14.07"
"GO:0097745"	NA	"9.161"	"30"	"7.117"	"2.498"
"GO:0070072"	"vacuolar proton-transporting V-type ATPase complex assembly"	"9.14"	"33"	"8.087"	"2.726"
"GO:1990180"	"mitochondrial tRNA 3'-end processing"	"9.037"	"28"	"6.67"	"2.36"
"GO:0042407"	"cristae formation"	"8.945"	"88"	"36.495"	"5.758"
"GO:0006116"	"NADH oxidation"	"8.758"	"37"	"10.128"	"3.068"
"GO:0070901"	"mitochondrial tRNA methylation"	"8.733"	"28"	"6.846"	"2.422"
"GO:0005975"	"carbohydrate metabolic process"	"8.515"	"298"	"187.907"	"12.929"
"GO:0061624"	"fructose catabolic process to hydroxyacetone phosphate and glyceraldehyde-3-phosphate"	"8.481"	"48"	"15.727"	"3.805"
"GO:0051289"	"protein homotetramerization"	"8.475"	"306"	"193.651"	"13.256"
"GO:0015980"	"energy derivation by oxidation of organic compounds"	"8.307"	"13"	"2.023"	"1.321"
"GO:0045333"	"cellular respiration"	"8.279"	"68"	"28.752"	"4.741"
"GO:0090646"	"mitochondrial tRNA processing"	"8.201"	"31"	"8.559"	"2.736"
"GO:0042775"	"mitochondrial ATP synthesis coupled electron transport"	"8.199"	"64"	"24.837"	"4.776"
"GO:0098656"	"anion transmembrane transport"	"8.019"	"75"	"32.827"	"5.259"
"GO:0000226"	"microtubule cytoskeleton organization"	"8.007"	"602"	"439.982"	"20.236"
"GO:0061732"	"mitochondrial acetyl-CoA biosynthetic process from pyruvate"	"8.007"	"56"	"21.807"	"4.27"
"GO:0015866"	"ADP transport"	"7.993"	"80"	"35.274"	"5.596"
"GO:0006635"	"fatty acid beta-oxidation"	"7.93"	"117"	"60.534"	"7.121"
"GO:0007005"	"mitochondrion organization"	"7.757"	"317"	"208.142"	"14.034"
"GO:0015867"	"ATP transport"	"7.729"	"86"	"39.413"	"6.028"
"GO:0015949"	"nucleobase-containing small molecule interconversion"	"7.701"	"118"	"61.267"	"7.367"
"GO:0006102"	"isocitrate metabolic process"	"7.69"	"64"	"26.799"	"4.838"
"GO:0033539"	"fatty acid beta-oxidation using acyl-CoA dehydrogenase"	"7.606"	"42"	"14.881"	"3.565"
"GO:0055085"	"transmembrane transport"	"7.513"	"526"	"393.745"	"17.602"
"GO:0098869"	"cellular oxidant detoxification"	"7.511"	"154"	"89.161"	"8.632"
"GO:0006541"	"glutamine metabolic process"	"7.509"	"124"	"66.664"	"7.636"
"GO:0010021"	"amylopectin biosynthetic process"	"7.481"	"34"	"10.46"	"3.146"
"GO:0098694"	NA	"7.481"	"34"	"10.46"	"3.146"
"GO:0034605"	"cellular response to heat"	"7.452"	"526"	"393.177"	"17.825"
"GO:0006091"	"generation of precursor metabolites and energy"	"7.295"	"176"	"106.515"	"9.525"
"GO:0015698"	"inorganic anion transport"	"7.291"	"75"	"34.802"	"5.514"
"GO:0006086"	"acetyl-CoA biosynthetic process from pyruvate"	"7.275"	"54"	"23.256"	"4.226"
"GO:0072593"	"reactive oxygen species metabolic process"	"7.169"	"118"	"63.407"	"7.615"
"GO:0005980"	"glycogen catabolic process"	"7.162"	"85"	"41.942"	"6.012"
"GO:0044381"	"glucose import in response to insulin stimulus"	"7.14"	"34"	"10.973"	"3.225"
"GO:0006979"	"response to oxidative stress"	"7.1"	"339"	"240.156"	"13.921"
"GO:0042572"	"retinol metabolic process"	"7.014"	"88"	"43.154"	"6.394"
"GO:0009298"	"GDP-mannose biosynthetic process"	"7.001"	"56"	"23.981"	"4.573"
"GO:0030150"	"protein import into mitochondrial matrix"	"6.926"	"64"	"29.661"	"4.958"
"GO:2000984"	"negative regulation of ATP citrate synthase activity"	"6.862"	"11"	"1.993"	"1.313"
"GO:0006090"	"pyruvate metabolic process"	"6.74"	"90"	"47.773"	"6.265"
"GO:0032482"	"Rab protein signal transduction"	"6.72"	"207"	"134.586"	"10.775"
"GO:0033572"	"transferrin transport"	"6.707"	"219"	"140.337"	"11.729"
"GO:0006820"	"anion transport"	"6.641"	"51"	"22.338"	"4.316"
"GO:0006069"	"ethanol oxidation"	"6.618"	"82"	"42.85"	"5.915"
"GO:0018283"	"iron incorporation into metallo-sulfur cluster"	"6.614"	"14"	"3.274"	"1.622"
"GO:0015990"	"electron transport coupled proton transport"	"6.541"	"22"	"6.672"	"2.343"
"GO:0008637"	"apoptotic mitochondrial changes"	"6.523"	"125"	"74.198"	"7.788"
"GO:0106077"	NA	"6.487"	"54"	"23.791"	"4.657"
"GO:0033512"	"L-lysine catabolic process to acetyl-CoA via saccharopine"	"6.479"	"30"	"10.473"	"3.014"
"GO:0015991"	"ATP hydrolysis coupled proton transport"	"6.455"	"170"	"105.763"	"9.951"
"GO:0044281"	"small molecule metabolic process"	"6.451"	"31"	"11.711"	"2.99"
"GO:0090084"	"negative regulation of inclusion body assembly"	"6.44"	"188"	"122.556"	"10.163"
"GO:0071395"	"cellular response to jasmonic acid stimulus"	"6.431"	"28"	"9.648"	"2.853"
"GO:0034551"	"mitochondrial respiratory chain complex III assembly"	"6.395"	"27"	"9.308"	"2.766"
"GO:1904874"	"positive regulation of telomerase RNA localization to Cajal body"	"6.366"	"187"	"122.199"	"10.179"
"GO:0006011"	"UDP-glucose metabolic process"	"6.355"	"35"	"13.46"	"3.39"
"GO:1902254"	"negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator"	"6.352"	"47"	"20.706"	"4.139"
"GO:0000096"	"sulfur amino acid metabolic process"	"6.326"	"52"	"24.131"	"4.405"
"GO:0044597"	"daunorubicin metabolic process"	"6.317"	"44"	"18.654"	"4.013"
"GO:0044598"	"doxorubicin metabolic process"	"6.317"	"44"	"18.654"	"4.013"
"GO:0009082"	"branched-chain amino acid biosynthetic process"	"6.263"	"21"	"6.431"	"2.326"
"GO:0009098"	"leucine biosynthetic process"	"6.263"	"21"	"6.431"	"2.326"
"GO:0009099"	"valine biosynthetic process"	"6.263"	"21"	"6.431"	"2.326"
"GO:0070370"	"cellular heat acclimation"	"6.253"	"153"	"97.491"	"8.877"
"GO:0009408"	"response to heat"	"6.241"	"278"	"196.912"	"12.993"
"GO:0006104"	"succinyl-CoA metabolic process"	"6.233"	"46"	"19.721"	"4.216"
"GO:0006644"	"phospholipid metabolic process"	"6.219"	"91"	"50.164"	"6.566"
