Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0044281tsmall molecule metabolic process	95	48.96907216494845	1.897743476919195E-39	ENSG00000176340, ENSG00000100075, ENSG00000138796, ENSG00000010256, ENSG00000146701, ENSG00000198130, ENSG00000116171, ENSG00000132423, ENSG00000172893, ENSG00000163541, ENSG00000128609, ENSG00000149925, ENSG00000107537, ENSG00000150768, ENSG00000170525, ENSG00000174697, ENSG00000131174, ENSG00000133027, ENSG00000213316, ENSG00000248098, ENSG00000120675, ENSG00000132170, ENSG00000127540, ENSG00000117118, ENSG00000115159, ENSG00000143252, ENSG00000067829, ENSG00000062485, ENSG00000250479, ENSG00000119927, ENSG00000131473, ENSG00000103876, ENSG00000099795, ENSG00000162368, ENSG00000184076, ENSG00000171723, ENSG00000181092, ENSG00000167468, ENSG00000120915, ENSG00000095321, ENSG00000091140, ENSG00000179091, ENSG00000006831, ENSG00000111275, ENSG00000004779, ENSG00000241837, ENSG00000130304, ENSG00000170262, ENSG00000115361, ENSG00000104823, ENSG00000073060, ENSG00000175445, ENSG00000065833, ENSG00000095637, ENSG00000183048, ENSG00000130203, ENSG00000166411, ENSG00000138074, ENSG00000163931, ENSG00000213619, ENSG00000117054, ENSG00000165029, ENSG00000173638, ENSG00000074416, ENSG00000151552, ENSG00000079435, ENSG00000196502, ENSG00000122971, ENSG00000104325, ENSG00000164405, ENSG00000100412, ENSG00000079739, ENSG00000004455, ENSG00000138413, ENSG00000142168, ENSG00000126561, ENSG00000170522, ENSG00000130717, ENSG00000128311, ENSG00000110871, ENSG00000105379, ENSG00000078070, ENSG00000125730, ENSG00000127884, ENSG00000161533, ENSG00000141959, ENSG00000177156, ENSG00000088682, ENSG00000167315, ENSG00000137992, ENSG00000174233, ENSG00000042445, ENSG00000111775, ENSG00000121691, ENSG00000157184	187	1951	16792	4.372473186655959	6.71801190829395E-36	6.71801190829395E-36	3.480192744345309E-36
GOTERM_BP_ALL	GO:0055114toxidation-reduction process	69	35.56701030927835	1.3838290213993724E-36	ENSG00000176340, ENSG00000138796, ENSG00000010256, ENSG00000146701, ENSG00000198130, ENSG00000116171, ENSG00000142973, ENSG00000172893, ENSG00000163541, ENSG00000128609, ENSG00000149925, ENSG00000107537, ENSG00000150768, ENSG00000170525, ENSG00000174697, ENSG00000131174, ENSG00000248098, ENSG00000132170, ENSG00000120675, ENSG00000127540, ENSG00000115159, ENSG00000117118, ENSG00000067829, ENSG00000143252, ENSG00000062485, ENSG00000099795, ENSG00000184076, ENSG00000181092, ENSG00000137767, ENSG00000167468, ENSG00000095321, ENSG00000091140, ENSG00000179091, ENSG00000006831, ENSG00000111275, ENSG00000004779, ENSG00000165672, ENSG00000115361, ENSG00000104823, ENSG00000065833, ENSG00000095637, ENSG00000183048, ENSG00000166411, ENSG00000213619, ENSG00000117054, ENSG00000156709, ENSG00000114480, ENSG00000151552, ENSG00000100612, ENSG00000122971, ENSG00000104325, ENSG00000150991, ENSG00000164405, ENSG00000100412, ENSG00000079739, ENSG00000138413, ENSG00000142168, ENSG00000105379, ENSG00000109016, ENSG00000127884, ENSG00000161533, ENSG00000141959, ENSG00000088682, ENSG00000211445, ENSG00000167315, ENSG00000042445, ENSG00000111775, ENSG00000121691, ENSG00000157184	187	983	16792	6.303131851094271	4.8987547357537785E-33	2.4493773678768893E-33	2.537746422665548E-33
GOTERM_BP_ALL	GO:0044710tsingle-organism metabolic process	126	64.94845360824742	1.20432421929636E-35	ENSG00000100075, ENSG00000176340, ENSG00000010256, ENSG00000198130, ENSG00000146701, ENSG00000111684, ENSG00000187498, ENSG00000132423, ENSG00000174804, ENSG00000142973, ENSG00000149925, ENSG00000107537, ENSG00000174697, ENSG00000131174, ENSG00000213316, ENSG00000117118, ENSG00000062485, ENSG00000119927, ENSG00000113916, ENSG00000162368, ENSG00000171723, ENSG00000181092, ENSG00000167468, ENSG00000091140, ENSG00000006831, ENSG00000111275, ENSG00000165672, ENSG00000170262, ENSG00000104823, ENSG00000073060, ENSG00000175445, ENSG00000078061, ENSG00000138074, ENSG00000213619, ENSG00000117054, ENSG00000176194, ENSG00000114480, ENSG00000074416, ENSG00000151552, ENSG00000079435, ENSG00000122971, ENSG00000104325, ENSG00000164405, ENSG00000079739, ENSG00000213341, ENSG00000116717, ENSG00000004455, ENSG00000099977, ENSG00000138413, ENSG00000126561, ENSG00000170522, ENSG00000128311, ENSG00000173511, ENSG00000110871, ENSG00000105379, ENSG00000078070, ENSG00000136960, ENSG00000161533, ENSG00000154188, ENSG00000127884, ENSG00000170323, ENSG00000167315, ENSG00000211445, ENSG00000174233, ENSG00000128590, ENSG00000162976, ENSG00000104918, ENSG00000042445, ENSG00000138796, ENSG00000160216, ENSG00000116171, ENSG00000172893, ENSG00000163541, ENSG00000128609, ENSG00000170525, ENSG00000150768, ENSG00000133027, ENSG00000120675, ENSG00000132170, ENSG00000248098, ENSG00000127540, ENSG00000115159, ENSG00000143252, ENSG00000067829, ENSG00000250479, ENSG00000131473, ENSG00000103876, ENSG00000099795, ENSG00000143198, ENSG00000184076, ENSG00000137767, ENSG00000095321, ENSG00000120915, ENSG00000179091, ENSG00000004779, ENSG00000011566, ENSG00000135218, ENSG00000241837, ENSG00000130304, ENSG00000115361, ENSG00000065833, ENSG00000095637, ENSG00000183048, ENSG00000130203, ENSG00000166411, ENSG00000163931, ENSG00000156709, ENSG00000165029, ENSG00000173638, ENSG00000100612, ENSG00000196502, ENSG00000100412, ENSG00000150991, ENSG00000135018, ENSG00000142168, ENSG00000130717, ENSG00000204291, ENSG00000109016, ENSG00000125730, ENSG00000141959, ENSG00000177156, ENSG00000088682, ENSG00000137992, ENSG00000111775, ENSG00000121691, ENSG00000157184	187	4063	16792	2.7847392867155145	4.263307736309114E-32	1.4211025787697048E-32	2.2085600402846138E-32
GOTERM_BP_ALL	GO:0006082torganic acid metabolic process	57	29.381443298969074	3.726081542853687E-27	ENSG00000138796, ENSG00000146701, ENSG00000198130, ENSG00000116171, ENSG00000163541, ENSG00000149925, ENSG00000107537, ENSG00000150768, ENSG00000170525, ENSG00000174697, ENSG00000133027, ENSG00000213316, ENSG00000248098, ENSG00000132170, ENSG00000117118, ENSG00000067829, ENSG00000143252, ENSG00000062485, ENSG00000119927, ENSG00000131473, ENSG00000103876, ENSG00000181092, ENSG00000167468, ENSG00000120915, ENSG00000095321, ENSG00000091140, ENSG00000006831, ENSG00000004779, ENSG00000130304, ENSG00000115361, ENSG00000104823, ENSG00000065833, ENSG00000175445, ENSG00000166411, ENSG00000138074, ENSG00000117054, ENSG00000173638, ENSG00000074416, ENSG00000151552, ENSG00000079435, ENSG00000122971, ENSG00000104325, ENSG00000100412, ENSG00000079739, ENSG00000138413, ENSG00000170522, ENSG00000126561, ENSG00000128311, ENSG00000105379, ENSG00000078070, ENSG00000125730, ENSG00000127884, ENSG00000161533, ENSG00000141959, ENSG00000167315, ENSG00000137992, ENSG00000157184	187	907	16792	5.643238271553986	1.3190328661702052E-23	3.297582165425513E-24	6.833105795378542E-24
GOTERM_BP_ALL	GO:0006091tgeneration of precursor metabolites and energy	39	20.103092783505154	1.121985001544964E-25	ENSG00000176340, ENSG00000010256, ENSG00000146701, ENSG00000095637, ENSG00000166411, ENSG00000213619, ENSG00000117054, ENSG00000163541, ENSG00000114480, ENSG00000128609, ENSG00000149925, ENSG00000170525, ENSG00000150768, ENSG00000174697, ENSG00000100412, ENSG00000164405, ENSG00000131174, ENSG00000150991, ENSG00000079739, ENSG00000120675, ENSG00000127540, ENSG00000117118, ENSG00000138413, ENSG00000067829, ENSG00000143252, ENSG00000062485, ENSG00000250479, ENSG00000105379, ENSG00000161533, ENSG00000099795, ENSG00000141959, ENSG00000184076, ENSG00000088682, ENSG00000181092, ENSG00000091140, ENSG00000179091, ENSG00000111775, ENSG00000121691, ENSG00000004779	187	379	16792	9.240303077335517	3.9718269054691724E-22	7.943653810938344E-23	2.0575615772791327E-22
GOTERM_BP_ALL	GO:0019752tcarboxylic acid metabolic process	52	26.804123711340207	1.2824466182891976E-24	ENSG00000138796, ENSG00000146701, ENSG00000198130, ENSG00000116171, ENSG00000163541, ENSG00000149925, ENSG00000150768, ENSG00000170525, ENSG00000107537, ENSG00000174697, ENSG00000213316, ENSG00000132170, ENSG00000248098, ENSG00000117118, ENSG00000067829, ENSG00000062485, ENSG00000119927, ENSG00000131473, ENSG00000103876, ENSG00000181092, ENSG00000167468, ENSG00000120915, ENSG00000095321, ENSG00000091140, ENSG00000006831, ENSG00000004779, ENSG00000130304, ENSG00000115361, ENSG00000104823, ENSG00000065833, ENSG00000175445, ENSG00000138074, ENSG00000117054, ENSG00000074416, ENSG00000151552, ENSG00000079435, ENSG00000122971, ENSG00000104325, ENSG00000100412, ENSG00000079739, ENSG00000138413, ENSG00000170522, ENSG00000126561, ENSG00000105379, ENSG00000078070, ENSG00000125730, ENSG00000127884, ENSG00000161533, ENSG00000141959, ENSG00000167315, ENSG00000137992, ENSG00000157184	187	826	16792	5.653066773704859	4.53986102874376E-21	7.566435047906266E-22	2.3518254549480835E-21
GOTERM_BP_ALL	GO:0043436toxoacid metabolic process	52	26.804123711340207	1.688391636116247E-24	ENSG00000138796, ENSG00000146701, ENSG00000198130, ENSG00000116171, ENSG00000163541, ENSG00000149925, ENSG00000150768, ENSG00000170525, ENSG00000107537, ENSG00000174697, ENSG00000213316, ENSG00000132170, ENSG00000248098, ENSG00000117118, ENSG00000067829, ENSG00000062485, ENSG00000119927, ENSG00000131473, ENSG00000103876, ENSG00000181092, ENSG00000167468, ENSG00000120915, ENSG00000095321, ENSG00000091140, ENSG00000006831, ENSG00000004779, ENSG00000130304, ENSG00000115361, ENSG00000104823, ENSG00000065833, ENSG00000175445, ENSG00000138074, ENSG00000117054, ENSG00000074416, ENSG00000151552, ENSG00000079435, ENSG00000122971, ENSG00000104325, ENSG00000100412, ENSG00000079739, ENSG00000138413, ENSG00000170522, ENSG00000126561, ENSG00000105379, ENSG00000078070, ENSG00000125730, ENSG00000127884, ENSG00000161533, ENSG00000141959, ENSG00000167315, ENSG00000137992, ENSG00000157184	187	831	16792	5.619053134873904	5.976906391851514E-21	8.53843770264502E-22	3.0962711204593766E-21
GOTERM_BP_ALL	GO:0032787tmonocarboxylic acid metabolic process	44	22.68041237113402	2.13015825750622E-24	ENSG00000130304, ENSG00000138796, ENSG00000115361, ENSG00000104823, ENSG00000175445, ENSG00000065833, ENSG00000198130, ENSG00000138074, ENSG00000116171, ENSG00000117054, ENSG00000149925, ENSG00000074416, ENSG00000170525, ENSG00000107537, ENSG00000150768, ENSG00000079435, ENSG00000122971, ENSG00000174697, ENSG00000104325, ENSG00000213316, ENSG00000079739, ENSG00000248098, ENSG00000132170, ENSG00000138413, ENSG00000126561, ENSG00000170522, ENSG00000119927, ENSG00000105379, ENSG00000078070, ENSG00000131473, ENSG00000125730, ENSG00000161533, ENSG00000127884, ENSG00000141959, ENSG00000137992, ENSG00000167315, ENSG00000181092, ENSG00000095321, ENSG00000120915, ENSG00000167468, ENSG00000091140, ENSG00000006831, ENSG00000004779, ENSG00000157184	187	559	16792	7.068083763022203	7.54076023157202E-21	9.425950289465025E-22	3.906408533209808E-21
GOTERM_BP_ALL	GO:0015980tenergy derivation by oxidation of organic compounds	33	17.010309278350515	7.022839921839892E-24	ENSG00000176340, ENSG00000010256, ENSG00000146701, ENSG00000095637, ENSG00000166411, ENSG00000213619, ENSG00000117054, ENSG00000163541, ENSG00000114480, ENSG00000128609, ENSG00000150768, ENSG00000174697, ENSG00000100412, ENSG00000164405, ENSG00000131174, ENSG00000150991, ENSG00000079739, ENSG00000120675, ENSG00000127540, ENSG00000117118, ENSG00000138413, ENSG00000067829, ENSG00000143252, ENSG00000062485, ENSG00000105379, ENSG00000099795, ENSG00000184076, ENSG00000088682, ENSG00000091140, ENSG00000179091, ENSG00000111775, ENSG00000121691, ENSG00000004779	187	271	16792	10.934664640764055	2.486085332331322E-20	2.762317035923691E-21	1.2878893716638211E-20
GOTERM_BP_ALL	GO:0045333tcellular respiration	27	13.917525773195877	3.4879161395040062E-22	ENSG00000176340, ENSG00000010256, ENSG00000146701, ENSG00000166411, ENSG00000213619, ENSG00000163541, ENSG00000128609, ENSG00000150768, ENSG00000100412, ENSG00000164405, ENSG00000131174, ENSG00000120675, ENSG00000127540, ENSG00000117118, ENSG00000138413, ENSG00000067829, ENSG00000143252, ENSG00000062485, ENSG00000105379, ENSG00000099795, ENSG00000184076, ENSG00000088682, ENSG00000091140, ENSG00000111775, ENSG00000179091, ENSG00000121691, ENSG00000004779	187	174	16792	13.933984879218142	1.2347223133844183E-18	1.2347223133844183E-19	6.396344178873234E-19
