Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0006955~immune response	141	70.5	1.4998788999846055E-99	ENSG00000275302, ENSG00000165471, ENSG00000159128, ENSG00000205220, ENSG00000138755, ENSG00000154096, ENSG00000198851, ENSG00000115415, ENSG00000115607, ENSG00000204267, ENSG00000182866, ENSG00000160255, ENSG00000121807, ENSG00000005844, ENSG00000121594, ENSG00000168811, ENSG00000081237, ENSG00000198918, ENSG00000164342, ENSG00000113302, ENSG00000000938, ENSG00000164136, ENSG00000254087, ENSG00000167768, ENSG00000104432, ENSG00000054219, ENSG00000137078, ENSG00000168394, ENSG00000189430, ENSG00000231925, ENSG00000156234, ENSG00000104998, ENSG00000126759, ENSG00000172156, ENSG00000105369, ENSG00000015285, ENSG00000169194, ENSG00000162645, ENSG00000113263, ENSG00000112799, ENSG00000136754, ENSG00000163823, ENSG00000134954, ENSG00000241106, ENSG00000100453, ENSG00000135341, ENSG00000166501, ENSG00000111679, ENSG00000115085, ENSG00000108691, ENSG00000160654, ENSG00000160791, ENSG00000163131, ENSG00000111537, ENSG00000153563, ENSG00000204252, ENSG00000196735, ENSG00000180644, ENSG00000082074, ENSG00000105372, ENSG00000090339, ENSG00000173762, ENSG00000204257, ENSG00000104312, ENSG00000159110, ENSG00000100365, ENSG00000109943, ENSG00000117560, ENSG00000158473, ENSG00000174125, ENSG00000142867, ENSG00000177889, ENSG00000181374, ENSG00000128342, ENSG00000166278, ENSG00000096996, ENSG00000174130, ENSG00000140968, ENSG00000026103, ENSG00000163737, ENSG00000102034, ENSG00000101017, ENSG00000114013, ENSG00000137462, ENSG00000108688, ENSG00000124882, ENSG00000102245, ENSG00000197561, ENSG00000137265, ENSG00000043462, ENSG00000204632, ENSG00000140749, ENSG00000134460, ENSG00000150782, ENSG00000102962, ENSG00000019582, ENSG00000172349, ENSG00000153283, ENSG00000145839, ENSG00000140030, ENSG00000160223, ENSG00000162711, ENSG00000027697, ENSG00000227507, ENSG00000271503, ENSG00000185507, ENSG00000198821, ENSG00000077238, ENSG00000204287, ENSG00000103653, ENSG00000163519, ENSG00000104365, ENSG00000109471, ENSG00000105329, ENSG00000158092, ENSG00000072401, ENSG00000172116, ENSG00000242574, ENSG00000092969, ENSG00000172724, ENSG00000166710, ENSG00000007171, ENSG00000145649, ENSG00000184371, ENSG00000010610, ENSG00000136244, ENSG00000125538, ENSG00000096968, ENSG00000127191, ENSG00000178562, ENSG00000072694, ENSG00000134539, ENSG00000204592, ENSG00000232810, ENSG00000185338, ENSG00000136634, ENSG00000171150, ENSG00000206503, ENSG00000113520, ENSG00000147168, ENSG00000167286	199	1551	16792	7.671082686158062	7.478396195323243E-96	7.478396195323243E-96	2.8535140354259627E-96
GOTERM_BP_ALL	GO:0002376~immune system process	162	81.0	5.419929591041149E-99	ENSG00000275302, ENSG00000165471, ENSG00000159128, ENSG00000205220, ENSG00000138755, ENSG00000198851, ENSG00000154096, ENSG00000115415, ENSG00000115607, ENSG00000204267, ENSG00000182866, ENSG00000160255, ENSG00000121807, ENSG00000122641, ENSG00000005844, ENSG00000121594, ENSG00000168811, ENSG00000081237, ENSG00000198918, ENSG00000164342, ENSG00000113302, ENSG00000000938, ENSG00000164326, ENSG00000164136, ENSG00000254087, ENSG00000167768, ENSG00000104432, ENSG00000054219, ENSG00000137078, ENSG00000168394, ENSG00000189430, ENSG00000231925, ENSG00000156234, ENSG00000104998, ENSG00000095752, ENSG00000126759, ENSG00000172156, ENSG00000105369, ENSG00000015285, ENSG00000169194, ENSG00000239672, ENSG00000162645, ENSG00000113263, ENSG00000112799, ENSG00000147889, ENSG00000136754, ENSG00000163823, ENSG00000134954, ENSG00000241106, ENSG00000100453, ENSG00000135341, ENSG00000166501, ENSG00000111679, ENSG00000115085, ENSG00000160654, ENSG00000108691, ENSG00000160791, ENSG00000163131, ENSG00000111537, ENSG00000153563, ENSG00000204252, ENSG00000196735, ENSG00000180644, ENSG00000082074, ENSG00000105372, ENSG00000174842, ENSG00000090339, ENSG00000173762, ENSG00000204257, ENSG00000186810, ENSG00000159110, ENSG00000104312, ENSG00000100365, ENSG00000109943, ENSG00000117560, ENSG00000158473, ENSG00000174125, ENSG00000142867, ENSG00000177889, ENSG00000181374, ENSG00000128342, ENSG00000166278, ENSG00000096996, ENSG00000174130, ENSG00000140968, ENSG00000026103, ENSG00000163737, ENSG00000102034, ENSG00000101017, ENSG00000114013, ENSG00000137462, ENSG00000108688, ENSG00000124882, ENSG00000102245, ENSG00000197561, ENSG00000137265, ENSG00000043462, ENSG00000204632, ENSG00000140749, ENSG00000134460, ENSG00000150782, ENSG00000102962, ENSG00000019582, ENSG00000172349, ENSG00000153283, ENSG00000145839, ENSG00000066336, ENSG00000140030, ENSG00000160223, ENSG00000162711, ENSG00000027697, ENSG00000142208, ENSG00000227507, ENSG00000271503, ENSG00000185507, ENSG00000198821, ENSG00000077238, ENSG00000100644, ENSG00000204287, ENSG00000143479, ENSG00000180210, ENSG00000103653, ENSG00000163519, ENSG00000104365, ENSG00000109471, ENSG00000105329, ENSG00000121989, ENSG00000158092, ENSG00000072401, ENSG00000172116, ENSG00000076554, ENSG00000242574, ENSG00000092969, ENSG00000180353, ENSG00000172724, ENSG00000166710, ENSG00000100985, ENSG00000007171, ENSG00000145649, ENSG00000184371, ENSG00000010610, ENSG00000136244, ENSG00000125538, ENSG00000096968, ENSG00000127191, ENSG00000178562, ENSG00000072694, ENSG00000134539, ENSG00000204592, ENSG00000196776, ENSG00000232810, ENSG00000185338, ENSG00000136634, ENSG00000112576, ENSG00000048052, ENSG00000171150, ENSG00000206503, ENSG00000113520, ENSG00000167286, ENSG00000147168, ENSG00000187210, ENSG00000116824	199	2465	16792	5.545585941879784	2.7023768940931168E-95	1.3511884470465584E-95	1.0311395912840133E-95
GOTERM_BP_ALL	GO:0002682~regulation of immune system process	128	64.0	1.5083411828659315E-88	ENSG00000275302, ENSG00000165471, ENSG00000159128, ENSG00000205220, ENSG00000138755, ENSG00000154096, ENSG00000198851, ENSG00000115415, ENSG00000204267, ENSG00000182866, ENSG00000160255, ENSG00000121807, ENSG00000122641, ENSG00000005844, ENSG00000121594, ENSG00000168811, ENSG00000081237, ENSG00000164342, ENSG00000113302, ENSG00000000938, ENSG00000164326, ENSG00000164136, ENSG00000254087, ENSG00000167768, ENSG00000104432, ENSG00000137078, ENSG00000168394, ENSG00000189430, ENSG00000156234, ENSG00000104998, ENSG00000126759, ENSG00000105369, ENSG00000015285, ENSG00000169194, ENSG00000239672, ENSG00000113263, ENSG00000147889, ENSG00000136754, ENSG00000163823, ENSG00000134954, ENSG00000241106, ENSG00000135341, ENSG00000166501, ENSG00000111679, ENSG00000115085, ENSG00000108691, ENSG00000160654, ENSG00000163131, ENSG00000111537, ENSG00000153563, ENSG00000204252, ENSG00000196735, ENSG00000082074, ENSG00000105372, ENSG00000174842, ENSG00000090339, ENSG00000186810, ENSG00000104312, ENSG00000159110, ENSG00000109943, ENSG00000158473, ENSG00000174125, ENSG00000142867, ENSG00000177889, ENSG00000128342, ENSG00000166278, ENSG00000096996, ENSG00000174130, ENSG00000026103, ENSG00000163737, ENSG00000101017, ENSG00000114013, ENSG00000137462, ENSG00000108688, ENSG00000124882, ENSG00000102245, ENSG00000197561, ENSG00000043462, ENSG00000137265, ENSG00000204632, ENSG00000134460, ENSG00000150782, ENSG00000019582, ENSG00000153283, ENSG00000066336, ENSG00000160223, ENSG00000162711, ENSG00000027697, ENSG00000142208, ENSG00000271503, ENSG00000185507, ENSG00000198821, ENSG00000077238, ENSG00000100644, ENSG00000204287, ENSG00000103653, ENSG00000163519, ENSG00000104365, ENSG00000109471, ENSG00000105329, ENSG00000121989, ENSG00000158092, ENSG00000072401, ENSG00000172116, ENSG00000242574, ENSG00000092969, ENSG00000172724, ENSG00000180353, ENSG00000166710, ENSG00000184371, ENSG00000010610, ENSG00000136244, ENSG00000125538, ENSG00000096968, ENSG00000127191, ENSG00000178562, ENSG00000072694, ENSG00000134539, ENSG00000204592, ENSG00000196776, ENSG00000232810, ENSG00000185338, ENSG00000136634, ENSG00000171150, ENSG00000206503, ENSG00000113520, ENSG00000167286, ENSG00000116824	199	1378	16792	7.838087389049748	7.520589137769534E-85	2.5068630459231783E-85	2.8696134971717454E-85
GOTERM_BP_ALL	GO:0002684~positive regulation of immune system process	105	52.5	2.8925816387398896E-76	ENSG00000275302, ENSG00000165471, ENSG00000205220, ENSG00000138755, ENSG00000154096, ENSG00000198851, ENSG00000204267, ENSG00000182866, ENSG00000160255, ENSG00000121807, ENSG00000122641, ENSG00000121594, ENSG00000168811, ENSG00000081237, ENSG00000164342, ENSG00000113302, ENSG00000000938, ENSG00000254087, ENSG00000164136, ENSG00000104432, ENSG00000167768, ENSG00000168394, ENSG00000156234, ENSG00000104998, ENSG00000126759, ENSG00000169194, ENSG00000015285, ENSG00000105369, ENSG00000113263, ENSG00000136754, ENSG00000163823, ENSG00000134954, ENSG00000135341, ENSG00000166501, ENSG00000111679, ENSG00000115085, ENSG00000108691, ENSG00000160654, ENSG00000163131, ENSG00000111537, ENSG00000196735, ENSG00000082074, ENSG00000105372, ENSG00000090339, ENSG00000104312, ENSG00000109943, ENSG00000158473, ENSG00000174125, ENSG00000142867, ENSG00000177889, ENSG00000128342, ENSG00000166278, ENSG00000096996, ENSG00000174130, ENSG00000163737, ENSG00000101017, ENSG00000114013, ENSG00000137462, ENSG00000124882, ENSG00000108688, ENSG00000102245, ENSG00000197561, ENSG00000043462, ENSG00000137265, ENSG00000204632, ENSG00000134460, ENSG00000150782, ENSG00000019582, ENSG00000160223, ENSG00000162711, ENSG00000142208, ENSG00000271503, ENSG00000185507, ENSG00000198821, ENSG00000077238, ENSG00000100644, ENSG00000204287, ENSG00000163519, ENSG00000103653, ENSG00000104365, ENSG00000109471, ENSG00000105329, ENSG00000121989, ENSG00000158092, ENSG00000072401, ENSG00000242574, ENSG00000092969, ENSG00000172724, ENSG00000180353, ENSG00000166710, ENSG00000184371, ENSG00000010610, ENSG00000136244, ENSG00000125538, ENSG00000178562, ENSG00000127191, ENSG00000204592, ENSG00000196776, ENSG00000232810, ENSG00000136634, ENSG00000171150, ENSG00000206503, ENSG00000113520, ENSG00000167286, ENSG00000116824	199	960	16792	9.229271356783919	1.442241205075709E-72	3.6056030126892723E-73	5.503125822254333E-73
GOTERM_BP_ALL	GO:0006952~defense response	120	60.0	3.0763651581355426E-73	ENSG00000275302, ENSG00000165471, ENSG00000159128, ENSG00000205220, ENSG00000138755, ENSG00000115415, ENSG00000115607, ENSG00000182866, ENSG00000160255, ENSG00000121807, ENSG00000163083, ENSG00000005844, ENSG00000122641, ENSG00000168811, ENSG00000198918, ENSG00000081237, ENSG00000164342, ENSG00000113302, ENSG00000000938, ENSG00000164136, ENSG00000254087, ENSG00000167768, ENSG00000054219, ENSG00000168394, ENSG00000189430, ENSG00000156234, ENSG00000104998, ENSG00000172156, ENSG00000126759, ENSG00000015285, ENSG00000169194, ENSG00000162645, ENSG00000113263, ENSG00000112799, ENSG00000163823, ENSG00000134954, ENSG00000100453, ENSG00000135341, ENSG00000010327, ENSG00000111679, ENSG00000115085, ENSG00000108691, ENSG00000160791, ENSG00000163131, ENSG00000111537, ENSG00000153563, ENSG00000196735, ENSG00000180644, ENSG00000105372, ENSG00000090339, ENSG00000186810, ENSG00000104312, ENSG00000159110, ENSG00000109943, ENSG00000158473, ENSG00000174125, ENSG00000142867, ENSG00000177889, ENSG00000181374, ENSG00000166278, ENSG00000096996, ENSG00000174130, ENSG00000140968, ENSG00000026103, ENSG00000146648, ENSG00000163737, ENSG00000102034, ENSG00000101017, ENSG00000114013, ENSG00000137462, ENSG00000108688, ENSG00000124882, ENSG00000181104, ENSG00000102245, ENSG00000197561, ENSG00000137265, ENSG00000204632, ENSG00000134460, ENSG00000150782, ENSG00000102962, ENSG00000019582, ENSG00000153283, ENSG00000145839, ENSG00000160223, ENSG00000162711, ENSG00000027697, ENSG00000142208, ENSG00000271503, ENSG00000185507, ENSG00000198821, ENSG00000077238, ENSG00000100644, ENSG00000204287, ENSG00000180210, ENSG00000103653, ENSG00000163519, ENSG00000104365, ENSG00000109471, ENSG00000105329, ENSG00000072401, ENSG00000172116, ENSG00000172724, ENSG00000166710, ENSG00000007171, ENSG00000184371, ENSG00000010610, ENSG00000136244, ENSG00000125538, ENSG00000096968, ENSG00000178562, ENSG00000134539, ENSG00000204592, ENSG00000196776, ENSG00000232810, ENSG00000185338, ENSG00000136634, ENSG00000048052, ENSG00000171150, ENSG00000206503, ENSG00000113520	199	1518	16792	6.670506683615706	1.5338756678463816E-69	3.0677513356927633E-70	5.852773285180079E-70
GOTERM_BP_ALL	GO:0001775~cell activation	100	50.0	3.903109129792242E-72	ENSG00000205220, ENSG00000154096, ENSG00000198851, ENSG00000182866, ENSG00000160255, ENSG00000121807, ENSG00000005844, ENSG00000122641, ENSG00000121594, ENSG00000168811, ENSG00000081237, ENSG00000164342, ENSG00000113302, ENSG00000000938, ENSG00000126583, ENSG00000254087, ENSG00000164136, ENSG00000104432, ENSG00000137078, ENSG00000189430, ENSG00000104998, ENSG00000095752, ENSG00000169194, ENSG00000015285, ENSG00000105369, ENSG00000113263, ENSG00000147889, ENSG00000135341, ENSG00000166501, ENSG00000111679, ENSG00000115085, ENSG00000108691, ENSG00000160654, ENSG00000111537, ENSG00000153563, ENSG00000204252, ENSG00000196735, ENSG00000180644, ENSG00000174842, ENSG00000090339, ENSG00000173762, ENSG00000104312, ENSG00000109943, ENSG00000196924, ENSG00000158473, ENSG00000174125, ENSG00000142867, ENSG00000096996, ENSG00000174130, ENSG00000026103, ENSG00000146648, ENSG00000163737, ENSG00000102034, ENSG00000114013, ENSG00000101017, ENSG00000137462, ENSG00000181104, ENSG00000102245, ENSG00000043462, ENSG00000137265, ENSG00000204632, ENSG00000134460, ENSG00000150782, ENSG00000019582, ENSG00000066336, ENSG00000160223, ENSG00000162711, ENSG00000142208, ENSG00000271503, ENSG00000198821, ENSG00000077238, ENSG00000204287, ENSG00000103653, ENSG00000180210, ENSG00000109471, ENSG00000105329, ENSG00000158092, ENSG00000172116, ENSG00000076554, ENSG00000242574, ENSG00000172724, ENSG00000166710, ENSG00000184371, ENSG00000010610, ENSG00000136244, ENSG00000125538, ENSG00000102265, ENSG00000096968, ENSG00000178562, ENSG00000127191, ENSG00000204592, ENSG00000196776, ENSG00000136634, ENSG00000112576, ENSG00000048052, ENSG00000171150, ENSG00000206503, ENSG00000113520, ENSG00000167286, ENSG00000116824	199	910	16792	9.272737312938318	1.9460902121144118E-68	3.2434836868573533E-69	7.425650620043853E-69
GOTERM_BP_ALL	GO:0045321~leukocyte activation	92	46.0	6.606293591218028E-70	ENSG00000096996, ENSG00000174130, ENSG00000205220, ENSG00000026103, ENSG00000154096, ENSG00000198851, ENSG00000102034, ENSG00000114013, ENSG00000101017, ENSG00000182866, ENSG00000137462, ENSG00000160255, ENSG00000121807, ENSG00000122641, ENSG00000005844, ENSG00000102245, ENSG00000043462, ENSG00000121594, ENSG00000137265, ENSG00000168811, ENSG00000204632, ENSG00000134460, ENSG00000150782, ENSG00000081237, ENSG00000019582, ENSG00000164342, ENSG00000113302, ENSG00000000938, ENSG00000066336, ENSG00000160223, ENSG00000162711, ENSG00000164136, ENSG00000254087, ENSG00000104432, ENSG00000142208, ENSG00000271503, ENSG00000198821, ENSG00000137078, ENSG00000077238, ENSG00000204287, ENSG00000189430, ENSG00000103653, ENSG00000109471, ENSG00000104998, ENSG00000095752, ENSG00000105329, ENSG00000158092, ENSG00000105369, ENSG00000015285, ENSG00000169194, ENSG00000172116, ENSG00000076554, ENSG00000242574, ENSG00000113263, ENSG00000172724, ENSG00000166710, ENSG00000147889, ENSG00000135341, ENSG00000184371, ENSG00000010610, ENSG00000166501, ENSG00000136244, ENSG00000125538, ENSG00000127191, ENSG00000178562, ENSG00000111679, ENSG00000204592, ENSG00000115085, ENSG00000108691, ENSG00000160654, ENSG00000196776, ENSG00000111537, ENSG00000153563, ENSG00000136634, ENSG00000204252, ENSG00000196735, ENSG00000112576, ENSG00000048052, ENSG00000180644, ENSG00000174842, ENSG00000171150, ENSG00000090339, ENSG00000173762, ENSG00000206503, ENSG00000104312, ENSG00000113520, ENSG00000109943, ENSG00000167286, ENSG00000158473, ENSG00000174125, ENSG00000116824, ENSG00000142867	199	747	16792	10.392417240149879	3.293897984581309E-66	4.70556854940187E-67	1.2568449016036372E-66
GOTERM_BP_ALL	GO:0050776~regulation of immune response	98	49.0	1.7492234641816782E-69	ENSG00000165471, ENSG00000159128, ENSG00000205220, ENSG00000154096, ENSG00000198851, ENSG00000115415, ENSG00000182866, ENSG00000160255, ENSG00000121807, ENSG00000005844, ENSG00000121594, ENSG00000168811, ENSG00000081237, ENSG00000164342, ENSG00000113302, ENSG00000000938, ENSG00000254087, ENSG00000164136, ENSG00000167768, ENSG00000189430, ENSG00000156234, ENSG00000104998, ENSG00000126759, ENSG00000169194, ENSG00000015285, ENSG00000105369, ENSG00000113263, ENSG00000136754, ENSG00000135341, ENSG00000166501, ENSG00000111679, ENSG00000115085, ENSG00000160654, ENSG00000163131, ENSG00000111537, ENSG00000153563, ENSG00000196735, ENSG00000082074, ENSG00000105372, ENSG00000090339, ENSG00000104312, ENSG00000159110, ENSG00000109943, ENSG00000158473, ENSG00000174125, ENSG00000142867, ENSG00000177889, ENSG00000166278, ENSG00000096996, ENSG00000174130, ENSG00000101017, ENSG00000114013, ENSG00000137462, ENSG00000124882, ENSG00000102245, ENSG00000197561, ENSG00000043462, ENSG00000137265, ENSG00000204632, ENSG00000134460, ENSG00000150782, ENSG00000019582, ENSG00000153283, ENSG00000027697, ENSG00000162711, ENSG00000271503, ENSG00000185507, ENSG00000198821, ENSG00000077238, ENSG00000204287, ENSG00000163519, ENSG00000103653, ENSG00000109471, ENSG00000104365, ENSG00000105329, ENSG00000158092, ENSG00000072401, ENSG00000172116, ENSG00000242574, ENSG00000092969, ENSG00000172724, ENSG00000166710, ENSG00000010610, ENSG00000136244, ENSG00000125538, ENSG00000096968, ENSG00000178562, ENSG00000127191, ENSG00000072694, ENSG00000134539, ENSG00000204592, ENSG00000232810, ENSG00000185338, ENSG00000136634, ENSG00000171150, ENSG00000206503, ENSG00000113520, ENSG00000167286	199	912	16792	9.067354315436834	8.721628192409847E-66	1.0902035240512309E-66	3.32789114253829E-66
GOTERM_BP_ALL	GO:0046649~lymphocyte activation	85	42.5	1.9426087752179038E-66	ENSG00000096996, ENSG00000205220, ENSG00000026103, ENSG00000154096, ENSG00000198851, ENSG00000102034, ENSG00000114013, ENSG00000101017, ENSG00000182866, ENSG00000160255, ENSG00000121807, ENSG00000122641, ENSG00000005844, ENSG00000102245, ENSG00000121594, ENSG00000137265, ENSG00000168811, ENSG00000204632, ENSG00000134460, ENSG00000150782, ENSG00000081237, ENSG00000019582, ENSG00000113302, ENSG00000066336, ENSG00000160223, ENSG00000162711, ENSG00000164136, ENSG00000254087, ENSG00000104432, ENSG00000142208, ENSG00000271503, ENSG00000198821, ENSG00000137078, ENSG00000077238, ENSG00000204287, ENSG00000189430, ENSG00000103653, ENSG00000109471, ENSG00000104998, ENSG00000095752, ENSG00000105329, ENSG00000158092, ENSG00000105369, ENSG00000015285, ENSG00000169194, ENSG00000172116, ENSG00000076554, ENSG00000242574, ENSG00000113263, ENSG00000172724, ENSG00000166710, ENSG00000147889, ENSG00000135341, ENSG00000010610, ENSG00000166501, ENSG00000136244, ENSG00000125538, ENSG00000127191, ENSG00000178562, ENSG00000111679, ENSG00000204592, ENSG00000115085, ENSG00000108691, ENSG00000160654, ENSG00000196776, ENSG00000153563, ENSG00000111537, ENSG00000136634, ENSG00000204252, ENSG00000196735, ENSG00000112576, ENSG00000048052, ENSG00000180644, ENSG00000174842, ENSG00000171150, ENSG00000090339, ENSG00000173762, ENSG00000206503, ENSG00000104312, ENSG00000113520, ENSG00000109943, ENSG00000167286, ENSG00000158473, ENSG00000116824, ENSG00000142867	199	643	16792	11.154684776917247	9.685847353236468E-63	1.0762052614707187E-63	3.6958059783912036E-63
GOTERM_BP_ALL	GO:0007159~leukocyte cell-cell adhesion	77	38.5	3.2910656444805153E-65	ENSG00000096996, ENSG00000205220, ENSG00000026103, ENSG00000154096, ENSG00000198851, ENSG00000102034, ENSG00000114013, ENSG00000182866, ENSG00000160255, ENSG00000121807, ENSG00000005844, ENSG00000102245, ENSG00000197561, ENSG00000121594, ENSG00000137265, ENSG00000168811, ENSG00000204632, ENSG00000134460, ENSG00000150782, ENSG00000081237, ENSG00000019582, ENSG00000113302, ENSG00000160223, ENSG00000162711, ENSG00000164136, ENSG00000254087, ENSG00000104432, ENSG00000142208, ENSG00000271503, ENSG00000198821, ENSG00000137078, ENSG00000077238, ENSG00000204287, ENSG00000103653, ENSG00000109471, ENSG00000105329, ENSG00000158092, ENSG00000015285, ENSG00000172116, ENSG00000242574, ENSG00000113263, ENSG00000172724, ENSG00000166710, ENSG00000147889, ENSG00000134954, ENSG00000135341, ENSG00000010610, ENSG00000136244, ENSG00000125538, ENSG00000127191, ENSG00000178562, ENSG00000111679, ENSG00000204592, ENSG00000115085, ENSG00000108691, ENSG00000160654, ENSG00000196776, ENSG00000232810, ENSG00000153563, ENSG00000111537, ENSG00000136634, ENSG00000204252, ENSG00000196735, ENSG00000112576, ENSG00000174842, ENSG00000171150, ENSG00000090339, ENSG00000173762, ENSG00000206503, ENSG00000104312, ENSG00000113520, ENSG00000109943, ENSG00000167286, ENSG00000158473, ENSG00000187210, ENSG00000116824, ENSG00000142867	199	491	16792	13.233008218280814	1.640925330337985E-61	1.640925330337985E-62	6.261240162875637E-62
