"GO.ID"	"GO.Term"	"zscore"	"obs"	"mean"	"std"
"GO:0005886"	"plasma membrane"	"50.323"	"7657"	"4683.959"	"59.079"
"GO:0042613"	"MHC class II protein complex"	"49.755"	"247"	"20.482"	"4.553"
"GO:0071556"	"integral component of lumenal side of endoplasmic reticulum membrane"	"47.667"	"353"	"45.938"	"6.442"
"GO:0009897"	"external side of plasma membrane"	"43.203"	"995"	"273.445"	"16.702"
"GO:0005887"	"integral component of plasma membrane"	"36.149"	"2311"	"1162.338"	"31.775"
"GO:0030658"	"transport vesicle membrane"	"34.629"	"229"	"33.103"	"5.657"
"GO:0042101"	"T cell receptor complex"	"32.744"	"205"	"28.869"	"5.379"
"GO:0030669"	"clathrin-coated endocytic vesicle membrane"	"28.204"	"352"	"88.389"	"9.347"
"GO:0009986"	"cell surface"	"25.784"	"1370"	"714.786"	"25.412"
"GO:0042105"	"alpha-beta T cell receptor complex"	"25.277"	"111"	"14.12"	"3.833"
"GO:0042571"	"immunoglobulin complex, circulating"	"25.261"	"138"	"21.109"	"4.627"
"GO:0012507"	"ER to Golgi transport vesicle membrane"	"24.929"	"424"	"141.087"	"11.349"
"GO:0042612"	"MHC class I protein complex"	"24.167"	"111"	"16.446"	"3.913"
"GO:0045121"	"membrane raft"	"21.952"	"1003"	"521.295"	"21.944"
"GO:0005576"	"extracellular region"	"20.895"	"2747"	"1929.049"	"39.146"
"GO:0005942"	"phosphatidylinositol 3-kinase complex"	"20.398"	"157"	"35.787"	"5.942"
"GO:0001772"	"immunological synapse"	"19.244"	"214"	"63.29"	"7.831"
"GO:0005615"	"extracellular space"	"19.004"	"2194"	"1491.896"	"36.945"
"GO:0032588"	"trans-Golgi network membrane"	"17.701"	"396"	"169.225"	"12.812"
"GO:0005911"	"cell-cell junction"	"16.801"	"611"	"326.167"	"16.953"
"GO:0042629"	"mast cell granule"	"16.627"	"141"	"39.385"	"6.111"
"GO:0043235"	"receptor complex"	"16.598"	"572"	"301.923"	"16.272"
"GO:0098636"	"protein complex involved in cell adhesion"	"16.343"	"18"	"1.055"	"1.037"
"GO:0031234"	"extrinsic component of cytoplasmic side of plasma membrane"	"15.683"	"262"	"109.171"	"9.745"
"GO:0019815"	"B cell receptor complex"	"15.209"	"45"	"6.933"	"2.503"
"GO:0030666"	"endocytic vesicle membrane"	"14.964"	"617"	"341.818"	"18.39"
"GO:0005943"	"phosphatidylinositol 3-kinase complex, class IA"	"14.115"	"62"	"12.477"	"3.509"
"GO:0016021"	"integral component of membrane"	"13.704"	"1989"	"1433.517"	"40.534"
"GO:0042825"	"TAP complex"	"13.328"	"18"	"1.651"	"1.227"
"GO:0010008"	"endosome membrane"	"13.224"	"769"	"488.692"	"21.196"
"GO:0005925"	"focal adhesion"	"13.129"	"1850"	"1378.241"	"35.931"
"GO:0070110"	"ciliary neurotrophic factor receptor complex"	"12.938"	"18"	"1.568"	"1.27"
"GO:0030665"	"clathrin-coated vesicle membrane"	"12.778"	"289"	"146.774"	"11.13"
"GO:0005765"	"lysosomal membrane"	"12.54"	"723"	"459.212"	"21.035"
"GO:0022627"	"cytosolic small ribosomal subunit"	"12.529"	"497"	"294.121"	"16.192"
"GO:0032009"	"early phagosome"	"12.421"	"47"	"9.589"	"3.012"
"GO:0005896"	"interleukin-6 receptor complex"	"12.285"	"16"	"1.456"	"1.184"
"GO:0035631"	"CD40 receptor complex"	"12.193"	"115"	"40.303"	"6.126"
"GO:0097342"	"ripoptosome"	"12.064"	"49"	"10.833"	"3.164"
"GO:0032449"	"CBM complex"	"12.003"	"25"	"3.39"	"1.8"
"GO:0099091"	NA	"11.829"	"69"	"19.514"	"4.183"
"GO:0005622"	"intracellular"	"11.758"	"875"	"600.784"	"23.322"
"GO:0014069"	"postsynaptic density"	"11.716"	"758"	"496.493"	"22.32"
"GO:1990578"	"perinuclear endoplasmic reticulum membrane"	"10.982"	"40"	"8.47"	"2.871"
"GO:0031264"	"death-inducing signaling complex"	"10.934"	"58"	"16.009"	"3.84"
"GO:0031901"	"early endosome membrane"	"10.474"	"356"	"213.62"	"13.594"
"GO:0016282"	"eukaryotic 43S preinitiation complex"	"10.449"	"156"	"71.635"	"8.074"
"GO:0009898"	"cytoplasmic side of plasma membrane"	"10.256"	"191"	"94.593"	"9.4"
"GO:0016323"	"basolateral plasma membrane"	"10.135"	"403"	"248.355"	"15.258"
"GO:0005768"	"endosome"	"10.11"	"764"	"538.242"	"22.33"
"GO:0030670"	"phagocytic vesicle membrane"	"10.084"	"229"	"122.34"	"10.577"
"GO:0033290"	"eukaryotic 48S preinitiation complex"	"10.047"	"151"	"69.569"	"8.105"
"GO:0032398"	"MHC class Ib protein complex"	"9.929"	"14"	"1.646"	"1.244"
"GO:0022625"	"cytosolic large ribosomal subunit"	"9.612"	"479"	"312.454"	"17.327"
"GO:0005852"	"eukaryotic translation initiation factor 3 complex"	"9.559"	"169"	"84.889"	"8.799"
"GO:0031265"	"CD95 death-inducing signaling complex"	"9.545"	"41"	"11.233"	"3.119"
"GO:0005900"	"oncostatin-M receptor complex"	"9.482"	"11"	"1.121"	"1.042"
"GO:0055038"	"recycling endosome membrane"	"9.287"	"199"	"108.27"	"9.77"
"GO:0036398"	"TCR signalosome"	"9.207"	"28"	"6.224"	"2.365"
"GO:0030122"	"AP-2 adaptor complex"	"9.185"	"144"	"69.652"	"8.094"
"GO:0005840"	"ribosome"	"8.904"	"353"	"222.963"	"14.604"
"GO:0042788"	"polysomal ribosome"	"8.769"	"245"	"143.974"	"11.521"
"GO:0042824"	"MHC class I peptide loading complex"	"8.566"	"21"	"4.12"	"1.971"
"GO:0031226"	"intrinsic component of plasma membrane"	"8.552"	"73"	"27.801"	"5.285"
"GO:0048471"	"perinuclear region of cytoplasm"	"8.486"	"1650"	"1361.459"	"34.003"
"GO:0070435"	"Shc-EGFR complex"	"8.484"	"64"	"25.481"	"4.54"
"GO:0030027"	"lamellipodium"	"8.473"	"491"	"340.171"	"17.801"
"GO:0032587"	"ruffle membrane"	"8.457"	"335"	"216.123"	"14.057"
"GO:0035692"	"macrophage migration inhibitory factor receptor complex"	"8.328"	"16"	"2.7"	"1.597"
"GO:0005788"	"endoplasmic reticulum lumen"	"8.291"	"433"	"297.246"	"16.374"
"GO:0036020"	"endolysosome membrane"	"8.267"	"118"	"56.969"	"7.382"
"GO:0098978"	"glutamatergic synapse"	"8.106"	"1012"	"791.33"	"27.223"
"GO:0071541"	"eukaryotic translation initiation factor 3 complex, eIF3m"	"7.993"	"78"	"33.787"	"5.531"
"GO:0008385"	"IkappaB kinase complex"	"7.966"	"73"	"30.265"	"5.364"
"GO:0016324"	"apical plasma membrane"	"7.959"	"515"	"369.713"	"18.255"
"GO:0009925"	"basal plasma membrane"	"7.913"	"124"	"63.779"	"7.61"
"GO:0015935"	"small ribosomal subunit"	"7.843"	"170"	"98.364"	"9.134"
"GO:0062023"	NA	"7.73"	"214"	"127.799"	"11.152"
"GO:0030061"	"mitochondrial crista"	"7.713"	"27"	"6.938"	"2.601"
"GO:0043514"	"interleukin-12 complex"	"7.47"	"8"	"0.53"	"0.717"
"GO:0070743"	"interleukin-23 complex"	"7.441"	"8"	"0.559"	"0.716"
"GO:0000139"	"Golgi membrane"	"7.426"	"1006"	"808.187"	"26.639"
"GO:0005901"	"caveola"	"7.377"	"210"	"130.415"	"10.788"
"GO:0034666"	"integrin alpha2-beta1 complex"	"7.366"	"33"	"10.099"	"3.109"
"GO:1904724"	"tertiary granule lumen"	"7.332"	"108"	"54.647"	"7.277"
"GO:0005884"	"actin filament"	"7.317"	"305"	"206.092"	"13.518"
"GO:0045334"	"clathrin-coated endocytic vesicle"	"7.297"	"161"	"92.856"	"9.338"
"GO:0005905"	"clathrin-coated pit"	"7.225"	"280"	"183.707"	"13.328"
"GO:0070195"	"growth hormone receptor complex"	"7.213"	"15"	"2.87"	"1.682"
"GO:0012506"	"vesicle membrane"	"7.21"	"133"	"73.649"	"8.232"
"GO:0097038"	"perinuclear endoplasmic reticulum"	"7.187"	"42"	"14.955"	"3.763"
"GO:0072557"	"IPAF inflammasome complex"	"7.179"	"9"	"1.147"	"1.094"
"GO:0031905"	"early endosome lumen"	"7.14"	"23"	"5.8"	"2.409"
"GO:0097179"	"protease inhibitor complex"	"7.071"	"8"	"0.929"	"0.977"
"GO:0099055"	"integral component of postsynaptic membrane"	"7.054"	"99"	"50.175"	"6.922"
"GO:0034687"	"integrin alphaL-beta2 complex"	"7.027"	"9"	"1.221"	"1.107"
"GO:0035693"	"NOS2-CD74 complex"	"6.994"	"8"	"1.006"	"0.952"
"GO:0044853"	"plasma membrane raft"	"6.967"	"77"	"37.344"	"5.692"
"GO:0032998"	"Fc-epsilon receptor I complex"	"6.966"	"8"	"1.034"	"0.988"
"GO:0005764"	"lysosome"	"6.91"	"424"	"307.3"	"16.888"
"GO:0070436"	"Grb2-EGFR complex"	"6.806"	"50"	"21.249"	"4.225"
"GO:0034688"	"integrin alphaM-beta2 complex"	"6.701"	"8"	"1.127"	"1.026"
"GO:0035525"	"NF-kappaB p50/p65 complex"	"6.658"	"27"	"8.411"	"2.792"
"GO:0031012"	"extracellular matrix"	"6.603"	"216"	"140.253"	"11.471"
"GO:0097386"	"glial cell projection"	"6.601"	"47"	"19.733"	"4.13"
"GO:0071797"	"LUBAC complex"	"6.57"	"21"	"5.675"	"2.333"
"GO:0072558"	"NLRP1 inflammasome complex"	"6.567"	"12"	"2.115"	"1.505"
"GO:0031091"	"platelet alpha granule"	"6.516"	"35"	"12.496"	"3.454"
"GO:0030425"	"dendrite"	"6.497"	"925"	"758.542"	"25.619"
"GO:0099092"	NA	"6.46"	"72"	"35.675"	"5.623"
"GO:0072536"	"interleukin-23 receptor complex"	"6.438"	"7"	"0.562"	"0.758"
"GO:0005737"	"cytoplasm"	"6.428"	"7983"	"7526.581"	"71.002"
"GO:0097059"	"CNTFR-CLCF1 complex"	"6.42"	"7"	"0.58"	"0.758"
"GO:0030667"	"secretory granule membrane"	"6.4"	"213"	"139.465"	"11.49"
"GO:0035354"	"Toll-like receptor 1-Toll-like receptor 2 protein complex"	"6.261"	"7"	"0.739"	"0.889"
"GO:0043197"	"dendritic spine"	"6.229"	"433"	"324.111"	"17.481"
"GO:0030526"	"granulocyte macrophage colony-stimulating factor receptor complex"	"6.175"	"7"	"0.825"	"0.91"
"GO:0001891"	"phagocytic cup"	"6.109"	"81"	"43.078"	"6.208"
"GO:0031904"	"endosome lumen"	"6.097"	"99"	"57.924"	"6.737"
"GO:0032421"	"stereocilium bundle"	"5.944"	"7"	"1.056"	"1"
"GO:0005791"	"rough endoplasmic reticulum"	"5.878"	"207"	"142.324"	"11.002"
"GO:0005856"	"cytoskeleton"	"5.867"	"656"	"528.308"	"21.764"
"GO:0005623"	"cell"	"5.831"	"55"	"26.095"	"4.957"
"GO:0031093"	"platelet alpha granule lumen"	"5.769"	"200"	"136.052"	"11.085"
"GO:0072559"	"NLRP3 inflammasome complex"	"5.719"	"15"	"3.853"	"1.949"
"GO:0046696"	"lipopolysaccharide receptor complex"	"5.694"	"51"	"24.509"	"4.652"
"GO:0045323"	"interleukin-1 receptor complex"	"5.605"	"23"	"7.946"	"2.686"
"GO:0098982"	"GABA-ergic synapse"	"5.505"	"103"	"61.619"	"7.517"
"GO:0043679"	"axon terminus"	"5.495"	"154"	"100.395"	"9.755"
"GO:0035580"	"specific granule lumen"	"5.484"	"113"	"68.638"	"8.089"
"GO:0031410"	"cytoplasmic vesicle"	"5.416"	"433"	"336.227"	"17.868"
"GO:0001726"	"ruffle"	"5.401"	"224"	"161.402"	"11.591"
"GO:0034673"	"inhibin-betaglycan-ActRII complex"	"5.332"	"7"	"1.2"	"1.088"
"GO:0035579"	"specific granule membrane"	"5.285"	"124"	"77.064"	"8.882"
"GO:0099056"	"integral component of presynaptic membrane"	"5.269"	"113"	"70.833"	"8.003"
"GO:0031902"	"late endosome membrane"	"5.215"	"199"	"139.708"	"11.37"
"GO:0030054"	"cell junction"	"5.214"	"601"	"485.952"	"22.066"
"GO:0002102"	"podosome"	"5.172"	"109"	"68.713"	"7.789"
"GO:0099059"	"integral component of presynaptic active zone membrane"	"5.109"	"37"	"16.329"	"4.046"
"GO:0033018"	"sarcoplasmic reticulum lumen"	"5.104"	"20"	"6.821"	"2.582"
"GO:0030131"	"clathrin adaptor complex"	"5.082"	"32"	"13.945"	"3.553"
"GO:0005796"	"Golgi lumen"	"5.056"	"161"	"110.27"	"10.033"
"GO:0099568"	"cytoplasmic region"	"5.016"	"6"	"0.984"	"0.965"
"GO:0030139"	"endocytic vesicle"	"4.964"	"151"	"103.162"	"9.637"
"GO:0098685"	NA	"4.954"	"256"	"190.414"	"13.239"
"GO:0048179"	"activin receptor complex"	"4.932"	"26"	"10.594"	"3.124"
"GO:0031528"	"microvillus membrane"	"4.877"	"30"	"13.008"	"3.484"
"GO:0043202"	"lysosomal lumen"	"4.798"	"176"	"127.761"	"10.053"
"GO:0031092"	"platelet alpha granule membrane"	"4.788"	"34"	"15.88"	"3.784"
"GO:0071438"	"invadopodium membrane"	"4.759"	"19"	"6.949"	"2.532"
"GO:0097169"	"AIM2 inflammasome complex"	"4.712"	"13"	"3.845"	"1.943"
"GO:0031906"	"late endosome lumen"	"4.685"	"5"	"0.315"	"0.551"
"GO:0043512"	"inhibin A complex"	"4.677"	"5"	"0.323"	"0.57"
