"ID"	"Pathway"	"zscore"	"obs"	"mean"	"std"
"hsa05320"	"Autoimmune thyroid disease"	"52.186"	"412"	"52.046"	"6.897"
"hsa05332"	"Graft-versus-host disease"	"50.043"	"374"	"45.474"	"6.565"
"hsa05330"	"Allograft rejection"	"49.944"	"375"	"46.228"	"6.583"
"hsa04640"	"Hematopoietic cell lineage"	"49.216"	"548"	"83.749"	"9.433"
"hsa04514"	"Cell adhesion molecules (CAMs)"	"45.403"	"564"	"106.452"	"10.077"
"hsa05310"	"Asthma"	"44.361"	"260"	"27.318"	"5.245"
"hsa04650"	"Natural killer cell mediated cytotoxicity"	"42.576"	"952"	"267.338"	"16.081"
"hsa04658"	"Th1 and Th2 cell differentiation"	"42.545"	"886"	"248.51"	"14.984"
"hsa04630"	"Jak-STAT signaling pathway"	"42.055"	"900"	"265.32"	"15.092"
"hsa04659"	"Th17 cell differentiation"	"41.367"	"1095"	"365.763"	"17.629"
"hsa04060"	"Cytokine-cytokine receptor interaction"	"41.36"	"957"	"280.124"	"16.365"
"hsa04672"	"Intestinal immune network for IgA production"	"39.895"	"380"	"63.948"	"7.922"
"hsa04940"	"Type I diabetes mellitus"	"38.763"	"378"	"67.997"	"7.997"
"hsa04660"	"T cell receptor signaling pathway"	"38.741"	"1077"	"372.629"	"18.181"
"hsa05321"	"Inflammatory bowel disease (IBD)"	"36.839"	"525"	"125.751"	"10.838"
"hsa05150"	"Staphylococcus aureus infection"	"36.701"	"365"	"67.295"	"8.112"
"hsa04064"	"NF-kappa B signaling pathway"	"35.288"	"841"	"281.44"	"15.857"
"hsa05340"	"Primary immunodeficiency"	"34.599"	"268"	"45.809"	"6.422"
"hsa04380"	"Osteoclast differentiation"	"32.552"	"966"	"367.18"	"18.396"
"hsa05140"	"Leishmaniasis"	"32.207"	"665"	"207.628"	"14.201"
"hsa05416"	"Viral myocarditis"	"31.237"	"521"	"148.759"	"11.917"
"hsa04062"	"Chemokine signaling pathway"	"30.054"	"1325"	"587.593"	"24.536"
"hsa05152"	"Tuberculosis"	"29.64"	"1026"	"432.754"	"20.015"
"hsa04620"	"Toll-like receptor signaling pathway"	"29.557"	"773"	"285.613"	"16.49"
"hsa05167"	"Kaposi's sarcoma-associated herpesvirus infection"	"28.107"	"1371"	"685.898"	"24.374"
"hsa04664"	"Fc epsilon RI signaling pathway"	"27.459"	"628"	"225.191"	"14.67"
"hsa05162"	"Measles"	"27.229"	"1115"	"536.235"	"21.256"
"hsa05168"	"Herpes simplex infection"	"26.598"	"1263"	"633.644"	"23.661"
"hsa04662"	"B cell receptor signaling pathway"	"26.136"	"697"	"278.842"	"15.999"
"hsa05200"	"Pathways in cancer"	"25.241"	"2382"	"1479.644"	"35.749"
"hsa05166"	"HTLV-I infection"	"25.12"	"1502"	"822.167"	"27.063"
"hsa04072"	"Phospholipase D signaling pathway"	"24.707"	"821"	"366.466"	"18.397"
"hsa05160"	"Hepatitis C"	"24.432"	"918"	"422.311"	"20.289"
"hsa04668"	"TNF signaling pathway"	"24.392"	"773"	"340.451"	"17.733"
"hsa05145"	"Toxoplasmosis"	"24.049"	"994"	"493.221"	"20.824"
"hsa04012"	"ErbB signaling pathway"	"23.841"	"817"	"371.665"	"18.679"
"hsa04666"	"Fc gamma R-mediated phagocytosis"	"23.772"	"642"	"264.147"	"15.895"
"hsa05142"	"Chagas disease (American trypanosomiasis)"	"23.675"	"856"	"395.71"	"19.442"
"hsa05161"	"Hepatitis B"	"22.862"	"1118"	"582.348"	"23.43"
