goId	name	refNum	interestNum	interestGene	expect	ratio	pValue	FDR
GO:0001775	cell activation	1254	76	AKT1|1;B2M|1;BCL3|1;CCND3|1;CD1D|1;CD2|1;CD3D|1;CD3E|1;CD3G|1;CD4|1;CD8A|1;CD8B|1;CD28|1;CD80|1;CD86|1;CD40|1;CD40LG|1;CD74|1;CD79A|1;CSK|1;EGFR|1;ELF4|1;FGR|1;FLNA|1;HLA-DMB|1;HLA-E|1;HLA-G|1;ICAM1|1;IFNG|1;IL1B|1;IL2|1;IL2RA|1;IL4|1;IL4R|1;IL12A|1;IL12B|1;INHBA|1;IRF4|1;ITGAL|1;ITGB2|1;ITK|1;JAK2|1;KRT1|1;LCK|1;LCP2|1;LYN|1;MMP9|1;NCK1|1;PF4|1;PRKCB|1;PRKCG|1;PTPN6|1;PTPRC|1;CCL2|1;CCL5|1;SPI1|1;TGFB1|1;THY1|1;TIMP1|1;TLR1|1;TLR2|1;TLR3|1;TNF|1;TPD52|1;WAS|1;ZAP70|1;DEGS1|1;SOCS1|1;RIPK2|1;BCL10|1;NCR1|1;IL27RA|1;SOCS5|1;TLR6|1;GLMN|1;SIT1|1	12.771651331038841	5.95067920585162	0	0
GO:0001816	cytokine production	657	55	B2M|1;BCL3|1;BRCA1|1;CD2|1;CD3E|1;CD247|1;CD4|1;CD28|1;CD80|1;CD86|1;CD40|1;CD40LG|1;CD74|1;CSK|1;EREG|1;FGR|1;HIF1A|1;HLA-E|1;HLA-G|1;IRF8|1;IFNG|1;IL1B|1;IL2|1;IL4|1;IL4R|1;IL12A|1;IL12B|1;INHBA|1;INHBB|1;IRF4|1;ITK|1;JAK2|1;LCP2|1;LYN|1;NOS2|1;PF4|1;SRGN|1;PTPN6|1;PTPRC|1;STAT1|1;MAP3K7|1;TGFB1|1;TGFB2|1;TLR1|1;TLR2|1;TLR3|1;TNF|1;TRAF2|1;SOCS1|1;RIPK2|1;BCL10|1;IL27RA|1;SOCS5|1;TLR6|1;GLMN|1	6.691367563391164	8.2195454784023525	0	0
GO:0001817	regulation of cytokine production	595	52	B2M|1;BCL3|1;BRCA1|1;CD2|1;CD3E|1;CD4|1;CD28|1;CD80|1;CD86|1;CD40|1;CD40LG|1;CD74|1;CSK|1;EREG|1;FGR|1;HIF1A|1;HLA-E|1;HLA-G|1;IRF8|1;IFNG|1;IL1B|1;IL2|1;IL4|1;IL4R|1;IL12A|1;IL12B|1;INHBA|1;INHBB|1;IRF4|1;JAK2|1;LYN|1;NOS2|1;PF4|1;SRGN|1;PTPN6|1;PTPRC|1;STAT1|1;MAP3K7|1;TGFB1|1;TGFB2|1;TLR1|1;TLR2|1;TLR3|1;TNF|1;TRAF2|1;SOCS1|1;RIPK2|1;BCL10|1;IL27RA|1;SOCS5|1;TLR6|1;GLMN|1	6.059914307789562	8.580979426253261	0	0
GO:0001819	positive regulation of cytokine production	390	42	B2M|1;BCL3|1;BRCA1|1;CD2|1;CD3E|1;CD4|1;CD28|1;CD80|1;CD86|1;CD40|1;CD40LG|1;CD74|1;EREG|1;FGR|1;HIF1A|1;HLA-E|1;HLA-G|1;IRF8|1;IFNG|1;IL1B|1;IL2|1;IL4|1;IL4R|1;IL12A|1;IL12B|1;IRF4|1;JAK2|1;PF4|1;PTPRC|1;STAT1|1;MAP3K7|1;TGFB1|1;TLR1|1;TLR2|1;TLR3|1;TNF|1;TRAF2|1;RIPK2|1;BCL10|1;IL27RA|1;TLR6|1;GLMN|1	3.972044672332654	10.573899204244032	0	0
GO:0001932	regulation of protein phosphorylation	1303	55	ACVR2A|1;AKT1|1;FAS|1;CCND2|1;CCND3|1;CD3E|1;CD4|1;CD80|1;CD40|1;CD40LG|1;CD74|1;CDKN2A|1;CCR1|1;CSK|1;EGFR|1;EREG|1;FGR|1;HCLS1|1;ICAM1|1;IFNG|1;IL1B|1;IL2|1;IL4|1;IL12A|1;IL12B|1;INHBA|1;INHBB|1;ITGB2|1;JAK2|1;LCP2|1;LYN|1;MMP9|1;NCK1|1;NPM1|1;PTPN6|1;PTPRC|1;CCL2|1;CCL5|1;CCL7|1;MAP3K7|1;TGFB1|1;TGFB2|1;THY1|1;TLR3|1;TNF|1;TRAF2|1;UBE2N|1;WARS|1;SOCS1|1;EIF3A|1;RIPK2|1;SOCS5|1;ABI1|1;TLR6|1;MAP4K1|1	13.270703097562688	4.144467674067801	0	0
GO:0001934	positive regulation of protein phosphorylation	917	45	ACVR2A|1;AKT1|1;FAS|1;CCND2|1;CCND3|1;CD3E|1;CD4|1;CD80|1;CD40|1;CD40LG|1;CD74|1;CCR1|1;CSK|1;EGFR|1;EREG|1;HCLS1|1;ICAM1|1;IFNG|1;IL1B|1;IL2|1;IL4|1;IL12A|1;IL12B|1;INHBA|1;INHBB|1;JAK2|1;LCP2|1;LYN|1;MMP9|1;PTPRC|1;CCL2|1;CCL5|1;CCL7|1;MAP3K7|1;TGFB1|1;TGFB2|1;TLR3|1;TNF|1;TRAF2|1;UBE2N|1;SOCS1|1;RIPK2|1;ABI1|1;TLR6|1;MAP4K1|1	9.339397344946265	4.818298048358591	0	0
GO:0002237	response to molecule of bacterial origin	305	27	AKT1|1;FASLG|1;B2M|1;CD80|1;CD86|1;CD40|1;CCR5|1;ICAM1|1;IRF8|1;IL1B|1;IL12A|1;IL12B|1;JAK2|1;LYN|1;CXCL9|1;NOS2|1;PF4|1;CCL2|1;CCL5|1;TGFB1|1;TLR1|1;TLR2|1;TNF|1;RIPK2|1;BCL10|1;TLR6|1;CXCL13|1	3.1063426283627167	8.691893725268514	0	0
GO:0002250	adaptive immune response	354	51	B2M|1;BCL3|1;CD1D|1;CD3D|1;CD3E|1;CD3G|1;CD247|1;CD4|1;CD8A|1;CD8B|1;CD28|1;CD80|1;CD86|1;CD40|1;CD40LG|1;CD74|1;CD79A|1;CSK|1;HLA-E|1;HLA-G|1;ICAM1|1;IFNG|1;IL1B|1;IL2|1;IL4|1;IL4R|1;IL12A|1;IL12B|1;IRF4|1;ITK|1;JAK2|1;LYN|1;MBL2|1;PRKCB|1;PTPN6|1;PTPRC|1;MAP3K7|1;TAP1|1;TAP2|1;TGFB1|1;TNF|1;TRAF2|1;WAS|1;ZAP70|1;RIPK2|1;BCL10|1;IL27RA|1;SOCS5|1;CXCL13|1;SIT1|1;TRAT1|1	3.605394394886563	14.145470485096435	0	0
GO:0002252	immune effector process	1071	58	B2M|1;BCL3|1;CD1D|1;CD3G|1;CD247|1;CD8A|1;CD28|1;CD80|1;CD86|1;CD40|1;CD40LG|1;CD74|1;FGR|1;FLNA|1;GZMB|1;HLA-DMB|1;HLA-E|1;HLA-G|1;ICAM1|1;IFNAR2|1;IFNG|1;IL1B|1;IL2|1;IL2RA|1;IL4|1;IL4R|1;IL12A|1;IL12B|1;IRF4|1;ITGAL|1;ITGB2|1;KLRD1|1;KRT1|1;LYN|1;MBL2|1;CXCL9|1;MMP9|1;NCK1|1;PTPN6|1;PTPRC|1;ABCE1|1;RPS19|1;STAT1|1;MAP3K7|1;TGFB1|1;TGFB2|1;TLR2|1;TLR3|1;TNF|1;TRAF2|1;WAS|1;DEGS1|1;RIPK2|1;BCL10|1;NCR1|1;IL27RA|1;SOCS5|1;ABI1|1	10.907845754021212	5.317273576097106	0	0
GO:0002253	activation of immune response	492	37	CD3D|1;CD3E|1;CD3G|1;CD247|1;CD4|1;CD28|1;CD79A|1;CSK|1;FGR|1;HLA-DQA1|1;HLA-DRA|1;IKBKB|1;IRF4|1;ITGB2|1;ITK|1;KRT1|1;LCK|1;LCP2|1;LYN|1;MBL2|1;NCK1|1;PRKCB|1;PTPN6|1;PTPRC|1;MAP3K7|1;THY1|1;TLR1|1;TLR2|1;TLR3|1;UBE2N|1;WAS|1;ZAP70|1;RIPK2|1;BCL10|1;ABI1|1;TLR6|1;TRAT1|1	5.010887125096579	7.383922063358566	0	0
