"GO.ID"	"GO.Term"	"zscore"	"obs"	"mean"	"std"
"GO:0005737"	"cytoplasm"	"9.221"	"3893"	"3451.523"	"47.879"
"GO:0005789"	"endoplasmic reticulum membrane"	"9.18"	"729"	"532.203"	"21.437"
"GO:0005829"	"cytosol"	"8.733"	"5265"	"4834.188"	"49.333"
"GO:0000502"	"proteasome complex"	"8.618"	"227"	"133.797"	"10.815"
"GO:0032991"	"macromolecular complex"	"8.193"	"1046"	"819.836"	"27.606"
"GO:0005783"	"endoplasmic reticulum"	"7.506"	"733"	"567.241"	"22.083"
"GO:0032807"	"DNA ligase IV complex"	"7.463"	"12"	"1.849"	"1.36"
"GO:0005958"	"DNA-dependent protein kinase-DNA ligase 4 complex"	"7.427"	"20"	"4.44"	"2.095"
"GO:0070419"	"nonhomologous end joining complex"	"7.191"	"34"	"10.862"	"3.218"
"GO:0012507"	"ER to Golgi transport vesicle membrane"	"6.817"	"117"	"63.913"	"7.787"
"GO:0005839"	"proteasome core complex"	"6.642"	"73"	"35.112"	"5.705"
"GO:0016605"	"PML body"	"6.615"	"243"	"163.83"	"11.967"
"GO:0000790"	"nuclear chromatin"	"6.111"	"510"	"395.824"	"18.683"
"GO:0036513"	"Derlin-1 retrotranslocation complex"	"6.011"	"37"	"14.938"	"3.67"
"GO:0005925"	"focal adhesion"	"5.991"	"781"	"633.666"	"24.594"
"GO:0016533"	"cyclin-dependent protein kinase 5 holoenzyme complex"	"5.958"	"9"	"1.724"	"1.221"
"GO:0032993"	"protein-DNA complex"	"5.942"	"123"	"74.437"	"8.173"
"GO:0016342"	"catenin complex"	"5.644"	"35"	"14.368"	"3.656"
"GO:0005667"	"transcription factor complex"	"5.42"	"293"	"217.128"	"14"
"GO:0005654"	"nucleoplasm"	"5.275"	"3872"	"3611.467"	"49.386"
"GO:0070062"	"extracellular exosome"	"5.186"	"2572"	"2348.59"	"43.082"
"GO:0017146"	"NMDA selective glutamate receptor complex"	"5.113"	"19"	"6.323"	"2.479"
"GO:0097129"	"cyclin D2-CDK4 complex"	"5.071"	"11"	"2.74"	"1.629"
"GO:0005634"	"nucleus"	"5.023"	"5007"	"4747.363"	"51.685"
"GO:0031093"	"platelet alpha granule lumen"	"5.022"	"100"	"63.219"	"7.323"
"GO:0033116"	"endoplasmic reticulum-Golgi intermediate compartment membrane"	"4.901"	"91"	"55.207"	"7.303"
"GO:0019774"	"proteasome core complex, beta-subunit complex"	"4.879"	"33"	"14.603"	"3.771"
"GO:0043005"	"neuron projection"	"4.879"	"268"	"200.572"	"13.819"
"GO:0030176"	"integral component of endoplasmic reticulum membrane"	"4.84"	"69"	"39.078"	"6.182"
"GO:0005913"	"cell-cell adherens junction"	"4.819"	"111"	"71.064"	"8.287"
"GO:0030018"	"Z disc"	"4.785"	"138"	"92.569"	"9.494"
"GO:0000839"	"Hrd1p ubiquitin ligase ERAD-L complex"	"4.722"	"8"	"1.781"	"1.317"
"GO:0030915"	"Smc5-Smc6 complex"	"4.717"	"9"	"2.097"	"1.463"
"GO:0090575"	"RNA polymerase II transcription factor complex"	"4.712"	"118"	"78.302"	"8.426"
"GO:0009986"	"cell surface"	"4.632"	"407"	"329.144"	"16.807"
"GO:0030134"	"ER to Golgi transport vesicle"	"4.551"	"73"	"44.29"	"6.308"
"GO:0042612"	"MHC class I protein complex"	"4.527"	"20"	"7.439"	"2.775"
"GO:0019773"	"proteasome core complex, alpha-subunit complex"	"4.524"	"38"	"19.348"	"4.123"
"GO:0032937"	"SREBP-SCAP-Insig complex"	"4.521"	"10"	"2.715"	"1.611"
"GO:0034098"	"VCP-NPL4-UFD1 AAA ATPase complex"	"4.515"	"36"	"17.97"	"3.994"
"GO:0031209"	"SCAR complex"	"4.491"	"17"	"6.041"	"2.44"
"GO:0034706"	"sodium channel complex"	"4.344"	"5"	"0.656"	"0.801"
"GO:0035985"	"senescence-associated heterochromatin focus"	"4.329"	"18"	"7.09"	"2.52"
"GO:0022625"	"cytosolic large ribosomal subunit"	"4.253"	"193"	"143.603"	"11.615"
"GO:0005882"	"intermediate filament"	"4.247"	"68"	"40.466"	"6.483"
"GO:0022624"	"proteasome accessory complex"	"4.195"	"97"	"64.548"	"7.737"
"GO:0035861"	"site of double-strand break"	"4.187"	"86"	"55.04"	"7.395"
"GO:0005793"	"endoplasmic reticulum-Golgi intermediate compartment"	"4.06"	"97"	"65.279"	"7.813"
"GO:0000783"	"nuclear telomere cap complex"	"4.038"	"33"	"16.807"	"4.01"
"GO:0008540"	"proteasome regulatory particle, base subcomplex"	"4.01"	"63"	"39.44"	"5.875"
"GO:0030008"	"TRAPP complex"	"3.957"	"16"	"6.227"	"2.47"
"GO:0000781"	"chromosome, telomeric region"	"3.94"	"94"	"63.483"	"7.745"
"GO:0005912"	"adherens junction"	"3.94"	"53"	"31.521"	"5.452"
"GO:0016604"	"nuclear body"	"3.901"	"318"	"257.109"	"15.608"
"GO:0000784"	"nuclear chromosome, telomeric region"	"3.89"	"272"	"217.783"	"13.937"
"GO:0005664"	"nuclear origin of replication recognition complex"	"3.848"	"27"	"13.247"	"3.574"
"GO:0016021"	"integral component of membrane"	"3.846"	"742"	"649.481"	"24.058"
"GO:0045202"	"synapse"	"3.813"	"278"	"224.32"	"14.077"
"GO:0072562"	"blood microparticle"	"3.811"	"269"	"215.954"	"13.921"
"GO:0044322"	"endoplasmic reticulum quality control compartment"	"3.81"	"33"	"17.317"	"4.117"
"GO:0016020"	"membrane"	"3.76"	"2096"	"1953.559"	"37.882"
"GO:0000308"	"cytoplasmic cyclin-dependent protein kinase holoenzyme complex"	"3.708"	"4"	"0.292"	"0.534"
"GO:0000139"	"Golgi membrane"	"3.696"	"436"	"366.798"	"18.725"
