"ID"	"Pathway"	"Z-score"
"hsa05215"	"Prostate cancer"	"10.325"
"hsa05165"	"Human papillomavirus infection"	"8.563"
"hsa04151"	"PI3K-Akt signaling pathway"	"8.093"
"hsa04218"	"Cellular senescence"	"7.962"
"hsa05200"	"Pathways in cancer"	"7.667"
"hsa05418"	"Fluid shear stress and atherosclerosis"	"7.52"
"hsa03050"	"Proteasome"	"7.34"
"hsa04010"	"MAPK signaling pathway"	"7.325"
"hsa03450"	"Non-homologous end-joining"	"7.212"
"hsa04919"	"Thyroid hormone signaling pathway"	"7.163"
"hsa05161"	"Hepatitis B"	"7.155"
"hsa04625"	"C-type lectin receptor signaling pathway"	"7.117"
"hsa04915"	"Estrogen signaling pathway"	"6.984"
"hsa05167"	"Kaposi,s sarcoma-associated herpesvirus infection"	"6.945"
"hsa04510"	"Focal adhesion"	"6.887"
"hsa05212"	"Pancreatic cancer"	"6.731"
"hsa05206"	"MicroRNAs in cancer"	"6.72"
"hsa05166"	"HTLV-I infection"	"6.669"
"hsa04612"	"Antigen processing and presentation"	"6.651"
"hsa04068"	"FoxO signaling pathway"	"6.514"
"hsa04115"	"p53 signaling pathway"	"6.442"
"hsa04658"	"Th1 and Th2 cell differentiation"	"6.38"
"hsa04659"	"Th17 cell differentiation"	"6.014"
"hsa04380"	"Osteoclast differentiation"	"5.96"
"hsa04933"	"AGE-RAGE signaling pathway in diabetic complications"	"5.905"
"hsa05202"	"Transcriptional misregulation in cancer"	"5.896"
"hsa05219"	"Bladder cancer"	"5.822"
"hsa04141"	"Protein processing in endoplasmic reticulum"	"5.773"
"hsa05223"	"Non-small cell lung cancer"	"5.701"
"hsa05222"	"Small cell lung cancer"	"5.641"
"hsa05160"	"Hepatitis C"	"5.573"
"hsa05145"	"Toxoplasmosis"	"5.566"
"hsa05205"	"Proteoglycans in cancer"	"5.345"
"hsa04657"	"IL-17 signaling pathway"	"5.304"
"hsa05213"	"Endometrial cancer"	"5.234"
"hsa04660"	"T cell receptor signaling pathway"	"5.222"
"hsa05224"	"Breast cancer"	"5.182"
"hsa05412"	"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"5.116"
"hsa05140"	"Leishmaniasis"	"5.064"
"hsa04152"	"AMPK signaling pathway"	"5.015"
"hsa05221"	"Acute myeloid leukemia"	"4.961"
"hsa05218"	"Melanoma"	"4.895"
"hsa05214"	"Glioma"	"4.752"
"hsa04210"	"Apoptosis"	"4.735"
"hsa04150"	"mTOR signaling pathway"	"4.722"
"hsa04530"	"Tight junction"	"4.683"
"hsa04370"	"VEGF signaling pathway"	"4.655"
"hsa05216"	"Thyroid cancer"	"4.587"
"hsa05220"	"Chronic myeloid leukemia"	"4.559"
"hsa04620"	"Toll-like receptor signaling pathway"	"4.554"
"hsa05120"	"Epithelial cell signaling in Helicobacter pylori infection"	"4.549"
"hsa04261"	"Adrenergic signaling in cardiomyocytes"	"4.535"
"hsa04931"	"Insulin resistance"	"4.518"
"hsa04662"	"B cell receptor signaling pathway"	"4.506"
"hsa04921"	"Oxytocin signaling pathway"	"4.488"
"hsa05162"	"Measles"	"4.472"
"hsa05164"	"Influenza A"	"4.468"
"hsa05231"	"Choline metabolism in cancer"	"4.454"
"hsa04917"	"Prolactin signaling pathway"	"4.432"
"hsa04520"	"Adherens junction"	"4.414"
"hsa05152"	"Tuberculosis"	"4.323"
"hsa04514"	"Cell adhesion molecules (CAMs)"	"4.303"
"hsa05210"	"Colorectal cancer"	"4.299"
"hsa04110"	"Cell cycle"	"4.269"
"hsa05169"	"Epstein-Barr virus infection"	"4.254"
"hsa04728"	"Dopaminergic synapse"	"4.245"
"hsa04912"	"GnRH signaling pathway"	"4.245"
"hsa04920"	"Adipocytokine signaling pathway"	"4.167"
"hsa04211"	"Longevity regulating pathway"	"4.166"
"hsa04668"	"TNF signaling pathway"	"4.155"
"hsa05203"	"Viral carcinogenesis"	"4.144"
"hsa05410"	"Hypertrophic cardiomyopathy (HCM)"	"4.134"
"hsa04960"	"Aldosterone-regulated sodium reabsorption"	"4.125"
"hsa04071"	"Sphingolipid signaling pathway"	"4.081"
"hsa04722"	"Neurotrophin signaling pathway"	"4.069"
"hsa04550"	"Signaling pathways regulating pluripotency of stem cells"	"4.065"
"hsa04114"	"Oocyte meiosis"	"4.055"
"hsa04371"	"Apelin signaling pathway"	"4.047"
"hsa05332"	"Graft-versus-host disease"	"4.019"
"hsa04014"	"Ras signaling pathway"	"3.989"
"hsa04012"	"ErbB signaling pathway"	"3.972"
"hsa04015"	"Rap1 signaling pathway"	"3.947"
"hsa05142"	"Chagas disease (American trypanosomiasis)"	"3.901"
"hsa04350"	"TGF-beta signaling pathway"	"3.868"
"hsa04066"	"HIF-1 signaling pathway"	"3.828"
"hsa04720"	"Long-term potentiation"	"3.793"
"hsa05132"	"Salmonella infection"	"3.789"
"hsa05033"	"Nicotine addiction"	"3.767"
"hsa04512"	"ECM-receptor interaction"	"3.765"
"hsa04724"	"Glutamatergic synapse"	"3.642"
"hsa04630"	"Jak-STAT signaling pathway"	"3.595"
"hsa05340"	"Primary immunodeficiency"	"3.557"
"hsa04914"	"Progesterone-mediated oocyte maturation"	"3.509"
"hsa04622"	"RIG-I-like receptor signaling pathway"	"3.503"
"hsa05211"	"Renal cell carcinoma"	"3.491"
"hsa04390"	"Hippo signaling pathway"	"3.481"
"hsa05010"	"Alzheimer,s disease"	"3.461"
"hsa05134"	"Legionellosis"	"3.46"
"hsa04670"	"Leukocyte transendothelial migration"	"3.448"
"hsa04926"	"Relaxin signaling pathway"	"3.291"
"hsa05014"	"Amyotrophic lateral sclerosis (ALS)"	"3.271"
"hsa05133"	"Pertussis"	"3.259"
"hsa05226"	"Gastric cancer"	"3.255"
"hsa05414"	"Dilated cardiomyopathy (DCM)"	"3.199"
"hsa04213"	"Longevity regulating pathway - multiple species"	"3.194"
"hsa04022"	"cGMP-PKG signaling pathway"	"3.174"
"hsa04140"	"Autophagy - animal"	"3.153"
"hsa04930"	"Type II diabetes mellitus"	"3.131"
"hsa04621"	"NOD-like receptor signaling pathway"	"3.122"
"hsa04650"	"Natural killer cell mediated cytotoxicity"	"3.021"
"hsa04934"	"Cushing,s syndrome"	"2.976"
"hsa04810"	"Regulation of actin cytoskeleton"	"2.916"
"hsa04024"	"cAMP signaling pathway"	"2.912"
"hsa05225"	"Hepatocellular carcinoma"	"2.907"
"hsa04611"	"Platelet activation"	"2.872"
"hsa05230"	"Central carbon metabolism in cancer"	"2.865"
"hsa05031"	"Amphetamine addiction"	"2.863"
"hsa04932"	"Non-alcoholic fatty liver disease (NAFLD)"	"2.828"
"hsa03320"	"PPAR signaling pathway"	"2.82"
"hsa05330"	"Allograft rejection"	"2.818"
"hsa05320"	"Autoimmune thyroid disease"	"2.719"
"hsa04640"	"Hematopoietic cell lineage"	"2.715"
"hsa04664"	"Fc epsilon RI signaling pathway"	"2.646"
"hsa00511"	"Other glycan degradation"	"2.602"
"hsa05030"	"Cocaine addiction"	"2.588"
"hsa04910"	"Insulin signaling pathway"	"2.517"
"hsa01040"	"Biosynthesis of unsaturated fatty acids"	"2.49"
"hsa05034"	"Alcoholism"	"2.471"
"hsa04713"	"Circadian entrainment"	"2.38"
"hsa05323"	"Rheumatoid arthritis"	"2.374"
"hsa04392"	"Hippo signaling pathway - multiple species"	"2.333"
"hsa05131"	"Shigellosis"	"2.306"
"hsa04145"	"Phagosome"	"2.28"
"hsa04270"	"Vascular smooth muscle contraction"	"2.255"
"hsa00440"	"Phosphonate and phosphinate metabolism"	"2.08"
"hsa04666"	"Fc gamma R-mediated phagocytosis"	"2.077"
"hsa05020"	"Prion diseases"	"2.075"
"hsa04064"	"NF-kappa B signaling pathway"	"2.049"
"hsa05100"	"Bacterial invasion of epithelial cells"	"2.005"
"hsa03008"	"Ribosome biogenesis in eukaryotes"	"2.005"
"hsa04918"	"Thyroid hormone synthesis"	"1.996"
"hsa04750"	"Inflammatory mediator regulation of TRP channels"	"1.982"
"hsa04972"	"Pancreatic secretion"	"1.962"
"hsa04144"	"Endocytosis"	"1.958"
"hsa04360"	"Axon guidance"	"1.905"
"hsa00564"	"Glycerophospholipid metabolism"	"1.89"
"hsa00062"	"Fatty acid elongation"	"1.887"
"hsa05416"	"Viral myocarditis"	"1.875"
"hsa04723"	"Retrograde endocannabinoid signaling"	"1.854"
"hsa05321"	"Inflammatory bowel disease (IBD)"	"1.798"
"hsa00510"	"N-Glycan biosynthesis"	"1.775"
"hsa05144"	"Malaria"	"1.75"
"hsa03060"	"Protein export"	"1.748"
"hsa02010"	"ABC transporters"	"1.671"
"hsa04922"	"Glucagon signaling pathway"	"1.625"
"hsa04966"	"Collecting duct acid secretion"	"1.615"
"hsa04916"	"Melanogenesis"	"1.609"
"hsa04714"	"Thermogenesis"	"1.514"
"hsa04623"	"Cytosolic DNA-sensing pathway"	"1.497"
"hsa04925"	"Aldosterone synthesis and secretion"	"1.425"
"hsa04940"	"Type I diabetes mellitus"	"1.423"
"hsa05217"	"Basal cell carcinoma"	"1.365"
"hsa00270"	"Cysteine and methionine metabolism"	"1.357"
"hsa05110"	"Vibrio cholerae infection"	"1.312"
