"GO.ID"	"GO.Term"	"Z-score"
"GO:0005886"	"plasma membrane"	"23.62"
"GO:0005887"	"integral component of plasma membrane"	"22.874"
"GO:0005576"	"extracellular region"	"18.604"
"GO:0031012"	"extracellular matrix"	"18.279"
"GO:1990512"	"Cry-Per complex"	"18.221"
"GO:0062023"	NA	"18.122"
"GO:0005615"	"extracellular space"	"17.15"
"GO:0009897"	"external side of plasma membrane"	"15.929"
"GO:0009986"	"cell surface"	"13.659"
"GO:0034358"	"plasma lipoprotein particle"	"12.865"
"GO:0043235"	"receptor complex"	"12.454"
"GO:0016021"	"integral component of membrane"	"12.301"
"GO:0005788"	"endoplasmic reticulum lumen"	"12.169"
"GO:0008305"	"integrin complex"	"11.581"
"GO:0034683"	"integrin alphav-beta3 complex"	"10.758"
"GO:0071062"	"alphav-beta3 integrin-vitronectin complex"	"10.636"
"GO:0034684"	"integrin alphav-beta5 complex"	"9.922"
"GO:0034686"	"integrin alphav-beta8 complex"	"9.838"
"GO:0031093"	"platelet alpha granule lumen"	"9.801"
"GO:0034362"	"low-density lipoprotein particle"	"9.626"
"GO:0034361"	"very-low-density lipoprotein particle"	"9.582"
"GO:0005604"	"basement membrane"	"9.474"
"GO:0031091"	"platelet alpha granule"	"9.472"
"GO:0035867"	"alphav-beta3 integrin-IGF-1-IGF1R complex"	"9.385"
"GO:0005579"	"membrane attack complex"	"9.254"
"GO:0042627"	"chylomicron"	"8.912"
"GO:0005587"	"collagen type IV trimer"	"8.828"
"GO:0034685"	"integrin alphav-beta6 complex"	"8.214"
"GO:0001527"	"microfibril"	"8.03"
"GO:0031092"	"platelet alpha granule membrane"	"7.987"
"GO:0036156"	"inner dynein arm"	"7.838"
"GO:0035868"	"alphav-beta3 integrin-HMGB1 complex"	"7.771"
"GO:0099056"	"integral component of presynaptic membrane"	"7.721"
"GO:0031258"	"lamellipodium membrane"	"7.628"
"GO:0005623"	"cell"	"7.571"
"GO:0034364"	"high-density lipoprotein particle"	"7.511"
"GO:0005942"	"phosphatidylinositol 3-kinase complex"	"7.383"
"GO:0034679"	"integrin alpha9-beta1 complex"	"7.382"
"GO:0099055"	"integral component of postsynaptic membrane"	"7.279"
"GO:0008282"	"ATP-sensitive potassium channel complex"	"7.218"
"GO:0005622"	"intracellular"	"7.202"
"GO:0005796"	"Golgi lumen"	"7.144"
"GO:0045121"	"membrane raft"	"7.016"
"GO:0035866"	"alphav-beta3 integrin-PKCalpha complex"	"7.014"
"GO:0052718"	"tRNA-specific adenosine-34 deaminase complex"	"6.824"
"GO:0030425"	"dendrite"	"6.447"
"GO:0031226"	"intrinsic component of plasma membrane"	"6.36"
"GO:0034363"	"intermediate-density lipoprotein particle"	"6.334"
"GO:0030141"	"secretory granule"	"6.296"
"GO:0034678"	"integrin alpha8-beta1 complex"	"6.163"
"GO:0099699"	NA	"6.074"
"GO:0031234"	"extrinsic component of cytoplasmic side of plasma membrane"	"6.032"
"GO:0097453"	"mesaxon"	"6.024"
"GO:0005577"	"fibrinogen complex"	"5.915"
"GO:0032587"	"ruffle membrane"	"5.813"
"GO:0002116"	"semaphorin receptor complex"	"5.757"
"GO:0030027"	"lamellipodium"	"5.582"
"GO:0035692"	"macrophage migration inhibitory factor receptor complex"	"5.56"
"GO:0034365"	"discoidal high-density lipoprotein particle"	"5.518"
"GO:0034677"	"integrin alpha7-beta1 complex"	"5.424"
"GO:0043679"	"axon terminus"	"5.387"
"GO:0005943"	"phosphatidylinositol 3-kinase complex, class IA"	"5.359"
"GO:0034680"	"integrin alpha10-beta1 complex"	"5.333"
"GO:0031528"	"microvillus membrane"	"5.325"
"GO:0034681"	"integrin alpha11-beta1 complex"	"5.322"
"GO:0042995"	"cell projection"	"5.321"
"GO:0030124"	"AP-4 adaptor complex"	"5.296"
"GO:0034423"	"autophagosome lumen"	"5.172"
"GO:0098797"	"plasma membrane protein complex"	"5.155"
"GO:0001726"	"ruffle"	"5.079"
"GO:0030424"	"axon"	"4.965"
"GO:0031225"	"anchored component of membrane"	"4.907"
"GO:0005594"	"collagen type IX trimer"	"4.841"
"GO:0098978"	"glutamatergic synapse"	"4.841"
"GO:0099061"	"integral component of postsynaptic density membrane"	"4.795"
"GO:0036266"	"Cdc48p-Npl4p-Vms1p AAA ATPase complex"	"4.774"
"GO:0034667"	"integrin alpha3-beta1 complex"	"4.767"
"GO:0034666"	"integrin alpha2-beta1 complex"	"4.71"
"GO:0031527"	"filopodium membrane"	"4.7"
"GO:0020005"	"symbiont-containing vacuole membrane"	"4.659"
"GO:0005858"	"axonemal dynein complex"	"4.604"
"GO:0042571"	"immunoglobulin complex, circulating"	"4.602"
"GO:0034366"	"spherical high-density lipoprotein particle"	"4.56"
"GO:0032421"	"stereocilium bundle"	"4.552"
"GO:0031904"	"endosome lumen"	"4.508"
"GO:0097679"	"other organism cytoplasm"	"4.487"
"GO:0034665"	"integrin alpha1-beta1 complex"	"4.45"
"GO:0097443"	"sorting endosome"	"4.433"
"GO:0005938"	"cell cortex"	"4.421"
"GO:0016533"	"cyclin-dependent protein kinase 5 holoenzyme complex"	"4.419"
"GO:0072534"	"perineuronal net"	"4.389"
"GO:0005901"	"caveola"	"4.387"
"GO:0043025"	"neuronal cell body"	"4.344"
"GO:1990666"	"PCSK9-LDLR complex"	"4.29"
"GO:0098685"	NA	"4.26"
"GO:0043218"	"compact myelin"	"4.257"
"GO:1990777"	"lipoprotein particle"	"4.252"
"GO:0033093"	"Weibel-Palade body"	"4.176"
"GO:0043197"	"dendritic spine"	"4.134"
"GO:0016323"	"basolateral plasma membrane"	"4.12"
