"GO.ID"	"GO.Term"	"zscore"	"obs"	"mean"	"std"
"GO:0005886"	"plasma membrane"	"23.62"	"1613"	"970.779"	"27.19"
"GO:0005887"	"integral component of plasma membrane"	"22.874"	"597"	"250.978"	"15.127"
"GO:0005576"	"extracellular region"	"18.604"	"731"	"385.983"	"18.545"
"GO:0031012"	"extracellular matrix"	"18.279"	"135"	"34.391"	"5.504"
"GO:0062023"	NA	"18.122"	"128"	"32.374"	"5.277"
"GO:0005615"	"extracellular space"	"17.15"	"575"	"302.086"	"15.913"
"GO:0009897"	"external side of plasma membrane"	"15.929"	"180"	"62.055"	"7.405"
"GO:0009986"	"cell surface"	"13.659"	"300"	"145.2"	"11.333"
"GO:0043235"	"receptor complex"	"12.454"	"154"	"60.628"	"7.497"
"GO:0016021"	"integral component of membrane"	"12.301"	"556"	"338.906"	"17.648"
"GO:0005788"	"endoplasmic reticulum lumen"	"12.169"	"155"	"64.637"	"7.426"
"GO:0008305"	"integrin complex"	"11.581"	"33"	"6.088"	"2.324"
"GO:0071062"	"alphav-beta3 integrin-vitronectin complex"	"9.964"	"11"	"1.036"	"0.937"
"GO:0031093"	"platelet alpha granule lumen"	"9.801"	"75"	"25.479"	"5.053"
"GO:0034362"	"low-density lipoprotein particle"	"9.626"	"18"	"2.772"	"1.582"
"GO:0034361"	"very-low-density lipoprotein particle"	"9.582"	"19"	"3.148"	"1.654"
"GO:0005604"	"basement membrane"	"9.474"	"55"	"17.404"	"3.968"
"GO:0031091"	"platelet alpha granule"	"9.472"	"19"	"3.092"	"1.679"
"GO:0035867"	"alphav-beta3 integrin-IGF-1-IGF1R complex"	"9.385"	"11"	"1.232"	"1.041"
"GO:0005579"	"membrane attack complex"	"8.94"	"10"	"1.06"	"0.966"
"GO:0042627"	"chylomicron"	"8.912"	"17"	"2.858"	"1.587"
"GO:0034683"	"integrin alphav-beta3 complex"	"8.329"	"9"	"0.671"	"0.774"
"GO:0005587"	"collagen type IV trimer"	"8.105"	"9"	"0.895"	"0.918"
"GO:0031092"	"platelet alpha granule membrane"	"7.987"	"18"	"3.635"	"1.799"
"GO:0001527"	"microfibril"	"7.929"	"9"	"1.071"	"0.987"
"GO:0035868"	"alphav-beta3 integrin-HMGB1 complex"	"7.771"	"9"	"1.11"	"1.015"
"GO:0099056"	"integral component of presynaptic membrane"	"7.721"	"43"	"15.271"	"3.591"
"GO:0031258"	"lamellipodium membrane"	"7.628"	"23"	"5.705"	"2.267"
"GO:0005623"	"cell"	"7.571"	"23"	"5.793"	"2.273"
"GO:0034364"	"high-density lipoprotein particle"	"7.511"	"16"	"3.312"	"1.689"
"GO:0005942"	"phosphatidylinositol 3-kinase complex"	"7.383"	"27"	"7.592"	"2.629"
"GO:0034684"	"integrin alphav-beta5 complex"	"7.355"	"8"	"0.645"	"0.741"
"GO:0099055"	"integral component of postsynaptic membrane"	"7.279"	"34"	"11.012"	"3.158"
"GO:0005622"	"intracellular"	"7.202"	"200"	"125.22"	"10.384"
"GO:0005796"	"Golgi lumen"	"7.144"	"58"	"23.788"	"4.789"
"GO:0045121"	"membrane raft"	"7.016"	"164"	"99.005"	"9.264"
"GO:0035866"	"alphav-beta3 integrin-PKCalpha complex"	"7.014"	"10"	"1.661"	"1.189"
"GO:0030425"	"dendrite"	"6.447"	"219"	"148.947"	"10.866"
"GO:0031226"	"intrinsic component of plasma membrane"	"6.36"	"23"	"7.162"	"2.49"
"GO:0034363"	"intermediate-density lipoprotein particle"	"6.334"	"10"	"1.91"	"1.277"
"GO:0030141"	"secretory granule"	"6.296"	"47"	"19.484"	"4.37"
"GO:0099699"	NA	"6.074"	"9"	"1.642"	"1.211"
"GO:0031234"	"extrinsic component of cytoplasmic side of plasma membrane"	"6.032"	"49"	"22.343"	"4.419"
"GO:0005577"	"fibrinogen complex"	"5.915"	"15"	"3.975"	"1.864"
"GO:0032587"	"ruffle membrane"	"5.813"	"74"	"40.666"	"5.735"
"GO:0002116"	"semaphorin receptor complex"	"5.757"	"9"	"1.706"	"1.267"
"GO:0034686"	"integrin alphav-beta8 complex"	"5.65"	"6"	"0.35"	"0.574"
"GO:0030027"	"lamellipodium"	"5.582"	"112"	"68.421"	"7.807"
"GO:0043679"	"axon terminus"	"5.387"	"44"	"21.164"	"4.239"
"GO:0005943"	"phosphatidylinositol 3-kinase complex, class IA"	"5.359"	"10"	"2.329"	"1.431"
"GO:0031528"	"microvillus membrane"	"5.325"	"12"	"3.129"	"1.666"
"GO:0042995"	"cell projection"	"5.321"	"58"	"31.299"	"5.018"
"GO:0034678"	"integrin alpha8-beta1 complex"	"5.175"	"6"	"0.825"	"0.84"
"GO:0098797"	"plasma membrane protein complex"	"5.155"	"9"	"1.983"	"1.361"
"GO:0001726"	"ruffle"	"5.079"	"60"	"32.625"	"5.39"
"GO:0034365"	"discoidal high-density lipoprotein particle"	"5.078"	"6"	"0.922"	"0.92"
"GO:0030424"	"axon"	"4.965"	"145"	"97.25"	"9.617"
"GO:0031225"	"anchored component of membrane"	"4.907"	"20"	"7.048"	"2.639"
"GO:0098978"	"glutamatergic synapse"	"4.841"	"206"	"149.642"	"11.641"
"GO:0099061"	"integral component of postsynaptic density membrane"	"4.795"	"24"	"9.996"	"2.921"
"GO:0034666"	"integrin alpha2-beta1 complex"	"4.71"	"8"	"2.014"	"1.271"
"GO:0031527"	"filopodium membrane"	"4.7"	"15"	"4.938"	"2.141"
"GO:0034685"	"integrin alphav-beta6 complex"	"4.653"	"5"	"0.347"	"0.566"
"GO:0042571"	"immunoglobulin complex, circulating"	"4.602"	"16"	"5.389"	"2.306"
"GO:0034366"	"spherical high-density lipoprotein particle"	"4.56"	"7"	"1.553"	"1.194"
"GO:0031904"	"endosome lumen"	"4.508"	"22"	"9.151"	"2.85"
