"GO.ID"	"GO.Term"	"NetBAS"	"DAVID"
"GO:0000165"	"MAPK cascade"	"36.113"	"1.3011403274346495E-8"
"GO:0018108"	"peptidyl-tyrosine phosphorylation"	"32.159"	"0.04088182734976091"
"GO:0007155"	"cell adhesion"	"31.28"	"2.7899445385160427E-67"
"GO:0038096"	"Fc-gamma receptor signaling pathway involved in phagocytosis"	"30.918"	"1.4889000062657308E-6"
"GO:0007411"	"axon guidance"	"30.01"	"0.012247590502747768"
"GO:0050900"	"leukocyte migration"	"29.063"	"6.235655121377093E-13"
"GO:0046854"	"phosphatidylinositol phosphorylation"	"28.624"	"0.08648901235452411"
"GO:0048010"	"vascular endothelial growth factor receptor signaling pathway"	"28.46"	"6.750860255362912E-7"
"GO:0007165"	"signal transduction"	"27.712"	"2.000611901864151E-10"
"GO:0048013"	"ephrin receptor signaling pathway"	"27.068"	"4.173526948163797E-8"
