"GO.ID"	"GO.Term"	"zscore"	"obs"	"mean"	"std"
"GO:0005886"	"plasma membrane"	"40.408"	"8118"	"5549.187"	"63.572"
"GO:0005925"	"focal adhesion"	"32.64"	"2877"	"1599.483"	"39.14"
"GO:0030027"	"lamellipodium"	"30.663"	"996"	"404.644"	"19.286"
"GO:0005911"	"cell-cell junction"	"28.332"	"937"	"385.052"	"19.482"
"GO:0015629"	"actin cytoskeleton"	"27.451"	"1133"	"512.967"	"22.587"
"GO:0005856"	"cytoskeleton"	"25.658"	"1261"	"632.665"	"24.489"
"GO:0005913"	"cell-cell adherens junction"	"24.852"	"516"	"187.487"	"13.219"
"GO:0005884"	"actin filament"	"23.757"	"588"	"240.731"	"14.618"
"GO:0009986"	"cell surface"	"22.249"	"1444"	"838.572"	"27.211"
"GO:0001726"	"ruffle"	"21.932"	"481"	"193.12"	"13.126"
"GO:0001725"	"stress fiber"	"21.775"	"438"	"166.8"	"12.455"
"GO:0032587"	"ruffle membrane"	"21.596"	"562"	"251.75"	"14.366"
"GO:0016342"	"catenin complex"	"21.174"	"162"	"36.614"	"5.922"
"GO:0030054"	"cell junction"	"20.517"	"1069"	"589.371"	"23.377"
"GO:0045121"	"membrane raft"	"20.424"	"1071"	"608.693"	"22.636"
"GO:0098978"	"glutamatergic synapse"	"20.224"	"1527"	"927.353"	"29.651"
"GO:0008305"	"integrin complex"	"20.208"	"152"	"33.957"	"5.841"
"GO:0043235"	"receptor complex"	"20.092"	"715"	"354.459"	"17.945"
"GO:0070062"	"extracellular exosome"	"20.07"	"7342"	"5871.473"	"73.27"
"GO:0031234"	"extrinsic component of cytoplasmic side of plasma membrane"	"19.91"	"335"	"129.913"	"10.301"
"GO:0005938"	"cell cortex"	"19.157"	"612"	"296.587"	"16.465"
"GO:0009897"	"external side of plasma membrane"	"18.843"	"674"	"334.235"	"18.031"
"GO:0005903"	"brush border"	"18.301"	"271"	"97.852"	"9.461"
"GO:0030018"	"Z disc"	"17.901"	"514"	"248"	"14.859"
"GO:0014069"	"postsynaptic density"	"17.883"	"1000"	"593.197"	"22.748"
"GO:0043005"	"neuron projection"	"17.636"	"923"	"534.56"	"22.026"
"GO:0005737"	"cytoplasm"	"17.507"	"10236"	"8822.369"	"80.747"
"GO:0005923"	"bicellular tight junction"	"17.013"	"358"	"156.595"	"11.838"
"GO:0045211"	"postsynaptic membrane"	"16.49"	"477"	"240.748"	"14.327"
"GO:0005576"	"extracellular region"	"16.41"	"2936"	"2257.683"	"41.336"
"GO:0031012"	"extracellular matrix"	"15.913"	"388"	"170.565"	"13.664"
"GO:0002102"	"podosome"	"15.894"	"220"	"81.014"	"8.745"
"GO:0005916"	"fascia adherens"	"15.794"	"107"	"26.811"	"5.077"
"GO:0062023"	NA	"15.72"	"366"	"158.594"	"13.194"
"GO:0016323"	"basolateral plasma membrane"	"15.687"	"551"	"293.153"	"16.437"
"GO:0030056"	"hemidesmosome"	"15.483"	"81"	"17.039"	"4.131"
"GO:0030426"	"growth cone"	"15.282"	"444"	"223.492"	"14.43"
"GO:0016324"	"apical plasma membrane"	"14.777"	"741"	"437.592"	"20.533"
"GO:0048471"	"perinuclear region of cytoplasm"	"14.772"	"2149"	"1594.266"	"37.553"
"GO:0005615"	"extracellular space"	"14.743"	"2274"	"1709.508"	"38.29"
"GO:0016600"	"flotillin complex"	"14.608"	"106"	"31.168"	"5.123"
"GO:0005604"	"basement membrane"	"14.518"	"230"	"93.292"	"9.417"
"GO:0043197"	"dendritic spine"	"14.172"	"637"	"377.379"	"18.319"
"GO:0071944"	"cell periphery"	"14.098"	"236"	"104.552"	"9.324"
"GO:0030479"	"actin cortical patch"	"14.076"	"101"	"30.107"	"5.036"
"GO:0005942"	"phosphatidylinositol 3-kinase complex"	"13.75"	"129"	"43.686"	"6.205"
"GO:0030175"	"filopodium"	"13.544"	"330"	"166.685"	"12.058"
"GO:0042995"	"cell projection"	"13.43"	"357"	"185.295"	"12.785"
"GO:0042383"	"sarcolemma"	"13.41"	"299"	"141.22"	"11.766"
"GO:0005829"	"cytosol"	"13.325"	"13861"	"12448.111"	"106.032"
"GO:0031143"	"pseudopodium"	"13.321"	"191"	"77.475"	"8.522"
"GO:0017146"	"NMDA selective glutamate receptor complex"	"13.179"	"72"	"17.129"	"4.164"
"GO:0099092"	NA	"13.172"	"127"	"43.628"	"6.33"
"GO:0016328"	"lateral plasma membrane"	"13.162"	"319"	"154.413"	"12.505"
"GO:0014704"	"intercalated disc"	"13.117"	"216"	"93.383"	"9.348"
