"GO.ID"	"GO.Term"	"zscore"	"obs"	"mean"	"std"
"GO:0003779"	"actin binding"	"38.653"	"1252"	"451.306"	"20.715"
"GO:0005088"	"Ras guanyl-nucleotide exchange factor activity"	"37.39"	"876"	"282.118"	"15.884"
"GO:0051015"	"actin filament binding"	"34.475"	"1208"	"490.783"	"20.804"
"GO:0004713"	"protein tyrosine kinase activity"	"33.529"	"973"	"367.85"	"18.049"
"GO:0046934"	"phosphatidylinositol-4,5-bisphosphate 3-kinase activity"	"29.587"	"591"	"200.818"	"13.188"
"GO:0017124"	"SH3 domain binding"	"26.748"	"631"	"238.531"	"14.673"
"GO:0005178"	"integrin binding"	"25.16"	"606"	"232.588"	"14.841"
"GO:0005509"	"calcium ion binding"	"24.094"	"1164"	"580.38"	"24.223"
"GO:0001784"	"phosphotyrosine binding"	"23.668"	"476"	"176.495"	"12.654"
"GO:0045296"	"cadherin binding"	"23.601"	"1885"	"1115.387"	"32.609"
"GO:0004888"	"transmembrane signaling receptor activity"	"22.068"	"538"	"218.601"	"14.474"
"GO:0008092"	"cytoskeletal protein binding"	"20.971"	"305"	"100.192"	"9.766"
"GO:0004714"	"transmembrane receptor protein tyrosine kinase activity"	"20.452"	"343"	"122.776"	"10.768"
"GO:0016303"	"1-phosphatidylinositol-3-kinase activity"	"20.154"	"332"	"119.365"	"10.551"
"GO:0050839"	"cell adhesion molecule binding"	"20.128"	"251"	"78.433"	"8.573"
"GO:0048365"	"Rac GTPase binding"	"19.92"	"336"	"120.935"	"10.796"
"GO:0004715"	"non-membrane spanning protein tyrosine kinase activity"	"19.83"	"307"	"112.7"	"9.798"
"GO:0005070"	"SH3/SH2 adaptor activity"	"19.593"	"323"	"117.789"	"10.474"
"GO:0046875"	"ephrin receptor binding"	"19.551"	"318"	"117.486"	"10.256"
"GO:0003785"	"actin monomer binding"	"18.601"	"154"	"40.854"	"6.083"
"GO:0005516"	"calmodulin binding"	"18.498"	"742"	"392.946"	"18.87"
"GO:0005096"	"GTPase activator activity"	"18.011"	"669"	"339.584"	"18.29"
"GO:0008307"	"structural constituent of muscle"	"17.787"	"249"	"87.387"	"9.086"
"GO:0005201"	"extracellular matrix structural constituent"	"16.913"	"223"	"74.161"	"8.8"
"GO:0043548"	"phosphatidylinositol 3-kinase binding"	"16.521"	"213"	"78.172"	"8.161"
"GO:0005089"	"Rho guanyl-nucleotide exchange factor activity"	"16.214"	"216"	"74"	"8.758"
"GO:0038132"	"neuregulin binding"	"15.798"	"59"	"10.326"	"3.081"
"GO:0005158"	"insulin receptor binding"	"15.312"	"183"	"66.076"	"7.636"
"GO:0031994"	"insulin-like growth factor I binding"	"15.311"	"70"	"13.317"	"3.702"
"GO:0019903"	"protein phosphatase binding"	"15.009"	"545"	"297.785"	"16.471"
"GO:0043560"	"insulin receptor substrate binding"	"14.99"	"174"	"62.496"	"7.439"
"GO:0044325"	"ion channel binding"	"14.691"	"653"	"377.356"	"18.763"
"GO:0017166"	"vinculin binding"	"14.202"	"103"	"29.274"	"5.191"
"GO:0005547"	"phosphatidylinositol-3,4,5-trisphosphate binding"	"14.012"	"157"	"55.236"	"7.263"
"GO:0005518"	"collagen binding"	"13.92"	"215"	"87.627"	"9.15"
"GO:0005515"	"protein binding"	"13.783"	"19775"	"18635.127"	"82.703"
"GO:0005102"	"receptor binding"	"13.633"	"1017"	"686.615"	"24.234"
"GO:0005005"	"transmembrane-ephrin receptor activity"	"13.624"	"89"	"22.926"	"4.85"
"GO:0045294"	"alpha-catenin binding"	"13.608"	"100"	"29.834"	"5.156"
"GO:0005161"	"platelet-derived growth factor receptor binding"	"13.564"	"100"	"29.29"	"5.213"
"GO:0019901"	"protein kinase binding"	"13.254"	"1972"	"1464.479"	"38.292"
"GO:0005154"	"epidermal growth factor receptor binding"	"13.233"	"206"	"86.175"	"9.055"
"GO:0043236"	"laminin binding"	"13.046"	"106"	"33.282"	"5.574"
"GO:0048407"	"platelet-derived growth factor binding"	"13.043"	"59"	"13.883"	"3.459"
"GO:0004674"	"protein serine/threonine kinase activity"	"12.919"	"1343"	"956.381"	"29.926"
"GO:0008046"	"axon guidance receptor activity"	"12.854"	"52"	"10.963"	"3.192"
"GO:0098639"	"collagen binding involved in cell-matrix adhesion"	"12.764"	"41"	"6.878"	"2.673"
"GO:0005546"	"phosphatidylinositol-4,5-bisphosphate binding"	"12.575"	"172"	"70.685"	"8.057"
"GO:0004972"	"NMDA glutamate receptor activity"	"12.569"	"65"	"15.52"	"3.937"
"GO:0042802"	"identical protein binding"	"12.282"	"3482"	"2842.846"	"52.04"
"GO:0004708"	"MAP kinase kinase activity"	"12.213"	"174"	"74.379"	"8.157"
"GO:0042169"	"SH2 domain binding"	"12.183"	"231"	"108.574"	"10.049"
"GO:0005524"	"ATP binding"	"12.173"	"4791"	"4018.5"	"63.461"
"GO:0016167"	"glial cell-derived neurotrophic factor receptor activity"	"12.136"	"22"	"2.522"	"1.605"
"GO:0017048"	"Rho GTPase binding"	"12.114"	"157"	"62.388"	"7.81"
"GO:0097110"	"scaffold protein binding"	"12.024"	"393"	"227.054"	"13.801"
"GO:0008083"	"growth factor activity"	"11.939"	"272"	"131.785"	"11.745"
"GO:0022849"	"glutamate-gated calcium ion channel activity"	"11.639"	"56"	"13.36"	"3.664"
"GO:0001786"	"phosphatidylserine binding"	"11.617"	"110"	"38.672"	"6.14"
"GO:0001968"	"fibronectin binding"	"11.585"	"112"	"39.279"	"6.277"
"GO:0005104"	"fibroblast growth factor receptor binding"	"11.543"	"78"	"23.475"	"4.724"
"GO:0005068"	"transmembrane receptor protein tyrosine kinase adaptor activity"	"11.535"	"90"	"29.891"	"5.211"
"GO:0034987"	"immunoglobulin receptor binding"	"11.394"	"90"	"30.121"	"5.255"
"GO:0005085"	"guanyl-nucleotide exchange factor activity"	"11.356"	"304"	"161.669"	"12.533"
"GO:0031267"	"small GTPase binding"	"11.136"	"115"	"42.605"	"6.501"
"GO:0035091"	"phosphatidylinositol binding"	"11.085"	"180"	"81.538"	"8.882"
"GO:0019960"	"C-X3-C chemokine binding"	"10.995"	"65"	"18.289"	"4.248"
"GO:0030898"	"actin-dependent ATPase activity"	"10.91"	"121"	"48.161"	"6.676"
"GO:0016301"	"kinase activity"	"10.907"	"525"	"331.387"	"17.751"
"GO:0001618"	"virus receptor activity"	"10.779"	"343"	"202.021"	"13.079"
"GO:0042608"	"T cell receptor binding"	"10.716"	"73"	"23.429"	"4.626"
"GO:0004725"	"protein tyrosine phosphatase activity"	"10.688"	"179"	"82.398"	"9.039"
"GO:0045295"	"gamma-catenin binding"	"10.546"	"79"	"26.207"	"5.006"
"GO:0005003"	"ephrin receptor activity"	"10.447"	"43"	"9.969"	"3.162"
"GO:0003823"	"antigen binding"	"10.431"	"116"	"46.105"	"6.701"
"GO:0008022"	"protein C-terminus binding"	"10.428"	"992"	"714.847"	"26.578"
"GO:0043184"	"vascular endothelial growth factor receptor 2 binding"	"10.412"	"38"	"8.177"	"2.864"
"GO:0000146"	"microfilament motor activity"	"10.316"	"175"	"86.37"	"8.591"
"GO:0030676"	"Rac guanyl-nucleotide exchange factor activity"	"10.241"	"61"	"18.626"	"4.138"
