"GO.ID"	"GO.Term"	"Z-score"
"GO:0031259"	"uropod membrane"	"18.221"
"GO:0005886"	"plasma membrane"	"16.512"
"GO:0043160"	"acrosomal lumen"	"15.772"
"GO:0001536"	"radial spoke stalk"	"12.167"
"GO:0005887"	"integral component of plasma membrane"	"11.648"
"GO:1990512"	"Cry-Per complex"	"10.488"
"GO:0097197"	"tetraspanin-enriched microdomain"	"8.271"
"GO:0016021"	"integral component of membrane"	"7.962"
"GO:0036156"	"inner dynein arm"	"7.382"
"GO:0005576"	"extracellular region"	"6.673"
"GO:1990696"	"USH2 complex"	"6.665"
"GO:0042765"	"GPI-anchor transamidase complex"	"6.537"
"GO:0043202"	"lysosomal lumen"	"6.391"
"GO:0031225"	"anchored component of membrane"	"6.332"
"GO:0070931"	"Golgi-associated vesicle lumen"	"6.293"
"GO:0031234"	"extrinsic component of cytoplasmic side of plasma membrane"	"6.088"
"GO:0005901"	"caveola"	"5.987"
"GO:0043005"	"neuron projection"	"5.712"
"GO:0043235"	"receptor complex"	"5.691"
"GO:0009986"	"cell surface"	"5.59"
"GO:0052718"	"tRNA-specific adenosine-34 deaminase complex"	"5.588"
"GO:0099091"	NA	"5.412"
"GO:0098978"	"glutamatergic synapse"	"5.238"
"GO:0045121"	"membrane raft"	"5.033"
"GO:0005794"	"Golgi apparatus"	"5.001"
"GO:0009897"	"external side of plasma membrane"	"4.973"
"GO:0005615"	"extracellular space"	"4.964"
"GO:0062023"	NA	"4.831"
"GO:0030425"	"dendrite"	"4.809"
"GO:0031594"	"neuromuscular junction"	"4.765"
"GO:0034423"	"autophagosome lumen"	"4.715"
"GO:0098845"	"postsynaptic endosome"	"4.68"
"GO:0030124"	"AP-4 adaptor complex"	"4.668"
"GO:0005898"	"interleukin-13 receptor complex"	"4.659"
"GO:0031092"	"platelet alpha granule membrane"	"4.464"
"GO:0099061"	"integral component of postsynaptic density membrane"	"4.402"
"GO:0048476"	"Holliday junction resolvase complex"	"4.397"
"GO:0097229"	"sperm end piece"	"4.357"
"GO:0032998"	"Fc-epsilon receptor I complex"	"4.345"
"GO:0032421"	"stereocilium bundle"	"4.327"
"GO:0036266"	"Cdc48p-Npl4p-Vms1p AAA ATPase complex"	"4.312"
"GO:0005764"	"lysosome"	"4.291"
"GO:0031901"	"early endosome membrane"	"4.247"
"GO:0030424"	"axon"	"4.233"
"GO:0098636"	"protein complex involved in cell adhesion"	"4.162"
"GO:1990667"	"PCSK9-AnxA2 complex"	"4.153"
"GO:0005942"	"phosphatidylinositol 3-kinase complex"	"4.14"
"GO:0005575"	"cellular_component"	"4.107"
"GO:0019815"	"B cell receptor complex"	"4.103"
"GO:0030314"	"junctional membrane complex"	"4.08"
"GO:0034688"	"integrin alphaM-beta2 complex"	"4.056"
"GO:0035805"	"egg coat"	"4.028"
"GO:0098595"	"perivitelline space"	"4.028"
"GO:0016324"	"apical plasma membrane"	"3.995"
"GO:0035003"	"subapical complex"	"3.994"
"GO:0033063"	"Rad51B-Rad51C-Rad51D-XRCC2 complex"	"3.978"
"GO:0051286"	"cell tip"	"3.966"
"GO:0030061"	"mitochondrial crista"	"3.955"
"GO:0005768"	"endosome"	"3.953"
"GO:0005788"	"endoplasmic reticulum lumen"	"3.882"
"GO:0098685"	NA	"3.88"
"GO:0099056"	"integral component of presynaptic membrane"	"3.842"
"GO:0098684"	NA	"3.834"
"GO:0070765"	"gamma-secretase complex"	"3.773"
"GO:0005858"	"axonemal dynein complex"	"3.76"
"GO:0048237"	"rough endoplasmic reticulum lumen"	"3.755"
"GO:0030670"	"phagocytic vesicle membrane"	"3.741"
"GO:0042629"	"mast cell granule"	"3.73"
"GO:0033065"	"Rad51C-XRCC3 complex"	"3.71"
"GO:1990769"	"proximal neuron projection"	"3.696"
"GO:0016938"	"kinesin I complex"	"3.601"
"GO:0031143"	"pseudopodium"	"3.574"
"GO:0099617"	"matrix side of mitochondrial inner membrane"	"3.536"
"GO:0098844"	"postsynaptic endocytic zone membrane"	"3.534"
"GO:0097038"	"perinuclear endoplasmic reticulum"	"3.493"
"GO:0090534"	"calcium ion-transporting ATPase complex"	"3.485"
"GO:0099699"	NA	"3.438"
"GO:0070195"	"growth hormone receptor complex"	"3.392"
"GO:0055038"	"recycling endosome membrane"	"3.379"
"GO:0016935"	"glycine-gated chloride channel complex"	"3.344"
"GO:0031499"	"TRAMP complex"	"3.331"
"GO:0036019"	"endolysosome"	"3.325"
"GO:0036398"	"TCR signalosome"	"3.304"
"GO:0005787"	"signal peptidase complex"	"3.289"
"GO:0033150"	"cytoskeletal calyx"	"3.259"
"GO:0120003"	NA	"3.259"
"GO:0005622"	"intracellular"	"3.236"
"GO:0030027"	"lamellipodium"	"3.233"
"GO:0070110"	"ciliary neurotrophic factor receptor complex"	"3.225"
"GO:0044853"	"plasma membrane raft"	"3.218"
"GO:0001931"	"uropod"	"3.178"
"GO:0032587"	"ruffle membrane"	"3.17"
"GO:0043197"	"dendritic spine"	"3.13"
"GO:0014701"	"junctional sarcoplasmic reticulum membrane"	"3.127"
"GO:0098982"	"GABA-ergic synapse"	"3.085"
"GO:0099512"	"supramolecular fiber"	"3.077"
"GO:0101003"	"ficolin-1-rich granule membrane"	"3.076"
"GO:0034777"	"recycling endosome lumen"	"3.068"
"GO:0005943"	"phosphatidylinositol 3-kinase complex, class IA"	"3.058"
"GO:0030141"	"secretory granule"	"3.041"
