"GO.ID"	"GO.Term"	"Z-score"
"GO:0016495"	"C-X3-C chemokine receptor activity"	"31.591"
"GO:0005005"	"transmembrane-ephrin receptor activity"	"23.88"
"GO:0016412"	"serine O-acyltransferase activity"	"15.772"
"GO:0005003"	"ephrin receptor activity"	"14.81"
"GO:0033798"	"thyroxine 5-deiodinase activity"	"12.865"
"GO:0046875"	"ephrin receptor binding"	"12.832"
"GO:0004713"	"protein tyrosine kinase activity"	"12.059"
"GO:0050262"	"ribosylnicotinamide kinase activity"	"11.728"
"GO:0061769"	"ribosylnicotinate kinase activity"	"11.728"
"GO:0005139"	"interleukin-7 receptor binding"	"11.446"
"GO:0015149"	"hexose transmembrane transporter activity"	"10.488"
"GO:0008747"	"N-acetylneuraminate lyase activity"	"9.945"
"GO:0001735"	"prenylcysteine oxidase activity"	"9.642"
"GO:0004493"	"methylmalonyl-CoA epimerase activity"	"9.477"
"GO:0106105"	NA	"9.477"
"GO:0004714"	"transmembrane receptor protein tyrosine kinase activity"	"9.467"
"GO:0003943"	"N-acetylgalactosamine-4-sulfatase activity"	"9.272"
"GO:0004715"	"non-membrane spanning protein tyrosine kinase activity"	"9.269"
"GO:0004364"	"glutathione transferase activity"	"9.05"
"GO:0004560"	"alpha-L-fucosidase activity"	"8.943"
"GO:0004065"	"arylsulfatase activity"	"8.912"
"GO:0008442"	"3-hydroxyisobutyrate dehydrogenase activity"	"8.434"
"GO:0005275"	"amine transmembrane transporter activity"	"8.099"
"GO:0061627"	"S-methylmethionine-homocysteine S-methyltransferase activity"	"7.839"
"GO:0008798"	"beta-aspartyl-peptidase activity"	"7.666"
"GO:0016620"	"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	"7.6"
"GO:0019115"	"benzaldehyde dehydrogenase activity"	"7.6"
"GO:0008116"	"prostaglandin-I synthase activity"	"7.382"
"GO:0015538"	"sialic acid:proton symporter activity"	"7.382"
"GO:0047312"	"L-phenylalanine:pyruvate aminotransferase activity"	"7.382"
"GO:0047316"	"glutamine-phenylpyruvate transaminase activity"	"7.382"
"GO:0047945"	"L-glutamine:pyruvate aminotransferase activity"	"7.382"
"GO:0004888"	"transmembrane signaling receptor activity"	"7.344"
"GO:0042008"	"interleukin-18 receptor activity"	"7.182"
"GO:0061768"	"magnesium:sodium antiporter activity"	"6.996"
"GO:0097161"	"DH domain binding"	"6.874"
"GO:0016250"	"N-sulfoglucosamine sulfohydrolase activity"	"6.824"
"GO:0032190"	"acrosin binding"	"6.668"
"GO:0005144"	"interleukin-13 receptor binding"	"6.664"
"GO:0001784"	"phosphotyrosine binding"	"6.583"
"GO:0004098"	"cerebroside-sulfatase activity"	"6.544"
"GO:0003923"	"GPI-anchor transamidase activity"	"6.537"
"GO:0008119"	"thiopurine S-methyltransferase activity"	"6.514"
"GO:0008046"	"axon guidance receptor activity"	"6.469"
"GO:0004104"	"cholinesterase activity"	"6.446"
"GO:0004083"	"bisphosphoglycerate 2-phosphatase activity"	"6.374"
"GO:0008555"	"chloride-transporting ATPase activity"	"6.374"
"GO:0005131"	"growth hormone receptor binding"	"6.296"
"GO:0008484"	"sulfuric ester hydrolase activity"	"6.18"
"GO:0004479"	"methionyl-tRNA formyltransferase activity"	"6.118"
"GO:0005126"	"cytokine receptor binding"	"6.057"
"GO:0005004"	"GPI-linked ephrin receptor activity"	"5.95"
"GO:0005169"	"neurotrophin TRKB receptor binding"	"5.94"
"GO:0005170"	"neurotrophin TRKC receptor binding"	"5.94"
"GO:0004865"	"protein serine/threonine phosphatase inhibitor activity"	"5.938"
"GO:0005136"	"interleukin-4 receptor binding"	"5.935"
"GO:0003998"	"acylphosphatase activity"	"5.889"
"GO:0072320"	"volume-sensitive chloride channel activity"	"5.826"
"GO:0008321"	"Ral guanyl-nucleotide exchange factor activity"	"5.759"
"GO:0005102"	"receptor binding"	"5.746"
"GO:0034235"	"GPI anchor binding"	"5.721"
"GO:0005307"	"choline:sodium symporter activity"	"5.683"
"GO:0042169"	"SH2 domain binding"	"5.674"
"GO:0004930"	"G-protein coupled receptor activity"	"5.598"
"GO:0030249"	"guanylate cyclase regulator activity"	"5.588"
"GO:0052717"	"tRNA-specific adenosine-34 deaminase activity"	"5.588"
"GO:0008670"	"2,4-dienoyl-CoA reductase (NADPH) activity"	"5.509"
"GO:0001540"	"beta-amyloid binding"	"5.47"
"GO:0034485"	"phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity"	"5.464"
"GO:0016290"	"palmitoyl-CoA hydrolase activity"	"5.434"
"GO:0004085"	"butyryl-CoA dehydrogenase activity"	"5.411"
"GO:0004492"	"methylmalonyl-CoA decarboxylase activity"	"5.411"
"GO:0017064"	"fatty acid amide hydrolase activity"	"5.411"
"GO:0072509"	"divalent inorganic cation transmembrane transporter activity"	"5.411"
"GO:0102077"	NA	"5.411"
"GO:0103073"	"anandamide amidohydrolase activity"	"5.411"
"GO:0005068"	"transmembrane receptor protein tyrosine kinase adaptor activity"	"5.34"
"GO:0031718"	"type 1 cannabinoid receptor binding"	"5.328"
"GO:0005125"	"cytokine activity"	"5.299"
"GO:0052735"	"tRNA (cytosine-3-)-methyltransferase activity"	"5.298"
