"GO.ID"	"GO.Term"	"zscore"
"GO:0046658"	"anchored component of plasma membrane"	"22.18"
"GO:0120003"	NA	"21.296"
"GO:0099029"	"anchored component of presynaptic active zone membrane"	"20.624"
"GO:0031436"	"BRCA1-BARD1 complex"	"15.779"
"GO:0035253"	"ciliary rootlet"	"14.625"
"GO:0031526"	"brush border membrane"	"14.44"
"GO:0031362"	"anchored component of external side of plasma membrane"	"14.159"
"GO:1990761"	"growth cone lamellipodium"	"12.764"
"GO:1990667"	"PCSK9-AnxA2 complex"	"12.66"
"GO:1990666"	"PCSK9-LDLR complex"	"12.268"
"GO:0034666"	"integrin alpha2-beta1 complex"	"11.661"
"GO:0099091"	NA	"11.503"
"GO:0016324"	"apical plasma membrane"	"11.181"
"GO:0000220"	"vacuolar proton-transporting V-type ATPase, V0 domain"	"10.493"
"GO:0035686"	"sperm fibrous sheath"	"9.661"
"GO:0009986"	"cell surface"	"9.64"
"GO:1990812"	"growth cone filopodium"	"9.615"
"GO:0097449"	"astrocyte projection"	"9.57"
"GO:0030061"	"mitochondrial crista"	"9.396"
"GO:0005886"	"plasma membrane"	"8.901"
"GO:0071438"	"invadopodium membrane"	"8.713"
"GO:0009897"	"external side of plasma membrane"	"8.248"
"GO:0032593"	"insulin-responsive compartment"	"8.076"
"GO:0070531"	"BRCA1-A complex"	"8.049"
"GO:0045121"	"membrane raft"	"7.733"
"GO:0000138"	"Golgi trans cisterna"	"7.72"
"GO:0044304"	"main axon"	"7.428"
"GO:0016600"	"flotillin complex"	"7.324"
"GO:0097197"	"tetraspanin-enriched microdomain"	"7.264"
"GO:0005641"	"nuclear envelope lumen"	"7.147"
"GO:0031232"	"extrinsic component of external side of plasma membrane"	"7.072"
"GO:0008274"	"gamma-tubulin ring complex"	"7.054"
"GO:0030134"	"ER to Golgi transport vesicle"	"6.326"
"GO:0070062"	"extracellular exosome"	"6.15"
"GO:0001931"	"uropod"	"6.061"
"GO:0030864"	"cortical actin cytoskeleton"	"6.019"
"GO:0005768"	"endosome"	"5.989"
"GO:0005913"	"cell-cell adherens junction"	"5.887"
"GO:0000800"	"lateral element"	"5.859"
"GO:0016471"	"vacuolar proton-transporting V-type ATPase complex"	"5.667"
"GO:0005788"	"endoplasmic reticulum lumen"	"5.43"
"GO:0005905"	"clathrin-coated pit"	"5.406"
"GO:0036020"	"endolysosome membrane"	"5.314"
"GO:0005912"	"adherens junction"	"5.154"
"GO:0030673"	"axolemma"	"5.13"
"GO:0030140"	"trans-Golgi network transport vesicle"	"5.038"
"GO:0097038"	"perinuclear endoplasmic reticulum"	"4.905"
"GO:0031904"	"endosome lumen"	"4.886"
"GO:0098982"	"GABA-ergic synapse"	"4.872"
"GO:0005791"	"rough endoplasmic reticulum"	"4.867"
"GO:0098978"	"glutamatergic synapse"	"4.821"
"GO:0043296"	"apical junction complex"	"4.818"
"GO:0005798"	"Golgi-associated vesicle"	"4.628"
"GO:0045177"	"apical part of cell"	"4.624"
"GO:0048471"	"perinuclear region of cytoplasm"	"4.607"
"GO:0005615"	"extracellular space"	"4.563"
"GO:0005901"	"caveola"	"4.563"
"GO:0044291"	"cell-cell contact zone"	"4.544"
"GO:0098685"	NA	"4.344"
"GO:0005925"	"focal adhesion"	"4.341"
"GO:0002080"	"acrosomal membrane"	"4.336"
"GO:0005887"	"integral component of plasma membrane"	"4.31"
"GO:0042629"	"mast cell granule"	"4.227"
"GO:0051233"	"spindle midzone"	"4.052"
"GO:0044853"	"plasma membrane raft"	"4.049"
"GO:0032809"	"neuronal cell body membrane"	"4.045"
"GO:0042995"	"cell projection"	"3.925"
"GO:0035579"	"specific granule membrane"	"3.913"
"GO:0016323"	"basolateral plasma membrane"	"3.894"
