Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0007166tcell surface receptor signaling pathway	22	50.0	2.7802066671227035E-7	ENSG00000101955, ENSG00000169129, ENSG00000157017, ENSG00000172005, ENSG00000100385, ENSG00000196562, ENSG00000185924, ENSG00000106211, ENSG00000154096, ENSG00000006210, ENSG00000012048, ENSG00000254087, ENSG00000117281, ENSG00000105929, ENSG00000107485, ENSG00000142192, ENSG00000011422, ENSG00000006831, ENSG00000196411, ENSG00000147168, ENSG00000137845, ENSG00000184349	43	2669	16792	3.2189043888922777	6.409102757690688E-4	6.409102757690688E-4	4.859500877141265E-4
GOTERM_BP_ALL	GO:0007169ttransmembrane receptor protein tyrosine kinase signaling pathway	12	27.27272727272727	3.7305756836116415E-7	ENSG00000254087, ENSG00000105929, ENSG00000169129, ENSG00000157017, ENSG00000142192, ENSG00000107485, ENSG00000011422, ENSG00000196562, ENSG00000106211, ENSG00000196411, ENSG00000184349, ENSG00000137845	43	648	16792	7.231696813092162	8.599009862430007E-4	4.3004296159587785E-4	6.520638133444834E-4
GOTERM_BP_ALL	GO:0070887tcellular response to chemical stimulus	21	47.72727272727273	1.2689287387856441E-6	ENSG00000181856, ENSG00000157017, ENSG00000100385, ENSG00000196562, ENSG00000134202, ENSG00000180447, ENSG00000185924, ENSG00000106211, ENSG00000006210, ENSG00000012048, ENSG00000254087, ENSG00000169174, ENSG00000105929, ENSG00000107485, ENSG00000142192, ENSG00000198646, ENSG00000118507, ENSG00000006831, ENSG00000147168, ENSG00000137845, ENSG00000184349	43	2648	16792	3.0969577741867487	0.0029218745194592444	9.749083105009548E-4	0.0022179322301973947
GOTERM_BP_ALL	GO:0071310tcellular response to organic substance	19	43.18181818181818	1.6933952912173494E-6	ENSG00000181856, ENSG00000157017, ENSG00000100385, ENSG00000196562, ENSG00000180447, ENSG00000185924, ENSG00000106211, ENSG00000006210, ENSG00000012048, ENSG00000254087, ENSG00000169174, ENSG00000105929, ENSG00000107485, ENSG00000142192, ENSG00000198646, ENSG00000118507, ENSG00000006831, ENSG00000147168, ENSG00000184349	43	2186	16792	3.394199876593119	0.0038973583560849567	9.757668415936172E-4	0.00295983749488693
GOTERM_BP_ALL	GO:0009611tresponse to wounding	11	25.0	3.3304297569732157E-6	ENSG00000086062, ENSG00000006210, ENSG00000254087, ENSG00000057019, ENSG00000159307, ENSG00000107485, ENSG00000011422, ENSG00000196562, ENSG00000185924, ENSG00000006831, ENSG00000106211	43	649	16792	6.618841150965708	0.00765056808503084	0.0015348177224014936	0.005821084988300029
GOTERM_BP_ALL	GO:0042592thomeostatic process	16	36.36363636363637	5.259260226002289E-6	ENSG00000157017, ENSG00000181856, ENSG00000058453, ENSG00000198569, ENSG00000170927, ENSG00000197891, ENSG00000106211, ENSG00000154096, ENSG00000254087, ENSG00000105929, ENSG00000169174, ENSG00000140519, ENSG00000142192, ENSG00000107485, ENSG00000006831, ENSG00000184349	43	1645	16792	3.7982893899766736	0.012054639570946768	0.002019272848749365	0.009192241376887456
GOTERM_BP_ALL	GO:0050896tresponse to stimulus	36	81.81818181818183	5.868611030809345E-6	ENSG00000057019, ENSG00000157017, ENSG00000100385, ENSG00000196562, ENSG00000197891, ENSG00000154096, ENSG00000006210, ENSG00000081923, ENSG00000117281, ENSG00000105929, ENSG00000169174, ENSG00000146950, ENSG00000107485, ENSG00000142192, ENSG00000159307, ENSG00000118507, ENSG00000132589, ENSG00000137845, ENSG00000101955, ENSG00000169129, ENSG00000181856, ENSG00000172005, ENSG00000134202, ENSG00000180447, ENSG00000185924, ENSG00000170927, ENSG00000106211, ENSG00000012048, ENSG00000086062, ENSG00000254087, ENSG00000011422, ENSG00000198646, ENSG00000006831, ENSG00000147168, ENSG00000196411, ENSG00000184349	43	8329	16792	1.6878879342839674	0.013441896623115013	0.0019314262122672732	0.010257225537635417
GOTERM_BP_ALL	GO:0010033tresponse to organic substance	20	45.45454545454545	1.5662215009633287E-5	ENSG00000181856, ENSG00000157017, ENSG00000100385, ENSG00000196562, ENSG00000180447, ENSG00000185924, ENSG00000106211, ENSG00000006210, ENSG00000012048, ENSG00000254087, ENSG00000169174, ENSG00000105929, ENSG00000107485, ENSG00000142192, ENSG00000198646, ENSG00000118507, ENSG00000006831, ENSG00000147168, ENSG00000137845, ENSG00000184349	43	2822	16792	2.7676231602195376	0.035472901042132854	0.004504493033347989	0.027372389846347378
GOTERM_BP_ALL	GO:0007167tenzyme linked receptor protein signaling pathway	12	27.27272727272727	1.579678017278235E-5	ENSG00000254087, ENSG00000105929, ENSG00000169129, ENSG00000157017, ENSG00000142192, ENSG00000107485, ENSG00000011422, ENSG00000196562, ENSG00000106211, ENSG00000196411, ENSG00000184349, ENSG00000137845	43	954	16792	4.9120959485154305	0.035772159083402255	0.004039337927630782	0.027607534792584154
GOTERM_BP_ALL	GO:0051716tcellular response to stimulus	32	72.72727272727273	1.882275805959426E-5	ENSG00000057019, ENSG00000157017, ENSG00000100385, ENSG00000196562, ENSG00000154096, ENSG00000006210, ENSG00000117281, ENSG00000105929, ENSG00000169174, ENSG00000146950, ENSG00000107485, ENSG00000142192, ENSG00000118507, ENSG00000132589, ENSG00000137845, ENSG00000101955, ENSG00000169129, ENSG00000181856, ENSG00000172005, ENSG00000134202, ENSG00000180447, ENSG00000185924, ENSG00000170927, ENSG00000106211, ENSG00000012048, ENSG00000254087, ENSG00000011422, ENSG00000198646, ENSG00000006831, ENSG00000147168, ENSG00000196411, ENSG00000184349	43	6927	16792	1.8040092526379754	0.04247714484076348	0.004331162205407302	0.03289512082860213
