Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04210:Apoptosis	17	10.69182389937107	2.461594010621662E-15	ENSG00000160049, ENSG00000101966, ENSG00000232810, ENSG00000132906, ENSG00000164305, ENSG00000026103, ENSG00000165806, ENSG00000121858, ENSG00000087088, ENSG00000171552, ENSG00000173039, ENSG00000023445, ENSG00000003402, ENSG00000064012, ENSG00000117560, ENSG00000138794, ENSG00000015475	118	62	6879	15.984554401312192	4.567457523307894E-13	4.567457523307894E-13	3.0309088572266774E-12
KEGG_PATHWAY	hsa05200:Pathways in cancer	31	19.49685534591195	1.245324123477216E-12	ENSG00000131759, ENSG00000138795, ENSG00000101966, ENSG00000113721, ENSG00000026103, ENSG00000168036, ENSG00000092969, ENSG00000171552, ENSG00000173039, ENSG00000087245, ENSG00000023445, ENSG00000177606, ENSG00000181104, ENSG00000064012, ENSG00000110092, ENSG00000067900, ENSG00000136244, ENSG00000137841, ENSG00000124762, ENSG00000141736, ENSG00000123374, ENSG00000125845, ENSG00000132906, ENSG00000164305, ENSG00000005339, ENSG00000087088, ENSG00000019991, ENSG00000169398, ENSG00000117560, ENSG00000111276, ENSG00000015475	118	393	6879	4.598460344158365	2.328780501770211E-10	1.164390805996618E-10	1.543709604590049E-9
KEGG_PATHWAY	hsa05161:Hepatitis B	19	11.949685534591195	2.6272036805300596E-11	ENSG00000232810, ENSG00000132906, ENSG00000164305, ENSG00000026103, ENSG00000005339, ENSG00000087088, ENSG00000092969, ENSG00000173039, ENSG00000171855, ENSG00000177606, ENSG00000179388, ENSG00000064012, ENSG00000110092, ENSG00000117560, ENSG00000136244, ENSG00000124762, ENSG00000133101, ENSG00000111276, ENSG00000123374	118	145	6879	7.638866160140268	4.912861117922773E-9	1.6376203726409244E-9	3.2566560559388336E-8
KEGG_PATHWAY	hsa05205:Proteoglycans in cancer	20	12.578616352201259	7.750458951787597E-10	ENSG00000105974, ENSG00000100234, ENSG00000065361, ENSG00000232810, ENSG00000164305, ENSG00000026103, ENSG00000149269, ENSG00000092969, ENSG00000168036, ENSG00000019991, ENSG00000139329, ENSG00000087245, ENSG00000026508, ENSG00000169398, ENSG00000110092, ENSG00000067900, ENSG00000117560, ENSG00000124762, ENSG00000011465, ENSG00000141736	118	200	6879	5.829661016949152	1.4493357591849332E-7	3.62333959502692E-8	9.607413975487589E-7
KEGG_PATHWAY	hsa04115:p53 signaling pathway	13	8.176100628930817	9.049522194863404E-10	ENSG00000116717, ENSG00000118971, ENSG00000132906, ENSG00000164305, ENSG00000026103, ENSG00000087088, ENSG00000099860, ENSG00000110092, ENSG00000064012, ENSG00000124762, ENSG00000141682, ENSG00000015475, ENSG00000123374	118	67	6879	11.311282570199847	1.692260517272004E-7	3.384521263249951E-8	1.1217723305811944E-6
KEGG_PATHWAY	hsa05152:Tuberculosis	18	11.320754716981133	5.6139081082791055E-9	ENSG00000115008, ENSG00000150782, ENSG00000232810, ENSG00000132906, ENSG00000164305, ENSG00000221823, ENSG00000005339, ENSG00000170458, ENSG00000087088, ENSG00000092969, ENSG00000027697, ENSG00000173039, ENSG00000171855, ENSG00000064012, ENSG00000136244, ENSG00000125538, ENSG00000142867, ENSG00000015475	118	177	6879	5.928468830795749	1.0498002696035513E-6	1.7496678816897315E-7	6.958960330205599E-6
KEGG_PATHWAY	hsa05142:Chagas disease (American trypanosomiasis)	14	8.80503144654088	1.695646491224948E-8	ENSG00000232810, ENSG00000026103, ENSG00000092969, ENSG00000027697, ENSG00000173039, ENSG00000171855, ENSG00000003402, ENSG00000177606, ENSG00000064012, ENSG00000060558, ENSG00000117560, ENSG00000136244, ENSG00000137841, ENSG00000125538	118	104	6879	7.847620599739244	3.170853935752227E-6	4.5297974926583606E-7	2.1019111207110086E-5
KEGG_PATHWAY	hsa05134:Legionellosis	11	6.918238993710692	1.754122960830256E-8	ENSG00000150782, ENSG00000137752, ENSG00000232810, ENSG00000132906, ENSG00000164305, ENSG00000064012, ENSG00000165806, ENSG00000136244, ENSG00000125538, ENSG00000170458, ENSG00000173039	118	54	6879	11.875235404896422	3.280204580291546E-6	4.100261609130129E-7	2.174398119336729E-5
KEGG_PATHWAY	hsa05164:Influenza A	17	10.69182389937107	3.072550510219361E-8	ENSG00000115008, ENSG00000135828, ENSG00000150782, ENSG00000137752, ENSG00000232810, ENSG00000132906, ENSG00000026103, ENSG00000005339, ENSG00000121858, ENSG00000102580, ENSG00000027697, ENSG00000173039, ENSG00000171855, ENSG00000177606, ENSG00000117560, ENSG00000136244, ENSG00000125538	118	174	6879	5.6956458211572185	5.745653043121024E-6	6.384075239562748E-7	3.808711087627259E-5
KEGG_PATHWAY	hsa05014:Amyotrophic lateral sclerosis (ALS)	10	6.289308176100629	1.2203310404607565E-7	ENSG00000137752, ENSG00000232810, ENSG00000142168, ENSG00000132906, ENSG00000164305, ENSG00000221823, ENSG00000100285, ENSG00000087088, ENSG00000171552, ENSG00000015475	118	50	6879	11.659322033898304	2.281993147423833E-5	2.28201658147853E-6	1.512712622830925E-4
