"GO.ID"	"GO.Term"	"zscore"	"obs"	"mean"	"std"
"GO:0006919"	"activation of cysteine-type endopeptidase activity involved in apoptotic process"	"27.164"	"530"	"187.529"	"12.607"
"GO:0006915"	"apoptotic process"	"26"	"1806"	"1039.073"	"29.498"
"GO:0097192"	"extrinsic apoptotic signaling pathway in absence of ligand"	"23.933"	"241"	"59.05"	"7.602"
"GO:0097194"	"execution phase of apoptosis"	"22.314"	"165"	"37.319"	"5.722"
"GO:1902042"	"negative regulation of extrinsic apoptotic signaling pathway via death domain receptors"	"20.423"	"229"	"67.306"	"7.917"
"GO:0042981"	"regulation of apoptotic process"	"19.934"	"710"	"358.182"	"17.649"
"GO:0033209"	"tumor necrosis factor-mediated signaling pathway"	"19.915"	"345"	"125.077"	"11.043"
"GO:0097191"	"extrinsic apoptotic signaling pathway"	"19.504"	"255"	"87.601"	"8.583"
"GO:0071260"	"cellular response to mechanical stimulus"	"19.434"	"417"	"176.731"	"12.363"
"GO:0007165"	"signal transduction"	"19.223"	"2136"	"1457.543"	"35.293"
"GO:0008630"	"intrinsic apoptotic signaling pathway in response to DNA damage"	"18.916"	"351"	"136.885"	"11.319"
"GO:0008625"	"extrinsic apoptotic signaling pathway via death domain receptors"	"18.693"	"256"	"86.341"	"9.076"
"GO:0043123"	"positive regulation of I-kappaB kinase/NF-kappaB signaling"	"18.461"	"757"	"392.007"	"19.771"
"GO:0097190"	"apoptotic signaling pathway"	"18.343"	"252"	"85.011"	"9.104"
"GO:0010803"	"regulation of tumor necrosis factor-mediated signaling pathway"	"17.501"	"257"	"94.797"	"9.268"
"GO:0043066"	"negative regulation of apoptotic process"	"17.476"	"2249"	"1532.413"	"41.005"
"GO:0019221"	"cytokine-mediated signaling pathway"	"17.433"	"1371"	"852.423"	"29.746"
"GO:0072734"	"cellular response to staurosporine"	"17.268"	"48"	"6.022"	"2.431"
"GO:0043065"	"positive regulation of apoptotic process"	"17.163"	"1485"	"949.74"	"31.187"
"GO:1902041"	"regulation of extrinsic apoptotic signaling pathway via death domain receptors"	"16.786"	"133"	"36.525"	"5.747"
"GO:0008635"	"activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c"	"16.77"	"57"	"8.516"	"2.891"
"GO:0045944"	"positive regulation of transcription from RNA polymerase II promoter"	"16.654"	"3316"	"2506.947"	"48.58"
"GO:0090200"	"positive regulation of release of cytochrome c from mitochondria"	"16.508"	"170"	"55.277"	"6.949"
"GO:0001836"	"release of cytochrome c from mitochondria"	"16.209"	"192"	"64.741"	"7.851"
"GO:2001244"	"positive regulation of intrinsic apoptotic signaling pathway"	"16.159"	"217"	"80.295"	"8.46"
"GO:0032025"	"response to cobalt ion"	"15.691"	"64"	"11.608"	"3.339"
"GO:0045893"	"positive regulation of transcription, DNA-templated"	"15.629"	"1952"	"1388.56"	"36.052"
"GO:0060154"	"cellular process regulating host cell cycle in response to virus"	"15.604"	"43"	"5.901"	"2.378"
"GO:0031663"	"lipopolysaccharide-mediated signaling pathway"	"15.417"	"248"	"102.839"	"9.416"
"GO:0019050"	"suppression by virus of host apoptotic process"	"15.249"	"34"	"4.211"	"1.954"
"GO:0071550"	"death-inducing signaling complex assembly"	"15.166"	"117"	"33.536"	"5.503"
"GO:0001844"	"protein insertion into mitochondrial membrane involved in apoptotic signaling pathway"	"15.12"	"47"	"7.09"	"2.639"
"GO:0070059"	"intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress"	"14.872"	"169"	"60.688"	"7.283"
"GO:0043525"	"positive regulation of neuron apoptotic process"	"14.687"	"331"	"150.837"	"12.267"
"GO:0036462"	"TRAIL-activated apoptotic signaling pathway"	"14.605"	"43"	"6.483"	"2.5"
"GO:0035556"	"intracellular signal transduction"	"14.404"	"955"	"624.277"	"22.96"
"GO:0046902"	"regulation of mitochondrial membrane permeability"	"14.164"	"136"	"45.611"	"6.382"
"GO:0006808"	"regulation of nitrogen utilization"	"14.048"	"38"	"5.336"	"2.325"
"GO:0034138"	"toll-like receptor 3 signaling pathway"	"13.914"	"66"	"14.848"	"3.676"
"GO:0007249"	"I-kappaB kinase/NF-kappaB signaling"	"13.886"	"607"	"348.162"	"18.641"
"GO:0097527"	"necroptotic signaling pathway"	"13.741"	"69"	"15.692"	"3.879"
"GO:0001666"	"response to hypoxia"	"13.318"	"563"	"333.714"	"17.216"
"GO:0034349"	"glial cell apoptotic process"	"13.27"	"63"	"15.361"	"3.59"
"GO:0001782"	"B cell homeostasis"	"13.204"	"123"	"41.825"	"6.148"
"GO:0043496"	"regulation of protein homodimerization activity"	"13.05"	"57"	"12.304"	"3.425"
"GO:1900740"	"positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway"	"12.939"	"323"	"169.027"	"11.899"
"GO:0097202"	"activation of cysteine-type endopeptidase activity"	"12.845"	"83"	"23.824"	"4.607"
"GO:0051056"	"regulation of small GTPase mediated signal transduction"	"12.807"	"408"	"225.145"	"14.278"
"GO:0006954"	"inflammatory response"	"12.798"	"880"	"591.086"	"22.575"
"GO:0008284"	"positive regulation of cell proliferation"	"12.736"	"1494"	"1090.399"	"31.689"
"GO:0006468"	"protein phosphorylation"	"12.703"	"1522"	"1110.31"	"32.409"
"GO:0010628"	"positive regulation of gene expression"	"12.698"	"1278"	"912.346"	"28.796"
"GO:0038095"	"Fc-epsilon receptor signaling pathway"	"12.53"	"538"	"326.665"	"16.866"
"GO:0051402"	"neuron apoptotic process"	"12.423"	"296"	"154.507"	"11.39"
"GO:0043547"	"positive regulation of GTPase activity"	"12.315"	"754"	"497.938"	"20.793"
"GO:0034614"	"cellular response to reactive oxygen species"	"12.288"	"297"	"154.246"	"11.618"
"GO:0032355"	"response to estradiol"	"12.284"	"424"	"246.834"	"14.423"
"GO:0051092"	"positive regulation of NF-kappaB transcription factor activity"	"12.272"	"949"	"624.463"	"26.445"
"GO:0032848"	"negative regulation of cellular pH reduction"	"12.251"	"24"	"2.978"	"1.716"
"GO:0043375"	"CD8-positive, alpha-beta T cell lineage commitment"	"12.251"	"24"	"2.978"	"1.716"
"GO:0046671"	"negative regulation of retinal cell programmed cell death"	"12.251"	"24"	"2.978"	"1.716"
"GO:0048753"	"pigment granule organization"	"12.251"	"24"	"2.978"	"1.716"
"GO:0006582"	"melanin metabolic process"	"12.224"	"24"	"2.988"	"1.719"
"GO:0060544"	"regulation of necroptotic process"	"12.149"	"65"	"16.333"	"4.006"
"GO:0046898"	"response to cycloheximide"	"12.033"	"21"	"2.656"	"1.524"
"GO:0071839"	"apoptotic process in bone marrow"	"12.033"	"21"	"2.656"	"1.524"
"GO:0008627"	"intrinsic apoptotic signaling pathway in response to osmotic stress"	"11.911"	"25"	"3.647"	"1.793"
"GO:0018105"	"peptidyl-serine phosphorylation"	"11.812"	"757"	"495.225"	"22.161"
"GO:0071407"	"cellular response to organic cyclic compound"	"11.773"	"287"	"154.185"	"11.281"
"GO:0001934"	"positive regulation of protein phosphorylation"	"11.763"	"747"	"490.824"	"21.778"
"GO:0070242"	"thymocyte apoptotic process"	"11.725"	"36"	"6.559"	"2.511"
"GO:0043280"	"positive regulation of cysteine-type endopeptidase activity involved in apoptotic process"	"11.72"	"222"	"109.121"	"9.631"
"GO:0002352"	"B cell negative selection"	"11.707"	"23"	"3.129"	"1.697"
"GO:0032570"	"response to progesterone"	"11.688"	"147"	"62.048"	"7.268"
"GO:0006974"	"cellular response to DNA damage stimulus"	"11.664"	"966"	"678.874"	"24.617"
"GO:0043029"	"T cell homeostasis"	"11.628"	"136"	"54.351"	"7.022"
"GO:0043124"	"negative regulation of I-kappaB kinase/NF-kappaB signaling"	"11.58"	"219"	"109.121"	"9.489"
"GO:0071456"	"cellular response to hypoxia"	"11.468"	"524"	"323.181"	"17.511"
"GO:0034097"	"response to cytokine"	"11.415"	"248"	"125.164"	"10.761"
"GO:0043583"	"ear development"	"11.409"	"39"	"7.659"	"2.747"
"GO:0032469"	"endoplasmic reticulum calcium ion homeostasis"	"11.408"	"89"	"29.432"	"5.222"
"GO:0045636"	"positive regulation of melanocyte differentiation"	"11.4"	"25"	"3.655"	"1.872"
"GO:0032496"	"response to lipopolysaccharide"	"11.162"	"436"	"260.25"	"15.746"
