"Pathway"	"Z-score"
"Apoptosis"	"26.244"
"Apoptosis - multiple species"	"22.507"
"MicroRNAs in cancer"	"17.845"
"Pathways in cancer"	"17.677"
"p53 signaling pathway"	"16.92"
"Hepatitis B"	"16.326"
"Amyotrophic lateral sclerosis (ALS)"	"16.321"
"Colorectal cancer"	"15.99"
"Proteoglycans in cancer"	"15.48"
"Necroptosis"	"15.375"
"Legionellosis"	"15.344"
"Small cell lung cancer"	"15.253"
"Chagas disease (American trypanosomiasis)"	"14.309"
"NOD-like receptor signaling pathway"	"14.171"
"Tuberculosis"	"13.724"
"AGE-RAGE signaling pathway in diabetic complications"	"13.417"
"Influenza A"	"13.217"
"C-type lectin receptor signaling pathway"	"12.975"
"Pertussis"	"12.825"
"FoxO signaling pathway"	"12.691"
"Prostate cancer"	"12.626"
"MAPK signaling pathway"	"12.59"
"African trypanosomiasis"	"12.461"
"Endometrial cancer"	"12.441"
"Non-alcoholic fatty liver disease (NAFLD)"	"12.434"
"Human papillomavirus infection"	"12.086"
"Thyroid cancer"	"12.064"
"Pancreatic cancer"	"12.031"
"Transcriptional misregulation in cancer"	"11.831"
"TNF signaling pathway"	"11.779"
"Kaposi's sarcoma-associated herpesvirus infection"	"11.577"
"Graft-versus-host disease"	"11.572"
"Inflammatory bowel disease (IBD)"	"11.538"
"Amoebiasis"	"11.367"
"Measles"	"11.242"
"PI3K-Akt signaling pathway"	"11.213"
"Fluid shear stress and atherosclerosis"	"11.043"
"HTLV-I infection"	"10.972"
"Cellular senescence"	"10.932"
"Salmonella infection"	"10.9"
"Cell cycle"	"10.803"
"Herpes simplex infection"	"10.787"
"Chronic myeloid leukemia"	"10.605"
"Viral carcinogenesis"	"10.469"
"NF-kappa B signaling pathway"	"10.364"
"HIF-1 signaling pathway"	"10.051"
"Osteoclast differentiation"	"9.86"
"Gastric cancer"	"9.824"
"Alzheimer's disease"	"9.673"
"Natural killer cell mediated cytotoxicity"	"9.599"
"Toxoplasmosis"	"9.564"
"Viral myocarditis"	"9.495"
"Type I diabetes mellitus"	"9.418"
"Basal cell carcinoma"	"9.175"
"Hepatocellular carcinoma"	"9.074"
"Non-small cell lung cancer"	"8.955"
"Malaria"	"8.917"
"Focal adhesion"	"8.867"
"Prion diseases"	"8.811"
"ErbB signaling pathway"	"8.774"
"Cytokine-cytokine receptor interaction"	"8.602"
"Melanoma"	"8.351"
"Leishmaniasis"	"8.327"
"Breast cancer"	"8.051"
"Hematopoietic cell lineage"	"8.041"
"Toll-like receptor signaling pathway"	"7.81"
"TGF-beta signaling pathway"	"7.699"
"Cytosolic DNA-sensing pathway"	"7.681"
"Acute myeloid leukemia"	"7.521"
"Jak-STAT signaling pathway"	"7.363"
"Mitophagy - animal"	"7.316"
"Renal cell carcinoma"	"7.221"
"Wnt signaling pathway"	"7.206"
"Rheumatoid arthritis"	"7.193"
"Glioma"	"7.117"
"IL-17 signaling pathway"	"7.092"
"Calcium signaling pathway"	"6.921"
"Glutathione metabolism"	"6.89"
"Huntington's disease"	"6.784"
"Allograft rejection"	"6.749"
"Th17 cell differentiation"	"6.574"
"Epstein-Barr virus infection"	"6.526"
"Ferroptosis"	"6.397"
"Bladder cancer"	"6.254"
"Sphingolipid signaling pathway"	"6.135"
"RIG-I-like receptor signaling pathway"	"5.767"
"T cell receptor signaling pathway"	"5.632"
"Hippo signaling pathway"	"5.175"
"Oxytocin signaling pathway"	"5.151"
"VEGF signaling pathway"	"5.141"
"Pathogenic Escherichia coli infection"	"5.111"
"Cushing's syndrome"	"5.054"
"Neurotrophin signaling pathway"	"5.025"
"Regulation of actin cytoskeleton"	"4.755"
"Hepatitis C"	"4.706"
"Epithelial cell signaling in Helicobacter pylori infection"	"4.537"
"B cell receptor signaling pathway"	"4.535"
"Prolactin signaling pathway"	"4.534"
"Adherens junction"	"4.354"
"Thyroid hormone synthesis"	"4.351"
"Notch signaling pathway"	"4.216"
"Complement and coagulation cascades"	"4.163"
"Thyroid hormone signaling pathway"	"4.114"
"Autoimmune thyroid disease"	"3.94"
"Hypertrophic cardiomyopathy (HCM)"	"3.912"
"Relaxin signaling pathway"	"3.792"
"Th1 and Th2 cell differentiation"	"3.75"
"Estrogen signaling pathway"	"3.651"
"Melanogenesis"	"3.528"
"cAMP signaling pathway"	"3.403"
"Shigellosis"	"3.31"
"Long-term potentiation"	"3.211"
"Leukocyte transendothelial migration"	"3.181"
"Protein processing in endoplasmic reticulum"	"3.079"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"3.041"
"Bacterial invasion of epithelial cells"	"2.997"
"Ras signaling pathway"	"2.951"
"RNA degradation"	"2.935"
"Chemokine signaling pathway"	"2.837"
"Longevity regulating pathway"	"2.646"
"Hedgehog signaling pathway"	"2.627"
"GnRH signaling pathway"	"2.559"
"Cocaine addiction"	"2.556"
"Phospholipase D signaling pathway"	"2.556"
"Dilated cardiomyopathy (DCM)"	"2.552"
"Rap1 signaling pathway"	"2.523"
"Cholesterol metabolism"	"2.514"
"Progesterone-mediated oocyte maturation"	"2.454"
"Insulin resistance"	"2.281"
"Glucagon signaling pathway"	"2.268"
"cGMP-PKG signaling pathway"	"2.265"
"Selenocompound metabolism"	"2.219"
"Tight junction"	"2.203"
"Serotonergic synapse"	"2.196"
"Pantothenate and CoA biosynthesis"	"2.159"
"Steroid biosynthesis"	"2.107"
"Axon guidance"	"2.105"
"Arachidonic acid metabolism"	"2.102"
"Longevity regulating pathway - multiple species"	"2.074"
"AMPK signaling pathway"	"2.039"
"Vascular smooth muscle contraction"	"2.011"
"Central carbon metabolism in cancer"	"2.003"
"Platelet activation"	"1.979"
"Oocyte meiosis"	"1.97"
"Renin secretion"	"1.96"
"Drug metabolism - other enzymes"	"1.925"
"Amphetamine addiction"	"1.877"
"Adipocytokine signaling pathway"	"1.863"
"Apelin signaling pathway"	"1.777"
"Folate biosynthesis"	"1.768"
"Ubiquitin mediated proteolysis"	"1.766"
"Antigen processing and presentation"	"1.719"
"Parkinson's disease"	"1.706"
"Fatty acid elongation"	"1.64"
"Hippo signaling pathway - multiple species"	"1.613"
"Phototransduction"	"1.586"
"Peroxisome"	"1.566"
"Nicotinate and nicotinamide metabolism"	"1.526"
"Asthma"	"1.516"
"Gap junction"	"1.487"
"beta-Alanine metabolism"	"1.457"
"mRNA surveillance pathway"	"1.441"
"Fc gamma R-mediated phagocytosis"	"1.436"
"Salivary secretion"	"1.41"
