geneSet	description	link	C	O	E	R	pValue	FDR	overlapId	userId
hsa04210	Apoptosis	http://www.kegg.jp/kegg-bin/show_pathway?hsa04210+10018+1647+1649+1676+330+331+355+356+3725+4000+4170+4616+5366+5551+56616+581+5970+598+637+6709+7124+835+836+839+840+841+842+8743+8837	127	29	2.8910569105691057	10.030933633295838	0	0	10018;1647;1649;1676;330;331;355;356;3725;4000;4170;4616;5366;5551;56616;581;5970;598;637;6709;7124;835;836;839;840;841;842;8743;8837	ENSG00000087088;ENSG00000171552;ENSG00000153094;ENSG00000015475;ENSG00000023445;ENSG00000106144;ENSG00000164305;ENSG00000138794;ENSG00000165806;ENSG00000064012;ENSG00000132906;ENSG00000003402;ENSG00000175197;ENSG00000160049;ENSG00000184047;ENSG00000026103;ENSG00000117560;ENSG00000116717;ENSG00000099860;ENSG00000177606;ENSG00000160789;ENSG00000143384;ENSG00000141682;ENSG00000180644;ENSG00000173039;ENSG00000197694;ENSG00000204490;ENSG00000206439;ENSG00000223952;ENSG00000228321;ENSG00000228849;ENSG00000228978;ENSG00000230108;ENSG00000232810;ENSG00000121858;ENSG00000101966
hsa05200	Pathways in cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05200+10018+1017+1026+1027+1387+1499+1647+2064+2149+2944+3082+3162+330+331+3459+355+356+3569+3725+4313+4616+51176+5159+5330+5366+5747+581+5914+595+5970+598+6093+637+650+7042+836+840+841+842+8900+894	487	41	11.08617886178862	3.6982986212965674	2.3425705819590803e-14	3.4904301671190296e-12	10018;1017;1026;1027;1387;1499;1647;2064;2149;2944;3082;3162;330;331;3459;355;356;3569;3725;4313;4616;51176;5159;5330;5366;5747;581;5914;595;5970;598;6093;637;650;7042;836;840;841;842;8900;894	ENSG00000087088;ENSG00000171552;ENSG00000153094;ENSG00000015475;ENSG00000023445;ENSG00000125845;ENSG00000164305;ENSG00000165806;ENSG00000064012;ENSG00000132906;ENSG00000133101;ENSG00000110092;ENSG00000118971;ENSG00000123374;ENSG00000124762;ENSG00000111276;ENSG00000005339;ENSG00000168036;ENSG00000141736;ENSG00000181104;ENSG00000026103;ENSG00000117560;ENSG00000116717;ENSG00000099860;ENSG00000134184;ENSG00000019991;ENSG00000100292;ENSG00000027697;ENSG00000136244;ENSG00000177606;ENSG00000138795;ENSG00000087245;ENSG00000113721;ENSG00000137841;ENSG00000141682;ENSG00000169398;ENSG00000131759;ENSG00000173039;ENSG00000067900;ENSG00000092969;ENSG00000101966
hsa01524	Platinum drug resistance	http://www.kegg.jp/kegg-bin/show_pathway?hsa01524+1026+2064+2944+330+331+355+356+5366+581+598+637+672+7153+836+841+842	61	16	1.3886178861788618	11.52224824355972	1.6986412276764895e-13	1.687316952825313e-11	1026;2064;2944;330;331;355;356;5366;581;598;637;672;7153;836;841;842	ENSG00000087088;ENSG00000171552;ENSG00000015475;ENSG00000023445;ENSG00000012048;ENSG00000164305;ENSG00000064012;ENSG00000132906;ENSG00000124762;ENSG00000141736;ENSG00000026103;ENSG00000117560;ENSG00000134184;ENSG00000141682;ENSG00000131747;ENSG00000101966
hsa04215	Apoptosis	http://www.kegg.jp/kegg-bin/show_pathway?hsa04215+10018+330+331+5366+56616+581+598+637+836+840+841+842	32	12	0.7284552845528456	16.473214285714285	1.7539303343028223e-12	1.3066780990556026e-10	10018;330;331;5366;56616;581;598;637;836;840;841;842	ENSG00000087088;ENSG00000171552;ENSG00000153094;ENSG00000015475;ENSG00000023445;ENSG00000164305;ENSG00000165806;ENSG00000064012;ENSG00000132906;ENSG00000184047;ENSG00000141682;ENSG00000101966
hsa05206	MicroRNAs in cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05206+10018+1026+1027+1387+2064+2065+27250+3162+4170+5159+595+599+6093+672+7042+7078+836+894+90427+960+994	144	21	3.278048780487805	6.406249999999999	5.197176022875283e-12	3.097516909633669e-10	10018;1026;1027;1387;2064;2065;27250;3162;4170;5159;595;599;6093;672;7042;7078;836;894;90427;960;994	ENSG00000153094;ENSG00000129473;ENSG00000104081;ENSG00000012048;ENSG00000164305;ENSG00000110092;ENSG00000118971;ENSG00000026508;ENSG00000101224;ENSG00000124762;ENSG00000111276;ENSG00000005339;ENSG00000141736;ENSG00000065361;ENSG00000100292;ENSG00000143384;ENSG00000150593;ENSG00000113721;ENSG00000067900;ENSG00000092969;ENSG00000100234
hsa05169	Epstein-Barr virus infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05169+10018+1017+1026+1027+1647+3456+355+3569+3725+4616+581+595+5970+637+6890+7124+836+841+842+8900+894+960	184	22	4.1886178861788625	5.252329192546583	8.789102778905544e-11	4.365254380189754e-9	10018;1017;1026;1027;1647;3456;355;3569;3725;4616;581;595;5970;637;6890;7124;836;841;842;8900;894;960	ENSG00000087088;ENSG00000153094;ENSG00000015475;ENSG00000164305;ENSG00000064012;ENSG00000132906;ENSG00000133101;ENSG00000110092;ENSG00000118971;ENSG00000026508;ENSG00000123374;ENSG00000124762;ENSG00000111276;ENSG00000026103;ENSG00000116717;ENSG00000099860;ENSG00000171855;ENSG00000136244;ENSG00000177606;ENSG00000173039;ENSG00000168394;ENSG00000206297;ENSG00000224212;ENSG00000224748;ENSG00000226173;ENSG00000227816;ENSG00000230705;ENSG00000232367;ENSG00000204490;ENSG00000206439;ENSG00000223952;ENSG00000228321;ENSG00000228849;ENSG00000228978;ENSG00000230108;ENSG00000232810
hsa04115	p53 signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04115+1017+1026+1647+355+4616+5366+581+595+598+637+836+841+842+894	66	14	1.502439024390244	9.318181818181818	1.378575031907303e-10	5.44534400903629e-9	1017;1026;1647;355;4616;5366;581;595;598;637;836;841;842;894	ENSG00000087088;ENSG00000171552;ENSG00000015475;ENSG00000164305;ENSG00000064012;ENSG00000132906;ENSG00000110092;ENSG00000118971;ENSG00000123374;ENSG00000124762;ENSG00000026103;ENSG00000116717;ENSG00000099860;ENSG00000141682
hsa04217	Necroptosis	http://www.kegg.jp/kegg-bin/show_pathway?hsa04217+10059+1540+330+331+3456+3459+355+3552+3553+356+581+637+7124+7417+834+841+8743+8837+8878	137	19	3.1186991869918703	6.092283628779978	1.4618373178620914e-10	5.44534400903629e-9	10059;1540;330;331;3456;3459;355;3552;3553;356;581;637;7124;7417;834;841;8743;8837;8878	ENSG00000087088;ENSG00000015475;ENSG00000023445;ENSG00000137752;ENSG00000064012;ENSG00000003402;ENSG00000083799;ENSG00000087470;ENSG00000026103;ENSG00000117560;ENSG00000171855;ENSG00000027697;ENSG00000115008;ENSG00000125538;ENSG00000161011;ENSG00000204490;ENSG00000206439;ENSG00000223952;ENSG00000228321;ENSG00000228849;ENSG00000228978;ENSG00000230108;ENSG00000232810;ENSG00000121858;ENSG00000165637;ENSG00000101966
hsa05205	Proteoglycans in cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05205+1026+1499+1634+2064+2065+27250+3082+355+356+4060+4313+5058+5747+595+6093+7042+7078+7124+836+857+960	183	21	4.1658536585365855	5.0409836065573765	5.403819614002714e-10	1.7892647166364544e-8	1026;1499;1634;2064;2065;27250;3082;355;356;4060;4313;5058;5747;595;6093;7042;7078;7124;836;857;960	ENSG00000164305;ENSG00000105974;ENSG00000110092;ENSG00000026508;ENSG00000124762;ENSG00000168036;ENSG00000011465;ENSG00000141736;ENSG00000065361;ENSG00000026103;ENSG00000117560;ENSG00000019991;ENSG00000139329;ENSG00000087245;ENSG00000149269;ENSG00000150593;ENSG00000169398;ENSG00000067900;ENSG00000092969;ENSG00000100234;ENSG00000204490;ENSG00000206439;ENSG00000223952;ENSG00000228321;ENSG00000228849;ENSG00000228978;ENSG00000230108;ENSG00000232810
hsa05161	Hepatitis B	http://www.kegg.jp/kegg-bin/show_pathway?hsa05161+1017+1026+1027+1387+3456+355+356+3569+3725+581+595+5970+7042+7124+836+841+842+8900	132	18	3.004878048780488	5.990259740259741	6.205347347076895e-10	1.8491935094289147e-8	1017;1026;1027;1387;3456;355;356;3569;3725;581;595;5970;7042;7124;836;841;842;8900	ENSG00000087088;ENSG00000164305;ENSG00000064012;ENSG00000132906;ENSG00000133101;ENSG00000110092;ENSG00000123374;ENSG00000124762;ENSG00000111276;ENSG00000005339;ENSG00000026103;ENSG00000117560;ENSG00000171855;ENSG00000136244;ENSG00000177606;ENSG00000173039;ENSG00000092969;ENSG00000204490;ENSG00000206439;ENSG00000223952;ENSG00000228321;ENSG00000228849;ENSG00000228978;ENSG00000230108;ENSG00000232810
