goId	name	refNum	interestNum	interestGene	expect	ratio	pValue	FDR
GO:0001836	release of cytochrome c from mitochondria	58	14	BAX|1;BCL2L1|1;BID|1;BIK|1;CLU|1;HGF|1;JUN|1;LMNA|1;PMAIP1|1;SOD2|1;TNFSF10|1;BCL2L11|1;DNM1L|1;BMF|1	0.4929409285664114	28.400968937019098	0	0
GO:0001932	regulation of protein phosphorylation	1303	46	APP|1;FAS|1;ATF3|1;BAX|1;CCND1|1;BMP2|1;CASP3|1;CAV1|1;CCND2|1;CD44|1;CDC25B|1;CDKN1A|1;CDKN1B|1;CLU|1;CTNNB1|1;CYLD|1;GADD45A|1;ERBB2|1;ERBB3|1;F2|1;F2R|1;HGF|1;DNAJA1|1;HSPB1|1;IL1B|1;IL18|1;JUN|1;SMAD7|1;GADD45B|1;NEDD9|1;PAK1|1;PDGFRB|1;PPP2R5B|1;PSEN1|1;PTK2|1;ROCK1|1;SOD1|1;TGFB2|1;TIMP2|1;TIMP3|1;TNF|1;PEA15|1;CFLAR|1;SQSTM1|1;CCNA1|1;PDCD4|1	11.074172929690242	4.1538090737839575	0	0
GO:0006508	proteolysis	1567	50	BIRC3|1;XIAP|1;APP|1;FAS|1;FASLG|1;BAX|1;BID|1;BRCA1|1;CASP1|1;CASP2|1;CASP3|1;CASP4|1;CASP6|1;CASP7|1;CASP8|1;CASP9|1;CAV1|1;CD44|1;CDK2|1;CLU|1;CYLD|1;DDIT3|1;F2|1;F2R|1;GSN|1;HGF|1;IL1B|1;SMAD7|1;MGMT|1;MMP2|1;PLAT|1;PMAIP1|1;PSEN1|1;PSEN2|1;PTK2|1;RELA|1;ROCK1|1;TIMP2|1;TIMP3|1;TNF|1;TNFSF10|1;CFLAR|1;SQSTM1|1;CCNA1|1;BCL10|1;BCL2L10|1;BCL2L11|1;BCAP31|1;LEF1|1;DIABLO|1	13.317904052820115	3.7543445125971093	0	0
GO:0006915	apoptotic process	1782	88	ANXA1|1;BIRC3|1;XIAP|1;APP|1;FAS|1;FASLG|1;ATF3|1;BAX|1;BCL2L1|1;BCL2L2|1;BID|1;BIK|1;BMP2|1;BNIP3L|1;BRCA1|1;TSPO|1;CASP1|1;CASP2|1;CASP3|1;CASP4|1;CASP6|1;CASP7|1;CASP8|1;CASP9|1;CAV1|1;CCND2|1;CD44|1;CDKN1A|1;CDKN1B|1;CLU|1;CREBBP|1;CTH|1;CTNNB1|1;CYLD|1;GADD45A|1;DDIT3|1;DFFA|1;ERBB2|1;ERBB3|1;F2R|1;GSN|1;H1F0|1;HGF|1;HMGB2|1;HMOX1|1;DNAJA1|1;HSPB1|1;IL1B|1;IRF1|1;JUN|1;KRT18|1;LGALS3|1;LMNA|1;MCL1|1;MGMT|1;GADD45B|1;PAK1|1;PDGFRB|1;PMAIP1|1;PPT1|1;PSEN1|1;PTK2|1;RARA|1;RELA|1;ROCK1|1;SOD1|1;SOD2|1;TGFB2|1;TIMP3|1;TNF|1;TOP2A|1;VDAC2|1;PEA15|1;TNFSF10|1;CFLAR|1;IER3|1;SQSTM1|1;BCL10|1;BCL2L10|1;BCL2L11|1;DNM1L|1;BCAP31|1;TXNIP|1;PDCD4|1;LEF1|1;DIABLO|1;BMF|1;AIFM3|1	15.145185081126641	5.810427507397205	0	0
GO:0006950	response to stress	3399	85	ADD1|1;ANXA1|1;BIRC3|1;XIAP|1;APP|1;FAS|1;ATF3|1;BAX|1;CCND1|1;BCL2L1|1;BCL2L2|1;BID|1;BMP2|1;BNIP3L|1;BRCA1|1;TSPO|1;CASP1|1;CASP2|1;CASP3|1;CASP4|1;CASP8|1;CASP9|1;CAV1|1;CD44|1;CDK2|1;CDKN1A|1;CDKN1B|1;CLU|1;CREBBP|1;CTH|1;CTNNB1|1;CYLD|1;DCN|1;GADD45A|1;DDIT3|1;ERBB2|1;ERBB3|1;F2|1;F2R|1;GNA15|1;GPX4|1;GSN|1;GSR|1;HGF|1;HMGB2|1;HMOX1|1;DNAJA1|1;HSPB1|1;IL1B|1;IL18|1;IRF1|1;JUN|1;LGALS3|1;LMNA|1;SMAD7|1;MCL1|1;MGMT|1;MMP2|1;GADD45B|1;PAK1|1;PDGFRB|1;PLAT|1;PMAIP1|1;PPP2R5B|1;PSEN1|1;PSEN2|1;RELA|1;SOD1|1;SOD2|1;TAP1|1;TGFB2|1;TNF|1;TOP2A|1;PEA15|1;CFLAR|1;IER3|1;SQSTM1|1;BCL10|1;BCL2L10|1;BCL2L11|1;DNM1L|1;BCAP31|1;TXNIP|1;PDCD4|1;DIABLO|1	28.88803821029711	2.942394335718576	0	0
GO:0007154	cell communication	5304	97	ADD1|1;ANXA1|1;BIRC3|1;XIAP|1;APP|1;FAS|1;FASLG|1;ATF3|1;BAX|1;CCND1|1;BCL2L1|1;BCL2L2|1;BID|1;BIK|1;BMP2|1;BNIP3L|1;BRCA1|1;CASP1|1;CASP2|1;CASP3|1;CASP4|1;CASP8|1;CASP9|1;CAV1|1;CD44|1;CDK2|1;CDKN1A|1;CDKN1B|1;CLU|1;CREBBP|1;CTH|1;CTNNB1|1;CYLD|1;DCN|1;GADD45A|1;DDIT3|1;ERBB2|1;ERBB3|1;F2|1;F2R|1;GNA15|1;GSN|1;HGF|1;HMGB2|1;HMOX1|1;DNAJA1|1;HSPB1|1;IGFBP6|1;IL1B|1;IL18|1;IRF1|1;JUN|1;KRT18|1;LGALS3|1;LMNA|1;SMAD7|1;MCL1|1;MMP2|1;GADD45B|1;NEDD9|1;PAK1|1;PDGFRB|1;PLAT|1;PMAIP1|1;PPP2R5B|1;PPP3R1|1;PPT1|1;PSEN1|1;PSEN2|1;PTK2|1;RARA|1;RELA|1;ROCK1|1;SLC20A1|1;SOD1|1;SOD2|1;SPTAN1|1;TGFB2|1;TIMP2|1;TIMP3|1;TNF|1;VDAC2|1;PEA15|1;TNFSF10|1;CFLAR|1;IER3|1;SQSTM1|1;BCL10|1;BCL2L10|1;BCL2L11|1;DNM1L|1;BCAP31|1;TXNIP|1;PDCD4|1;LEF1|1;DIABLO|1;BMF|1	45.078598019245625	2.1517971778666967	0	0
GO:0007165	signal transduction	4848	96	ADD1|1;ANXA1|1;BIRC3|1;XIAP|1;APP|1;FAS|1;FASLG|1;ATF3|1;BAX|1;CCND1|1;BCL2L1|1;BCL2L2|1;BID|1;BIK|1;BMP2|1;BNIP3L|1;BRCA1|1;CASP1|1;CASP2|1;CASP3|1;CASP4|1;CASP8|1;CASP9|1;CAV1|1;CD44|1;CDK2|1;CDKN1A|1;CDKN1B|1;CLU|1;CREBBP|1;CTH|1;CTNNB1|1;CYLD|1;DCN|1;GADD45A|1;DDIT3|1;ERBB2|1;ERBB3|1;F2|1;F2R|1;GNA15|1;GSN|1;HGF|1;HMGB2|1;HMOX1|1;DNAJA1|1;HSPB1|1;IGFBP6|1;IL1B|1;IL18|1;IRF1|1;JUN|1;KRT18|1;LGALS3|1;LMNA|1;SMAD7|1;MCL1|1;MMP2|1;GADD45B|1;NEDD9|1;PAK1|1;PDGFRB|1;PLAT|1;PMAIP1|1;PPP2R5B|1;PPP3R1|1;PSEN1|1;PSEN2|1;PTK2|1;RARA|1;RELA|1;ROCK1|1;SLC20A1|1;SOD1|1;SOD2|1;SPTAN1|1;TGFB2|1;TIMP2|1;TIMP3|1;TNF|1;VDAC2|1;PEA15|1;TNFSF10|1;CFLAR|1;IER3|1;SQSTM1|1;BCL10|1;BCL2L10|1;BCL2L11|1;DNM1L|1;BCAP31|1;TXNIP|1;PDCD4|1;LEF1|1;DIABLO|1;BMF|1	41.20306244293039	2.3299239014810573	0	0
GO:0007166	cell surface receptor signaling pathway	2546	75	ANXA1|1;BIRC3|1;XIAP|1;APP|1;FAS|1;FASLG|1;ATF3|1;BAX|1;CCND1|1;BCL2L1|1;BCL2L2|1;BID|1;BMP2|1;BRCA1|1;CASP1|1;CASP2|1;CASP3|1;CASP4|1;CASP8|1;CASP9|1;CAV1|1;CD44|1;CDKN1A|1;CDKN1B|1;CREBBP|1;CTNNB1|1;CYLD|1;DCN|1;DDIT3|1;ERBB2|1;ERBB3|1;F2|1;HGF|1;HMGB2|1;HMOX1|1;HSPB1|1;IGFBP6|1;IL1B|1;IL18|1;IRF1|1;JUN|1;KRT18|1;LGALS3|1;LMNA|1;SMAD7|1;MCL1|1;MMP2|1;NEDD9|1;PAK1|1;PDGFRB|1;PLAT|1;PMAIP1|1;PPP2R5B|1;PPP3R1|1;PSEN1|1;PSEN2|1;PTK2|1;RELA|1;ROCK1|1;SOD1|1;SOD2|1;TGFB2|1;TIMP3|1;TNF|1;PEA15|1;TNFSF10|1;CFLAR|1;SQSTM1|1;BCL10|1;BCL2L10|1;BCL2L11|1;TXNIP|1;PDCD4|1;LEF1|1;DIABLO|1	21.63840696776006	3.4660592210760037	0	0
GO:0008219	cell death	2018	89	ANXA1|1;BIRC3|1;XIAP|1;APP|1;FAS|1;FASLG|1;ATF3|1;BAX|1;BCL2L1|1;BCL2L2|1;BID|1;BIK|1;BMP2|1;BNIP3L|1;BRCA1|1;TSPO|1;CASP1|1;CASP2|1;CASP3|1;CASP4|1;CASP6|1;CASP7|1;CASP8|1;CASP9|1;CAV1|1;CCND2|1;CD44|1;CDKN1A|1;CDKN1B|1;CLU|1;CREBBP|1;CTH|1;CTNNB1|1;CYLD|1;GADD45A|1;DDIT3|1;DFFA|1;ERBB2|1;ERBB3|1;F2R|1;GPX4|1;GSN|1;H1F0|1;HGF|1;HMGB2|1;HMOX1|1;DNAJA1|1;HSPB1|1;IL1B|1;IRF1|1;JUN|1;KRT18|1;LGALS3|1;LMNA|1;MCL1|1;MGMT|1;GADD45B|1;PAK1|1;PDGFRB|1;PMAIP1|1;PPT1|1;PSEN1|1;PTK2|1;RARA|1;RELA|1;ROCK1|1;SOD1|1;SOD2|1;TGFB2|1;TIMP3|1;TNF|1;TOP2A|1;VDAC2|1;PEA15|1;TNFSF10|1;CFLAR|1;IER3|1;SQSTM1|1;BCL10|1;BCL2L10|1;BCL2L11|1;DNM1L|1;BCAP31|1;TXNIP|1;PDCD4|1;LEF1|1;DIABLO|1;BMF|1;AIFM3|1	17.150944721500313	5.189218520915071	0	0
GO:0008283	cell proliferation	1844	54	ANXA1|1;XIAP|1;APP|1;FASLG|1;ATF3|1;BAX|1;CCND1|1;BCL2L1|1;BCL2L2|1;BID|1;BMP2|1;BRCA1|1;TSPO|1;CASP3|1;CAV1|1;CCND2|1;CDC25B|1;CDK2|1;CDKN1A|1;CDKN1B|1;CLU|1;CTNNB1|1;ERBB2|1;ERBB3|1;F2|1;F2R|1;HGF|1;HMGB2|1;HMOX1|1;IGFBP6|1;IL1B|1;IL18|1;IRF1|1;JUN|1;LGALS3|1;LMNA|1;MMP2|1;PAK1|1;PDGFRB|1;PSEN1|1;PTK2|1;RARA|1;RELA|1;SAT1|1;SATB1|1;SOD2|1;TGFB2|1;TIMP2|1;TNF|1;CFLAR|1;CCNA1|1;TXNIP|1;PDCD4|1;LEF1|1	15.67212193580108	3.445608719814991	0	0
GO:0008625	extrinsic apoptotic signaling pathway via death domain receptors	79	19	FAS|1;FASLG|1;ATF3|1;BAX|1;BCL2L1|1;BID|1;BRCA1|1;CASP8|1;HGF|1;HMGB2|1;HMOX1|1;LGALS3|1;PMAIP1|1;TIMP3|1;TNF|1;PEA15|1;TNFSF10|1;CFLAR|1;DIABLO|1	0.6714195406335604	28.29825295533006	0	0
GO:0009605	response to external stimulus	2057	58	ANXA1|1;BIRC3|1;XIAP|1;APP|1;FAS|1;FASLG|1;ATF3|1;CCND1|1;BCL2L1|1;BMP2|1;BNIP3L|1;TSPO|1;CASP1|1;CASP2|1;CASP3|1;CASP8|1;CASP9|1;CAV1|1;CDKN1A|1;CDKN1B|1;CLU|1;CYLD|1;DCN|1;GADD45A|1;DDIT3|1;ERBB2|1;F2|1;F2R|1;GPX4|1;GSN|1;HGF|1;HMGB2|1;HMOX1|1;HSPB1|1;IL1B|1;IL18|1;IRF1|1;JUN|1;LGALS3|1;MGMT|1;PDGFRB|1;PLAT|1;PMAIP1|1;PTK2|1;RARA|1;RELA|1;SATB1|1;SOD1|1;SPTAN1|1;TGFB2|1;TNF|1;CFLAR|1;BCL10|1;BCL2L11|1;DNM1L|1;TXNIP|1;PDCD4|1;LEF1|1	17.482405001053593	3.317621345375798	0	0
GO:0009628	response to abiotic stimulus	1047	43	ANXA1|1;APP|1;FAS|1;BAX|1;CCND1|1;BCL2L1|1;BMP2|1;BNIP3L|1;BRCA1|1;TSPO|1;CASP1|1;CASP2|1;CASP3|1;CASP8|1;CASP9|1;CAV1|1;CDKN1A|1;CDKN1B|1;CREBBP|1;DCN|1;GADD45A|1;HMOX1|1;DNAJA1|1;IL1B|1;IRF1|1;JUN|1;LMNA|1;MGMT|1;MMP2|1;PAK1|1;PDGFRB|1;PLAT|1;PMAIP1|1;PSEN2|1;RELA|1;SOD1|1;TGFB2|1;TNF|1;CFLAR|1;BCL10|1;DNM1L|1;TXNIP|1;BMF|1	8.898433658776426	4.832311129002977	0	0
