"GO.ID"	"GO.Term"	"zscore"	"obs"	"mean"	"std"
"GO:0004497"	"monooxygenase activity"	"52.303"	"190"	"11.484"	"3.413"
"GO:0020037"	"heme binding"	"49.749"	"351"	"40.693"	"6.237"
"GO:0005506"	"iron ion binding"	"48.864"	"343"	"39.499"	"6.211"
"GO:0070330"	"aromatase activity"	"46.184"	"133"	"7.739"	"2.712"
"GO:0008395"	"steroid hydroxylase activity"	"45.222"	"135"	"7.832"	"2.812"
"GO:0016712"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen"	"40.732"	"118"	"7.192"	"2.72"
"GO:0008392"	"arachidonic acid epoxygenase activity"	"34.184"	"79"	"4.722"	"2.173"
"GO:0019825"	"oxygen binding"	"29.533"	"113"	"12.307"	"3.409"
"GO:0000268"	"peroxisome targeting sequence binding"	"26.933"	"28"	"1.017"	"1.002"
"GO:0005052"	"peroxisome matrix targeting signal-1 binding"	"26.933"	"28"	"1.017"	"1.002"
"GO:0101020"	"estrogen 16-alpha-hydroxylase activity"	"22.036"	"37"	"2.48"	"1.567"
"GO:0016705"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	"20.239"	"29"	"1.746"	"1.347"
"GO:0008401"	"retinoic acid 4-hydroxylase activity"	"19.537"	"24"	"1.339"	"1.16"
"GO:0034875"	"caffeine oxidase activity"	"18.879"	"26"	"1.634"	"1.291"
"GO:0050051"	"leukotriene-B4 20-monooxygenase activity"	"16.942"	"18"	"1.033"	"1.001"
"GO:0016709"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen"	"16.301"	"32"	"2.894"	"1.785"
"GO:0018685"	"alkane 1-monooxygenase activity"	"16.055"	"18"	"1.082"	"1.054"
"GO:0016491"	"oxidoreductase activity"	"13.75"	"114"	"34.917"	"5.751"
"GO:0003707"	"steroid hormone receptor activity"	"13.697"	"128"	"42.918"	"6.212"
"GO:0016922"	"ligand-dependent nuclear receptor binding"	"13.485"	"64"	"13.979"	"3.709"
"GO:0030343"	"vitamin D3 25-hydroxylase activity"	"13.237"	"14"	"0.763"	"0.863"
"GO:0030374"	"ligand-dependent nuclear receptor transcription coactivator activity"	"12.967"	"124"	"42.642"	"6.274"
"GO:0070576"	"vitamin D 24-hydroxylase activity"	"12.895"	"15"	"1.23"	"1.068"
"GO:0008146"	"sulfotransferase activity"	"12.891"	"42"	"7.129"	"2.705"
"GO:0004879"	"RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding"	"12.023"	"117"	"42.469"	"6.199"
"GO:0046965"	"retinoid X receptor binding"	"11.921"	"49"	"11.005"	"3.187"
"GO:0004507"	"steroid 11-beta-monooxygenase activity"	"11.337"	"12"	"0.663"	"0.782"
"GO:0047783"	"corticosterone 18-monooxygenase activity"	"11.337"	"12"	"0.663"	"0.782"
"GO:0097258"	"20-hydroxy-leukotriene B4 omega oxidase activity"	"11.324"	"12"	"0.676"	"0.794"
"GO:0097259"	"20-aldehyde-leukotriene B4 20-monooxygenase activity"	"11.324"	"12"	"0.676"	"0.794"
"GO:0005524"	"ATP binding"	"11.014"	"1554"	"1216.349"	"30.655"
"GO:0001972"	"retinoic acid binding"	"10.868"	"38"	"7.911"	"2.769"
"GO:0005324"	"long-chain fatty acid transporter activity"	"10.507"	"22"	"3.129"	"1.796"
"GO:0008396"	"oxysterol 7-alpha-hydroxylase activity"	"10.292"	"11"	"0.708"	"0.829"
"GO:0042623"	"ATPase activity, coupled"	"9.703"	"233"	"129.578"	"10.658"
"GO:0031267"	"small GTPase binding"	"9.585"	"45"	"12.149"	"3.427"
"GO:0051082"	"unfolded protein binding"	"9.448"	"370"	"231.912"	"14.616"
"GO:0051787"	"misfolded protein binding"	"9.375"	"188"	"101.58"	"9.218"
"GO:0031072"	"heat shock protein binding"	"9.326"	"267"	"158.682"	"11.615"
"GO:0004062"	"aryl sulfotransferase activity"	"9.241"	"21"	"3.559"	"1.887"
"GO:0036105"	"peroxisome membrane class-1 targeting sequence binding"	"9.191"	"10"	"0.809"	"0.877"
"GO:0001517"	"N-acetylglucosamine 6-O-sulfotransferase activity"	"8.783"	"15"	"2.231"	"1.454"
"GO:0005504"	"fatty acid binding"	"8.731"	"72"	"28.148"	"5.022"
"GO:0044183"	"protein binding involved in protein folding"	"8.702"	"186"	"104.555"	"9.36"
"GO:0030170"	"pyridoxal phosphate binding"	"8.529"	"84"	"35.358"	"5.703"
"GO:0004033"	"aldo-keto reductase (NADP) activity"	"8.474"	"28"	"6.565"	"2.529"
"GO:0004032"	"alditol:NADP+ 1-oxidoreductase activity"	"8.356"	"32"	"8.182"	"2.85"
"GO:0016887"	"ATPase activity"	"8.028"	"377"	"257.7"	"14.86"
"GO:0015038"	"glutathione disulfide oxidoreductase activity"	"7.961"	"17"	"3.181"	"1.736"
"GO:0008106"	"alcohol dehydrogenase (NADP+) activity"	"7.936"	"31"	"8.121"	"2.883"
"GO:0050693"	"LBD domain binding"	"7.758"	"19"	"3.954"	"1.939"
"GO:0016229"	"steroid dehydrogenase activity"	"7.645"	"18"	"3.504"	"1.896"
"GO:0032052"	"bile acid binding"	"7.579"	"19"	"4.071"	"1.97"
"GO:0046966"	"thyroid hormone receptor binding"	"7.573"	"63"	"26.258"	"4.852"
"GO:0019899"	"enzyme binding"	"7.553"	"645"	"489.528"	"20.585"
"GO:0050649"	"testosterone 6-beta-hydroxylase activity"	"7.54"	"8"	"0.46"	"0.656"
"GO:0004887"	"thyroid hormone receptor activity"	"7.149"	"13"	"2.295"	"1.497"
"GO:0030375"	"thyroid hormone receptor coactivator activity"	"7.105"	"18"	"4.146"	"1.95"
"GO:0047485"	"protein N-terminus binding"	"6.991"	"230"	"152.454"	"11.092"
"GO:0030331"	"estrogen receptor binding"	"6.953"	"93"	"46.225"	"6.727"
"GO:0032451"	"demethylase activity"	"6.946"	"16"	"3.48"	"1.802"
"GO:0008467"	"[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity"	"6.881"	"12"	"2.105"	"1.438"
"GO:0047086"	"ketosteroid monooxygenase activity"	"6.711"	"16"	"3.405"	"1.877"
"GO:0008386"	"cholesterol monooxygenase (side-chain-cleaving) activity"	"6.634"	"7"	"0.366"	"0.589"
"GO:0009055"	"electron carrier activity"	"6.586"	"70"	"33.023"	"5.614"
"GO:0003714"	"transcription corepressor activity"	"6.558"	"231"	"152.303"	"12"
"GO:0042803"	"protein homodimerization activity"	"6.459"	"603"	"473.457"	"20.055"
"GO:0050681"	"androgen receptor binding"	"6.426"	"101"	"55.158"	"7.134"
"GO:0001733"	"galactosylceramide sulfotransferase activity"	"6.393"	"8"	"1.123"	"1.076"
"GO:0005496"	"steroid binding"	"6.386"	"48"	"20.256"	"4.345"
"GO:0042975"	"peroxisome proliferator activated receptor binding"	"6.373"	"34"	"12.878"	"3.315"
"GO:0005319"	"lipid transporter activity"	"6.301"	"11"	"2.003"	"1.428"
"GO:0031406"	"carboxylic acid binding"	"6.301"	"17"	"4.05"	"2.055"
"GO:0016679"	"oxidoreductase activity, acting on diphenols and related substances as donors"	"6.23"	"7"	"0.77"	"0.855"
"GO:0016711"	"flavonoid 3'-monooxygenase activity"	"6.23"	"7"	"0.77"	"0.855"
"GO:0008794"	"arsenate reductase (glutaredoxin) activity"	"6.21"	"7"	"0.79"	"0.864"
"GO:0042626"	"ATPase activity, coupled to transmembrane movement of substances"	"6.187"	"29"	"9.747"	"3.112"
"GO:0097573"	"glutathione oxidoreductase activity"	"6.179"	"7"	"0.821"	"0.858"
"GO:0003713"	"transcription coactivator activity"	"6.17"	"340"	"247.057"	"15.065"
"GO:0003712"	"transcription cofactor activity"	"6.108"	"106"	"59.859"	"7.555"
"GO:0000976"	"transcription regulatory region sequence-specific DNA binding"	"6.074"	"90"	"49.523"	"6.665"
"GO:0001537"	"N-acetylgalactosamine 4-O-sulfotransferase activity"	"6.015"	"10"	"1.807"	"1.362"
"GO:0004467"	"long-chain fatty acid-CoA ligase activity"	"5.942"	"21"	"6.163"	"2.497"
"GO:0047555"	"3',5'-cyclic-GMP phosphodiesterase activity"	"5.926"	"28"	"10.102"	"3.02"
"GO:0004303"	"estradiol 17-beta-dehydrogenase activity"	"5.844"	"18"	"4.935"	"2.236"
"GO:0015016"	"[heparan sulfate]-glucosamine N-sulfotransferase activity"	"5.755"	"8"	"1.4"	"1.147"
"GO:0018585"	"fluorene oxygenase activity"	"5.698"	"6"	"0.302"	"0.551"
"GO:0055131"	"C3HC4-type RING finger domain binding"	"5.689"	"87"	"49.967"	"6.51"
"GO:0004509"	"steroid 21-monooxygenase activity"	"5.677"	"6"	"0.323"	"0.565"
"GO:0008404"	"arachidonic acid 14,15-epoxygenase activity"	"5.676"	"6"	"0.324"	"0.581"
"GO:0008405"	"arachidonic acid 11,12-epoxygenase activity"	"5.676"	"6"	"0.324"	"0.581"
"GO:0071614"	"linoleic acid epoxygenase activity"	"5.676"	"6"	"0.324"	"0.581"
"GO:0004364"	"glutathione transferase activity"	"5.675"	"19"	"5.702"	"2.343"
"GO:0038023"	"signaling receptor activity"	"5.672"	"115"	"68.602"	"8.18"
"GO:0008397"	"sterol 12-alpha-hydroxylase activity"	"5.664"	"6"	"0.336"	"0.577"
"GO:0033778"	"7alpha-hydroxycholest-4-en-3-one 12alpha-hydroxylase activity"	"5.664"	"6"	"0.336"	"0.577"
"GO:0004498"	"calcidiol 1-monooxygenase activity"	"5.659"	"6"	"0.341"	"0.601"
"GO:0052869"	"arachidonic acid omega-hydroxylase activity"	"5.658"	"6"	"0.342"	"0.599"
"GO:0052871"	"alpha-tocopherol omega-hydroxylase activity"	"5.658"	"6"	"0.342"	"0.599"
"GO:0052872"	"tocotrienol omega-hydroxylase activity"	"5.658"	"6"	"0.342"	"0.599"
"GO:0061896"	NA	"5.655"	"6"	"0.345"	"0.599"
"GO:0061897"	NA	"5.655"	"6"	"0.345"	"0.599"
"GO:0061898"	NA	"5.655"	"6"	"0.345"	"0.599"
