"GO.ID"	"GO.Term"	"zscore"
"GO:0042626"	"ATPase activity, coupled to transmembrane movement of substances"	"25.953"
"GO:0008396"	"oxysterol 7-alpha-hydroxylase activity"	"19.156"
"GO:0008520"	"L-ascorbate:sodium symporter activity"	"18.81"
"GO:0015205"	"nucleobase transmembrane transporter activity"	"18.81"
"GO:0015229"	"L-ascorbic acid transporter activity"	"18.81"
"GO:0070890"	"sodium-dependent L-ascorbate transmembrane transporter activity"	"18.81"
"GO:0004450"	"isocitrate dehydrogenase (NADP+) activity"	"18.489"
"GO:0005324"	"long-chain fatty acid transporter activity"	"18.208"
"GO:0004886"	"9-cis retinoic acid receptor activity"	"15.617"
"GO:0004800"	"thyroxine 5'-deiodinase activity"	"15.16"
"GO:0033885"	"10-hydroxy-9-(phosphonooxy)octadecanoate phosphatase activity"	"14.873"
"GO:0033878"	"hormone-sensitive lipase activity"	"14.71"
"GO:0004760"	"serine-pyruvate transaminase activity"	"14.398"
"GO:0047016"	"cholest-5-ene-3-beta,7-alpha-diol 3-beta-dehydrogenase activity"	"14.398"
"GO:0004467"	"long-chain fatty acid-CoA ligase activity"	"14.044"
"GO:0005102"	"receptor binding"	"13.955"
"GO:0005497"	"androgen binding"	"13.833"
"GO:0000210"	"NAD+ diphosphatase activity"	"13.831"
"GO:0001567"	"cholesterol 25-hydroxylase activity"	"13.831"
"GO:0005053"	"peroxisome matrix targeting signal-2 binding"	"13.831"
"GO:0008387"	"steroid 7-alpha-hydroxylase activity"	"13.831"
"GO:0033781"	"cholesterol 24-hydroxylase activity"	"13.831"
"GO:0045485"	"omega-6 fatty acid desaturase activity"	"13.831"
"GO:0016287"	"glycerone-phosphate O-acyltransferase activity"	"13.699"
"GO:0050080"	"malonyl-CoA decarboxylase activity"	"13.699"
"GO:0050197"	"phytanate-CoA ligase activity"	"13.699"
"GO:0070251"	"pristanate-CoA ligase activity"	"13.699"
"GO:0102391"	"decanoate--CoA ligase activity"	"13.574"
"GO:0000246"	"delta24(24-1) sterol reductase activity"	"13.571"
"GO:0050614"	"delta24-sterol reductase activity"	"13.571"
"GO:1902118"	"calcidiol binding"	"13.571"
"GO:0008397"	"sterol 12-alpha-hydroxylase activity"	"13.325"
"GO:0033778"	"7alpha-hydroxycholest-4-en-3-one 12alpha-hydroxylase activity"	"13.325"
"GO:0070974"	"POU domain binding"	"13.325"
"GO:0033814"	"propanoyl-CoA C-acyltransferase activity"	"13.207"
"GO:0050632"	"propionyl-CoA C2-trimethyltridecanoyltransferase activity"	"13.207"
"GO:1902122"	"chenodeoxycholic acid binding"	"13.207"
"GO:0008336"	"gamma-butyrobetaine dioxygenase activity"	"13.092"
"GO:0047747"	"cholate-CoA ligase activity"	"13.092"
"GO:0052899"	"N(1),N(12)-diacetylspermine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity"	"13.092"
"GO:0052902"	"spermidine:oxygen oxidoreductase (3-aminopropanal-forming) activity"	"13.092"
"GO:0052903"	"N1-acetylspermine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity"	"13.092"
"GO:0052904"	"N1-acetylspermidine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity"	"13.092"
"GO:0008111"	"alpha-methylacyl-CoA racemase activity"	"12.98"
"GO:0008123"	"cholesterol 7-alpha-monooxygenase activity"	"12.98"
"GO:0005395"	"eye pigment precursor transporter activity"	"12.871"
"GO:0017174"	"glycine N-methyltransferase activity"	"12.871"
"GO:0033989"	"3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA hydratase activity"	"12.871"
"GO:0044594"	"17-beta-hydroxysteroid dehydrogenase (NAD+) activity"	"12.871"
"GO:0005345"	"purine nucleobase transmembrane transporter activity"	"12.764"
"GO:0005350"	"pyrimidine nucleobase transmembrane transporter activity"	"12.764"
"GO:0008891"	"glycolate oxidase activity"	"12.764"
"GO:0035226"	"glutamate-cysteine ligase catalytic subunit binding"	"12.764"
"GO:0046943"	"carboxylic acid transmembrane transporter activity"	"12.764"
"GO:0047969"	"glyoxylate oxidase activity"	"12.764"
"GO:0004324"	"ferredoxin-NADP+ reductase activity"	"12.66"
"GO:0008458"	"carnitine O-octanoyltransferase activity"	"12.66"
"GO:0015039"	"NADPH-adrenodoxin reductase activity"	"12.66"
"GO:0015607"	"fatty-acyl-CoA transporter activity"	"12.66"
"GO:0048244"	"phytanoyl-CoA dioxygenase activity"	"12.558"
"GO:0008115"	"sarcosine oxidase activity"	"12.459"
"GO:0050031"	"L-pipecolate oxidase activity"	"12.459"
"GO:0016213"	"linoleoyl-CoA desaturase activity"	"12.175"
"GO:0019145"	"aminobutyraldehyde dehydrogenase activity"	"12.085"
"GO:0033737"	"1-pyrroline dehydrogenase activity"	"12.085"
"GO:0036105"	"peroxisome membrane class-1 targeting sequence binding"	"12.085"
"GO:0047105"	"4-trimethylammoniobutyraldehyde dehydrogenase activity"	"12.085"
"GO:0051786"	"all-trans-retinol 13,14-reductase activity"	"11.742"
"GO:0015485"	"cholesterol binding"	"11.647"
"GO:0017127"	"cholesterol transporter activity"	"11.619"
"GO:0003707"	"steroid hormone receptor activity"	"10.892"
"GO:0005496"	"steroid binding"	"10.794"
"GO:0003854"	"3-beta-hydroxy-delta5-steroid dehydrogenase activity"	"10.659"
"GO:0015245"	"fatty acid transporter activity"	"10.352"
"GO:0016229"	"steroid dehydrogenase activity"	"10.145"
"GO:0047787"	"delta4-3-oxosteroid 5beta-reductase activity"	"9.85"
"GO:0001758"	"retinal dehydrogenase activity"	"9.826"
"GO:0000248"	"C-5 sterol desaturase activity"	"9.754"
"GO:0034736"	"cholesterol O-acyltransferase activity"	"9.615"
"GO:0090482"	"vitamin transmembrane transporter activity"	"9.615"
"GO:0034188"	"apolipoprotein A-I receptor activity"	"9.438"
"GO:0046592"	"polyamine oxidase activity"	"9.438"
"GO:0052901"	"spermine:oxygen oxidoreductase (spermidine-forming) activity"	"9.438"
"GO:0090556"	"phosphatidylserine-translocating ATPase activity"	"9.438"
"GO:0015166"	"polyol transmembrane transporter activity"	"9.396"
"GO:0052852"	"very-long-chain-(S)-2-hydroxy-acid oxidase activity"	"9.353"
"GO:0052853"	"long-chain-(S)-2-hydroxy-long-chain-acid oxidase activity"	"9.353"
"GO:0052854"	"medium-chain-(S)-2-hydroxy-acid oxidase activity"	"9.353"
"GO:0016491"	"oxidoreductase activity"	"9.338"
"GO:0038181"	"bile acid receptor activity"	"9.312"
"GO:0090555"	"phosphatidylethanolamine-translocating ATPase activity"	"9.271"
"GO:0102294"	NA	"9.19"
"GO:1904768"	"all-trans-retinol binding"	"9.151"
"GO:0051990"	"(R)-2-hydroxyglutarate dehydrogenase activity"	"9.112"
"GO:0070538"	"oleic acid binding"	"8.998"
"GO:0008430"	"selenium binding"	"8.997"
"GO:0008035"	"high-density lipoprotein particle binding"	"8.932"
"GO:0004452"	"isopentenyl-diphosphate delta-isomerase activity"	"8.817"
"GO:0008453"	"alanine-glyoxylate transaminase activity"	"8.817"
"GO:0016830"	"carbon-carbon lyase activity"	"8.817"
"GO:0004357"	"glutamate-cysteine ligase activity"	"8.782"
