"GO.ID"	"GO.Term"	"Z-score"
"GO:0070062"	"extracellular exosome"	"11.525"
"GO:0005789"	"endoplasmic reticulum membrane"	"11.514"
"GO:0005576"	"extracellular region"	"10.519"
"GO:0005783"	"endoplasmic reticulum"	"10.346"
"GO:0016021"	"integral component of membrane"	"10.22"
"GO:0005788"	"endoplasmic reticulum lumen"	"10.005"
"GO:0009986"	"cell surface"	"9.326"
"GO:0005887"	"integral component of plasma membrane"	"8.182"
"GO:0005759"	"mitochondrial matrix"	"8.157"
"GO:0005886"	"plasma membrane"	"8.014"
"GO:0005615"	"extracellular space"	"7.918"
"GO:0036053"	"glomerular endothelium fenestra"	"7.838"
"GO:0031302"	"intrinsic component of endosome membrane"	"7.447"
"GO:0034361"	"very-low-density lipoprotein particle"	"7.181"
"GO:1904813"	"ficolin-1-rich granule lumen"	"6.665"
"GO:0043209"	"myelin sheath"	"6.604"
"GO:0097197"	"tetraspanin-enriched microdomain"	"6.598"
"GO:0043259"	"laminin-10 complex"	"6.442"
"GO:0031090"	"organelle membrane"	"6.358"
"GO:0042627"	"chylomicron"	"6.282"
"GO:0072562"	"blood microparticle"	"6.274"
"GO:0036019"	"endolysosome"	"6.17"
"GO:0043260"	"laminin-11 complex"	"6.133"
"GO:0030008"	"TRAPP complex"	"6.037"
"GO:0034366"	"spherical high-density lipoprotein particle"	"6.005"
"GO:0005606"	"laminin-1 complex"	"5.989"
"GO:0016324"	"apical plasma membrane"	"5.929"
"GO:0042765"	"GPI-anchor transamidase complex"	"5.863"
"GO:0043202"	"lysosomal lumen"	"5.78"
"GO:0035578"	"azurophil granule lumen"	"5.738"
"GO:0005737"	"cytoplasm"	"5.64"
"GO:0042470"	"melanosome"	"5.634"
"GO:0062023"	NA	"5.601"
"GO:0034364"	"high-density lipoprotein particle"	"5.553"
"GO:0034774"	"secretory granule lumen"	"5.553"
"GO:0000139"	"Golgi membrane"	"5.492"
"GO:0031012"	"extracellular matrix"	"5.386"
"GO:0005793"	"endoplasmic reticulum-Golgi intermediate compartment"	"5.36"
"GO:0005764"	"lysosome"	"5.286"
"GO:0005579"	"membrane attack complex"	"5.269"
"GO:0043257"	"laminin-8 complex"	"5.126"
"GO:0002169"	"3-methylcrotonyl-CoA carboxylase complex, mitochondrial"	"5.027"
"GO:1905202"	"methylcrotonoyl-CoA carboxylase complex"	"5.027"
"GO:0032432"	"actin filament bundle"	"4.896"
"GO:0005811"	"lipid particle"	"4.869"
"GO:0043235"	"receptor complex"	"4.745"
"GO:0034363"	"intermediate-density lipoprotein particle"	"4.699"
"GO:0005739"	"mitochondrion"	"4.647"
"GO:0016323"	"basolateral plasma membrane"	"4.632"
"GO:0012507"	"ER to Golgi transport vesicle membrane"	"4.59"
"GO:0035579"	"specific granule membrane"	"4.553"
"GO:0005639"	"integral component of nuclear inner membrane"	"4.527"
"GO:0097489"	"multivesicular body, internal vesicle lumen"	"4.481"
"GO:0044322"	"endoplasmic reticulum quality control compartment"	"4.446"
"GO:0043231"	"intracellular membrane-bounded organelle"	"4.434"
"GO:0005765"	"lysosomal membrane"	"4.424"
"GO:0070435"	"Shc-EGFR complex"	"4.372"
"GO:0034663"	"endoplasmic reticulum chaperone complex"	"4.343"
"GO:0030127"	"COPII vesicle coat"	"4.259"
"GO:0044297"	"cell body"	"4.111"
"GO:0036457"	"keratohyalin granule"	"4.047"
"GO:1990071"	"TRAPPII protein complex"	"4.026"
"GO:0072534"	"perineuronal net"	"4.01"
"GO:0031093"	"platelet alpha granule lumen"	"3.986"
"GO:0071682"	"endocytic vesicle lumen"	"3.978"
"GO:0030134"	"ER to Golgi transport vesicle"	"3.912"
"GO:0097232"	"lamellar body membrane"	"3.888"
"GO:0005604"	"basement membrane"	"3.883"
"GO:0005607"	"laminin-2 complex"	"3.876"
"GO:0097233"	"alveolar lamellar body membrane"	"3.855"
"GO:0098797"	"plasma membrane protein complex"	"3.853"
"GO:0030176"	"integral component of endoplasmic reticulum membrane"	"3.808"
"GO:0045239"	"tricarboxylic acid cycle enzyme complex"	"3.798"
"GO:0048471"	"perinuclear region of cytoplasm"	"3.782"
"GO:0019866"	"organelle inner membrane"	"3.76"
"GO:0005608"	"laminin-3 complex"	"3.731"
"GO:0008180"	"COP9 signalosome"	"3.705"
"GO:0005790"	"smooth endoplasmic reticulum"	"3.665"
"GO:0001527"	"microfibril"	"3.648"
"GO:0009897"	"external side of plasma membrane"	"3.545"
"GO:0000839"	"Hrd1p ubiquitin ligase ERAD-L complex"	"3.533"
"GO:1990072"	"TRAPPIII protein complex"	"3.53"
"GO:0031526"	"brush border membrane"	"3.478"
"GO:0034365"	"discoidal high-density lipoprotein particle"	"3.474"
"GO:0002199"	"zona pellucida receptor complex"	"3.467"
"GO:0061830"	NA	"3.459"
"GO:0035577"	"azurophil granule membrane"	"3.451"
"GO:0000836"	"Hrd1p ubiquitin ligase complex"	"3.435"
"GO:0036488"	"CHOP-C/EBP complex"	"3.396"
"GO:0017101"	"aminoacyl-tRNA synthetase multienzyme complex"	"3.379"
"GO:0009925"	"basal plasma membrane"	"3.341"
"GO:0034362"	"low-density lipoprotein particle"	"3.341"
"GO:0005641"	"nuclear envelope lumen"	"3.319"
"GO:0022624"	"proteasome accessory complex"	"3.285"
"GO:0070971"	"endoplasmic reticulum exit site"	"3.276"
"GO:0016020"	"membrane"	"3.275"
"GO:0045121"	"membrane raft"	"3.271"
"GO:1990617"	"CHOP-ATF4 complex"	"3.256"
"GO:0060077"	"inhibitory synapse"	"3.255"
"GO:0071556"	"integral component of lumenal side of endoplasmic reticulum membrane"	"3.254"
