Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0006695tcholesterol biosynthetic process	16	21.91780821917808	2.4157221834935693E-25	ENSG00000147155, ENSG00000104549, ENSG00000067064, ENSG00000167508, ENSG00000163344, ENSG00000147383, ENSG00000110921, ENSG00000172893, ENSG00000079459, ENSG00000160752, ENSG00000113161, ENSG00000149809, ENSG00000132196, ENSG00000112972, ENSG00000001630, ENSG00000160285	69	48	16792	81.1207729468599	6.017563959082481E-22	6.017563959082481E-22	4.2598361902334375E-22
GOTERM_BP_ALL	GO:1902653tsecondary alcohol biosynthetic process	16	21.91780821917808	3.4704619903183277E-25	ENSG00000147155, ENSG00000104549, ENSG00000067064, ENSG00000167508, ENSG00000163344, ENSG00000147383, ENSG00000110921, ENSG00000172893, ENSG00000079459, ENSG00000160752, ENSG00000113161, ENSG00000149809, ENSG00000132196, ENSG00000112972, ENSG00000001630, ENSG00000160285	69	49	16792	79.46524696835256	8.644920817882954E-22	4.322460408941477E-22	6.119743273544738E-22
GOTERM_BP_ALL	GO:0016126tsterol biosynthetic process	16	21.91780821917808	1.876266162010804E-24	ENSG00000147155, ENSG00000104549, ENSG00000067064, ENSG00000167508, ENSG00000163344, ENSG00000147383, ENSG00000110921, ENSG00000172893, ENSG00000079459, ENSG00000160752, ENSG00000113161, ENSG00000149809, ENSG00000132196, ENSG00000112972, ENSG00000001630, ENSG00000160285	69	54	16792	72.10735373054214	4.673779009568913E-21	1.557926336522971E-21	3.308570229663288E-21
GOTERM_BP_ALL	GO:0006629tlipid metabolic process	38	52.054794520547944	2.0413421181147445E-23	ENSG00000164687, ENSG00000099194, ENSG00000147155, ENSG00000188313, ENSG00000104549, ENSG00000104823, ENSG00000175445, ENSG00000120437, ENSG00000134824, ENSG00000079459, ENSG00000172893, ENSG00000160752, ENSG00000113161, ENSG00000149809, ENSG00000198911, ENSG00000112972, ENSG00000001630, ENSG00000132170, ENSG00000067992, ENSG00000166148, ENSG00000213366, ENSG00000067064, ENSG00000167508, ENSG00000110721, ENSG00000163344, ENSG00000185813, ENSG00000147383, ENSG00000110921, ENSG00000198099, ENSG00000011422, ENSG00000100600, ENSG00000107331, ENSG00000101255, ENSG00000132196, ENSG00000160285, ENSG00000169710, ENSG00000164211, ENSG00000131069	69	1330	16792	6.9532091097308495	5.0849832162238286E-20	1.2712458040559571E-20	3.5996618695686693E-20
GOTERM_BP_ALL	GO:0044283tsmall molecule biosynthetic process	27	36.986301369863014	7.782167950738958E-23	ENSG00000099194, ENSG00000147155, ENSG00000104549, ENSG00000175445, ENSG00000134824, ENSG00000079459, ENSG00000172893, ENSG00000160752, ENSG00000113161, ENSG00000149809, ENSG00000112972, ENSG00000001630, ENSG00000166148, ENSG00000160200, ENSG00000162772, ENSG00000067064, ENSG00000167508, ENSG00000163344, ENSG00000147383, ENSG00000109107, ENSG00000110921, ENSG00000101255, ENSG00000132196, ENSG00000169710, ENSG00000160285, ENSG00000164211, ENSG00000131069	69	488	16792	13.46471846044191	1.9385380365290745E-19	3.877076073058149E-20	1.3722919341283954E-19
GOTERM_BP_ALL	GO:0008610tlipid biosynthetic process	28	38.35616438356164	2.1882656049321983E-21	ENSG00000099194, ENSG00000188313, ENSG00000147155, ENSG00000104549, ENSG00000175445, ENSG00000134824, ENSG00000079459, ENSG00000172893, ENSG00000160752, ENSG00000113161, ENSG00000149809, ENSG00000112972, ENSG00000001630, ENSG00000166148, ENSG00000067064, ENSG00000167508, ENSG00000110721, ENSG00000163344, ENSG00000185813, ENSG00000147383, ENSG00000110921, ENSG00000011422, ENSG00000101255, ENSG00000132196, ENSG00000169710, ENSG00000160285, ENSG00000164211, ENSG00000131069	69	624	16792	10.920104050538834	5.450969621886106E-18	9.084949369810176E-19	3.8587438081362715E-18
GOTERM_BP_ALL	GO:0008203tcholesterol metabolic process	17	23.28767123287671	8.52947231565192E-21	ENSG00000147155, ENSG00000104549, ENSG00000067064, ENSG00000167508, ENSG00000163344, ENSG00000147383, ENSG00000079459, ENSG00000110921, ENSG00000172893, ENSG00000160752, ENSG00000113161, ENSG00000132196, ENSG00000149809, ENSG00000198911, ENSG00000112972, ENSG00000001630, ENSG00000160285	69	115	16792	35.97529930686831	2.124691553828893E-17	3.0352736483269897E-18	1.5040700914234486E-17
GOTERM_BP_ALL	GO:1902652tsecondary alcohol metabolic process	17	23.28767123287671	1.999131307882087E-20	ENSG00000147155, ENSG00000104549, ENSG00000067064, ENSG00000167508, ENSG00000163344, ENSG00000147383, ENSG00000079459, ENSG00000110921, ENSG00000172893, ENSG00000160752, ENSG00000113161, ENSG00000132196, ENSG00000149809, ENSG00000198911, ENSG00000112972, ENSG00000001630, ENSG00000160285	69	121	16792	34.191400167684755	4.9798360879342785E-17	6.224795109917848E-18	3.525228170910444E-17
GOTERM_BP_ALL	GO:0016125tsterol metabolic process	17	23.28767123287671	5.80769081863755E-20	ENSG00000147155, ENSG00000104549, ENSG00000067064, ENSG00000167508, ENSG00000163344, ENSG00000147383, ENSG00000079459, ENSG00000110921, ENSG00000172893, ENSG00000160752, ENSG00000113161, ENSG00000132196, ENSG00000149809, ENSG00000198911, ENSG00000112972, ENSG00000001630, ENSG00000160285	69	129	16792	32.0710032580609	1.4466957829226138E-16	1.607439758802904E-17	1.0241165850925986E-16
GOTERM_BP_ALL	GO:0046165talcohol biosynthetic process	16	21.91780821917808	7.575883107649983E-20	ENSG00000147155, ENSG00000104549, ENSG00000067064, ENSG00000167508, ENSG00000163344, ENSG00000147383, ENSG00000110921, ENSG00000172893, ENSG00000079459, ENSG00000160752, ENSG00000113161, ENSG00000149809, ENSG00000132196, ENSG00000112972, ENSG00000001630, ENSG00000160285	69	103	16792	37.80385535387646	1.8871524821156107E-16	1.8871524821156107E-17	1.3359160774139356E-16
