geneSet	description	link	C	O	E	R	pValue	FDR	overlapId	userId
hsa04610	Complement and coagulation cascades	http://www.kegg.jp/kegg-bin/show_pathway?hsa04610+10747+1191+1361+1675+2+2147+2151+2152+2157+2158+2159+2160+2161+2165+2243+2266+3075+3426+3818+4153+462+5054+5055+5265+5327+5328+5340+5624+5627+629+7056+710+712+715+716+717+718+731+732+733+735+7450	79	42	1.3844625112917797	30.33668276132063	0	0	10747;1191;1361;1675;2;2147;2151;2152;2157;2158;2159;2160;2161;2165;2243;2266;3075;3426;3818;4153;462;5054;5055;5265;5327;5328;5340;5624;5627;629;7056;710;712;715;716;717;718;731;732;733;735;7450	ENSG00000175899;ENSG00000173372;ENSG00000159403;ENSG00000182326;ENSG00000166278;ENSG00000204364;ENSG00000206372;ENSG00000226560;ENSG00000231543;ENSG00000235017;ENSG00000235696;ENSG00000125730;ENSG00000157131;ENSG00000021852;ENSG00000176919;ENSG00000113600;ENSG00000204359;ENSG00000239754;ENSG00000241253;ENSG00000241534;ENSG00000242335;ENSG00000243570;ENSG00000243649;ENSG00000197766;ENSG00000274619;ENSG00000000971;ENSG00000205403;ENSG00000120885;ENSG00000080618;ENSG00000126218;ENSG00000088926;ENSG00000131187;ENSG00000143278;ENSG00000180210;ENSG00000164220;ENSG00000117525;ENSG00000185010;ENSG00000101981;ENSG00000171560;ENSG00000171557;ENSG00000164344;ENSG00000009724;ENSG00000165471;ENSG00000104368;ENSG00000122861;ENSG00000122194;ENSG00000115718;ENSG00000184500;ENSG00000197249;ENSG00000277377;ENSG00000197632;ENSG00000117601;ENSG00000106366;ENSG00000149131;ENSG00000178726;ENSG00000110799
hsa05150	Staphylococcus aureus infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05150+10747+1675+2266+3075+3426+4153+5340+629+712+715+716+717+718	52	13	0.9112917795844626	14.265463917525771	2.342903648866468e-12	3.490926436811037e-10	10747;1675;2266;3075;3426;4153;5340;629;712;715;716;717;718	ENSG00000173372;ENSG00000159403;ENSG00000182326;ENSG00000166278;ENSG00000204364;ENSG00000206372;ENSG00000226560;ENSG00000231543;ENSG00000235017;ENSG00000235696;ENSG00000125730;ENSG00000204359;ENSG00000239754;ENSG00000241253;ENSG00000241534;ENSG00000242335;ENSG00000243570;ENSG00000243649;ENSG00000197766;ENSG00000274619;ENSG00000000971;ENSG00000205403;ENSG00000171557;ENSG00000009724;ENSG00000165471;ENSG00000122194
hsa05020	Prion diseases	http://www.kegg.jp/kegg-bin/show_pathway?hsa05020+2534+712+731+732+733+735	35	6	0.6133694670280037	9.7820324005891	2.6695190745940067e-5	0.00265172228076338	2534;712;731;732;733;735	ENSG00000173372;ENSG00000157131;ENSG00000021852;ENSG00000176919;ENSG00000113600;ENSG00000010810
hsa04512	ECM-receptor interaction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04512+1311+2335+2811+2815+3673+3690+7057+7450	81	8	1.4195121951219514	5.63573883161512	7.47385640180731e-5	0.005102923206439592	1311;2335;2811;2815;3673;3690;7057;7450	ENSG00000105664;ENSG00000115414;ENSG00000185245;ENSG00000169704;ENSG00000164171;ENSG00000259207;ENSG00000137801;ENSG00000110799
hsa04145	Phagosome	http://www.kegg.jp/kegg-bin/show_pathway?hsa04145+1311+3673+3690+3920+4153+4973+5879+7057+715+718	131	10	2.2957542908762423	4.355866845046037	8.561951688657032e-5	0.005102923206439592	1311;3673;3690;3920;4153;4973;5879;7057;715;718	ENSG00000159403;ENSG00000125730;ENSG00000105664;ENSG00000164171;ENSG00000259207;ENSG00000005893;ENSG00000165471;ENSG00000173391;ENSG00000136238;ENSG00000137801
hsa04611	Platelet activation	http://www.kegg.jp/kegg-bin/show_pathway?hsa04611+2243+2266+2534+2811+2815+3673+3690+5028+7450	113	9	1.9803071364046976	4.544749566645379	1.4238756990048174e-4	0.007071915971723926	2243;2266;2534;2811;2815;3673;3690;5028;7450	ENSG00000171560;ENSG00000171557;ENSG00000010810;ENSG00000185245;ENSG00000169704;ENSG00000164171;ENSG00000259207;ENSG00000169860;ENSG00000110799
hsa05322	Systemic lupus erythematosus	http://www.kegg.jp/kegg-bin/show_pathway?hsa05322+712+715+716+717+718+731+732+733+735	117	9	2.050406504065041	4.389373513084853	1.8593203009675818e-4	0.007915392138404849	712;715;716;717;718;731;732;733;735	ENSG00000173372;ENSG00000159403;ENSG00000182326;ENSG00000166278;ENSG00000204364;ENSG00000206372;ENSG00000226560;ENSG00000231543;ENSG00000235017;ENSG00000235696;ENSG00000125730;ENSG00000157131;ENSG00000021852;ENSG00000176919;ENSG00000113600
hsa04979	Cholesterol metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa04979+335+341+344+345+4035	40	5	0.7009936766034328	7.132731958762886	6.033265404310484e-4	0.022473913631056552	335;341;344;345;4035	ENSG00000118137;ENSG00000130208;ENSG00000234906;ENSG00000110245;ENSG00000123384
hsa05418	Fluid shear stress and atherosclerosis	http://www.kegg.jp/kegg-bin/show_pathway?hsa05418+3690+4313+4318+5155+5175+5327+5879+7056	122	8	2.13803071364047	3.7417610275477435	0.001242103343604084	0.04112742182155745	3690;4313;4318;5155;5175;5327;5879;7056	ENSG00000259207;ENSG00000087245;ENSG00000100985;ENSG00000100311;ENSG00000261371;ENSG00000104368;ENSG00000136238;ENSG00000178726
hsa05133	Pertussis	http://www.kegg.jp/kegg-bin/show_pathway?hsa05133+710+712+715+716+717+718	73	6	1.2793134598012648	4.690015534529021	0.0016386813466957584	0.04551015357009308	710;712;715;716;717;718	ENSG00000173372;ENSG00000159403;ENSG00000182326;ENSG00000166278;ENSG00000204364;ENSG00000206372;ENSG00000226560;ENSG00000231543;ENSG00000235017;ENSG00000235696;ENSG00000125730;ENSG00000149131
