"GO.ID"	"GO.Term"	"zscore"
"GO:0005886"	"plasma membrane"	"43.591"
"GO:0005576"	"extracellular region"	"31.126"
"GO:0009897"	"external side of plasma membrane"	"29.249"
"GO:0005887"	"integral component of plasma membrane"	"27.559"
"GO:0005615"	"extracellular space"	"27.132"
"GO:0042571"	"immunoglobulin complex, circulating"	"25.919"
"GO:0062023"	NA	"19.414"
"GO:0009986"	"cell surface"	"19.023"
"GO:0043235"	"receptor complex"	"18.071"
"GO:0005788"	"endoplasmic reticulum lumen"	"16.828"
"GO:0005579"	"membrane attack complex"	"15.402"
"GO:0072562"	"blood microparticle"	"15.361"
"GO:0045121"	"membrane raft"	"14.485"
"GO:0098636"	"protein complex involved in cell adhesion"	"14.387"
"GO:0031233"	"intrinsic component of external side of plasma membrane"	"13.396"
"GO:0016021"	"integral component of membrane"	"13.36"
"GO:0031093"	"platelet alpha granule lumen"	"13.334"
"GO:0031259"	"uropod membrane"	"12.865"
"GO:0012507"	"ER to Golgi transport vesicle membrane"	"12.37"
"GO:0031012"	"extracellular matrix"	"11.892"
"GO:0033116"	"endoplasmic reticulum-Golgi intermediate compartment membrane"	"11.622"
"GO:0030027"	"lamellipodium"	"11.546"
"GO:0005604"	"basement membrane"	"11.474"
"GO:0044216"	"other organism cell"	"11.414"
"GO:0098978"	"glutamatergic synapse"	"11.227"
"GO:0000139"	"Golgi membrane"	"11.045"
"GO:0005911"	"cell-cell junction"	"10.966"
"GO:0034361"	"very-low-density lipoprotein particle"	"10.914"
"GO:0016323"	"basolateral plasma membrane"	"10.721"
"GO:0016324"	"apical plasma membrane"	"10.447"
"GO:0031226"	"intrinsic component of plasma membrane"	"10.404"
"GO:0070062"	"extracellular exosome"	"10.242"
"GO:0030054"	"cell junction"	"10.024"
"GO:0005622"	"intracellular"	"9.931"
"GO:0042627"	"chylomicron"	"9.524"
"GO:0070110"	"ciliary neurotrophic factor receptor complex"	"9.524"
"GO:0042629"	"mast cell granule"	"9.489"
"GO:0005602"	"complement component C1 complex"	"9.32"
"GO:0005942"	"phosphatidylinositol 3-kinase complex"	"9.143"
"GO:0030008"	"TRAPP complex"	"9.046"
"GO:0045211"	"postsynaptic membrane"	"8.877"
"GO:0031234"	"extrinsic component of cytoplasmic side of plasma membrane"	"8.87"
"GO:0005796"	"Golgi lumen"	"8.687"
"GO:0030425"	"dendrite"	"8.558"
"GO:0008287"	"protein serine/threonine phosphatase complex"	"8.451"
"GO:0043005"	"neuron projection"	"8.407"
"GO:0043197"	"dendritic spine"	"8.324"
"GO:0005581"	"collagen trimer"	"8.322"
"GO:0031225"	"anchored component of membrane"	"8.289"
"GO:0042613"	"MHC class II protein complex"	"8.288"
"GO:0034362"	"low-density lipoprotein particle"	"8.121"
"GO:0030658"	"transport vesicle membrane"	"8.107"
"GO:0005896"	"interleukin-6 receptor complex"	"8.106"
"GO:0030424"	"axon"	"8.075"
"GO:0005794"	"Golgi apparatus"	"8.009"
"GO:0005925"	"focal adhesion"	"7.991"
"GO:0005900"	"oncostatin-M receptor complex"	"7.942"
"GO:0034366"	"spherical high-density lipoprotein particle"	"7.854"
"GO:0031091"	"platelet alpha granule"	"7.842"
"GO:0005768"	"endosome"	"7.806"
"GO:0017146"	"NMDA selective glutamate receptor complex"	"7.782"
