"ID"	"Pathway"	"zscore"	"obs"	"mean"	"std"
"hsa04610"	"Complement and coagulation cascades"	"36.839"	"419"	"85.977"	"9.04"
"hsa04062"	"Chemokine signaling pathway"	"26.257"	"1178"	"568.123"	"23.228"
"hsa04510"	"Focal adhesion"	"23.339"	"1056"	"547.435"	"21.79"
"hsa05150"	"Staphylococcus aureus infection"	"23.32"	"259"	"72.439"	"8"
"hsa04014"	"Ras signaling pathway"	"22.968"	"1065"	"554.717"	"22.217"
"hsa04015"	"Rap1 signaling pathway"	"22.572"	"983"	"505.843"	"21.139"
"hsa05200"	"Pathways in cancer"	"22.49"	"2238"	"1433.444"	"35.775"
"hsa04650"	"Natural killer cell mediated cytotoxicity"	"21.509"	"594"	"264.373"	"15.325"
"hsa04060"	"Cytokine-cytokine receptor interaction"	"21.239"	"650"	"292.71"	"16.822"
"hsa04151"	"PI3K-Akt signaling pathway"	"21.199"	"1589"	"986.861"	"28.404"
"hsa04072"	"Phospholipase D signaling pathway"	"20.928"	"745"	"360.931"	"18.352"
"hsa04810"	"Regulation of actin cytoskeleton"	"20.615"	"998"	"552.801"	"21.596"
"hsa04630"	"Jak-STAT signaling pathway"	"20.33"	"570"	"263.43"	"15.08"
"hsa05205"	"Proteoglycans in cancer"	"19.921"	"1147"	"670.278"	"23.931"
"hsa04660"	"T cell receptor signaling pathway"	"19.505"	"707"	"358.639"	"17.86"
"hsa04012"	"ErbB signaling pathway"	"19.069"	"689"	"350.22"	"17.766"
"hsa04664"	"Fc epsilon RI signaling pathway"	"18.875"	"472"	"217.162"	"13.501"
"hsa04360"	"Axon guidance"	"18.771"	"726"	"372.955"	"18.808"
"hsa04662"	"B cell receptor signaling pathway"	"17.654"	"531"	"265.301"	"15.051"
"hsa04640"	"Hematopoietic cell lineage"	"17.532"	"255"	"92.791"	"9.252"
"hsa04933"	"AGE-RAGE signaling pathway in diabetic complications"	"17.459"	"623"	"325.457"	"17.042"
"hsa04611"	"Platelet activation"	"17.411"	"640"	"341.473"	"17.146"
"hsa04010"	"MAPK signaling pathway"	"17.385"	"1363"	"884.567"	"27.521"
"hsa04380"	"Osteoclast differentiation"	"16.927"	"658"	"355.914"	"17.847"
"hsa04926"	"Relaxin signaling pathway"	"16.842"	"802"	"458.809"	"20.378"
"hsa04725"	"Cholinergic synapse"	"16.484"	"534"	"274.66"	"15.732"
"hsa04666"	"Fc gamma R-mediated phagocytosis"	"16.456"	"513"	"259.929"	"15.378"
"hsa04512"	"ECM-receptor interaction"	"15.988"	"226"	"83.896"	"8.888"
"hsa04620"	"Toll-like receptor signaling pathway"	"15.95"	"525"	"279.206"	"15.411"
"hsa05167"	"Kaposi's sarcoma-associated herpesvirus infection"	"15.83"	"1035"	"653.914"	"24.074"
"hsa04625"	"C-type lectin receptor signaling pathway"	"15.708"	"604"	"332.444"	"17.288"
"hsa05161"	"Hepatitis B"	"15.58"	"887"	"551.031"	"21.564"
"hsa05142"	"Chagas disease (American trypanosomiasis)"	"15.55"	"660"	"379.652"	"18.028"
"hsa05133"	"Pertussis"	"15.359"	"480"	"246.467"	"15.205"
"hsa04670"	"Leukocyte transendothelial migration"	"15.1"	"520"	"280.403"	"15.867"
"hsa04722"	"Neurotrophin signaling pathway"	"15.078"	"779"	"468.723"	"20.578"
"hsa04917"	"Prolactin signaling pathway"	"15.062"	"497"	"261.315"	"15.648"
"hsa04024"	"cAMP signaling pathway"	"14.837"	"891"	"548.049"	"23.115"
"hsa05152"	"Tuberculosis"	"14.795"	"719"	"426.188"	"19.791"
"hsa05140"	"Leishmaniasis"	"14.7"	"395"	"200.914"	"13.203"
"hsa05146"	"Amoebiasis"	"14.635"	"418"	"219.752"	"13.546"
"hsa05165"	"Human papillomavirus infection"	"14.62"	"1250"	"863.22"	"26.455"
"hsa05160"	"Hepatitis C"	"14.542"	"685"	"404.862"	"19.265"
"hsa05215"	"Prostate cancer"	"14.455"	"702"	"418.372"	"19.621"
"hsa05231"	"Choline metabolism in cancer"	"14.409"	"473"	"258.797"	"14.866"
"hsa04659"	"Th17 cell differentiation"	"14.176"	"600"	"349.15"	"17.695"
"hsa04370"	"VEGF signaling pathway"	"14.038"	"393"	"199.964"	"13.751"
"hsa04080"	"Neuroactive ligand-receptor interaction"	"14.004"	"935"	"589.761"	"24.653"
"hsa04658"	"Th1 and Th2 cell differentiation"	"13.941"	"452"	"243.638"	"14.946"
"hsa05145"	"Toxoplasmosis"	"13.898"	"731"	"455.289"	"19.839"
"hsa04071"	"Sphingolipid signaling pathway"	"13.873"	"665"	"398.694"	"19.195"
"hsa05211"	"Renal cell carcinoma"	"13.833"	"501"	"279.634"	"16.003"
"hsa04724"	"Glutamatergic synapse"	"13.766"	"452"	"247.957"	"14.823"
"hsa05221"	"Acute myeloid leukemia"	"13.71"	"444"	"241.734"	"14.754"
"hsa05332"	"Graft-versus-host disease"	"13.54"	"137"	"49.215"	"6.484"
"hsa05223"	"Non-small cell lung cancer"	"13.492"	"460"	"261.483"	"14.714"
"hsa05220"	"Chronic myeloid leukemia"	"13.387"	"605"	"366.717"	"17.8"
"hsa04668"	"TNF signaling pathway"	"13.294"	"571"	"333.595"	"17.858"
"hsa04742"	"Taste transduction"	"13.248"	"336"	"170.127"	"12.521"
"hsa05218"	"Melanoma"	"13.13"	"425"	"235.867"	"14.405"
"hsa05212"	"Pancreatic cancer"	"13.04"	"529"	"314.85"	"16.423"
"hsa05214"	"Glioma"	"13.009"	"506"	"297.121"	"16.056"
"hsa04064"	"NF-kappa B signaling pathway"	"12.825"	"484"	"276.392"	"16.188"
"hsa04726"	"Serotonergic synapse"	"12.543"	"453"	"265.043"	"14.985"
"hsa05330"	"Allograft rejection"	"12.451"	"132"	"50.149"	"6.574"
"hsa05206"	"MicroRNAs in cancer"	"12.443"	"769"	"503.695"	"21.322"
"hsa05226"	"Gastric cancer"	"12.145"	"658"	"426.545"	"19.058"
"hsa04912"	"GnRH signaling pathway"	"12.135"	"498"	"300.457"	"16.279"
"hsa04915"	"Estrogen signaling pathway"	"11.859"	"898"	"631.832"	"22.443"
"hsa04940"	"Type I diabetes mellitus"	"11.812"	"160"	"69.754"	"7.64"
"hsa05224"	"Breast cancer"	"11.532"	"679"	"453.32"	"19.57"
"hsa05144"	"Malaria"	"11.51"	"141"	"58.918"	"7.131"
"hsa05321"	"Inflammatory bowel disease (IBD)"	"11.401"	"240"	"123.799"	"10.192"
"hsa05210"	"Colorectal cancer"	"11.27"	"566"	"367.271"	"17.633"
"hsa05100"	"Bacterial invasion of epithelial cells"	"11.25"	"478"	"298.088"	"15.992"
"hsa04210"	"Apoptosis"	"11.244"	"751"	"518.496"	"20.678"
"hsa05222"	"Small cell lung cancer"	"11.088"	"510"	"323.553"	"16.815"
"hsa04713"	"Circadian entrainment"	"11.041"	"415"	"241.01"	"15.759"
"hsa04923"	"Regulation of lipolysis in adipocytes"	"11.027"	"257"	"134.155"	"11.141"
"hsa04621"	"NOD-like receptor signaling pathway"	"11.005"	"672"	"451.775"	"20.011"
"hsa04371"	"Apelin signaling pathway"	"10.976"	"609"	"397.401"	"19.279"
"hsa05213"	"Endometrial cancer"	"10.937"	"422"	"258.424"	"14.956"
"hsa04672"	"Intestinal immune network for IgA production"	"10.928"	"154"	"67.495"	"7.916"
"hsa05320"	"Autoimmune thyroid disease"	"10.872"	"135"	"57.811"	"7.1"
"hsa05225"	"Hepatocellular carcinoma"	"10.809"	"710"	"494.125"	"19.971"
"hsa05032"	"Morphine addiction"	"10.799"	"295"	"162.858"	"12.237"
"hsa04140"	"Autophagy - animal"	"10.539"	"544"	"355.812"	"17.856"
"hsa05162"	"Measles"	"10.385"	"706"	"493.78"	"20.435"
"hsa04514"	"Cell adhesion molecules (CAMs)"	"10.331"	"224"	"116.677"	"10.389"
"hsa04730"	"Long-term depression"	"10.31"	"304"	"173.895"	"12.619"
"hsa05310"	"Asthma"	"10.241"	"84"	"30.39"	"5.235"
"hsa04657"	"IL-17 signaling pathway"	"10.163"	"506"	"334.521"	"16.873"
"hsa04930"	"Type II diabetes mellitus"	"10.099"	"264"	"150.304"	"11.258"
"hsa04215"	"Apoptosis - multiple species"	"9.68"	"137"	"63.725"	"7.57"
"hsa04916"	"Melanogenesis"	"9.629"	"404"	"255.017"	"15.472"
"hsa05020"	"Prion diseases"	"9.612"	"258"	"148.48"	"11.394"
"hsa04723"	"Retrograde endocannabinoid signaling"	"9.441"	"433"	"281.054"	"16.094"
"hsa04520"	"Adherens junction"	"9.406"	"482"	"323.123"	"16.891"
"hsa05219"	"Bladder cancer"	"9.37"	"333"	"206.128"	"13.54"
"hsa04750"	"Inflammatory mediator regulation of TRP channels"	"9.345"	"419"	"274.406"	"15.473"
"hsa05132"	"Salmonella infection"	"9.268"	"465"	"306.676"	"17.083"
"hsa04921"	"Oxytocin signaling pathway"	"9.091"	"606"	"425.972"	"19.804"
"hsa04068"	"FoxO signaling pathway"	"9.081"	"702"	"502.977"	"21.916"
"hsa04066"	"HIF-1 signaling pathway"	"9.03"	"550"	"387.243"	"18.024"
"hsa04931"	"Insulin resistance"	"8.959"	"446"	"297.765"	"16.546"
"hsa04920"	"Adipocytokine signaling pathway"	"8.958"	"304"	"186.488"	"13.118"
"hsa05164"	"Influenza A"	"8.924"	"887"	"676.516"	"23.586"
