"GO.ID"	"GO.Term"	"zscore"	"obs"	"mean"	"std"
"GO:0004252"	"serine-type endopeptidase activity"	"36.086"	"443"	"91.527"	"9.74"
"GO:0003823"	"antigen binding"	"26.789"	"210"	"41.064"	"6.306"
"GO:0034987"	"immunoglobulin receptor binding"	"25.07"	"152"	"26.88"	"4.991"
"GO:0005088"	"Ras guanyl-nucleotide exchange factor activity"	"22.475"	"567"	"237.408"	"14.665"
"GO:0046934"	"phosphatidylinositol-4,5-bisphosphate 3-kinase activity"	"20.718"	"429"	"166.693"	"12.661"
"GO:0004713"	"protein tyrosine kinase activity"	"18.796"	"636"	"311.107"	"17.285"
"GO:0004866"	"endopeptidase inhibitor activity"	"16.352"	"98"	"22.964"	"4.589"
"GO:0001784"	"phosphotyrosine binding"	"16.287"	"332"	"143.817"	"11.554"
"GO:0017124"	"SH3 domain binding"	"15.948"	"433"	"204.115"	"14.352"
"GO:0004888"	"transmembrane signaling receptor activity"	"15.818"	"392"	"189.565"	"12.798"
"GO:0001848"	"complement binding"	"14.654"	"37"	"5"	"2.184"
"GO:0005070"	"SH3/SH2 adaptor activity"	"14.503"	"235"	"98.283"	"9.427"
"GO:0004930"	"G-protein coupled receptor activity"	"14.337"	"811"	"495.022"	"22.039"
"GO:0005102"	"receptor binding"	"14.179"	"908"	"575.538"	"23.447"
"GO:0005178"	"integrin binding"	"14.17"	"389"	"195.951"	"13.623"
"GO:0019955"	"cytokine binding"	"13.277"	"90"	"24.62"	"4.924"
"GO:0004715"	"non-membrane spanning protein tyrosine kinase activity"	"13.168"	"219"	"93.804"	"9.508"
"GO:0008083"	"growth factor activity"	"13.147"	"264"	"120.096"	"10.946"
"GO:0005509"	"calcium ion binding"	"12.902"	"787"	"507.38"	"21.673"
"GO:0015467"	"G-protein activated inward rectifier potassium channel activity"	"12.841"	"32"	"5.011"	"2.102"
"GO:0016303"	"1-phosphatidylinositol-3-kinase activity"	"12.397"	"220"	"100.197"	"9.664"
"GO:0004867"	"serine-type endopeptidase inhibitor activity"	"12.342"	"160"	"66.066"	"7.611"
"GO:0004714"	"transmembrane receptor protein tyrosine kinase activity"	"12.236"	"223"	"104.096"	"9.718"
"GO:0005201"	"extracellular matrix structural constituent"	"12.176"	"166"	"68.934"	"7.972"
"GO:0004896"	"cytokine receptor activity"	"12.167"	"65"	"16.719"	"3.968"
"GO:0046875"	"ephrin receptor binding"	"11.636"	"206"	"95.402"	"9.505"
"GO:0008201"	"heparin binding"	"11.607"	"340"	"185.999"	"13.268"
"GO:0005068"	"transmembrane receptor protein tyrosine kinase adaptor activity"	"11.448"	"81"	"25.364"	"4.86"
"GO:0097153"	"cysteine-type endopeptidase activity involved in apoptotic process"	"11.295"	"62"	"16.525"	"4.026"
"GO:0004016"	"adenylate cyclase activity"	"11.212"	"27"	"4.105"	"2.042"
"GO:0008009"	"chemokine activity"	"10.671"	"193"	"92.789"	"9.391"
"GO:0005154"	"epidermal growth factor receptor binding"	"10.591"	"154"	"71.31"	"7.808"
"GO:0005518"	"collagen binding"	"10.587"	"164"	"74.652"	"8.44"
"GO:0005161"	"platelet-derived growth factor receptor binding"	"10.497"	"77"	"25.108"	"4.944"
"GO:0003779"	"actin binding"	"10.401"	"587"	"387.444"	"19.186"
"GO:0005089"	"Rho guanyl-nucleotide exchange factor activity"	"9.991"	"142"	"66.059"	"7.601"
"GO:0033038"	"bitter taste receptor activity"	"9.946"	"175"	"84.99"	"9.05"
"GO:0004897"	"ciliary neurotrophic factor receptor activity"	"9.875"	"17"	"2.283"	"1.49"
"GO:0042802"	"identical protein binding"	"9.764"	"2804"	"2367.198"	"44.736"
"GO:0005242"	"inward rectifier potassium channel activity"	"9.533"	"32"	"7.45"	"2.575"
"GO:0004869"	"cysteine-type endopeptidase inhibitor activity"	"9.491"	"50"	"14.617"	"3.728"
"GO:0043560"	"insulin receptor substrate binding"	"9.296"	"115"	"50.15"	"6.976"
"GO:0004175"	"endopeptidase activity"	"9.267"	"226"	"128.52"	"10.519"
"GO:0002020"	"protease binding"	"9.144"	"432"	"283.452"	"16.246"
"GO:0005127"	"ciliary neurotrophic factor receptor binding"	"9.141"	"14"	"1.989"	"1.314"
"GO:0042169"	"SH2 domain binding"	"9.097"	"170"	"89.022"	"8.901"
"GO:0023024"	"MHC class I protein complex binding"	"8.962"	"10"	"1.028"	"1.001"
"GO:0019903"	"protein phosphatase binding"	"8.913"	"374"	"242.984"	"14.699"
"GO:0004921"	"interleukin-11 receptor activity"	"8.901"	"10"	"1.099"	"0.98"
"GO:0019970"	"interleukin-11 binding"	"8.901"	"10"	"1.099"	"0.98"
"GO:0004972"	"NMDA glutamate receptor activity"	"8.811"	"42"	"13.181"	"3.271"
"GO:0038023"	"signaling receptor activity"	"8.699"	"323"	"204.154"	"13.662"
"GO:0043548"	"phosphatidylinositol 3-kinase binding"	"8.677"	"130"	"63.167"	"7.703"
"GO:0005044"	"scavenger receptor activity"	"8.647"	"67"	"24.573"	"4.907"
"GO:0005158"	"insulin receptor binding"	"8.647"	"116"	"54.499"	"7.112"
"GO:0005005"	"transmembrane-ephrin receptor activity"	"8.611"	"59"	"20.464"	"4.475"
"GO:0019957"	"C-C chemokine binding"	"8.431"	"132"	"64.432"	"8.014"
"GO:0016493"	"C-C chemokine receptor activity"	"8.378"	"129"	"62.644"	"7.921"
"GO:0005001"	"transmembrane receptor protein tyrosine phosphatase activity"	"8.341"	"40"	"11.982"	"3.359"
"GO:0019956"	"chemokine binding"	"8.324"	"129"	"62.97"	"7.932"
"GO:0004924"	"oncostatin-M receptor activity"	"8.242"	"12"	"1.661"	"1.254"
"GO:0005543"	"phospholipid binding"	"8.076"	"230"	"141.613"	"10.945"
"GO:0048365"	"Rac GTPase binding"	"8.006"	"179"	"101.876"	"9.634"
"GO:0005085"	"guanyl-nucleotide exchange factor activity"	"7.996"	"231"	"140.601"	"11.305"
"GO:0001849"	"complement component C1q binding"	"7.975"	"38"	"12.079"	"3.25"
"GO:0005125"	"cytokine activity"	"7.963"	"155"	"84.817"	"8.814"
"GO:0031730"	"CCR5 chemokine receptor binding"	"7.924"	"49"	"17.989"	"3.913"
"GO:0019901"	"protein kinase binding"	"7.92"	"1462"	"1209.5"	"31.88"
"GO:0005164"	"tumor necrosis factor receptor binding"	"7.893"	"111"	"53.979"	"7.224"
"GO:0004915"	"interleukin-6 receptor activity"	"7.813"	"10"	"1.307"	"1.113"
"GO:0019981"	"interleukin-6 binding"	"7.813"	"10"	"1.307"	"1.113"
"GO:0001855"	"complement component C4b binding"	"7.673"	"8"	"0.327"	"0.566"
"GO:0004923"	"leukemia inhibitory factor receptor activity"	"7.663"	"10"	"1.377"	"1.125"
"GO:0050840"	"extracellular matrix binding"	"7.644"	"47"	"16.443"	"3.998"
"GO:0048407"	"platelet-derived growth factor binding"	"7.62"	"39"	"12.729"	"3.448"
"GO:0005168"	"neurotrophin TRKA receptor binding"	"7.581"	"83"	"38.624"	"5.854"
"GO:0097110"	"scaffold protein binding"	"7.552"	"285"	"187.607"	"12.897"
"GO:0070325"	"lipoprotein particle receptor binding"	"7.52"	"14"	"2.551"	"1.522"
"GO:0046935"	"1-phosphatidylinositol-3-kinase regulator activity"	"7.489"	"60"	"24.758"	"4.706"
"GO:0097199"	"cysteine-type endopeptidase activity involved in apoptotic signaling pathway"	"7.477"	"35"	"10.702"	"3.25"
"GO:0042923"	"neuropeptide binding"	"7.462"	"119"	"63.343"	"7.459"
"GO:0001540"	"beta-amyloid binding"	"7.45"	"127"	"67.558"	"7.978"
"GO:0022849"	"glutamate-gated calcium ion channel activity"	"7.444"	"34"	"11.314"	"3.047"
"GO:0042056"	"chemoattractant activity"	"7.299"	"69"	"30.4"	"5.288"
"GO:0015026"	"coreceptor activity"	"7.276"	"106"	"53.604"	"7.202"
"GO:0044877"	"macromolecular complex binding"	"7.212"	"854"	"673.766"	"24.989"
"GO:0086089"	"voltage-gated potassium channel activity involved in atrial cardiac muscle cell action potential repolarization"	"7.202"	"12"	"1.95"	"1.396"
"GO:0005096"	"GTPase activator activity"	"7.193"	"419"	"298.792"	"16.713"
"GO:0042803"	"protein homodimerization activity"	"7.142"	"1570"	"1322.301"	"34.681"
"GO:0005138"	"interleukin-6 receptor binding"	"6.987"	"18"	"4.265"	"1.966"
"GO:0005516"	"calmodulin binding"	"6.947"	"449"	"332.201"	"16.812"
"GO:0030246"	"carbohydrate binding"	"6.91"	"141"	"80.135"	"8.808"
"GO:0008527"	"taste receptor activity"	"6.904"	"77"	"37.503"	"5.721"
"GO:0045509"	"interleukin-27 receptor activity"	"6.868"	"8"	"1.132"	"0.985"
"GO:0060230"	"lipoprotein lipase activator activity"	"6.756"	"8"	"1.128"	"1.017"
"GO:0050700"	"CARD domain binding"	"6.75"	"35"	"12.117"	"3.39"
"GO:0043395"	"heparan sulfate proteoglycan binding"	"6.736"	"31"	"10.271"	"3.078"
"GO:0005159"	"insulin-like growth factor receptor binding"	"6.672"	"118"	"66.22"	"7.761"
"GO:0060228"	"phosphatidylcholine-sterol O-acyltransferase activator activity"	"6.649"	"21"	"6.036"	"2.251"
"GO:0070051"	"fibrinogen binding"	"6.632"	"21"	"5.568"	"2.327"
"GO:0032395"	"MHC class II receptor activity"	"6.567"	"39"	"15.101"	"3.64"
"GO:0017127"	"cholesterol transporter activity"	"6.531"	"37"	"14.468"	"3.45"
"GO:0070653"	"high-density lipoprotein particle receptor binding"	"6.522"	"17"	"4.123"	"1.974"
"GO:0070492"	"oligosaccharide binding"	"6.489"	"13"	"2.581"	"1.606"
"GO:0051015"	"actin filament binding"	"6.481"	"533"	"409.819"	"19.007"
"GO:0030971"	"receptor tyrosine kinase binding"	"6.459"	"205"	"133.697"	"11.04"
"GO:1902282"	"voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization"	"6.431"	"14"	"2.926"	"1.722"
"GO:0008329"	"signaling pattern recognition receptor activity"	"6.403"	"20"	"5.165"	"2.317"
"GO:0005131"	"growth hormone receptor binding"	"6.315"	"33"	"11.837"	"3.351"
"GO:0001618"	"virus receptor activity"	"6.288"	"249"	"167.325"	"12.989"
"GO:0004725"	"protein tyrosine phosphatase activity"	"6.287"	"128"	"74.224"	"8.554"
"GO:0016964"	"alpha-2 macroglobulin receptor activity"	"6.274"	"11"	"2.235"	"1.397"
"GO:0030226"	"apolipoprotein receptor activity"	"6.274"	"11"	"2.235"	"1.397"
"GO:0004911"	"interleukin-2 receptor activity"	"6.262"	"12"	"2.377"	"1.537"
"GO:0019976"	"interleukin-2 binding"	"6.262"	"12"	"2.377"	"1.537"
"GO:0008269"	"JAK pathway signal transduction adaptor activity"	"6.256"	"8"	"1.233"	"1.082"
"GO:0001786"	"phosphatidylserine binding"	"6.248"	"70"	"34.509"	"5.681"
"GO:0031267"	"small GTPase binding"	"6.241"	"71"	"35.872"	"5.628"
"GO:0043208"	"glycosphingolipid binding"	"6.226"	"22"	"6.783"	"2.444"
"GO:0004950"	"chemokine receptor activity"	"6.153"	"82"	"42.648"	"6.396"
"GO:0004430"	"1-phosphatidylinositol 4-kinase activity"	"6.147"	"13"	"2.847"	"1.652"
"GO:0030676"	"Rac guanyl-nucleotide exchange factor activity"	"6.072"	"40"	"16.237"	"3.913"
"GO:0030020"	"extracellular matrix structural constituent conferring tensile strength"	"6.069"	"41"	"17.008"	"3.953"
"GO:0030169"	"low-density lipoprotein particle binding"	"6.062"	"28"	"9.45"	"3.06"
"GO:0008289"	"lipid binding"	"6.055"	"237"	"163.587"	"12.124"
"GO:0016176"	"superoxide-generating NADPH oxidase activator activity"	"6.041"	"16"	"3.97"	"1.991"
"GO:0016301"	"kinase activity"	"5.988"	"366"	"272.432"	"15.627"
"GO:0019902"	"phosphatase binding"	"5.969"	"154"	"98.196"	"9.349"
"GO:0045499"	"chemorepellent activity"	"5.962"	"28"	"9.521"	"3.099"
"GO:0031994"	"insulin-like growth factor I binding"	"5.951"	"31"	"11.812"	"3.224"
"GO:0005020"	"stem cell factor receptor activity"	"5.918"	"10"	"2.209"	"1.316"
"GO:0042610"	"CD8 receptor binding"	"5.898"	"30"	"11.32"	"3.167"
"GO:0008066"	"glutamate receptor activity"	"5.873"	"66"	"33.368"	"5.556"
