userId	geneSymbol	geneName	entrezgene	gLink
ENSG00000077522	ACTN2	actinin alpha 2	88	https://www.ncbi.nlm.nih.gov/gene/?term=88
ENSG00000168615	ADAM9	ADAM metallopeptidase domain 9	8754	https://www.ncbi.nlm.nih.gov/gene/?term=8754
ENSG00000282230	ADAM9	ADAM metallopeptidase domain 9	8754	https://www.ncbi.nlm.nih.gov/gene/?term=8754
ENSG00000274286	ADRA2B	adrenoceptor alpha 2B	151	https://www.ncbi.nlm.nih.gov/gene/?term=151
ENSG00000108599	AKAP10	A-kinase anchoring protein 10	11216	https://www.ncbi.nlm.nih.gov/gene/?term=11216
ENSG00000214274	ANG	angiogenin	283	https://www.ncbi.nlm.nih.gov/gene/?term=283
ENSG00000164111	ANXA5	annexin A5	308	https://www.ncbi.nlm.nih.gov/gene/?term=308
ENSG00000110244	APOA4	apolipoprotein A4	337	https://www.ncbi.nlm.nih.gov/gene/?term=337
ENSG00000128394	APOBEC3F	apolipoprotein B mRNA editing enzyme catalytic subunit 3F	200316	https://www.ncbi.nlm.nih.gov/gene/?term=200316
ENSG00000239713	APOBEC3G	apolipoprotein B mRNA editing enzyme catalytic subunit 3G	60489	https://www.ncbi.nlm.nih.gov/gene/?term=60489
ENSG00000130208	APOC1	apolipoprotein C1	341	https://www.ncbi.nlm.nih.gov/gene/?term=341
ENSG00000177556	ATOX1	antioxidant 1 copper chaperone	475	https://www.ncbi.nlm.nih.gov/gene/?term=475
ENSG00000096070	BRPF3	bromodomain and PHD finger containing 3	27154	https://www.ncbi.nlm.nih.gov/gene/?term=27154
ENSG00000173372	C1QA	complement C1q A chain	712	https://www.ncbi.nlm.nih.gov/gene/?term=712
ENSG00000159189	C1QC	complement C1q C chain	714	https://www.ncbi.nlm.nih.gov/gene/?term=714
ENSG00000159403	C1R	complement C1r	715	https://www.ncbi.nlm.nih.gov/gene/?term=715
ENSG00000182326	C1S	complement C1s	716	https://www.ncbi.nlm.nih.gov/gene/?term=716
ENSG00000166278	C2	complement C2	717	https://www.ncbi.nlm.nih.gov/gene/?term=717
ENSG00000204364	C2	complement C2	717	https://www.ncbi.nlm.nih.gov/gene/?term=717
