Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa00230:Purine metabolism	44	30.76923076923077	1.7916274169932269E-40	ENSG00000100938, ENSG00000186184, ENSG00000198805, ENSG00000185527, ENSG00000121851, ENSG00000103024, ENSG00000175482, ENSG00000048392, ENSG00000103202, ENSG00000005075, ENSG00000184588, ENSG00000186141, ENSG00000239672, ENSG00000099817, ENSG00000114956, ENSG00000102978, ENSG00000163882, ENSG00000101868, ENSG00000198931, ENSG00000168002, ENSG00000170502, ENSG00000159899, ENSG00000171302, ENSG00000181222, ENSG00000143774, ENSG00000165704, ENSG00000105258, ENSG00000147669, ENSG00000066379, ENSG00000144231, ENSG00000125458, ENSG00000115350, ENSG00000062822, ENSG00000196839, ENSG00000106992, ENSG00000014138, ENSG00000171453, ENSG00000178035, ENSG00000100142, ENSG00000174233, ENSG00000147853, ENSG00000077514, ENSG00000198056, ENSG00000125877	115	176	6879	14.954347826086957	2.0424552553722786E-38	2.0424552553722786E-38	2.0375528116141997E-37
KEGG_PATHWAY	hsa00240:Pyrimidine metabolism	35	24.475524475524477	5.114369953939463E-37	ENSG00000186184, ENSG00000198805, ENSG00000158825, ENSG00000121851, ENSG00000176890, ENSG00000103024, ENSG00000175482, ENSG00000048392, ENSG00000103202, ENSG00000005075, ENSG00000186141, ENSG00000239672, ENSG00000099817, ENSG00000102978, ENSG00000163882, ENSG00000101868, ENSG00000168002, ENSG00000128951, ENSG00000181222, ENSG00000171302, ENSG00000166548, ENSG00000105258, ENSG00000147669, ENSG00000066379, ENSG00000144231, ENSG00000125458, ENSG00000115350, ENSG00000062822, ENSG00000114491, ENSG00000014138, ENSG00000134326, ENSG00000171453, ENSG00000100142, ENSG00000077514, ENSG00000198056	115	101	6879	20.72879896685321	5.830381747490987E-35	2.9151908737454937E-35	5.816387258000938E-34
KEGG_PATHWAY	hsa03420:Nucleotide excision repair	26	18.181818181818183	2.0642495093536507E-33	ENSG00000111358, ENSG00000100387, ENSG00000117748, ENSG00000049167, ENSG00000115350, ENSG00000175482, ENSG00000062822, ENSG00000134574, ENSG00000163161, ENSG00000110768, ENSG00000154767, ENSG00000049541, ENSG00000175595, ENSG00000105486, ENSG00000012061, ENSG00000106399, ENSG00000167986, ENSG00000133119, ENSG00000272047, ENSG00000163918, ENSG00000077514, ENSG00000111445, ENSG00000132646, ENSG00000104884, ENSG00000147400, ENSG00000134899	115	47	6879	33.090471785383905	2.353244440663162E-31	7.844148135543873E-32	2.3475960189956526E-30
KEGG_PATHWAY	hsa03030:DNA replication	16	11.188811188811188	3.1059191856037744E-18	ENSG00000117748, ENSG00000175482, ENSG00000115350, ENSG00000062822, ENSG00000014138, ENSG00000049541, ENSG00000168496, ENSG00000105486, ENSG00000106399, ENSG00000101868, ENSG00000133119, ENSG00000163918, ENSG00000077514, ENSG00000111445, ENSG00000132646, ENSG00000198056	115	36	6879	26.58550724637681	3.5407478715883026E-16	8.851869678970756E-17	3.53224912124538E-15
KEGG_PATHWAY	hsa03020:RNA polymerase	15	10.48951048951049	1.8810596810294502E-17	ENSG00000186184, ENSG00000105258, ENSG00000147669, ENSG00000121851, ENSG00000144231, ENSG00000066379, ENSG00000005075, ENSG00000186141, ENSG00000099817, ENSG00000102978, ENSG00000163882, ENSG00000168002, ENSG00000171453, ENSG00000100142, ENSG00000181222	115	32	6879	28.039402173913043	2.1444080363735733E-15	4.2888160727471467E-16	2.1392608784297006E-14
KEGG_PATHWAY	hsa03430:Mismatch repair	11	7.6923076923076925	1.0010328143452649E-12	ENSG00000133119, ENSG00000117748, ENSG00000175482, ENSG00000163918, ENSG00000062822, ENSG00000077514, ENSG00000132646, ENSG00000111445, ENSG00000049541, ENSG00000105486, ENSG00000106399	115	23	6879	28.608317580340266	1.1412404354871342E-10	1.902067392478557E-11	1.1385004050623593E-9
KEGG_PATHWAY	hsa03022:Basal transcription factors	13	9.090909090909092	4.336618342365076E-12	ENSG00000111358, ENSG00000273841, ENSG00000272047, ENSG00000197780, ENSG00000166337, ENSG00000137947, ENSG00000120656, ENSG00000163161, ENSG00000110768, ENSG00000106290, ENSG00000140307, ENSG00000104884, ENSG00000125651	115	45	6879	17.280579710144927	4.943772058396689E-10	7.062528339929486E-11	4.931910435601594E-9
KEGG_PATHWAY	hsa03410:Base excision repair	10	6.993006993006993	1.896136567460369E-9	ENSG00000103152, ENSG00000175482, ENSG00000115350, ENSG00000062822, ENSG00000077514, ENSG00000132646, ENSG00000168496, ENSG00000166169, ENSG00000105486, ENSG00000070501	115	33	6879	18.126482213438734	2.1615954703957385E-7	2.7019945947337476E-8	2.156407263864679E-6
KEGG_PATHWAY	hsa01100:Metabolic pathways	45	31.46853146853147	9.036641721142675E-8	ENSG00000186184, ENSG00000198805, ENSG00000158825, ENSG00000009413, ENSG00000121851, ENSG00000176890, ENSG00000103024, ENSG00000175482, ENSG00000048392, ENSG00000103202, ENSG00000005075, ENSG00000186141, ENSG00000239672, ENSG00000099817, ENSG00000114956, ENSG00000102978, ENSG00000163882, ENSG00000129562, ENSG00000101868, ENSG00000198931, ENSG00000168002, ENSG00000128951, ENSG00000181222, ENSG00000143774, ENSG00000166548, ENSG00000165704, ENSG00000105258, ENSG00000147669, ENSG00000066379, ENSG00000144231, ENSG00000125458, ENSG00000115350, ENSG00000062822, ENSG00000114491, ENSG00000196839, ENSG00000106992, ENSG00000014138, ENSG00000138495, ENSG00000134326, ENSG00000171453, ENSG00000178035, ENSG00000100142, ENSG00000077514, ENSG00000198056, ENSG00000125877	115	1219	6879	2.2081891785854406	1.0301718967542506E-5	1.1446406816828514E-6	1.0277039717010439E-4
KEGG_PATHWAY	hsa03440:Homologous recombination	7	4.895104895104895	6.3189465298296225E-6	ENSG00000002016, ENSG00000117748, ENSG00000051180, ENSG00000175482, ENSG00000062822, ENSG00000077514, ENSG00000106399	115	29	6879	14.438680659670165	7.201027818203309E-4	7.203362349050835E-5	0.007186072956877343
KEGG_PATHWAY	hsa04623:Cytosolic DNA-sensing pathway	8	5.594405594405594	8.129392424329833E-5	ENSG00000186184, ENSG00000171453, ENSG00000147669, ENSG00000121851, ENSG00000100142, ENSG00000186141, ENSG00000099817, ENSG00000163882	115	64	6879	7.477173913043479	0.00922506961111047	8.421800834965687E-4	0.09241365882701746
KEGG_PATHWAY	hsa03460:Fanconi anemia pathway	7	4.895104895104895	2.2098713377952234E-4	ENSG00000009413, ENSG00000117748, ENSG00000051180, ENSG00000170734, ENSG00000175595, ENSG00000012061, ENSG00000106399	115	53	6879	7.9004101722723545	0.02488056424261742	0.0020974071340548184	0.2510328014891372
