"GO.ID"	"GO.Term"	"NetBAS"	"DAVID"
"GO:0006368"	"transcription elongation from RNA polymerase II promoter"	"83.368"	"5.151399683292343E-38"
"GO:0042795"	"snRNA transcription from RNA polymerase II promoter"	"82.545"	"3.3764609762653715E-24"
"GO:0006283"	"transcription-coupled nucleotide-excision repair"	"72.61"	"3.955960011633843E-46"
"GO:0006363"	"termination of RNA polymerase I transcription"	"69.569"	"7.787112947154455E-18"
"GO:0006370"	"7-methylguanosine mRNA capping"	"69.36"	"9.898752337597288E-30"
"GO:0006361"	"transcription initiation from RNA polymerase I promoter"	"65.244"	"1.9283437118877452E-17"
"GO:0006366"	"transcription from RNA polymerase II promoter"	"63.753"	"9.007294811765803E-11"
"GO:0006293"	"nucleotide-excision repair, preincision complex stabilization"	"59.572"	"1.7500546801549435E-20"
"GO:0000398"	"mRNA splicing, via spliceosome"	"58.357"	"4.478956410827136E-10"
"GO:0006367"	"transcription initiation from RNA polymerase II promoter"	"52.47"	"4.1027428334156667E-20"
