"Pathway"	"Z-score"
"Nucleotide excision repair - Homo sapiens (human)"	"77.438"
"Basal transcription factors - Homo sapiens (human)"	"67.095"
"Pyrimidine metabolism - Homo sapiens (human)"	"47.736"
"RNA polymerase - Homo sapiens (human)"	"46.512"
"Mismatch repair - Homo sapiens (human)"	"43.533"
"Purine metabolism - Homo sapiens (human)"	"43.371"
"DNA replication - Homo sapiens (human)"	"41.895"
"Base excision repair - Homo sapiens (human)"	"41.196"
"Spliceosome - Homo sapiens (human)"	"39.717"
"Fanconi anemia pathway - Homo sapiens (human)"	"34.44"
"Homologous recombination - Homo sapiens (human)"	"32.292"
"Cytosolic DNA-sensing pathway - Homo sapiens (human)"	"23.492"
"Huntington,s disease - Homo sapiens (human)"	"16.068"
"Epstein-Barr virus infection - Homo sapiens (human)"	"13.04"
"mRNA surveillance pathway - Homo sapiens (human)"	"12.951"
"Herpes simplex infection - Homo sapiens (human)"	"10.629"
"RNA transport - Homo sapiens (human)"	"8.828"
"Viral carcinogenesis - Homo sapiens (human)"	"8.04"
"Systemic lupus erythematosus - Homo sapiens (human)"	"7.975"
"Transcriptional misregulation in cancer - Homo sapiens (human)"	"7.859"
"RNA degradation - Homo sapiens (human)"	"7.435"
"Non-homologous end-joining - Homo sapiens (human)"	"5.14"
"Ubiquitin mediated proteolysis - Homo sapiens (human)"	"4.506"
"Legionellosis - Homo sapiens (human)"	"3.409"
"p53 signaling pathway - Homo sapiens (human)"	"3.054"
"Antigen processing and presentation - Homo sapiens (human)"	"2.434"
"Cell cycle - Homo sapiens (human)"	"1.793"
"Galactose metabolism - Homo sapiens (human)"	"1.711"
"HTLV-I infection - Homo sapiens (human)"	"1.519"
"Glycine, serine and threonine metabolism - Homo sapiens (human)"	"1.39"
"Basal cell carcinoma - Homo sapiens (human)"	"1.376"
"Thyroid cancer - Homo sapiens (human)"	"1.121"
"Other glycan degradation - Homo sapiens (human)"	"1.076"
"Riboflavin metabolism - Homo sapiens (human)"	"1.069"
"Fructose and mannose metabolism - Homo sapiens (human)"	"0.801"
"Pentose phosphate pathway - Homo sapiens (human)"	"0.676"
"Phenylalanine metabolism - Homo sapiens (human)"	"0.674"
"Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)"	"0.668"
"Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)"	"0.634"
"Influenza A - Homo sapiens (human)"	"0.516"
"Glycolysis / Gluconeogenesis - Homo sapiens (human)"	"0.505"
"Lysine degradation - Homo sapiens (human)"	"0.484"
"Neomycin, kanamycin and gentamicin biosynthesis - Homo sapiens (human)"	"0.45"
"Tyrosine metabolism - Homo sapiens (human)"	"0.435"
"N-Glycan biosynthesis - Homo sapiens (human)"	"0.119"
"Biotin metabolism - Homo sapiens (human)"	"0.114"
"Ferroptosis - Homo sapiens (human)"	"0.114"
"Longevity regulating pathway - multiple species - Homo sapiens (human)"	"0.055"
"Protein processing in endoplasmic reticulum - Homo sapiens (human)"	"-0.037"
"D-Arginine and D-ornithine metabolism - Homo sapiens (human)"	"-0.123"
"Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)"	"-0.18"
"Caffeine metabolism - Homo sapiens (human)"	"-0.187"
"Maturity onset diabetes of the young - Homo sapiens (human)"	"-0.238"
"Glycosphingolipid biosynthesis - globo and isoglobo series - Homo sapiens (human)"	"-0.256"
"Notch signaling pathway - Homo sapiens (human)"	"-0.263"
"Cysteine and methionine metabolism - Homo sapiens (human)"	"-0.303"
"Ascorbate and aldarate metabolism - Homo sapiens (human)"	"-0.318"
"Histidine metabolism - Homo sapiens (human)"	"-0.331"
"One carbon pool by folate - Homo sapiens (human)"	"-0.331"
"Thiamine metabolism - Homo sapiens (human)"	"-0.339"
"D-Glutamine and D-glutamate metabolism - Homo sapiens (human)"	"-0.385"
"Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)"	"-0.414"
"Alcoholism - Homo sapiens (human)"	"-0.486"
"Collecting duct acid secretion - Homo sapiens (human)"	"-0.565"
"Synthesis and degradation of ketone bodies - Homo sapiens (human)"	"-0.688"
"Taurine and hypotaurine metabolism - Homo sapiens (human)"	"-0.7"
"Pathogenic Escherichia coli infection - Homo sapiens (human)"	"-0.705"
"Selenocompound metabolism - Homo sapiens (human)"	"-0.733"
"Other types of O-glycan biosynthesis - Homo sapiens (human)"	"-0.779"
"Fatty acid biosynthesis - Homo sapiens (human)"	"-0.803"
"Valine, leucine and isoleucine degradation - Homo sapiens (human)"	"-0.821"
"Phagosome - Homo sapiens (human)"	"-0.851"
"Lipoic acid metabolism - Homo sapiens (human)"	"-0.875"
"Butanoate metabolism - Homo sapiens (human)"	"-0.915"
"Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)"	"-1.007"
"Ether lipid metabolism - Homo sapiens (human)"	"-1.026"
"Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human)"	"-1.035"
