"GO.ID"	"GO.Term"	"zscore"	"obs"	"mean"	"std"
"GO:0008353"	"RNA polymerase II carboxy-terminal domain kinase activity"	"48.788"	"614"	"113.561"	"10.257"
"GO:0008094"	"DNA-dependent ATPase activity"	"46.232"	"681"	"141.808"	"11.663"
"GO:0003684"	"damaged DNA binding"	"44.787"	"1036"	"290.02"	"16.656"
"GO:0003887"	"DNA-directed DNA polymerase activity"	"42.066"	"305"	"41.3"	"6.269"
"GO:0003899"	"DNA-directed RNA polymerase activity"	"40.032"	"807"	"214.508"	"14.801"
"GO:0001055"	"RNA polymerase II activity"	"38.84"	"548"	"126.824"	"10.844"
"GO:0001056"	"RNA polymerase III activity"	"36.614"	"482"	"108.823"	"10.192"
"GO:0001054"	"RNA polymerase I activity"	"33.461"	"443"	"103.694"	"10.14"
"GO:0003689"	"DNA clamp loader activity"	"32.084"	"242"	"40.376"	"6.284"
"GO:0003697"	"single-stranded DNA binding"	"31.926"	"993"	"386.715"	"18.99"
"GO:0043142"	"single-stranded DNA-dependent ATPase activity"	"29.98"	"252"	"48.828"	"6.777"
"GO:0000993"	"RNA polymerase II core binding"	"28.11"	"370"	"99.852"	"9.61"
"GO:1990599"	"3' overhang single-stranded DNA endodeoxyribonuclease activity"	"27.659"	"105"	"12.336"	"3.35"
"GO:0003909"	"DNA ligase activity"	"22.386"	"97"	"13.858"	"3.714"
"GO:0043139"	"5'-3' DNA helicase activity"	"22.243"	"77"	"10.173"	"3.004"
"GO:0000014"	"single-stranded DNA endodeoxyribonuclease activity"	"20.073"	"107"	"20.788"	"4.295"
"GO:0003677"	"DNA binding"	"19.326"	"4911"	"3637.038"	"65.918"
"GO:0043138"	"3'-5' DNA helicase activity"	"19.206"	"95"	"16.61"	"4.081"
"GO:0003729"	"mRNA binding"	"18.998"	"1085"	"618.41"	"24.559"
"GO:0000182"	"rDNA binding"	"18.285"	"53"	"7.053"	"2.513"
"GO:0000995"	"transcription factor activity, core RNA polymerase III binding"	"18.029"	"108"	"24.272"	"4.644"
"GO:0051539"	"4 iron, 4 sulfur cluster binding"	"17.802"	"221"	"73.442"	"8.289"
"GO:0016422"	"mRNA (2'-O-methyladenosine-N6-)-methyltransferase activity"	"17.582"	"24"	"1.515"	"1.279"
"GO:0004484"	"mRNA guanylyltransferase activity"	"17.105"	"18"	"0.895"	"0.928"
"GO:0008192"	"RNA guanylyltransferase activity"	"17.105"	"18"	"0.895"	"0.928"
"GO:0050355"	"triphosphatase activity"	"17.105"	"18"	"0.895"	"0.928"
"GO:0004402"	"histone acetyltransferase activity"	"17.073"	"486"	"232.65"	"14.839"
"GO:0032356"	"oxidized DNA binding"	"17.065"	"33"	"3.181"	"1.747"
"GO:0003690"	"double-stranded DNA binding"	"16.971"	"587"	"297.7"	"17.047"
"GO:0003678"	"DNA helicase activity"	"16.544"	"198"	"64.355"	"8.078"
"GO:0000405"	"bubble DNA binding"	"16.475"	"79"	"15.517"	"3.853"
"GO:0003910"	"DNA ligase (ATP) activity"	"16.408"	"64"	"10.677"	"3.25"
"GO:0097322"	"7SK snRNA binding"	"16.263"	"100"	"23.434"	"4.708"
"GO:0001075"	"transcription factor activity, RNA polymerase II core promoter sequence-specific binding involved in preinitiation complex assembly"	"16.047"	"221"	"80.364"	"8.764"
"GO:0016538"	"cyclin-dependent protein serine/threonine kinase regulator activity"	"15.968"	"210"	"74.198"	"8.505"
"GO:0061860"	NA	"15.815"	"45"	"6.286"	"2.448"
"GO:0004003"	"ATP-dependent DNA helicase activity"	"15.797"	"349"	"153.449"	"12.379"
"GO:0004651"	"polynucleotide 5'-phosphatase activity"	"15.365"	"18"	"1.293"	"1.087"
"GO:0008408"	"3'-5' exonuclease activity"	"15.224"	"104"	"26.193"	"5.111"
"GO:0003713"	"transcription coactivator activity"	"15.21"	"1358"	"912.677"	"29.279"
"GO:0047485"	"protein N-terminus binding"	"15.057"	"931"	"559.46"	"24.675"
"GO:1990269"	"RNA polymerase II C-terminal domain phosphoserine binding"	"14.746"	"42"	"6.645"	"2.398"
"GO:0008296"	"3'-5'-exodeoxyribonuclease activity"	"14.596"	"38"	"5.289"	"2.241"
"GO:0001097"	"TFIIH-class transcription factor binding"	"14.275"	"87"	"23.127"	"4.474"
"GO:0005515"	"protein binding"	"14.029"	"21728"	"20268.167"	"104.057"
"GO:0061730"	"C-rich strand telomeric DNA binding"	"13.969"	"22"	"2.141"	"1.422"
"GO:0008134"	"transcription factor binding"	"13.918"	"1709"	"1230.769"	"34.36"
"GO:0016890"	"site-specific endodeoxyribonuclease activity, specific for altered base"	"13.898"	"39"	"6.287"	"2.354"
"GO:0003727"	"single-stranded RNA binding"	"13.747"	"329"	"161.889"	"12.156"
"GO:0003682"	"chromatin binding"	"13.717"	"1707"	"1224.138"	"35.202"
"GO:0098505"	"G-rich strand telomeric DNA binding"	"13.702"	"202"	"83.078"	"8.679"
"GO:0070063"	"RNA polymerase binding"	"13.431"	"190"	"76.306"	"8.465"
"GO:0004482"	"mRNA (guanine-N7-)-methyltransferase activity"	"13.267"	"18"	"1.535"	"1.241"
"GO:0015616"	"DNA translocase activity"	"13.265"	"64"	"14.627"	"3.722"
"GO:0000384"	"first spliceosomal transesterification activity"	"12.99"	"40"	"7.061"	"2.536"
"GO:0003723"	"RNA binding"	"12.845"	"7299"	"5741.055"	"121.29"
"GO:0097157"	"pre-mRNA intronic binding"	"12.83"	"127"	"46.045"	"6.31"
"GO:0003676"	"nucleic acid binding"	"12.726"	"319"	"163.018"	"12.257"
"GO:0030628"	"pre-mRNA 3'-splice site binding"	"12.688"	"87"	"26.475"	"4.77"
"GO:0000991"	"transcription factor activity, core RNA polymerase II binding"	"12.677"	"51"	"11.43"	"3.121"
"GO:0003896"	"DNA primase activity"	"12.648"	"34"	"5.253"	"2.273"
"GO:0009378"	"four-way junction helicase activity"	"12.335"	"46"	"9.089"	"2.992"
"GO:0008853"	"exodeoxyribonuclease III activity"	"12.263"	"29"	"4.04"	"2.035"
"GO:0000403"	"Y-form DNA binding"	"12.005"	"82"	"23.334"	"4.887"
"GO:0017025"	"TBP-class protein binding"	"11.913"	"373"	"198.789"	"14.623"
"GO:0004523"	"RNA-DNA hybrid ribonuclease activity"	"11.897"	"49"	"11.161"	"3.18"
"GO:0004520"	"endodeoxyribonuclease activity"	"11.861"	"116"	"40.888"	"6.333"
"GO:0017162"	"aryl hydrocarbon receptor binding"	"11.83"	"103"	"34.676"	"5.775"
"GO:0001096"	"TFIIF-class transcription factor binding"	"11.263"	"22"	"3.165"	"1.672"
"GO:0001016"	"RNA polymerase III regulatory region DNA binding"	"11.231"	"85"	"28.688"	"5.014"
"GO:0036002"	"pre-mRNA binding"	"11.208"	"184"	"85.182"	"8.817"
"GO:0008420"	"CTD phosphatase activity"	"11.056"	"52"	"12.383"	"3.583"
