"Pathway"	"Z-score"
"Nucleotide excision repair"	"43.371"
"Pyrimidine metabolism"	"39.256"
"Purine metabolism"	"37.519"
"DNA replication"	"30.585"
"RNA polymerase"	"29.91"
"Mismatch repair"	"26.107"
"Basal transcription factors"	"21.241"
"Base excision repair"	"19.245"
"Drug metabolism - other enzymes"	"14.592"
"Epstein-Barr virus infection"	"12.349"
"Homologous recombination"	"11.922"
"Cytosolic DNA-sensing pathway"	"10.722"
"Fanconi anemia pathway"	"10.384"
"Huntington's disease"	"8.588"
"mRNA surveillance pathway"	"6.346"
"Non-homologous end-joining"	"5.923"
"Pancreatic cancer"	"4.549"
"HTLV-I infection"	"4.338"
"Viral carcinogenesis"	"4.329"
"RNA transport"	"4.221"
"Herpes simplex infection"	"3.781"
"Nicotinate and nicotinamide metabolism"	"3.651"
"p53 signaling pathway"	"3.348"
"Thyroid cancer"	"3.166"
"Ferroptosis"	"3.037"
"Colorectal cancer"	"2.904"
"Ubiquitin mediated proteolysis"	"2.838"
"Vasopressin-regulated water reabsorption"	"2.822"
"Hepatitis B"	"2.79"
"Thiamine metabolism"	"2.757"
"Glutathione metabolism"	"2.435"
"Protein processing in endoplasmic reticulum"	"2.422"
"Endometrial cancer"	"2.363"
"One carbon pool by folate"	"2.233"
"Basal cell carcinoma"	"2.22"
"Non-small cell lung cancer"	"2.091"
"Cell cycle"	"2.09"
"Spliceosome"	"1.964"
"Melanoma"	"1.944"
"Glioma"	"1.938"
"Protein export"	"1.926"
"Chronic myeloid leukemia"	"1.894"
"TGF-beta signaling pathway"	"1.73"
"Phototransduction"	"1.654"
"Endocytosis"	"1.552"
"Small cell lung cancer"	"1.549"
"Morphine addiction"	"1.548"
"Longevity regulating pathway"	"1.537"
"Circadian rhythm"	"1.534"
"SNARE interactions in vesicular transport"	"1.395"
"Primary immunodeficiency"	"1.358"
"Bladder cancer"	"1.214"
"Proteasome"	"1.1"
"Vascular smooth muscle contraction"	"1.081"
"Oocyte meiosis"	"1.052"
"Endocrine and other factor-regulated calcium reabsorption"	"1.043"
"N-Glycan biosynthesis"	"1.008"
"Ovarian steroidogenesis"	"0.989"
"Amyotrophic lateral sclerosis (ALS)"	"0.982"
"Vibrio cholerae infection"	"0.977"
"Pathways in cancer"	"0.967"
