"GO.ID"	"GO.Term"	"zscore"	"obs"	"mean"	"std"
"GO:0006260"	"DNA replication"	"47.567"	"2257"	"807.374"	"30.476"
"GO:0051301"	"cell division"	"39.109"	"4079"	"1949.492"	"54.45"
"GO:0006281"	"DNA repair"	"35.058"	"2568"	"1215.964"	"38.565"
"GO:0000724"	"double-strand break repair via homologous recombination"	"33.958"	"1005"	"384.506"	"18.273"
"GO:0006270"	"DNA replication initiation"	"30.575"	"539"	"167.962"	"12.135"
"GO:0000723"	"telomere maintenance"	"30.251"	"827"	"295.209"	"17.579"
"GO:0032201"	"telomere maintenance via semi-conservative replication"	"27.859"	"637"	"212.537"	"15.236"
"GO:0051321"	"meiotic cell cycle"	"27.291"	"780"	"315.305"	"17.027"
"GO:0006302"	"double-strand break repair"	"26.302"	"821"	"349.812"	"17.914"
"GO:0000076"	"DNA replication checkpoint"	"26.233"	"183"	"34.725"	"5.652"
"GO:0007059"	"chromosome segregation"	"26.175"	"1084"	"476.989"	"23.19"
"GO:0006261"	"DNA-dependent DNA replication"	"25.509"	"398"	"128.1"	"10.58"
"GO:0034080"	"CENP-A containing nucleosome assembly"	"25.332"	"603"	"224.143"	"14.955"
"GO:0000077"	"DNA damage checkpoint"	"25.152"	"574"	"216.947"	"14.196"
"GO:0006974"	"cellular response to DNA damage stimulus"	"25.123"	"2229"	"1270.856"	"38.137"
"GO:0000083"	"regulation of transcription involved in G1/S transition of mitotic cell cycle"	"24.729"	"425"	"144.321"	"11.35"
"GO:0006284"	"base-excision repair"	"24.176"	"575"	"224.587"	"14.494"
"GO:0000070"	"mitotic sister chromatid segregation"	"23.659"	"557"	"211.541"	"14.601"
"GO:0051382"	"kinetochore assembly"	"23.455"	"238"	"61.377"	"7.53"
"GO:0006303"	"double-strand break repair via nonhomologous end joining"	"23.172"	"1003"	"466.528"	"23.152"
"GO:0033314"	"mitotic DNA replication checkpoint"	"23.138"	"150"	"28.397"	"5.256"
"GO:0000082"	"G1/S transition of mitotic cell cycle"	"22.982"	"1606"	"832.306"	"33.665"
"GO:0006310"	"DNA recombination"	"22.525"	"686"	"308.602"	"16.755"
"GO:0006298"	"mismatch repair"	"22.219"	"476"	"179.976"	"13.323"
"GO:0048478"	"replication fork protection"	"21.72"	"116"	"20.198"	"4.411"
"GO:0000729"	"DNA double-strand break processing"	"21.66"	"354"	"125.08"	"10.569"
"GO:0006289"	"nucleotide-excision repair"	"21.411"	"685"	"305.191"	"17.739"
"GO:0006334"	"nucleosome assembly"	"21.37"	"1489"	"801.797"	"32.157"
"GO:0032508"	"DNA duplex unwinding"	"20.881"	"630"	"279.901"	"16.767"
"GO:0000278"	"mitotic cell cycle"	"20.524"	"2024"	"1210.443"	"39.64"
"GO:0006271"	"DNA strand elongation involved in DNA replication"	"20.458"	"177"	"42.866"	"6.556"
"GO:0007131"	"reciprocal meiotic recombination"	"20.255"	"323"	"116.486"	"10.196"
"GO:0006977"	"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest"	"20.193"	"944"	"475.755"	"23.188"
"GO:0006268"	"DNA unwinding involved in DNA replication"	"20.11"	"355"	"134.717"	"10.954"
"GO:0051315"	"attachment of mitotic spindle microtubules to kinetochore"	"20.092"	"242"	"73.95"	"8.364"
"GO:0090305"	"nucleic acid phosphodiester bond hydrolysis"	"20.086"	"327"	"118.626"	"10.374"
"GO:0007094"	"mitotic spindle assembly checkpoint"	"20.055"	"390"	"146.873"	"12.123"
"GO:0007095"	"mitotic G2 DNA damage checkpoint"	"19.883"	"248"	"80.923"	"8.403"
"GO:0007062"	"sister chromatid cohesion"	"19.26"	"327"	"117.427"	"10.881"
"GO:0031297"	"replication fork processing"	"19.151"	"282"	"97.162"	"9.651"
"GO:0000731"	"DNA synthesis involved in DNA repair"	"18.769"	"216"	"65.453"	"8.021"
"GO:0090656"	"t-circle formation"	"18.721"	"219"	"68.334"	"8.048"
"GO:0007088"	"regulation of mitotic nuclear division"	"18.478"	"529"	"253.498"	"14.909"
"GO:0006293"	"nucleotide-excision repair, preincision complex stabilization"	"18.46"	"543"	"245.27"	"16.128"
"GO:0000722"	"telomere maintenance via recombination"	"18.342"	"212"	"69.037"	"7.794"
"GO:0006325"	"chromatin organization"	"17.865"	"1385"	"847.641"	"30.079"
"GO:1900264"	"positive regulation of DNA-directed DNA polymerase activity"	"17.823"	"181"	"53.883"	"7.132"
"GO:0034501"	"protein localization to kinetochore"	"17.609"	"210"	"67.765"	"8.077"
"GO:0007064"	"mitotic sister chromatid cohesion"	"17.462"	"174"	"52.147"	"6.978"
"GO:0051726"	"regulation of cell cycle"	"17.434"	"964"	"569.961"	"22.601"
"GO:0008156"	"negative regulation of DNA replication"	"17.388"	"216"	"74.683"	"8.127"
"GO:0007093"	"mitotic cell cycle checkpoint"	"17.001"	"381"	"165.691"	"12.664"
"GO:0033683"	"nucleotide-excision repair, DNA incision"	"16.873"	"1207"	"629.204"	"34.243"
"GO:0006296"	"nucleotide-excision repair, DNA incision, 5'-to lesion"	"16.779"	"1211"	"630.556"	"34.593"
"GO:0036297"	"interstrand cross-link repair"	"16.544"	"934"	"491.792"	"26.729"
"GO:0000079"	"regulation of cyclin-dependent protein serine/threonine kinase activity"	"16.315"	"549"	"279.161"	"16.539"
"GO:0009411"	"response to UV"	"16"	"387"	"178.677"	"13.02"
"GO:0019985"	"translesion synthesis"	"15.995"	"1042"	"550.178"	"30.749"
"GO:0006283"	"transcription-coupled nucleotide-excision repair"	"15.912"	"1888"	"1108.062"	"49.014"
"GO:0072711"	"cellular response to hydroxyurea"	"15.619"	"83"	"18.463"	"4.132"
"GO:0072425"	"signal transduction involved in G2 DNA damage checkpoint"	"15.43"	"224"	"84.324"	"9.052"
"GO:0006269"	"DNA replication, synthesis of RNA primer"	"15.386"	"75"	"15.207"	"3.886"
"GO:0006297"	"nucleotide-excision repair, DNA gap filling"	"15.282"	"936"	"482.636"	"29.667"
"GO:0006312"	"mitotic recombination"	"15.277"	"183"	"65.86"	"7.668"
"GO:0031573"	"intra-S DNA damage checkpoint"	"15.258"	"173"	"59.653"	"7.429"
"GO:0007049"	"cell cycle"	"15.215"	"1849"	"1279.088"	"37.457"
"GO:0044806"	"G-quadruplex DNA unwinding"	"15.158"	"144"	"44.375"	"6.572"
"GO:0042769"	"DNA damage response, detection of DNA damage"	"15.102"	"1113"	"608.584"	"33.402"
"GO:0045132"	"meiotic chromosome segregation"	"15.022"	"112"	"32.143"	"5.316"
"GO:0042276"	"error-prone translesion synthesis"	"15.02"	"864"	"450.732"	"27.514"
"GO:1903251"	"multi-ciliated epithelial cell differentiation"	"14.979"	"91"	"23.837"	"4.484"
"GO:0043111"	"replication fork arrest"	"14.92"	"106"	"28.457"	"5.197"
"GO:0051310"	"metaphase plate congression"	"14.878"	"167"	"56.898"	"7.4"
"GO:0007077"	"mitotic nuclear envelope disassembly"	"14.701"	"250"	"102.095"	"10.061"
"GO:0060623"	"regulation of chromosome condensation"	"14.616"	"87"	"23.302"	"4.358"
"GO:0031145"	"anaphase-promoting complex-dependent catabolic process"	"14.575"	"1060"	"585.909"	"32.528"
"GO:0010212"	"response to ionizing radiation"	"14.574"	"416"	"216.255"	"13.705"
"GO:0006999"	"nuclear pore organization"	"14.565"	"199"	"75.847"	"8.455"
"GO:0007052"	"mitotic spindle organization"	"14.493"	"508"	"267.798"	"16.574"
"GO:0032876"	"negative regulation of DNA endoreduplication"	"14.187"	"162"	"57.57"	"7.361"
"GO:0007019"	"microtubule depolymerization"	"14.175"	"153"	"54.555"	"6.945"
"GO:0006265"	"DNA topological change"	"14.158"	"215"	"85.782"	"9.127"
"GO:0010225"	"response to UV-C"	"14.153"	"112"	"33.711"	"5.532"
"GO:0006406"	"mRNA export from nucleus"	"14.106"	"1391"	"878.074"	"36.362"
"GO:0051383"	"kinetochore organization"	"14.105"	"128"	"40.334"	"6.215"
"GO:0016233"	"telomere capping"	"14.088"	"318"	"148.45"	"12.035"
"GO:0000727"	"double-strand break repair via break-induced replication"	"14.074"	"90"	"24.53"	"4.652"
"GO:0000086"	"G2/M transition of mitotic cell cycle"	"14.068"	"1934"	"1294.755"	"45.439"
"GO:0001833"	"inner cell mass cell proliferation"	"14.044"	"133"	"43.748"	"6.355"
"GO:0097694"	"establishment of RNA localization to telomere"	"13.996"	"74"	"18.215"	"3.986"
"GO:0097695"	"establishment of macromolecular complex localization to telomere"	"13.996"	"74"	"18.215"	"3.986"
"GO:1904884"	"positive regulation of telomerase catalytic core complex assembly"	"13.996"	"74"	"18.215"	"3.986"
"GO:0045787"	"positive regulation of cell cycle"	"13.865"	"387"	"197.01"	"13.703"
"GO:0070987"	"error-free translesion synthesis"	"13.695"	"883"	"485.505"	"29.024"
"GO:0045910"	"negative regulation of DNA recombination"	"13.575"	"182"	"68.906"	"8.331"
"GO:0045875"	"negative regulation of sister chromatid cohesion"	"13.469"	"52"	"10.951"	"3.048"
