"GO.ID"	"GO.Term"	"zscore"
"GO:0006260"	"DNA replication"	"27.097"
"GO:0032201"	"telomere maintenance via semi-conservative replication"	"26.142"
"GO:0000082"	"G1/S transition of mitotic cell cycle"	"25.35"
"GO:0006297"	"nucleotide-excision repair, DNA gap filling"	"23.603"
"GO:0006268"	"DNA unwinding involved in DNA replication"	"20.595"
"GO:0000723"	"telomere maintenance"	"19.589"
"GO:0051301"	"cell division"	"19.448"
"GO:0000070"	"mitotic sister chromatid segregation"	"19.376"
"GO:0006298"	"mismatch repair"	"19.376"
"GO:0006270"	"DNA replication initiation"	"17.854"
"GO:0042769"	"DNA damage response, detection of DNA damage"	"17.697"
"GO:0006271"	"DNA strand elongation involved in DNA replication"	"17.625"
"GO:0019985"	"translesion synthesis"	"16.568"
"GO:0006296"	"nucleotide-excision repair, DNA incision, 5'-to lesion"	"15.877"
"GO:0033683"	"nucleotide-excision repair, DNA incision"	"15.682"
"GO:0042276"	"error-prone translesion synthesis"	"15.229"
"GO:0051598"	"meiotic recombination checkpoint"	"15.188"
"GO:0070987"	"error-free translesion synthesis"	"15.075"
"GO:0031860"	"telomeric 3' overhang formation"	"14.952"
"GO:0000722"	"telomere maintenance via recombination"	"14.589"
"GO:0000278"	"mitotic cell cycle"	"14.429"
"GO:0031145"	"anaphase-promoting complex-dependent catabolic process"	"14.013"
"GO:0085020"	"protein K6-linked ubiquitination"	"13.468"
"GO:0000724"	"double-strand break repair via homologous recombination"	"13.428"
"GO:0000086"	"G2/M transition of mitotic cell cycle"	"13.275"
"GO:0006281"	"DNA repair"	"13.129"
"GO:0007094"	"mitotic spindle assembly checkpoint"	"13.023"
"GO:0090399"	"replicative senescence"	"12.994"
"GO:0048478"	"replication fork protection"	"12.828"
"GO:0006978"	"DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator"	"12.675"
"GO:0007062"	"sister chromatid cohesion"	"12.554"
"GO:0045004"	"DNA replication proofreading"	"12.498"
"GO:1900264"	"positive regulation of DNA-directed DNA polymerase activity"	"12.498"
"GO:0043111"	"replication fork arrest"	"12.212"
"GO:0006266"	"DNA ligation"	"11.982"
"GO:0016447"	"somatic recombination of immunoglobulin gene segments"	"11.973"
"GO:0006283"	"transcription-coupled nucleotide-excision repair"	"11.94"
"GO:0006302"	"double-strand break repair"	"11.908"
"GO:0000077"	"DNA damage checkpoint"	"11.907"
"GO:0035986"	"senescence-associated heterochromatin focus assembly"	"11.805"
"GO:0007052"	"mitotic spindle organization"	"11.699"
"GO:0006303"	"double-strand break repair via nonhomologous end joining"	"11.506"
"GO:0006974"	"cellular response to DNA damage stimulus"	"11.495"
"GO:0034501"	"protein localization to kinetochore"	"11.469"
"GO:0034502"	"protein localization to chromosome"	"11.432"
"GO:0000731"	"DNA synthesis involved in DNA repair"	"11.324"
"GO:0006284"	"base-excision repair"	"11.213"
"GO:0110032"	NA	"10.926"
"GO:0044770"	"cell cycle phase transition"	"10.923"
"GO:0031658"	"negative regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle"	"10.911"
"GO:0031439"	"positive regulation of mRNA cleavage"	"10.864"
"GO:2000975"	"positive regulation of pro-B cell differentiation"	"10.864"
"GO:0070317"	"negative regulation of G0 to G1 transition"	"10.758"
"GO:0006272"	"leading strand elongation"	"10.746"
"GO:0075713"	"establishment of integrated proviral latency"	"10.715"
"GO:0008283"	"cell proliferation"	"10.688"
"GO:0045143"	"homologous chromosome segregation"	"10.676"
