"GO.ID"	"GO.Term"	"zscore"	"obs"	"mean"	"std"
"GO:0062023"	NA	"70.18"	"845"	"104.304"	"10.554"
"GO:0031012"	"extracellular matrix"	"67.896"	"851"	"115.07"	"10.839"
"GO:0005604"	"basement membrane"	"45.032"	"407"	"59.877"	"7.708"
"GO:0005788"	"endoplasmic reticulum lumen"	"43.851"	"886"	"234.568"	"14.855"
"GO:0005576"	"extracellular region"	"40.167"	"2925"	"1486.71"	"35.808"
"GO:0008305"	"integrin complex"	"36.848"	"190"	"22.09"	"4.557"
"GO:0005615"	"extracellular space"	"36.487"	"2391"	"1184.959"	"33.054"
"GO:0005581"	"collagen trimer"	"32.313"	"140"	"14.893"	"3.872"
"GO:0001527"	"microfibril"	"30.108"	"57"	"3.32"	"1.783"
"GO:0071062"	"alphav-beta3 integrin-vitronectin complex"	"28.388"	"54"	"3.325"	"1.785"
"GO:0009986"	"cell surface"	"26.012"	"1122"	"551.814"	"21.92"
"GO:0031093"	"platelet alpha granule lumen"	"24.023"	"335"	"104.607"	"9.591"
"GO:0005925"	"focal adhesion"	"23.947"	"1760"	"1028.994"	"30.526"
"GO:0034684"	"integrin alphav-beta5 complex"	"23.461"	"36"	"2.122"	"1.444"
"GO:0034683"	"integrin alphav-beta3 complex"	"23.225"	"36"	"2.134"	"1.458"
"GO:0071953"	"elastic fiber"	"23.121"	"33"	"1.892"	"1.345"
"GO:0034685"	"integrin alphav-beta6 complex"	"21.954"	"23"	"1.046"	"0.999"
"GO:0035867"	"alphav-beta3 integrin-IGF-1-IGF1R complex"	"20.842"	"44"	"3.83"	"1.927"
"GO:0005796"	"Golgi lumen"	"20.766"	"283"	"88.771"	"9.353"
"GO:0005610"	"laminin-5 complex"	"20.57"	"33"	"2.197"	"1.497"
"GO:0005886"	"plasma membrane"	"20.226"	"4672"	"3617.86"	"52.118"
"GO:0034665"	"integrin alpha1-beta1 complex"	"20.154"	"39"	"3.42"	"1.765"
"GO:0005594"	"collagen type IX trimer"	"20.078"	"21"	"0.922"	"0.935"
"GO:0005588"	"collagen type V trimer"	"19.758"	"29"	"1.946"	"1.369"
"GO:0035868"	"alphav-beta3 integrin-HMGB1 complex"	"19.297"	"38"	"3.506"	"1.788"
"GO:0070062"	"extracellular exosome"	"18.759"	"4845"	"3855.394"	"52.754"
"GO:0005584"	"collagen type I trimer"	"18.535"	"27"	"1.9"	"1.354"
"GO:0005607"	"laminin-2 complex"	"18.511"	"23"	"1.435"	"1.165"
"GO:0034686"	"integrin alphav-beta8 complex"	"18.49"	"20"	"1.102"	"1.022"
"GO:0034667"	"integrin alpha3-beta1 complex"	"18.476"	"33"	"3.005"	"1.623"
"GO:0005587"	"collagen type IV trimer"	"18.321"	"32"	"2.629"	"1.603"
"GO:0001725"	"stress fiber"	"18.066"	"287"	"105.13"	"10.067"
"GO:0034678"	"integrin alpha8-beta1 complex"	"17.958"	"31"	"2.84"	"1.568"
"GO:0034680"	"integrin alpha10-beta1 complex"	"17.394"	"29"	"2.7"	"1.512"
"GO:0071438"	"invadopodium membrane"	"17.35"	"44"	"5.229"	"2.235"
"GO:0015629"	"actin cytoskeleton"	"17.211"	"625"	"326.356"	"17.352"
"GO:0031527"	"filopodium membrane"	"17.162"	"84"	"16.263"	"3.947"
"GO:0043259"	"laminin-10 complex"	"16.89"	"30"	"2.76"	"1.613"
"GO:0009897"	"external side of plasma membrane"	"16.785"	"446"	"212.155"	"13.931"
"GO:0042383"	"sarcolemma"	"16.353"	"242"	"89.205"	"9.344"
"GO:0043260"	"laminin-11 complex"	"16.346"	"28"	"2.486"	"1.561"
"GO:0034681"	"integrin alpha11-beta1 complex"	"16.328"	"28"	"2.715"	"1.549"
"GO:0034677"	"integrin alpha7-beta1 complex"	"16.246"	"27"	"2.614"	"1.501"
"GO:0035866"	"alphav-beta3 integrin-PKCalpha complex"	"15.833"	"43"	"6.014"	"2.336"
"GO:0005606"	"laminin-1 complex"	"15.529"	"29"	"2.806"	"1.687"
"GO:0030027"	"lamellipodium"	"15.347"	"500"	"256.033"	"15.896"
"GO:0031258"	"lamellipodium membrane"	"14.983"	"83"	"18.717"	"4.29"
"GO:0005577"	"fibrinogen complex"	"14.94"	"72"	"15.184"	"3.803"
"GO:0031091"	"platelet alpha granule"	"14.183"	"54"	"9.84"	"3.114"
"GO:0032587"	"ruffle membrane"	"14.12"	"336"	"162.316"	"12.301"
"GO:0098966"	"perisynaptic extracellular matrix"	"14.119"	"15"	"0.881"	"0.924"
"GO:0042567"	"insulin-like growth factor ternary complex"	"14.106"	"20"	"1.671"	"1.299"
"GO:0005589"	"collagen type VI trimer"	"13.981"	"18"	"1.476"	"1.182"
"GO:0005903"	"brush border"	"13.77"	"163"	"61.537"	"7.368"
"GO:0005856"	"cytoskeleton"	"13.331"	"665"	"404.323"	"19.554"
