goId	name	refNum	interestNum	interestGene	expect	ratio	pValue	FDR
GO:0001501	skeletal system development	459	28	BMP1|1;SERPINH1|1;CD44|1;CDH11|1;COL1A1|1;COL1A2|1;COL3A1|1;COL5A2|1;COL6A2|1;COL7A1|1;COL12A1|1;FBN1|1;FBN2|1;FGF2|1;LOXL2|1;LUM|1;MATN2|1;MMP2|1;MMP14|1;NOTCH2|1;PPIB|1;SFRP4|1;SNAI2|1;SPARC|1;TGFB1|1;TGFBI|1;TIMP1|1;WNT5A|1	3.7398328299501302	7.486965667493051	0	0
GO:0001568	blood vessel development	609	39	ACTA2|1;CDH2|1;COL1A1|1;COL1A2|1;COL3A1|1;COL4A1|1;COL4A2|1;COL5A1|1;COL8A2|1;DCN|1;FAP|1;FGF2|1;FN1|1;ITGA5|1;ITGAV|1;ITGB1|1;ITGB3|1;LOX|1;LOXL1|1;LOXL2|1;LRP1|1;MMP2|1;MMP14|1;SERPINE1|1;PDGFRB|1;SAT1|1;SGCD|1;SPARC|1;TGFB1|1;TGFBI|1;TGFBR3|1;THBS1|1;THBS2|1;THY1|1;VEGFA|1;WNT5A|1;ADAM12|1;SLIT2|1;LAMA1|1	4.962000421437101	7.859733310684558	0	0
GO:0001704	formation of primary germ layer	109	17	COL4A2|1;COL5A1|1;COL5A2|1;COL7A1|1;COL12A1|1;FN1|1;ITGA2|1;ITGA5|1;ITGAV|1;ITGB1|1;ITGB3|1;ITGB5|1;LAMA3|1;MMP2|1;MMP14|1;WNT5A|1;DKK1|1	0.8881084498138654	19.141806390382786	0	0
GO:0001706	endoderm formation	48	13	COL4A2|1;COL5A1|1;COL5A2|1;COL7A1|1;COL12A1|1;FN1|1;ITGA5|1;ITGAV|1;ITGB5|1;LAMA3|1;MMP2|1;MMP14|1;DKK1|1	0.3910936292758306	33.24012212643678	0	0
GO:0001944	vasculature development	635	40	ACTA2|1;CDH2|1;COL1A1|1;COL1A2|1;COL3A1|1;COL4A1|1;COL4A2|1;COL5A1|1;COL8A2|1;DCN|1;FAP|1;FGF2|1;FN1|1;ITGA5|1;ITGAV|1;ITGB1|1;ITGB3|1;LOX|1;LOXL1|1;LOXL2|1;LRP1|1;MMP2|1;MMP14|1;SERPINE1|1;PDGFRB|1;SAT1|1;SGCB|1;SGCD|1;SPARC|1;TGFB1|1;TGFBI|1;TGFBR3|1;THBS1|1;THBS2|1;THY1|1;VEGFA|1;WNT5A|1;ADAM12|1;SLIT2|1;LAMA1|1	5.173842803961509	7.731197393429269	0	0
GO:0006928	movement of cell or subcellular component	1802	55	CD44|1;CDH2|1;COL1A1|1;COL1A2|1;COL3A1|1;COL5A1|1;DAB2|1;DCN|1;FAP|1;FBLN1|1;FGF2|1;FLNA|1;FN1|1;GJA1|1;GPC1|1;IGFBP3|1;ITGA2|1;ITGA5|1;ITGAV|1;ITGB1|1;ITGB3|1;ITGB5|1;LAMA3|1;LAMC1|1;LAMC2|1;LOXL2|1;LRP1|1;MATN2|1;MMP1|1;MMP3|1;MMP14|1;SERPINE1|1;PDGFRB|1;PFN2|1;SDC1|1;SDC4|1;CXCL12|1;SGCD|1;SNAI2|1;SPARC|1;TGFB1|1;TGFBR3|1;THBS1|1;THY1|1;TIMP1|1;TPM1|1;TPM2|1;TPM4|1;VCAM1|1;VEGFA|1;VIM|1;WNT5A|1;SLIT2|1;LRRC15|1;LAMA1|1	14.68230666573014	3.7460053963029583	0	0
GO:0007155	cell adhesion	1239	54	APLP1|1;CD44|1;CDH2|1;CDH11|1;COL1A1|1;COL3A1|1;COL5A1|1;COL6A2|1;COL7A1|1;COL8A2|1;COL12A1|1;VCAN|1;FAP|1;FBLN1|1;FBLN2|1;FBN1|1;FLNA|1;FN1|1;TNC|1;ITGA2|1;ITGA5|1;ITGAV|1;ITGB1|1;ITGB3|1;ITGB5|1;LAMA3|1;LAMC1|1;LAMC2|1;LGALS1|1;LOXL2|1;MMP14|1;NT5E|1;SERPINE1|1;PRSS2|1;PVR|1;SDC4|1;CXCL12|1;SNAI2|1;SPP1|1;TGFB1|1;TGFBI|1;TGM2|1;THBS1|1;THBS2|1;THY1|1;TPM1|1;VCAM1|1;VEGFA|1;WNT5A|1;ADAM12|1;EDIL3|1;FBLN5|1;NID2|1;LAMA1|1	10.095104305682378	5.349127494364198	0	0
GO:0007275	multicellular organism development	4632	85	ACTA2|1;APLP1|1;BMP1|1;SERPINH1|1;CD44|1;CDH2|1;CDH11|1;COL1A1|1;COL1A2|1;COL3A1|1;COL4A1|1;COL4A2|1;COL5A1|1;COL5A2|1;COL6A2|1;COL7A1|1;COL8A2|1;COL12A1|1;VCAN|1;DAB2|1;DCN|1;ELN|1;FAP|1;FBLN1|1;FBN1|1;FBN2|1;FGF2|1;FLNA|1;FN1|1;GJA1|1;GPC1|1;TNC|1;ITGA2|1;ITGA5|1;ITGAV|1;ITGB1|1;ITGB3|1;ITGB5|1;LAMA3|1;LAMC2|1;LGALS1|1;LOX|1;LOXL1|1;LOXL2|1;LRP1|1;LUM|1;MATN2|1;MMP2|1;MMP14|1;GADD45B|1;NOTCH2|1;SERPINE1|1;PDGFRB|1;PPIB|1;SAT1|1;SDC1|1;SDC4|1;CXCL12|1;SFRP4|1;SGCB|1;SGCD|1;SNAI2|1;SPARC|1;SPP1|1;TAGLN|1;TGFB1|1;TGFBI|1;TGFBR3|1;TGM2|1;THBS1|1;THBS2|1;THY1|1;TIMP1|1;TPM1|1;VCAM1|1;VEGFA|1;VIM|1;WNT5A|1;ADAM12|1;PLOD3|1;SLIT2|1;EDIL3|1;BASP1|1;DKK1|1;LAMA1|1	37.740535225117654	2.252220311476386	0	0
GO:0007492	endoderm development	71	15	COL4A2|1;COL5A1|1;COL5A2|1;COL7A1|1;COL12A1|1;FN1|1;ITGA5|1;ITGAV|1;ITGB5|1;LAMA3|1;LAMC1|1;MMP2|1;MMP14|1;TGFB1|1;DKK1|1	0.5784926599704995	25.929456046624573	0	0
GO:0009611	response to wounding	603	31	CD44|1;CD59|1;COL1A1|1;COL1A2|1;COL3A1|1;COL5A1|1;DCN|1;FAP|1;FBLN1|1;FGF2|1;FLNA|1;FN1|1;TNC|1;ITGA2|1;ITGA5|1;ITGB3|1;LGALS1|1;LOX|1;MATN2|1;SERPINE1|1;PDGFRB|1;PLAUR|1;SDC1|1;SDC4|1;SPARC|1;SPP1|1;TGFB1|1;THBS1|1;TIMP1|1;TPM1|1;WNT5A|1	4.913113717777622	6.309644307199633	0	0
GO:0009653	anatomical structure morphogenesis	2318	73	ACTA2|1;APLP1|1;BMP1|1;SERPINH1|1;CD44|1;CDH2|1;CDH11|1;COL1A1|1;COL1A2|1;COL3A1|1;COL4A1|1;COL4A2|1;COL5A1|1;COL5A2|1;COL6A2|1;COL7A1|1;COL8A2|1;COL12A1|1;DAB2|1;DCN|1;ELN|1;FAP|1;FBLN1|1;FBN1|1;FBN2|1;FGF2|1;FLNA|1;FN1|1;GPC1|1;TNC|1;ITGA2|1;ITGA5|1;ITGAV|1;ITGB1|1;ITGB3|1;ITGB5|1;LAMA3|1;LAMC1|1;LOX|1;LOXL2|1;LRP1|1;MATN2|1;MMP2|1;MMP14|1;NOTCH2|1;SERPINE1|1;PDGFRB|1;SAT1|1;SDC1|1;SDC4|1;CXCL12|1;SFRP4|1;SGCD|1;SNAI2|1;SPARC|1;SPP1|1;TGFB1|1;TGFBI|1;TGFBR3|1;TGM2|1;THBS1|1;THBS2|1;THY1|1;TPM1|1;VEGFA|1;WNT5A|1;ADAM12|1;PLOD3|1;SLIT2|1;BASP1|1;CAP2|1;DKK1|1;LAMA1|1	18.886563180445318	3.8651817857249116	0	0
GO:0009887	animal organ morphogenesis	904	43	ACTA2|1;APLP1|1;BMP1|1;SERPINH1|1;CDH2|1;COL1A1|1;COL1A2|1;COL3A1|1;COL5A1|1;COL5A2|1;COL6A2|1;COL7A1|1;COL8A2|1;COL12A1|1;DAB2|1;DCN|1;ELN|1;FBN1|1;FBN2|1;FGF2|1;TNC|1;ITGA2|1;MATN2|1;MMP2|1;MMP14|1;NOTCH2|1;SERPINE1|1;PDGFRB|1;SDC1|1;SFRP4|1;SNAI2|1;TGFB1|1;TGFBR3|1;TGM2|1;THY1|1;TPM1|1;VEGFA|1;WNT5A|1;PLOD3|1;SLIT2|1;BASP1|1;DKK1|1;LAMA1|1	7.365596684694809	5.837952014037229	0	0
