"GO.ID"	"GO.Term"	"zscore"
"GO:0045944"	"positive regulation of transcription from RNA polymerase II promoter"	"23.846"
"GO:0045893"	"positive regulation of transcription, DNA-templated"	"20.882"
"GO:0000122"	"negative regulation of transcription from RNA polymerase II promoter"	"17.066"
"GO:0007165"	"signal transduction"	"16.91"
"GO:0045892"	"negative regulation of transcription, DNA-templated"	"16.062"
"GO:0019221"	"cytokine-mediated signaling pathway"	"14.011"
"GO:0043066"	"negative regulation of apoptotic process"	"13.004"
"GO:0030521"	"androgen receptor signaling pathway"	"12.638"
"GO:0007411"	"axon guidance"	"12.573"
"GO:0043401"	"steroid hormone mediated signaling pathway"	"12.098"
"GO:0042531"	"positive regulation of tyrosine phosphorylation of STAT protein"	"12.06"
"GO:0060745"	"mammary gland branching involved in pregnancy"	"11.998"
"GO:0030154"	"cell differentiation"	"11.997"
"GO:0046603"	"negative regulation of mitotic centrosome separation"	"11.904"
"GO:0051056"	"regulation of small GTPase mediated signal transduction"	"11.735"
"GO:0000165"	"MAPK cascade"	"11.579"
"GO:0019216"	"regulation of lipid metabolic process"	"11.577"
"GO:0006817"	"phosphate ion transport"	"11.443"
"GO:0051091"	"positive regulation of sequence-specific DNA binding transcription factor activity"	"11.41"
"GO:0030518"	"intracellular steroid hormone receptor signaling pathway"	"11.123"
"GO:0070268"	"cornification"	"11.084"
"GO:0006367"	"transcription initiation from RNA polymerase II promoter"	"11.057"
"GO:0043065"	"positive regulation of apoptotic process"	"11.027"
"GO:0006468"	"protein phosphorylation"	"11.024"
"GO:0046854"	"phosphatidylinositol phosphorylation"	"11.019"
"GO:0061144"	"alveolar secondary septum development"	"10.97"
"GO:1902691"	"respiratory basal cell differentiation"	"10.97"
"GO:0033146"	"regulation of intracellular estrogen receptor signaling pathway"	"10.923"
"GO:1903799"	"negative regulation of production of miRNAs involved in gene silencing by miRNA"	"10.846"
"GO:0043627"	"response to estrogen"	"10.826"
"GO:0008285"	"negative regulation of cell proliferation"	"10.786"
"GO:0035162"	"embryonic hemopoiesis"	"10.325"
"GO:0007169"	"transmembrane receptor protein tyrosine kinase signaling pathway"	"10.232"
"GO:0071391"	"cellular response to estrogen stimulus"	"10.096"
"GO:0035556"	"intracellular signal transduction"	"10.072"
"GO:0035855"	"megakaryocyte development"	"10.02"
"GO:0051897"	"positive regulation of protein kinase B signaling"	"9.871"
"GO:0007173"	"epidermal growth factor receptor signaling pathway"	"9.859"
"GO:0018108"	"peptidyl-tyrosine phosphorylation"	"9.82"
"GO:0044341"	"sodium-dependent phosphate transport"	"9.799"
"GO:0007507"	"heart development"	"9.736"
"GO:0035023"	"regulation of Rho protein signal transduction"	"9.72"
"GO:1902895"	"positive regulation of pri-miRNA transcription from RNA polymerase II promoter"	"9.698"
"GO:0010628"	"positive regulation of gene expression"	"9.66"
"GO:0060741"	"prostate gland stromal morphogenesis"	"9.603"
"GO:0008284"	"positive regulation of cell proliferation"	"9.525"
"GO:1904837"	"beta-catenin-TCF complex assembly"	"9.448"
"GO:0042981"	"regulation of apoptotic process"	"9.444"
"GO:0015747"	"urate transport"	"9.428"
"GO:0030522"	"intracellular receptor signaling pathway"	"9.417"
"GO:0006338"	"chromatin remodeling"	"9.38"
"GO:0060750"	"epithelial cell proliferation involved in mammary gland duct elongation"	"9.342"
"GO:0003406"	"retinal pigment epithelium development"	"9.333"
"GO:0060065"	"uterus development"	"9.325"
"GO:0050900"	"leukocyte migration"	"9.286"
"GO:0009755"	"hormone-mediated signaling pathway"	"9.174"
"GO:0007399"	"nervous system development"	"9.157"
"GO:0045637"	"regulation of myeloid cell differentiation"	"9.14"
