"GO.ID"	"GO.Term"	"NetBAS"	"DAVID"
"GO:0045944"	"positive regulation of transcription from RNA polymerase II promoter"	"23.846"	"0.06482554512176197"
"GO:0045893"	"positive regulation of transcription, DNA-templated"	"20.882"	NA
"GO:0000122"	"negative regulation of transcription from RNA polymerase II promoter"	"17.066"	"0.003593370676810508"
"GO:0007165"	"signal transduction"	"16.91"	"1.0260091960687273E-6"
"GO:0045892"	"negative regulation of transcription, DNA-templated"	"16.062"	"0.0030019786940041386"
"GO:0019221"	"cytokine-mediated signaling pathway"	"14.011"	NA
"GO:0043066"	"negative regulation of apoptotic process"	"13.004"	"3.3099850779672007E-6"
"GO:0030521"	"androgen receptor signaling pathway"	"12.638"	"0.022390475669740006"
"GO:0007411"	"axon guidance"	"12.573"	NA
"GO:0043401"	"steroid hormone mediated signaling pathway"	"12.098"	"0.0037305577130602027"
