"GO.ID"	"GO.Term"	"NetBAS"	"DAVID"
"GO:0005886"	"plasma membrane"	"20.635"	"0.006712925757072455"
"GO:0005887"	"integral component of plasma membrane"	"16.185"	"0.012028951037308316"
"GO:0016021"	"integral component of membrane"	"13.261"	NA
"GO:0009897"	"external side of plasma membrane"	"12.684"	NA
"GO:0097058"	"CRLF-CLCF1 complex"	"12.143"	NA
"GO:0043235"	"receptor complex"	"11.751"	NA
"GO:0097059"	"CNTFR-CLCF1 complex"	"10.25"	NA
"GO:0005576"	"extracellular region"	"9.444"	"1.829846593077566E-7"
"GO:0070110"	"ciliary neurotrophic factor receptor complex"	"8.612"	NA
"GO:0009986"	"cell surface"	"8.435"	"0.006794292932157422"
