"GO.ID"	"GO.Term"	"zscore"
"GO:0005132"	"type I interferon receptor binding"	"16.505"
"GO:0004896"	"cytokine receptor activity"	"15.027"
"GO:0005146"	"leukemia inhibitory factor receptor binding"	"14.452"
"GO:0005127"	"ciliary neurotrophic factor receptor binding"	"13.52"
"GO:0019955"	"cytokine binding"	"12.87"
"GO:0004930"	"G-protein coupled receptor activity"	"12.574"
"GO:0005142"	"interleukin-11 receptor binding"	"11.624"
"GO:0020037"	"heme binding"	"11.168"
"GO:0004897"	"ciliary neurotrophic factor receptor activity"	"10.972"
"GO:0005125"	"cytokine activity"	"10.494"
"GO:0033038"	"bitter taste receptor activity"	"10.085"
"GO:0008009"	"chemokine activity"	"9.491"
"GO:0004497"	"monooxygenase activity"	"9.473"
"GO:0004924"	"oncostatin-M receptor activity"	"9.247"
"GO:0008395"	"steroid hydroxylase activity"	"9.129"
"GO:0008134"	"transcription factor binding"	"8.709"
"GO:0005506"	"iron ion binding"	"8.692"
"GO:0005131"	"growth hormone receptor binding"	"8.685"
"GO:0004713"	"protein tyrosine kinase activity"	"8.451"
"GO:0005088"	"Ras guanyl-nucleotide exchange factor activity"	"8.4"
"GO:0008146"	"sulfotransferase activity"	"8.304"
"GO:0016493"	"C-C chemokine receptor activity"	"8.248"
"GO:0005138"	"interleukin-6 receptor binding"	"8.236"
"GO:0019956"	"chemokine binding"	"8.16"
"GO:0046934"	"phosphatidylinositol-4,5-bisphosphate 3-kinase activity"	"8.155"
"GO:0004879"	"RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding"	"8.141"
"GO:0019957"	"C-C chemokine binding"	"8.116"
"GO:0070330"	"aromatase activity"	"8.045"
"GO:0015321"	"sodium-dependent phosphate transmembrane transporter activity"	"7.913"
"GO:0019838"	"growth factor binding"	"7.867"
"GO:0016712"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen"	"7.723"
"GO:0038023"	"signaling receptor activity"	"7.637"
"GO:0005126"	"cytokine receptor binding"	"7.588"
"GO:0045523"	"interleukin-27 receptor binding"	"7.557"
"GO:0000048"	"peptidyltransferase activity"	"7.534"
"GO:0036374"	"glutathione hydrolase activity"	"7.487"
"GO:0042923"	"neuropeptide binding"	"7.43"
"GO:0004921"	"interleukin-11 receptor activity"	"7.404"
"GO:0019970"	"interleukin-11 binding"	"7.404"
"GO:0005332"	"gamma-aminobutyric acid:sodium symporter activity"	"7.39"
"GO:0003707"	"steroid hormone receptor activity"	"7.303"
"GO:0005147"	"oncostatin-M receptor binding"	"7.211"
"GO:0004923"	"leukemia inhibitory factor receptor activity"	"7.104"
"GO:0008083"	"growth factor activity"	"7.049"
"GO:0008510"	"sodium:bicarbonate symporter activity"	"6.984"
"GO:0008527"	"taste receptor activity"	"6.966"
"GO:0004912"	"interleukin-3 receptor activity"	"6.901"
"GO:0004906"	"interferon-gamma receptor activity"	"6.876"
"GO:0008392"	"arachidonic acid epoxygenase activity"	"6.869"
"GO:0005452"	"inorganic anion exchanger activity"	"6.832"
"GO:0015226"	"carnitine transmembrane transporter activity"	"6.767"
"GO:0005143"	"interleukin-12 receptor binding"	"6.593"
"GO:0004674"	"protein serine/threonine kinase activity"	"6.585"
"GO:0004911"	"interleukin-2 receptor activity"	"6.574"
"GO:0019976"	"interleukin-2 binding"	"6.574"
"GO:0002951"	NA	"6.556"
"GO:0008513"	"secondary active organic cation transmembrane transporter activity"	"6.335"
"GO:0015491"	"cation:cation antiporter activity"	"6.335"
"GO:0005515"	"protein binding"	"6.331"
"GO:0001077"	"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding"	"6.312"
"GO:0004062"	"aryl sulfotransferase activity"	"6.3"
"GO:0070119"	"ciliary neurotrophic factor binding"	"6.266"
"GO:0004915"	"interleukin-6 receptor activity"	"6.26"
"GO:0019981"	"interleukin-6 binding"	"6.26"
"GO:0004693"	"cyclin-dependent protein serine/threonine kinase activity"	"6.249"
"GO:0001102"	"RNA polymerase II activating transcription factor binding"	"6.223"
"GO:0019899"	"enzyme binding"	"6.108"
"GO:0019903"	"protein phosphatase binding"	"6.023"
"GO:0004672"	"protein kinase activity"	"6.012"
"GO:0015651"	"quaternary ammonium group transmembrane transporter activity"	"6.009"
"GO:0004697"	"protein kinase C activity"	"6.006"
"GO:0005068"	"transmembrane receptor protein tyrosine kinase adaptor activity"	"5.962"
"GO:0019901"	"protein kinase binding"	"5.961"
"GO:0030374"	"ligand-dependent nuclear receptor transcription coactivator activity"	"5.952"
"GO:0005436"	"sodium:phosphate symporter activity"	"5.947"
"GO:0001784"	"phosphotyrosine binding"	"5.943"
"GO:0042164"	"interleukin-12 alpha subunit binding"	"5.93"
"GO:0004950"	"chemokine receptor activity"	"5.921"
"GO:0004888"	"transmembrane signaling receptor activity"	"5.912"
"GO:0005496"	"steroid binding"	"5.812"
"GO:0004252"	"serine-type endopeptidase activity"	"5.807"
"GO:0015386"	"potassium:proton antiporter activity"	"5.805"
"GO:0004698"	"calcium-dependent protein kinase C activity"	"5.801"
"GO:0045509"	"interleukin-27 receptor activity"	"5.801"
"GO:0098821"	"BMP receptor activity"	"5.767"
"GO:0004715"	"non-membrane spanning protein tyrosine kinase activity"	"5.73"
"GO:1990174"	"phosphodiesterase decapping endonuclease activity"	"5.689"
"GO:0015143"	"urate transmembrane transporter activity"	"5.684"
"GO:0008013"	"beta-catenin binding"	"5.67"
"GO:0004913"	"interleukin-4 receptor activity"	"5.645"
"GO:0016494"	"C-X-C chemokine receptor activity"	"5.592"
"GO:0015385"	"sodium:proton antiporter activity"	"5.57"
"GO:0005024"	"transforming growth factor beta-activated receptor activity"	"5.568"
"GO:0005148"	"prolactin receptor binding"	"5.548"
"GO:0005133"	"interferon-gamma receptor binding"	"5.54"
"GO:0043560"	"insulin receptor substrate binding"	"5.479"
"GO:0015301"	"anion:anion antiporter activity"	"5.416"
"GO:0016301"	"kinase activity"	"5.395"
"GO:0015499"	"formate transmembrane transporter activity"	"5.39"
"GO:0015660"	"formate efflux transmembrane transporter activity"	"5.39"
"GO:0031730"	"CCR5 chemokine receptor binding"	"5.327"
"GO:0004675"	"transmembrane receptor protein serine/threonine kinase activity"	"5.298"
"GO:0004707"	"MAP kinase activity"	"5.267"
"GO:0102953"	NA	"5.259"
"GO:0103068"	NA	"5.259"
"GO:0001158"	"enhancer sequence-specific DNA binding"	"5.257"
"GO:0004714"	"transmembrane receptor protein tyrosine kinase activity"	"5.189"
"GO:0004914"	"interleukin-5 receptor activity"	"5.189"
"GO:0016922"	"ligand-dependent nuclear receptor binding"	"5.156"
"GO:0001517"	"N-acetylglucosamine 6-O-sulfotransferase activity"	"5.124"
"GO:0016811"	"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides"	"5.118"
"GO:0042803"	"protein homodimerization activity"	"5.091"
"GO:0001078"	"transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding"	"5.065"
"GO:0045519"	"interleukin-23 receptor binding"	"5.064"
"GO:0047273"	"galactosylgalactosylglucosylceramide beta-D-acetylgalactosaminyltransferase activity"	"5.002"
"GO:0001085"	"RNA polymerase II transcription factor binding"	"4.967"
"GO:0005178"	"integrin binding"	"4.966"
"GO:0048020"	"CCR chemokine receptor binding"	"4.953"
"GO:0033558"	"protein deacetylase activity"	"4.926"
"GO:0004985"	"opioid receptor activity"	"4.923"
"GO:0032041"	"NAD-dependent histone deacetylase activity (H3-K14 specific)"	"4.912"
"GO:0030380"	"interleukin-17E receptor binding"	"4.897"
"GO:0005134"	"interleukin-2 receptor binding"	"4.894"
"GO:0004175"	"endopeptidase activity"	"4.857"
