goId	name	refNum	interestNum	interestGene	expect	ratio	pValue	FDR
GO:0008219	cell death	2018	28	BAG1|1;BCL2|1;CAV1|1;CD44|1;FOS|1;SFN|1;IL6ST|1;JAK2|1;LTF|1;MAPT|1;PRLR|1;PTGER3|1;PTPN6|1;RPS6KA2|1;S100A9|1;SGK1|1;SIAH2|1;STIL|1;TIAM1|1;TOP2A|1;XBP1|1;ZFP36|1;RABEP1|1;DLG5|1;KLF4|1;SLC9A3R1|1;DHRS2|1;PKP3|1	9.496804101987777	2.9483602798692368	3.066662135342568e-8	1.6788367696966383e-4
GO:0006950	response to stress	3399	37	SERPINA3|1;ASS1|1;ATP2B4|1;BAG1|1;CCND1|1;BCL2|1;CAV1|1;SCARB1|1;CD44|1;FKBP4|1;FLNB|1;FOS|1;SFN|1;ID2|1;IL6ST|1;JAK1|1;JAK2|1;LTF|1;MAPT|1;MAPK13|1;PTGER3|1;PTPN6|1;RBBP8|1;S100A9|1;SGK1|1;TFF1|1;TH|1;TIAM1|1;TOP2A|1;XBP1|1;XRCC3|1;ZFP36|1;KLF4|1;DHRS2|1;RNASEH2A|1;TRIM29|1;MYOF|1	15.995855868511624	2.3130991116790276	3.2623547419063925e-8	1.6788367696966383e-4
GO:0042981	regulation of apoptotic process	1405	23	BAG1|1;BCL2|1;CAV1|1;CD44|1;SFN|1;IL6ST|1;JAK2|1;LTF|1;MAPT|1;PRLR|1;RPS6KA2|1;S100A9|1;SGK1|1;SIAH2|1;STIL|1;TIAM1|1;TOP2A|1;XBP1|1;ZFP36|1;DLG5|1;KLF4|1;SLC9A3R1|1;DHRS2|1	6.611996909461262	3.4785255218569078	4.555255384008916e-8	1.6788367696966383e-4
GO:0010941	regulation of cell death	1528	24	BAG1|1;BCL2|1;CAV1|1;CD44|1;FOS|1;SFN|1;IL6ST|1;JAK2|1;LTF|1;MAPT|1;PRLR|1;RPS6KA2|1;S100A9|1;SGK1|1;SIAH2|1;STIL|1;TIAM1|1;TOP2A|1;XBP1|1;ZFP36|1;DLG5|1;KLF4|1;SLC9A3R1|1;DHRS2|1	7.190840767015523	3.337579120106275	4.5725604747026694e-8	1.6788367696966383e-4
GO:0043067	regulation of programmed cell death	1419	23	BAG1|1;BCL2|1;CAV1|1;CD44|1;SFN|1;IL6ST|1;JAK2|1;LTF|1;MAPT|1;PRLR|1;RPS6KA2|1;S100A9|1;SGK1|1;SIAH2|1;STIL|1;TIAM1|1;TOP2A|1;XBP1|1;ZFP36|1;DLG5|1;KLF4|1;SLC9A3R1|1;DHRS2|1	6.677881576174756	3.444206031155007	5.477746745086165e-8	1.6788367696966383e-4
GO:0048732	gland development	420	13	ASS1|1;CCND1|1;BCL2|1;CAV1|1;CDH1|1;FKBP4|1;ID2|1;JAK2|1;PGR|1;PRLR|1;XBP1|1;SLC9A3R1|1;LSR|1	1.9765400014047902	6.5771499644633975	6.352412573740196e-8	1.6788367696966383e-4
GO:0042127	regulation of cell proliferation	1448	23	CCND1|1;BCL2|1;CAV1|1;CDC6|1;CDC20|1;SFN|1;ID2|1;IL6ST|1;JAK2|1;LTF|1;PGR|1;PTPN6|1;RPS6KA2|1;SGK1|1;TFF1|1;TIAM1|1;XBP1|1;ZFP36|1;CCNA1|1;DLG5|1;KLF4|1;SLC9A3R1|1;DHRS2|1	6.814356957224134	3.375226766718892	7.967548310006123e-8	1.7771341545230745e-4
GO:0008283	cell proliferation	1844	26	CCND1|1;BCL2|1;CAV1|1;SCARB1|1;CDC6|1;CDC20|1;SFN|1;ID2|1;IL6ST|1;JAK2|1;LTF|1;PDZK1|1;PGR|1;PTPN6|1;RPS6KA2|1;SGK1|1;STIL|1;TFF1|1;TIAM1|1;XBP1|1;ZFP36|1;CCNA1|1;DLG5|1;KLF4|1;SLC9A3R1|1;DHRS2|1	8.677951815691507	2.9960986822935216	8.965802633653652e-8	1.7771341545230745e-4
GO:0012501	programmed cell death	1901	26	BAG1|1;BCL2|1;CAV1|1;CD44|1;SFN|1;IL6ST|1;JAK2|1;LTF|1;MAPT|1;PRLR|1;PTPN6|1;RPS6KA2|1;S100A9|1;SGK1|1;SIAH2|1;STIL|1;TIAM1|1;TOP2A|1;XBP1|1;ZFP36|1;RABEP1|1;DLG5|1;KLF4|1;SLC9A3R1|1;DHRS2|1;PKP3|1	8.946196530167873	2.9062630037607855	1.662610291663924e-7	2.8520583790068364e-4
GO:0044843	cell cycle G1/S phase transition	243	10	ATP2B4|1;CCND1|1;BCL2|1;CDC6|1;SFN|1;ID2|1;PTPN6|1;RBBP8|1;CCNA1|1;KLF4|1	1.143569572241343	8.744548860635096	1.8432010873148386e-7	2.8520583790068364e-4
GO:0006915	apoptotic process	1782	25	BAG1|1;BCL2|1;CAV1|1;CD44|1;SFN|1;IL6ST|1;JAK2|1;LTF|1;MAPT|1;PRLR|1;PTPN6|1;RPS6KA2|1;S100A9|1;SGK1|1;SIAH2|1;STIL|1;TIAM1|1;TOP2A|1;XBP1|1;ZFP36|1;RABEP1|1;DLG5|1;KLF4|1;SLC9A3R1|1;DHRS2|1	8.38617686310318	2.981096202489238	1.9784727356420007e-7	2.8520583790068364e-4
GO:0050790	regulation of catalytic activity	2083	27	SERPINA3|1;ATP2B4|1;BAG1|1;CCND1|1;BCL2|1;CAV1|1;SCARB1|1;CD44|1;CDC6|1;CDC20|1;DUSP2|1;SFN|1;JAK2|1;LTF|1;MAPT|1;PRLR|1;PTPN6|1;S100A9|1;SGK1|1;SIAH2|1;TIAM1|1;ZFP36|1;CCNA1|1;RABEP1|1;KLF4|1;SLC9A3R1|1;DNAJC1|1	9.802697197443281	2.7543439786186688	2.58190085089538e-7	3.411766816054004e-4
GO:1902806	regulation of cell cycle G1/S phase transition	148	8	ATP2B4|1;CCND1|1;BCL2|1;CDC6|1;SFN|1;ID2|1;PTPN6|1;KLF4|1	0.6964950481140689	11.486083098023398	4.3819374195841476e-7	5.260434233873151e-4
GO:0010035	response to inorganic substance	503	13	ASS1|1;ATP2B4|1;CCND1|1;BCL2|1;CAV1|1;CDH1|1;FOS|1;ID2|1;MAPT|1;MAPK13|1;TFF1|1;TH|1;KLF4|1	2.367141954063356	5.491854841102638	5.066650454743638e-7	5.260434233873151e-4
GO:0032501	multicellular organismal process	6115	49	SERPINA3|1;ASS1|1;ATP2B4|1;CCND1|1;BCL2|1;CAV1|1;SCARB1|1;CD44|1;CDC20|1;CDH1|1;CKB|1;FKBP4|1;FLNB|1;FOS|1;SFN|1;ID2|1;IL6ST|1;JAK1|1;JAK2|1;LTF|1;MAPT|1;PGR|1;MAPK13|1;PRLR|1;PTGER3|1;PTPN6|1;RBBP8|1;S100A9|1;SGK1|1;SIAH2|1;STIL|1;SLC22A5|1;TFF1|1;TH|1;TIAM1|1;TOP2A|1;TPBG|1;UGDH|1;XBP1|1;ZFP36|1;CCNA1|1;DLG5|1;KLF4|1;SLC9A3R1|1;DHRS2|1;PLK4|1;PKP3|1;MYOF|1;LSR|1	28.777481210929267	1.7027202499359295	5.10211354942669e-7	5.260434233873151e-4
GO:0051338	regulation of transferase activity	893	17	ATP2B4|1;CCND1|1;CAV1|1;CDC6|1;CDC20|1;DUSP2|1;SFN|1;JAK2|1;LTF|1;MAPT|1;PRLR|1;PTPN6|1;TIAM1|1;ZFP36|1;CCNA1|1;KLF4|1;SLC9A3R1|1	4.202500526796375	4.045210676739483	5.30787335195626e-7	5.260434233873151e-4
