"Pathway"	"Z-score"
"Fatty acid degradation"	"41.913"
"Citrate cycle (TCA cycle)"	"33.819"
"Valine, leucine and isoleucine degradation"	"33.516"
"Propanoate metabolism"	"26.914"
"Tryptophan metabolism"	"22.676"
"Pyruvate metabolism"	"22.463"
"beta-Alanine metabolism"	"21.441"
"PPAR signaling pathway"	"21.335"
"Butanoate metabolism"	"20.286"
"Glyoxylate and dicarboxylate metabolism"	"18.909"
"Glycolysis / Gluconeogenesis"	"17.952"
"Peroxisome"	"17.44"
"Tyrosine metabolism"	"14.58"
"Synthesis and degradation of ketone bodies"	"13.769"
"Phenylalanine metabolism"	"13.431"
"Fatty acid elongation"	"12.661"
"Lysine degradation"	"12.514"
"Fatty acid biosynthesis"	"12.037"
"Retinol metabolism"	"11.701"
"Porphyrin and chlorophyll metabolism"	"11.357"
"Nitrogen metabolism"	"9.922"
"Steroid biosynthesis"	"9.558"
"Metabolism of xenobiotics by cytochrome P450"	"9.113"
"Terpenoid backbone biosynthesis"	"9.075"
"Histidine metabolism"	"8.962"
"Biosynthesis of unsaturated fatty acids"	"8.891"
"Adipocytokine signaling pathway"	"8.613"
"Fat digestion and absorption"	"7.917"
"Ascorbate and aldarate metabolism"	"7.723"
"Cysteine and methionine metabolism"	"7.665"
"Arginine and proline metabolism"	"7.283"
"Chemical carcinogenesis"	"7.162"
"Alanine, aspartate and glutamate metabolism"	"6.934"
"Drug metabolism - cytochrome P450"	"6.561"
"Glycine, serine and threonine metabolism"	"6.376"
"Proximal tubule bicarbonate reclamation"	"6.357"
"Folate biosynthesis"	"6.115"
"HIF-1 signaling pathway"	"5.747"
"Thermogenesis"	"5.241"
"Glycerolipid metabolism"	"5.037"
"Primary bile acid biosynthesis"	"4.924"
"Arachidonic acid metabolism"	"4.891"
"Phenylalanine, tyrosine and tryptophan biosynthesis"	"4.874"
"Central carbon metabolism in cancer"	"4.827"
"Ferroptosis"	"4.602"
"Glucagon signaling pathway"	"4.502"
"AMPK signaling pathway"	"4.111"
"Ovarian steroidogenesis"	"4.054"
"alpha-Linolenic acid metabolism"	"3.962"
"Glutathione metabolism"	"3.824"
"Non-alcoholic fatty liver disease (NAFLD)"	"3.479"
"Base excision repair"	"3.38"
"Taurine and hypotaurine metabolism"	"3.029"
"GABAergic synapse"	"2.668"
"Parkinson's disease"	"2.628"
"Steroid hormone biosynthesis"	"2.582"
"Regulation of lipolysis in adipocytes"	"2.385"
"Selenocompound metabolism"	"2.304"
"Insulin resistance"	"2.294"
"Alzheimer's disease"	"2.15"
"Pantothenate and CoA biosynthesis"	"2.092"
"Arginine biosynthesis"	"2.002"
"Pentose and glucuronate interconversions"	"1.867"
"Oxidative phosphorylation"	"1.83"
"Bile secretion"	"1.823"
"RNA degradation"	"1.749"
"Antigen processing and presentation"	"1.731"
"Collecting duct acid secretion"	"1.681"
"Pentose phosphate pathway"	"1.48"
"Necroptosis"	"1.469"
"Autophagy - other"	"1.454"
"Fructose and mannose metabolism"	"1.427"
"Protein processing in endoplasmic reticulum"	"1.421"
"Glycerophospholipid metabolism"	"1.384"
"Hematopoietic cell lineage"	"1.355"
"Pancreatic secretion"	"1.321"
"Homologous recombination"	"1.137"
"Huntington's disease"	"1.126"
"Type I diabetes mellitus"	"1.107"
"Proteasome"	"1.019"
"Malaria"	"1.016"
"Amino sugar and nucleotide sugar metabolism"	"0.987"
"Vascular smooth muscle contraction"	"0.981"
"Cocaine addiction"	"0.953"
"Autophagy - animal"	"0.943"
"Cholesterol metabolism"	"0.927"
"Fluid shear stress and atherosclerosis"	"0.825"
"Hippo signaling pathway"	"0.677"
"Mitophagy - animal"	"0.65"
"Renal cell carcinoma"	"0.621"
"Amphetamine addiction"	"0.582"
"NOD-like receptor signaling pathway"	"0.522"
"Gastric acid secretion"	"0.474"
"Alcoholism"	"0.446"
"ECM-receptor interaction"	"0.408"
"TGF-beta signaling pathway"	"0.392"
"Longevity regulating pathway"	"0.313"
"cAMP signaling pathway"	"0.293"
"IL-17 signaling pathway"	"0.283"
"Amoebiasis"	"0.252"
"Progesterone-mediated oocyte maturation"	"0.25"
"Prostate cancer"	"0.226"
"Choline metabolism in cancer"	"0.217"
"Th17 cell differentiation"	"0.133"
"Serotonergic synapse"	"0.09"
"Glutamatergic synapse"	"0.078"
"Oocyte meiosis"	"0.016"
"Cell cycle"	"-0.027"
"Systemic lupus erythematosus"	"-0.053"
"FoxO signaling pathway"	"-0.06"
"Hepatitis C"	"-0.06"
"Dopaminergic synapse"	"-0.068"
"D-Arginine and D-ornithine metabolism"	"-0.091"
"Apelin signaling pathway"	"-0.097"
"Insulin signaling pathway"	"-0.099"
"Estrogen signaling pathway"	"-0.114"
"Signaling pathways regulating pluripotency of stem cells"	"-0.116"
"Ubiquitin mediated proteolysis"	"-0.12"
"Lipoic acid metabolism"	"-0.154"
"Biotin metabolism"	"-0.159"
"Valine, leucine and isoleucine biosynthesis"	"-0.181"
"Retrograde endocannabinoid signaling"	"-0.192"
"Caffeine metabolism"	"-0.203"
"D-Glutamine and D-glutamate metabolism"	"-0.204"
"Neomycin, kanamycin and gentamicin biosynthesis"	"-0.207"
"Phagosome"	"-0.218"
"Phosphonate and phosphinate metabolism"	"-0.22"
"Vitamin B6 metabolism"	"-0.226"
"Cushing's syndrome"	"-0.25"
