Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_ALL	GO:0044428~nuclear part	147	74.61928934010153	3.6116422097504904E-59	ENSG00000112739, ENSG00000109971, ENSG00000032219, ENSG00000051341, ENSG00000090889, ENSG00000083896, ENSG00000005007, ENSG00000158169, ENSG00000083642, ENSG00000140464, ENSG00000167670, ENSG00000174371, ENSG00000112062, ENSG00000135446, ENSG00000101057, ENSG00000131747, ENSG00000138376, ENSG00000105968, ENSG00000108468, ENSG00000117505, ENSG00000112941, ENSG00000007168, ENSG00000138668, ENSG00000131165, ENSG00000112118, ENSG00000111276, ENSG00000100084, ENSG00000087586, ENSG00000097046, ENSG00000166949, ENSG00000108106, ENSG00000149503, ENSG00000110713, ENSG00000072501, ENSG00000170312, ENSG00000153187, ENSG00000131153, ENSG00000183763, ENSG00000113368, ENSG00000101412, ENSG00000137804, ENSG00000137807, ENSG00000239306, ENSG00000166851, ENSG00000178999, ENSG00000165392, ENSG00000112242, ENSG00000164815, ENSG00000136824, ENSG00000020426, ENSG00000138182, ENSG00000093009, ENSG00000117650, ENSG00000132780, ENSG00000143033, ENSG00000105576, ENSG00000173207, ENSG00000100462, ENSG00000055130, ENSG00000137497, ENSG00000166197, ENSG00000141380, ENSG00000189159, ENSG00000198900, ENSG00000198901, ENSG00000136273, ENSG00000175063, ENSG00000142731, ENSG00000139842, ENSG00000164045, ENSG00000161547, ENSG00000112029, ENSG00000109685, ENSG00000117724, ENSG00000119318, ENSG00000123136, ENSG00000085224, ENSG00000136527, ENSG00000094804, ENSG00000101224, ENSG00000164105, ENSG00000146143, ENSG00000136450, ENSG00000164109, ENSG00000198176, ENSG00000145386, ENSG00000205250, ENSG00000108424, ENSG00000164032, ENSG00000113810, ENSG00000197903, ENSG00000036257, ENSG00000093000, ENSG00000080839, ENSG00000014138, ENSG00000134250, ENSG00000173473, ENSG00000115053, ENSG00000076003, ENSG00000129315, ENSG00000082898, ENSG00000091651, ENSG00000180818, ENSG00000100644, ENSG00000073111, ENSG00000102974, ENSG00000136997, ENSG00000117748, ENSG00000161800, ENSG00000101945, ENSG00000097007, ENSG00000154473, ENSG00000139618, ENSG00000129351, ENSG00000118007, ENSG00000140332, ENSG00000135316, ENSG00000148773, ENSG00000118412, ENSG00000137309, ENSG00000089685, ENSG00000182944, ENSG00000100784, ENSG00000100297, ENSG00000088325, ENSG00000110092, ENSG00000115163, ENSG00000106462, ENSG00000188529, ENSG00000157456, ENSG00000188486, ENSG00000143815, ENSG00000167088, ENSG00000149554, ENSG00000169679, ENSG00000085999, ENSG00000080986, ENSG00000005156, ENSG00000117399, ENSG00000120802, ENSG00000185129, ENSG00000177084, ENSG00000116560, ENSG00000182481, ENSG00000007968, ENSG00000004897, ENSG00000006634	191	3981	18224	3.5231853923939758	1.6758019853242275E-56	1.6758019853242275E-56	5.146250626927546E-56
GOTERM_CC_ALL	GO:0031981~nuclear lumen	141	71.57360406091371	1.1606408537384834E-58	ENSG00000109971, ENSG00000112739, ENSG00000032219, ENSG00000051341, ENSG00000090889, ENSG00000083896, ENSG00000005007, ENSG00000158169, ENSG00000083642, ENSG00000140464, ENSG00000167670, ENSG00000174371, ENSG00000112062, ENSG00000135446, ENSG00000101057, ENSG00000131747, ENSG00000138376, ENSG00000105968, ENSG00000108468, ENSG00000117505, ENSG00000112941, ENSG00000138668, ENSG00000131165, ENSG00000112118, ENSG00000111276, ENSG00000100084, ENSG00000087586, ENSG00000097046, ENSG00000166949, ENSG00000149503, ENSG00000110713, ENSG00000072501, ENSG00000170312, ENSG00000153187, ENSG00000131153, ENSG00000183763, ENSG00000113368, ENSG00000101412, ENSG00000137804, ENSG00000137807, ENSG00000239306, ENSG00000166851, ENSG00000178999, ENSG00000165392, ENSG00000112242, ENSG00000164815, ENSG00000136824, ENSG00000020426, ENSG00000138182, ENSG00000093009, ENSG00000117650, ENSG00000132780, ENSG00000143033, ENSG00000105576, ENSG00000173207, ENSG00000100462, ENSG00000055130, ENSG00000137497, ENSG00000166197, ENSG00000189159, ENSG00000198900, ENSG00000198901, ENSG00000136273, ENSG00000175063, ENSG00000142731, ENSG00000139842, ENSG00000164045, ENSG00000161547, ENSG00000112029, ENSG00000109685, ENSG00000117724, ENSG00000119318, ENSG00000123136, ENSG00000085224, ENSG00000136527, ENSG00000094804, ENSG00000101224, ENSG00000164105, ENSG00000146143, ENSG00000136450, ENSG00000198176, ENSG00000145386, ENSG00000205250, ENSG00000108424, ENSG00000164032, ENSG00000113810, ENSG00000197903, ENSG00000036257, ENSG00000093000, ENSG00000080839, ENSG00000014138, ENSG00000134250, ENSG00000173473, ENSG00000115053, ENSG00000076003, ENSG00000129315, ENSG00000091651, ENSG00000082898, ENSG00000180818, ENSG00000100644, ENSG00000073111, ENSG00000102974, ENSG00000136997, ENSG00000117748, ENSG00000161800, ENSG00000101945, ENSG00000097007, ENSG00000154473, ENSG00000139618, ENSG00000129351, ENSG00000118007, ENSG00000140332, ENSG00000135316, ENSG00000148773, ENSG00000118412, ENSG00000137309, ENSG00000089685, ENSG00000182944, ENSG00000100784, ENSG00000100297, ENSG00000088325, ENSG00000110092, ENSG00000115163, ENSG00000106462, ENSG00000188529, ENSG00000157456, ENSG00000188486, ENSG00000167088, ENSG00000149554, ENSG00000169679, ENSG00000085999, ENSG00000080986, ENSG00000005156, ENSG00000117399, ENSG00000185129, ENSG00000177084, ENSG00000116560, ENSG00000182481, ENSG00000007968, ENSG00000004897, ENSG00000006634	191	3592	18224	3.7453561725299966	5.385373561346563E-56	2.6926867806732816E-56	1.653804107467786E-55
GOTERM_CC_ALL	GO:0005654~nucleoplasm	127	64.46700507614213	8.558669023131438E-54	ENSG00000109971, ENSG00000112739, ENSG00000032219, ENSG00000051341, ENSG00000090889, ENSG00000083896, ENSG00000005007, ENSG00000158169, ENSG00000083642, ENSG00000140464, ENSG00000174371, ENSG00000112062, ENSG00000135446, ENSG00000101057, ENSG00000131747, ENSG00000138376, ENSG00000108468, ENSG00000117505, ENSG00000112941, ENSG00000138668, ENSG00000112118, ENSG00000111276, ENSG00000100084, ENSG00000087586, ENSG00000097046, ENSG00000166949, ENSG00000149503, ENSG00000110713, ENSG00000072501, ENSG00000170312, ENSG00000153187, ENSG00000131153, ENSG00000113368, ENSG00000101412, ENSG00000137807, ENSG00000239306, ENSG00000166851, ENSG00000178999, ENSG00000165392, ENSG00000112242, ENSG00000164815, ENSG00000136824, ENSG00000020426, ENSG00000138182, ENSG00000093009, ENSG00000132780, ENSG00000143033, ENSG00000173207, ENSG00000100462, ENSG00000055130, ENSG00000166197, ENSG00000137497, ENSG00000198900, ENSG00000198901, ENSG00000136273, ENSG00000175063, ENSG00000139842, ENSG00000164045, ENSG00000112029, ENSG00000161547, ENSG00000109685, ENSG00000117724, ENSG00000119318, ENSG00000123136, ENSG00000085224, ENSG00000136527, ENSG00000094804, ENSG00000101224, ENSG00000164105, ENSG00000146143, ENSG00000136450, ENSG00000198176, ENSG00000145386, ENSG00000108424, ENSG00000205250, ENSG00000113810, ENSG00000036257, ENSG00000197903, ENSG00000093000, ENSG00000080839, ENSG00000014138, ENSG00000134250, ENSG00000173473, ENSG00000115053, ENSG00000076003, ENSG00000091651, ENSG00000082898, ENSG00000129315, ENSG00000180818, ENSG00000100644, ENSG00000073111, ENSG00000102974, ENSG00000136997, ENSG00000161800, ENSG00000101945, ENSG00000117748, ENSG00000097007, ENSG00000154473, ENSG00000139618, ENSG00000129351, ENSG00000118007, ENSG00000140332, ENSG00000135316, ENSG00000118412, ENSG00000137309, ENSG00000089685, ENSG00000100784, ENSG00000100297, ENSG00000088325, ENSG00000110092, ENSG00000115163, ENSG00000106462, ENSG00000188529, ENSG00000157456, ENSG00000188486, ENSG00000167088, ENSG00000149554, ENSG00000169679, ENSG00000085999, ENSG00000005156, ENSG00000117399, ENSG00000177084, ENSG00000182481, ENSG00000116560, ENSG00000007968, ENSG00000004897, ENSG00000006634	191	2996	18224	4.044569023969132	3.971222426732987E-51	1.3237408089109958E-51	1.2195298777671106E-50
GOTERM_CC_ALL	GO:0043233~organelle lumen	144	73.09644670050761	2.9561514022589413E-50	ENSG00000109971, ENSG00000112739, ENSG00000032219, ENSG00000051341, ENSG00000090889, ENSG00000083896, ENSG00000005007, ENSG00000158169, ENSG00000083642, ENSG00000140464, ENSG00000167670, ENSG00000174371, ENSG00000112062, ENSG00000135446, ENSG00000101057, ENSG00000131747, ENSG00000138376, ENSG00000105968, ENSG00000108468, ENSG00000117505, ENSG00000112941, ENSG00000138668, ENSG00000131165, ENSG00000112118, ENSG00000111276, ENSG00000168393, ENSG00000100084, ENSG00000087586, ENSG00000097046, ENSG00000166949, ENSG00000149503, ENSG00000110713, ENSG00000072501, ENSG00000170312, ENSG00000153187, ENSG00000131153, ENSG00000183763, ENSG00000113368, ENSG00000101412, ENSG00000137804, ENSG00000137807, ENSG00000239306, ENSG00000166851, ENSG00000178999, ENSG00000165392, ENSG00000112242, ENSG00000164815, ENSG00000136824, ENSG00000020426, ENSG00000138182, ENSG00000093009, ENSG00000117650, ENSG00000132780, ENSG00000143033, ENSG00000105576, ENSG00000173207, ENSG00000100462, ENSG00000055130, ENSG00000137497, ENSG00000166197, ENSG00000189159, ENSG00000198900, ENSG00000198901, ENSG00000136273, ENSG00000175063, ENSG00000138798, ENSG00000142731, ENSG00000139842, ENSG00000164045, ENSG00000161547, ENSG00000112029, ENSG00000109685, ENSG00000117724, ENSG00000119318, ENSG00000123136, ENSG00000085224, ENSG00000136527, ENSG00000094804, ENSG00000101224, ENSG00000164105, ENSG00000146143, ENSG00000136450, ENSG00000198176, ENSG00000145386, ENSG00000205250, ENSG00000108424, ENSG00000164032, ENSG00000113810, ENSG00000197903, ENSG00000036257, ENSG00000093000, ENSG00000080839, ENSG00000014138, ENSG00000134250, ENSG00000173473, ENSG00000115053, ENSG00000076003, ENSG00000129315, ENSG00000082898, ENSG00000091651, ENSG00000180818, ENSG00000100644, ENSG00000073111, ENSG00000102974, ENSG00000136997, ENSG00000117748, ENSG00000161800, ENSG00000101945, ENSG00000097007, ENSG00000154473, ENSG00000105329, ENSG00000139618, ENSG00000129351, ENSG00000118007, ENSG00000140332, ENSG00000135316, ENSG00000148773, ENSG00000118412, ENSG00000137309, ENSG00000089685, ENSG00000182944, ENSG00000100784, ENSG00000100297, ENSG00000088325, ENSG00000110092, ENSG00000115163, ENSG00000106462, ENSG00000188529, ENSG00000157456, ENSG00000188486, ENSG00000167088, ENSG00000149554, ENSG00000169679, ENSG00000085999, ENSG00000080986, ENSG00000005156, ENSG00000117399, ENSG00000185129, ENSG00000177084, ENSG00000116560, ENSG00000182481, ENSG00000007968, ENSG00000004897, ENSG00000006634	191	4400	18224	3.1226273203236556	1.3716542506481489E-47	3.429135626620372E-48	4.2122378473970744E-47
GOTERM_CC_ALL	GO:0070013~intracellular organelle lumen	143	72.58883248730965	3.380287713450003E-50	ENSG00000109971, ENSG00000112739, ENSG00000032219, ENSG00000051341, ENSG00000090889, ENSG00000083896, ENSG00000005007, ENSG00000158169, ENSG00000083642, ENSG00000140464, ENSG00000167670, ENSG00000174371, ENSG00000112062, ENSG00000135446, ENSG00000101057, ENSG00000131747, ENSG00000138376, ENSG00000105968, ENSG00000108468, ENSG00000117505, ENSG00000112941, ENSG00000138668, ENSG00000131165, ENSG00000112118, ENSG00000111276, ENSG00000168393, ENSG00000100084, ENSG00000087586, ENSG00000097046, ENSG00000166949, ENSG00000149503, ENSG00000110713, ENSG00000072501, ENSG00000170312, ENSG00000153187, ENSG00000131153, ENSG00000183763, ENSG00000113368, ENSG00000101412, ENSG00000137804, ENSG00000137807, ENSG00000239306, ENSG00000166851, ENSG00000178999, ENSG00000165392, ENSG00000112242, ENSG00000164815, ENSG00000136824, ENSG00000020426, ENSG00000138182, ENSG00000093009, ENSG00000117650, ENSG00000132780, ENSG00000143033, ENSG00000105576, ENSG00000173207, ENSG00000100462, ENSG00000055130, ENSG00000137497, ENSG00000166197, ENSG00000189159, ENSG00000198900, ENSG00000198901, ENSG00000136273, ENSG00000175063, ENSG00000142731, ENSG00000139842, ENSG00000164045, ENSG00000161547, ENSG00000112029, ENSG00000109685, ENSG00000117724, ENSG00000119318, ENSG00000123136, ENSG00000085224, ENSG00000136527, ENSG00000094804, ENSG00000101224, ENSG00000164105, ENSG00000146143, ENSG00000136450, ENSG00000198176, ENSG00000145386, ENSG00000205250, ENSG00000108424, ENSG00000164032, ENSG00000113810, ENSG00000197903, ENSG00000036257, ENSG00000093000, ENSG00000080839, ENSG00000014138, ENSG00000134250, ENSG00000173473, ENSG00000115053, ENSG00000076003, ENSG00000129315, ENSG00000082898, ENSG00000091651, ENSG00000180818, ENSG00000100644, ENSG00000073111, ENSG00000102974, ENSG00000136997, ENSG00000117748, ENSG00000161800, ENSG00000101945, ENSG00000097007, ENSG00000154473, ENSG00000105329, ENSG00000139618, ENSG00000129351, ENSG00000118007, ENSG00000140332, ENSG00000135316, ENSG00000148773, ENSG00000118412, ENSG00000137309, ENSG00000089685, ENSG00000182944, ENSG00000100784, ENSG00000100297, ENSG00000088325, ENSG00000110092, ENSG00000115163, ENSG00000106462, ENSG00000188529, ENSG00000157456, ENSG00000188486, ENSG00000167088, ENSG00000149554, ENSG00000169679, ENSG00000085999, ENSG00000080986, ENSG00000005156, ENSG00000117399, ENSG00000185129, ENSG00000177084, ENSG00000116560, ENSG00000182481, ENSG00000007968, ENSG00000004897, ENSG00000006634	191	4328	18224	3.1525292506604985	1.5684534990408013E-47	3.136906998081603E-48	4.816592218789951E-47
GOTERM_CC_ALL	GO:0031974~membrane-enclosed lumen	144	73.09644670050761	1.5801932804874396E-49	ENSG00000109971, ENSG00000112739, ENSG00000032219, ENSG00000051341, ENSG00000090889, ENSG00000083896, ENSG00000005007, ENSG00000158169, ENSG00000083642, ENSG00000140464, ENSG00000167670, ENSG00000174371, ENSG00000112062, ENSG00000135446, ENSG00000101057, ENSG00000131747, ENSG00000138376, ENSG00000105968, ENSG00000108468, ENSG00000117505, ENSG00000112941, ENSG00000138668, ENSG00000131165, ENSG00000112118, ENSG00000111276, ENSG00000168393, ENSG00000100084, ENSG00000087586, ENSG00000097046, ENSG00000166949, ENSG00000149503, ENSG00000110713, ENSG00000072501, ENSG00000170312, ENSG00000153187, ENSG00000131153, ENSG00000183763, ENSG00000113368, ENSG00000101412, ENSG00000137804, ENSG00000137807, ENSG00000239306, ENSG00000166851, ENSG00000178999, ENSG00000165392, ENSG00000112242, ENSG00000164815, ENSG00000136824, ENSG00000020426, ENSG00000138182, ENSG00000093009, ENSG00000117650, ENSG00000132780, ENSG00000143033, ENSG00000105576, ENSG00000173207, ENSG00000100462, ENSG00000055130, ENSG00000137497, ENSG00000166197, ENSG00000189159, ENSG00000198900, ENSG00000198901, ENSG00000136273, ENSG00000175063, ENSG00000138798, ENSG00000142731, ENSG00000139842, ENSG00000164045, ENSG00000161547, ENSG00000112029, ENSG00000109685, ENSG00000117724, ENSG00000119318, ENSG00000123136, ENSG00000085224, ENSG00000136527, ENSG00000094804, ENSG00000101224, ENSG00000164105, ENSG00000146143, ENSG00000136450, ENSG00000198176, ENSG00000145386, ENSG00000205250, ENSG00000108424, ENSG00000164032, ENSG00000113810, ENSG00000197903, ENSG00000036257, ENSG00000093000, ENSG00000080839, ENSG00000014138, ENSG00000134250, ENSG00000173473, ENSG00000115053, ENSG00000076003, ENSG00000129315, ENSG00000082898, ENSG00000091651, ENSG00000180818, ENSG00000100644, ENSG00000073111, ENSG00000102974, ENSG00000136997, ENSG00000117748, ENSG00000161800, ENSG00000101945, ENSG00000097007, ENSG00000154473, ENSG00000105329, ENSG00000139618, ENSG00000129351, ENSG00000118007, ENSG00000140332, ENSG00000135316, ENSG00000148773, ENSG00000118412, ENSG00000137309, ENSG00000089685, ENSG00000182944, ENSG00000100784, ENSG00000100297, ENSG00000088325, ENSG00000110092, ENSG00000115163, ENSG00000106462, ENSG00000188529, ENSG00000157456, ENSG00000188486, ENSG00000167088, ENSG00000149554, ENSG00000169679, ENSG00000085999, ENSG00000080986, ENSG00000005156, ENSG00000117399, ENSG00000185129, ENSG00000177084, ENSG00000116560, ENSG00000182481, ENSG00000007968, ENSG00000004897, ENSG00000006634	191	4457	18224	3.0826924409746654	7.33209682146172E-47	1.2220161369102867E-47	2.2516268744508286E-46
GOTERM_CC_ALL	GO:0005694~chromosome	78	39.59390862944163	3.2717071849925305E-49	ENSG00000142731, ENSG00000112739, ENSG00000051341, ENSG00000109685, ENSG00000117724, ENSG00000090889, ENSG00000005007, ENSG00000085224, ENSG00000083642, ENSG00000140464, ENSG00000167670, ENSG00000146143, ENSG00000164109, ENSG00000101057, ENSG00000135446, ENSG00000131747, ENSG00000205250, ENSG00000113810, ENSG00000164032, ENSG00000197903, ENSG00000112742, ENSG00000105968, ENSG00000029993, ENSG00000014138, ENSG00000173473, ENSG00000142945, ENSG00000108468, ENSG00000007168, ENSG00000076003, ENSG00000131165, ENSG00000091651, ENSG00000082898, ENSG00000112118, ENSG00000100084, ENSG00000087586, ENSG00000073111, ENSG00000102974, ENSG00000138778, ENSG00000101945, ENSG00000117748, ENSG00000154473, ENSG00000166949, ENSG00000139618, ENSG00000149503, ENSG00000118007, ENSG00000110713, ENSG00000072501, ENSG00000148773, ENSG00000170312, ENSG00000137309, ENSG00000089685, ENSG00000100297, ENSG00000131153, ENSG00000115163, ENSG00000101412, ENSG00000137804, ENSG00000106462, ENSG00000166851, ENSG00000178999, ENSG00000165392, ENSG00000198830, ENSG00000164815, ENSG00000136824, ENSG00000188486, ENSG00000149554, ENSG00000169679, ENSG00000080986, ENSG00000093009, ENSG00000079616, ENSG00000117650, ENSG00000132780, ENSG00000120802, ENSG00000185129, ENSG00000177084, ENSG00000116560, ENSG00000137497, ENSG00000198900, ENSG00000136273	191	937	18224	7.942648644722211	1.5180721338365343E-46	2.1686744769093347E-47	4.661875173137471E-46
GOTERM_CC_ALL	GO:0005634~nucleus	170	86.29441624365482	1.0033719984824642E-47	ENSG00000112739, ENSG00000109971, ENSG00000032219, ENSG00000051341, ENSG00000090889, ENSG00000168078, ENSG00000083896, ENSG00000053254, ENSG00000145907, ENSG00000005007, ENSG00000158169, ENSG00000083642, ENSG00000140464, ENSG00000167670, ENSG00000174371, ENSG00000112062, ENSG00000135446, ENSG00000101057, ENSG00000131747, ENSG00000138376, ENSG00000105968, ENSG00000108468, ENSG00000117505, ENSG00000112941, ENSG00000007168, ENSG00000138668, ENSG00000131165, ENSG00000112118, ENSG00000100084, ENSG00000111276, ENSG00000168393, ENSG00000087586, ENSG00000097046, ENSG00000166949, ENSG00000108106, ENSG00000186625, ENSG00000149503, ENSG00000110713, ENSG00000136811, ENSG00000072501, ENSG00000170312, ENSG00000153187, ENSG00000131153, ENSG00000183763, ENSG00000101412, ENSG00000113368, ENSG00000137804, ENSG00000137807, ENSG00000178999, ENSG00000166851, ENSG00000239306, ENSG00000165392, ENSG00000112242, ENSG00000164815, ENSG00000136824, ENSG00000020426, ENSG00000277443, ENSG00000138182, ENSG00000093009, ENSG00000079616, ENSG00000117650, ENSG00000132780, ENSG00000143033, ENSG00000105576, ENSG00000173207, ENSG00000100462, ENSG00000055130, ENSG00000137497, ENSG00000166197, ENSG00000141380, ENSG00000189159, ENSG00000213005, ENSG00000198900, ENSG00000198901, ENSG00000136273, ENSG00000175063, ENSG00000142731, ENSG00000139842, ENSG00000164045, ENSG00000161547, ENSG00000112029, ENSG00000109685, ENSG00000117724, ENSG00000119318, ENSG00000123136, ENSG00000136527, ENSG00000085224, ENSG00000094804, ENSG00000143995, ENSG00000101224, ENSG00000164105, ENSG00000146143, ENSG00000136450, ENSG00000164109, ENSG00000198176, ENSG00000145386, ENSG00000205250, ENSG00000108424, ENSG00000164032, ENSG00000113810, ENSG00000197903, ENSG00000036257, ENSG00000093000, ENSG00000029993, ENSG00000080839, ENSG00000164611, ENSG00000014138, ENSG00000134250, ENSG00000173473, ENSG00000142945, ENSG00000115053, ENSG00000076003, ENSG00000129315, ENSG00000082898, ENSG00000091651, ENSG00000180818, ENSG00000100644, ENSG00000073111, ENSG00000102974, ENSG00000135476, ENSG00000136997, ENSG00000138778, ENSG00000117748, ENSG00000161800, ENSG00000101945, ENSG00000154473, ENSG00000097007, ENSG00000105329, ENSG00000139618, ENSG00000129351, ENSG00000162063, ENSG00000118007, ENSG00000140332, ENSG00000135316, ENSG00000148773, ENSG00000118412, ENSG00000137309, ENSG00000089685, ENSG00000182944, ENSG00000100784, ENSG00000100297, ENSG00000088325, ENSG00000110092, ENSG00000115163, ENSG00000106462, ENSG00000188529, ENSG00000157456, ENSG00000198830, ENSG00000188486, ENSG00000125148, ENSG00000143815, ENSG00000167088, ENSG00000169679, ENSG00000149554, ENSG00000085999, ENSG00000080986, ENSG00000005156, ENSG00000117399, ENSG00000123080, ENSG00000120802, ENSG00000185129, ENSG00000177084, ENSG00000116560, ENSG00000182481, ENSG00000100526, ENSG00000198947, ENSG00000007968, ENSG00000004897, ENSG00000006634, ENSG00000134138	191	7048	18224	2.3014066594956946	4.6556460729586336E-45	5.819557591198292E-46	1.4297107732021581E-44
GOTERM_CC_ALL	GO:0044427~chromosomal part	68	34.51776649746193	8.251022341566443E-42	ENSG00000117724, ENSG00000005007, ENSG00000085224, ENSG00000083642, ENSG00000140464, ENSG00000167670, ENSG00000146143, ENSG00000164109, ENSG00000101057, ENSG00000135446, ENSG00000205250, ENSG00000113810, ENSG00000164032, ENSG00000197903, ENSG00000112742, ENSG00000105968, ENSG00000014138, ENSG00000173473, ENSG00000142945, ENSG00000108468, ENSG00000007168, ENSG00000076003, ENSG00000082898, ENSG00000091651, ENSG00000112118, ENSG00000100084, ENSG00000087586, ENSG00000073111, ENSG00000102974, ENSG00000138778, ENSG00000101945, ENSG00000117748, ENSG00000154473, ENSG00000166949, ENSG00000139618, ENSG00000149503, ENSG00000118007, ENSG00000110713, ENSG00000072501, ENSG00000148773, ENSG00000170312, ENSG00000137309, ENSG00000089685, ENSG00000100297, ENSG00000131153, ENSG00000115163, ENSG00000101412, ENSG00000106462, ENSG00000166851, ENSG00000178999, ENSG00000165392, ENSG00000198830, ENSG00000164815, ENSG00000136824, ENSG00000188486, ENSG00000149554, ENSG00000169679, ENSG00000080986, ENSG00000093009, ENSG00000079616, ENSG00000117650, ENSG00000132780, ENSG00000120802, ENSG00000185129, ENSG00000177084, ENSG00000116560, ENSG00000198900, ENSG00000136273	191	827	18224	7.845375640205878	3.8284743664868295E-39	4.253860407207589E-40	1.1756931177580007E-38
GOTERM_CC_ALL	GO:0044446~intracellular organelle part	166	84.26395939086294	1.9667482933318348E-33	ENSG00000112739, ENSG00000109971, ENSG00000032219, ENSG00000051341, ENSG00000170759, ENSG00000090889, ENSG00000083896, ENSG00000005007, ENSG00000158169, ENSG00000083642, ENSG00000140464, ENSG00000167670, ENSG00000174371, ENSG00000112062, ENSG00000135446, ENSG00000101057, ENSG00000131747, ENSG00000138376, ENSG00000112742, ENSG00000105968, ENSG00000163808, ENSG00000108468, ENSG00000117505, ENSG00000112941, ENSG00000007168, ENSG00000138668, ENSG00000131165, ENSG00000112118, ENSG00000111276, ENSG00000168393, ENSG00000100084, ENSG00000087586, ENSG00000097046, ENSG00000166949, ENSG00000108106, ENSG00000186625, ENSG00000149503, ENSG00000110713, ENSG00000136811, ENSG00000072501, ENSG00000170312, ENSG00000153187, ENSG00000131153, ENSG00000183763, ENSG00000101412, ENSG00000113368, ENSG00000137804, ENSG00000137807, ENSG00000239306, ENSG00000166851, ENSG00000178999, ENSG00000165392, ENSG00000112242, ENSG00000123473, ENSG00000164815, ENSG00000136824, ENSG00000020426, ENSG00000277443, ENSG00000138182, ENSG00000093009, ENSG00000079616, ENSG00000117650, ENSG00000132780, ENSG00000143033, ENSG00000105576, ENSG00000173207, ENSG00000100462, ENSG00000055130, ENSG00000137497, ENSG00000166197, ENSG00000141380, ENSG00000189159, ENSG00000198900, ENSG00000198901, ENSG00000136273, ENSG00000175063, ENSG00000138798, ENSG00000142731, ENSG00000139842, ENSG00000164045, ENSG00000161547, ENSG00000112029, ENSG00000109685, ENSG00000104549, ENSG00000117724, ENSG00000119318, ENSG00000123136, ENSG00000085224, ENSG00000136527, ENSG00000094804, ENSG00000101224, ENSG00000164105, ENSG00000146143, ENSG00000136450, ENSG00000164109, ENSG00000198176, ENSG00000145386, ENSG00000205250, ENSG00000108424, ENSG00000164032, ENSG00000113810, ENSG00000197903, ENSG00000036257, ENSG00000093000, ENSG00000080839, ENSG00000014138, ENSG00000134250, ENSG00000173473, ENSG00000142945, ENSG00000115053, ENSG00000076003, ENSG00000129315, ENSG00000082898, ENSG00000091651, ENSG00000180818, ENSG00000100644, ENSG00000073111, ENSG00000102974, ENSG00000135476, ENSG00000136997, ENSG00000138778, ENSG00000117748, ENSG00000161800, ENSG00000101945, ENSG00000154473, ENSG00000097007, ENSG00000105329, ENSG00000139618, ENSG00000129351, ENSG00000162063, ENSG00000118007, ENSG00000140332, ENSG00000135316, ENSG00000148773, ENSG00000118412, ENSG00000137309, ENSG00000089685, ENSG00000182944, ENSG00000138160, ENSG00000100784, ENSG00000100297, ENSG00000088325, ENSG00000110092, ENSG00000115163, ENSG00000106462, ENSG00000013810, ENSG00000188529, ENSG00000157456, ENSG00000198830, ENSG00000188486, ENSG00000143815, ENSG00000167088, ENSG00000169679, ENSG00000149554, ENSG00000085999, ENSG00000080986, ENSG00000005156, ENSG00000117399, ENSG00000120802, ENSG00000185129, ENSG00000177084, ENSG00000116560, ENSG00000182481, ENSG00000007968, ENSG00000004897, ENSG00000006634	191	8233	18224	1.923801735195418	9.125712081059714E-31	9.125712081059714E-32	2.8024314286289358E-30
