"GO.ID"	"GO.Term"	"zscore"	"obs"	"mean"	"std"
"GO:0051301"	"cell division"	"41.826"	"4144"	"1944.178"	"52.594"
"GO:0006260"	"DNA replication"	"31.847"	"1794"	"804.941"	"31.057"
"GO:0006270"	"DNA replication initiation"	"25.991"	"498"	"167.216"	"12.727"
"GO:0000070"	"mitotic sister chromatid segregation"	"25.76"	"578"	"211.369"	"14.233"
"GO:0000083"	"regulation of transcription involved in G1/S transition of mitotic cell cycle"	"25.295"	"424"	"142.926"	"11.112"
"GO:0007059"	"chromosome segregation"	"24.963"	"1043"	"475.621"	"22.729"
"GO:0051382"	"kinetochore assembly"	"24.815"	"245"	"61.278"	"7.404"
"GO:0034080"	"CENP-A containing nucleosome assembly"	"24.731"	"581"	"222.326"	"14.503"
"GO:0051315"	"attachment of mitotic spindle microtubules to kinetochore"	"23.933"	"262"	"73.614"	"7.872"
"GO:0000082"	"G1/S transition of mitotic cell cycle"	"22.589"	"1591"	"826.671"	"33.837"
"GO:0006281"	"DNA repair"	"22.441"	"2066"	"1213.296"	"37.998"
"GO:0034501"	"protein localization to kinetochore"	"22.255"	"243"	"67.705"	"7.877"
"GO:0006977"	"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest"	"21.715"	"965"	"474.215"	"22.601"
"GO:0051321"	"meiotic cell cycle"	"21.592"	"679"	"314.815"	"16.867"
"GO:0007094"	"mitotic spindle assembly checkpoint"	"21.511"	"395"	"145.883"	"11.581"
"GO:0051726"	"regulation of cell cycle"	"21.071"	"1037"	"567.106"	"22.301"
"GO:0000723"	"telomere maintenance"	"20.532"	"646"	"294.963"	"17.097"
"GO:0000724"	"double-strand break repair via homologous recombination"	"18.94"	"723"	"384.056"	"17.896"
"GO:0000278"	"mitotic cell cycle"	"18.415"	"1954"	"1203.667"	"40.745"
"GO:0007052"	"mitotic spindle organization"	"18.329"	"559"	"266.691"	"15.948"
"GO:0007088"	"regulation of mitotic nuclear division"	"18.308"	"535"	"251.753"	"15.471"
"GO:0045787"	"positive regulation of cell cycle"	"18.261"	"446"	"196.934"	"13.639"
"GO:0007062"	"sister chromatid cohesion"	"18.213"	"303"	"117.539"	"10.183"
"GO:0031145"	"anaphase-promoting complex-dependent catabolic process"	"17.968"	"1191"	"584.2"	"33.772"
"GO:0008608"	"attachment of spindle microtubules to kinetochore"	"17.615"	"153"	"41.807"	"6.312"
"GO:0007064"	"mitotic sister chromatid cohesion"	"17.214"	"172"	"51.87"	"6.979"
"GO:0007049"	"cell cycle"	"17.21"	"1899"	"1276.238"	"36.187"
