"ID"	"Pathway"	"Z-score"
"hsa04110"	"Cell cycle"	"35.262"
"hsa03440"	"Homologous recombination"	"21.003"
"hsa03030"	"DNA replication"	"19.291"
"hsa03460"	"Fanconi anemia pathway"	"18.906"
"hsa04115"	"p53 signaling pathway"	"17.88"
"hsa04114"	"Oocyte meiosis"	"15.187"
"hsa04914"	"Progesterone-mediated oocyte maturation"	"15.122"
"hsa03430"	"Mismatch repair"	"15.029"
"hsa04218"	"Cellular senescence"	"14.16"
"hsa03420"	"Nucleotide excision repair"	"13.535"
"hsa05202"	"Transcriptional misregulation in cancer"	"13.094"
"hsa03410"	"Base excision repair"	"11.312"
"hsa05203"	"Viral carcinogenesis"	"10.077"
"hsa04120"	"Ubiquitin mediated proteolysis"	"9.864"
"hsa05166"	"HTLV-I infection"	"9.767"
"hsa03013"	"RNA transport"	"9.134"
"hsa05222"	"Small cell lung cancer"	"8.714"
"hsa05322"	"Systemic lupus erythematosus"	"8.306"
"hsa03450"	"Non-homologous end-joining"	"7.852"
"hsa05206"	"MicroRNAs in cancer"	"7.792"
"hsa04934"	"Cushing,s syndrome"	"7.039"
"hsa05219"	"Bladder cancer"	"7.033"
"hsa03040"	"Spliceosome"	"6.714"
"hsa05161"	"Hepatitis B"	"6.455"
"hsa04330"	"Notch signaling pathway"	"6.157"
"hsa04350"	"TGF-beta signaling pathway"	"5.464"
"hsa05220"	"Chronic myeloid leukemia"	"5.316"
"hsa04068"	"FoxO signaling pathway"	"5.047"
"hsa05212"	"Pancreatic cancer"	"4.995"
"hsa05215"	"Prostate cancer"	"4.933"
"hsa05165"	"Human papillomavirus infection"	"4.63"
"hsa05216"	"Thyroid cancer"	"4.468"
"hsa05224"	"Breast cancer"	"4.454"
"hsa05168"	"Herpes simplex infection"	"4.419"
"hsa00565"	"Ether lipid metabolism"	"4.096"
"hsa05034"	"Alcoholism"	"4.08"
"hsa05226"	"Gastric cancer"	"3.918"
"hsa05217"	"Basal cell carcinoma"	"3.216"
"hsa05218"	"Melanoma"	"3.183"
"hsa05223"	"Non-small cell lung cancer"	"3.036"
"hsa05225"	"Hepatocellular carcinoma"	"3.002"
"hsa05169"	"Epstein-Barr virus infection"	"2.99"
"hsa04310"	"Wnt signaling pathway"	"2.728"
"hsa00750"	"Vitamin B6 metabolism"	"2.634"
"hsa03022"	"Basal transcription factors"	"2.439"
"hsa04137"	"Mitophagy - animal"	"2.368"
"hsa00430"	"Taurine and hypotaurine metabolism"	"2.359"
"hsa00310"	"Lysine degradation"	"2.343"
"hsa05162"	"Measles"	"2.292"
"hsa00603"	"Glycosphingolipid biosynthesis - globo and isoglobo series"	"2.011"
"hsa03015"	"mRNA surveillance pathway"	"1.839"
"hsa00780"	"Biotin metabolism"	"1.713"
"hsa00531"	"Glycosaminoglycan degradation"	"1.671"
"hsa00511"	"Other glycan degradation"	"1.55"
"hsa04390"	"Hippo signaling pathway"	"1.371"
"hsa04340"	"Hedgehog signaling pathway"	"1.315"
"hsa05210"	"Colorectal cancer"	"1.307"
"hsa00740"	"Riboflavin metabolism"	"1.175"
"hsa00514"	"Other types of O-glycan biosynthesis"	"1.152"
"hsa00604"	"Glycosphingolipid biosynthesis - ganglio series"	"1.106"
"hsa05213"	"Endometrial cancer"	"1.089"
"hsa05214"	"Glioma"	"1.005"
"hsa04392"	"Hippo signaling pathway - multiple species"	"0.973"
"hsa04710"	"Circadian rhythm"	"0.967"
"hsa00730"	"Thiamine metabolism"	"0.939"
"hsa04933"	"AGE-RAGE signaling pathway in diabetic complications"	"0.851"
"hsa00592"	"alpha-Linolenic acid metabolism"	"0.844"
"hsa04919"	"Thyroid hormone signaling pathway"	"0.632"
"hsa04122"	"Sulfur relay system"	"0.583"
"hsa00563"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"0.574"
"hsa00910"	"Nitrogen metabolism"	"0.549"
"hsa00232"	"Caffeine metabolism"	"0.498"
"hsa00785"	"Lipoic acid metabolism"	"0.474"
"hsa05164"	"Influenza A"	"0.362"
"hsa05200"	"Pathways in cancer"	"0.319"
"hsa04964"	"Proximal tubule bicarbonate reclamation"	"0.154"
