"Pathway"	"Z-score"
"Cell cycle - Homo sapiens (human)"	"35.262"
"Homologous recombination - Homo sapiens (human)"	"21.003"
"DNA replication - Homo sapiens (human)"	"19.291"
"Fanconi anemia pathway - Homo sapiens (human)"	"18.906"
"p53 signaling pathway - Homo sapiens (human)"	"17.88"
"Oocyte meiosis - Homo sapiens (human)"	"15.187"
"Progesterone-mediated oocyte maturation - Homo sapiens (human)"	"15.122"
"Mismatch repair - Homo sapiens (human)"	"15.029"
"Cellular senescence - Homo sapiens (human)"	"14.16"
"Nucleotide excision repair - Homo sapiens (human)"	"13.535"
"Transcriptional misregulation in cancer - Homo sapiens (human)"	"13.094"
"Base excision repair - Homo sapiens (human)"	"11.312"
"Viral carcinogenesis - Homo sapiens (human)"	"10.077"
"Ubiquitin mediated proteolysis - Homo sapiens (human)"	"9.864"
"HTLV-I infection - Homo sapiens (human)"	"9.767"
"RNA transport - Homo sapiens (human)"	"9.134"
"Small cell lung cancer - Homo sapiens (human)"	"8.714"
"Systemic lupus erythematosus - Homo sapiens (human)"	"8.306"
"Non-homologous end-joining - Homo sapiens (human)"	"7.852"
"MicroRNAs in cancer - Homo sapiens (human)"	"7.792"
"Cushing,s syndrome - Homo sapiens (human)"	"7.039"
"Bladder cancer - Homo sapiens (human)"	"7.033"
"Spliceosome - Homo sapiens (human)"	"6.714"
"Hepatitis B - Homo sapiens (human)"	"6.455"
"Notch signaling pathway - Homo sapiens (human)"	"6.157"
"TGF-beta signaling pathway - Homo sapiens (human)"	"5.464"
"Chronic myeloid leukemia - Homo sapiens (human)"	"5.316"
"FoxO signaling pathway - Homo sapiens (human)"	"5.047"
"Pancreatic cancer - Homo sapiens (human)"	"4.995"
"Prostate cancer - Homo sapiens (human)"	"4.933"
"Human papillomavirus infection - Homo sapiens (human)"	"4.63"
"Thyroid cancer - Homo sapiens (human)"	"4.468"
"Breast cancer - Homo sapiens (human)"	"4.454"
"Herpes simplex infection - Homo sapiens (human)"	"4.419"
"Ether lipid metabolism - Homo sapiens (human)"	"4.096"
"Alcoholism - Homo sapiens (human)"	"4.08"
"Gastric cancer - Homo sapiens (human)"	"3.918"
"Basal cell carcinoma - Homo sapiens (human)"	"3.216"
"Melanoma - Homo sapiens (human)"	"3.183"
