"GO.ID"	"GO.Term"	"Z-score"
"GO:0017060"	"3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase activity"	"31.591"
"GO:0004693"	"cyclin-dependent protein serine/threonine kinase activity"	"23.088"
"GO:0003682"	"chromatin binding"	"21.493"
"GO:0005302"	"L-tyrosine transmembrane transporter activity"	"18.221"
"GO:0047277"	"globoside alpha-N-acetylgalactosaminyltransferase activity"	"18.221"
"GO:0016538"	"cyclin-dependent protein serine/threonine kinase regulator activity"	"18.166"
"GO:0003684"	"damaged DNA binding"	"17.725"
"GO:0003690"	"double-stranded DNA binding"	"17.493"
"GO:0043515"	"kinetochore binding"	"17.45"
"GO:0051010"	"microtubule plus-end binding"	"17.2"
"GO:0003688"	"DNA replication origin binding"	"16.596"
"GO:0017056"	"structural constituent of nuclear pore"	"16.245"
"GO:0035173"	"histone kinase activity"	"16.12"
"GO:0003697"	"single-stranded DNA binding"	"15.532"
"GO:0008017"	"microtubule binding"	"14.721"
"GO:0097472"	"cyclin-dependent protein kinase activity"	"14.713"
"GO:0001078"	"transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding"	"14.485"
"GO:0001012"	"RNA polymerase II regulatory region DNA binding"	"13.932"
"GO:1990841"	"promoter-specific chromatin binding"	"13.693"
"GO:0030332"	"cyclin binding"	"13.691"
"GO:0043565"	"sequence-specific DNA binding"	"13.687"
"GO:0010997"	"anaphase-promoting complex binding"	"13.567"
"GO:0008134"	"transcription factor binding"	"12.882"
"GO:0019237"	"centromeric DNA binding"	"12.301"
"GO:0043138"	"3'-5' DNA helicase activity"	"12.147"
"GO:0005515"	"protein binding"	"12.113"
"GO:0001228"	"transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding"	"11.913"
"GO:0042393"	"histone binding"	"11.897"
"GO:0003713"	"transcription coactivator activity"	"11.879"
"GO:0004003"	"ATP-dependent DNA helicase activity"	"11.47"
"GO:0005072"	"transforming growth factor beta receptor, cytoplasmic mediator activity"	"11.418"
"GO:0035064"	"methylated histone binding"	"11.288"
"GO:0102485"	NA	"11.13"
"GO:0102486"	NA	"11.13"
"GO:0102487"	NA	"11.13"
"GO:0102488"	NA	"11.13"
"GO:0102489"	NA	"11.13"
"GO:0102490"	NA	"11.13"
"GO:0102491"	NA	"11.13"
"GO:0000978"	"RNA polymerase II core promoter proximal region sequence-specific DNA binding"	"11.078"
"GO:0031492"	"nucleosomal DNA binding"	"10.718"
"GO:0004861"	"cyclin-dependent protein serine/threonine kinase inhibitor activity"	"10.665"
"GO:0003714"	"transcription corepressor activity"	"10.639"
"GO:0098505"	"G-rich strand telomeric DNA binding"	"10.286"
"GO:0001567"	"cholesterol 25-hydroxylase activity"	"10.246"
"GO:0036033"	"mediator complex binding"	"10.152"
"GO:0070840"	"dynein complex binding"	"10.058"
"GO:0042826"	"histone deacetylase binding"	"9.885"
"GO:0050681"	"androgen receptor binding"	"9.824"
"GO:0004672"	"protein kinase activity"	"9.721"
"GO:0003834"	"beta-carotene 15,15'-monooxygenase activity"	"9.477"
"GO:0010436"	"carotenoid dioxygenase activity"	"9.477"
"GO:0061575"	"cyclin-dependent protein serine/threonine kinase activator activity"	"9.23"
"GO:0043142"	"single-stranded DNA-dependent ATPase activity"	"9.168"
"GO:0000987"	"core promoter proximal region sequence-specific DNA binding"	"9.143"
"GO:0003689"	"DNA clamp loader activity"	"9.1"
"GO:0003700"	"transcription factor activity, sequence-specific DNA binding"	"9.068"
"GO:0001102"	"RNA polymerase II activating transcription factor binding"	"8.931"
"GO:0032405"	"MutLalpha complex binding"	"8.849"
"GO:0003887"	"DNA-directed DNA polymerase activity"	"8.779"
"GO:0001077"	"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding"	"8.733"
"GO:0072591"	"citrate-L-glutamate ligase activity"	"8.709"
"GO:0003691"	"double-stranded telomeric DNA binding"	"8.524"
"GO:0008094"	"DNA-dependent ATPase activity"	"8.467"
"GO:0004796"	"thromboxane-A synthase activity"	"8.388"
"GO:0036134"	"12-hydroxyheptadecatrienoic acid synthase activity"	"8.388"
"GO:0047341"	"fucose-1-phosphate guanylyltransferase activity"	"8.388"
"GO:0004386"	"helicase activity"	"8.289"
"GO:0000977"	"RNA polymerase II regulatory region sequence-specific DNA binding"	"8.264"
"GO:0031490"	"chromatin DNA binding"	"8.263"
"GO:0097027"	"ubiquitin-protein transferase activator activity"	"8.259"
"GO:0004407"	"histone deacetylase activity"	"8.055"
"GO:0003777"	"microtubule motor activity"	"8.044"
"GO:0046982"	"protein heterodimerization activity"	"7.944"
"GO:0008408"	"3'-5' exonuclease activity"	"7.841"
"GO:0000980"	"RNA polymerase II distal enhancer sequence-specific DNA binding"	"7.83"
"GO:0004860"	"protein kinase inhibitor activity"	"7.822"
"GO:0098599"	"palmitoyl hydrolase activity"	"7.8"
"GO:0097602"	"cullin family protein binding"	"7.799"
"GO:0015111"	"iodide transmembrane transporter activity"	"7.777"
"GO:0033829"	"O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase activity"	"7.719"
"GO:0070463"	"tubulin-dependent ATPase activity"	"7.639"
"GO:0051059"	"NF-kappaB binding"	"7.57"
"GO:0019901"	"protein kinase binding"	"7.56"
"GO:0033613"	"activating transcription factor binding"	"7.383"
"GO:0052894"	"norspermine:oxygen oxidoreductase activity"	"7.382"
"GO:0052895"	"N1-acetylspermine:oxygen oxidoreductase (N1-acetylspermidine-forming) activity"	"7.382"
"GO:1990404"	"protein ADP-ribosylase activity"	"7.325"
"GO:0070012"	"oligopeptidase activity"	"7.296"
"GO:0000403"	"Y-form DNA binding"	"7.289"
"GO:0009378"	"four-way junction helicase activity"	"7.241"
"GO:0004674"	"protein serine/threonine kinase activity"	"7.167"
"GO:0004560"	"alpha-L-fucosidase activity"	"7.141"
"GO:0004527"	"exonuclease activity"	"7.123"
"GO:0031491"	"nucleosome binding"	"7.021"
"GO:0046592"	"polyamine oxidase activity"	"6.996"
"GO:0052901"	"spermine:oxygen oxidoreductase (spermidine-forming) activity"	"6.996"
"GO:0000400"	"four-way junction DNA binding"	"6.938"
"GO:0017076"	"purine nucleotide binding"	"6.918"
"GO:0004402"	"histone acetyltransferase activity"	"6.9"
