"GO.ID"	"GO.Term"	"Z-score"
"GO:0017060"	"3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase activity"	"31.591"
"GO:0004693"	"cyclin-dependent protein serine/threonine kinase activity"	"23.088"
"GO:0003682"	"chromatin binding"	"21.493"
"GO:0005302"	"L-tyrosine transmembrane transporter activity"	"18.221"
"GO:0047277"	"globoside alpha-N-acetylgalactosaminyltransferase activity"	"18.221"
"GO:0016538"	"cyclin-dependent protein serine/threonine kinase regulator activity"	"18.166"
"GO:0003684"	"damaged DNA binding"	"17.725"
"GO:0003690"	"double-stranded DNA binding"	"17.493"
"GO:0043515"	"kinetochore binding"	"17.45"
"GO:0051010"	"microtubule plus-end binding"	"17.2"
"GO:0003688"	"DNA replication origin binding"	"16.596"
"GO:0017056"	"structural constituent of nuclear pore"	"16.245"
"GO:0035173"	"histone kinase activity"	"16.12"
"GO:0003697"	"single-stranded DNA binding"	"15.532"
"GO:0008017"	"microtubule binding"	"14.721"
"GO:0097472"	"cyclin-dependent protein kinase activity"	"14.713"
"GO:0001078"	"transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding"	"14.485"
"GO:0001012"	"RNA polymerase II regulatory region DNA binding"	"13.932"
"GO:1990841"	"promoter-specific chromatin binding"	"13.693"
"GO:0030332"	"cyclin binding"	"13.691"
"GO:0043565"	"sequence-specific DNA binding"	"13.687"
"GO:0010997"	"anaphase-promoting complex binding"	"13.567"
"GO:0008134"	"transcription factor binding"	"12.882"
"GO:0019237"	"centromeric DNA binding"	"12.301"
"GO:0043138"	"3'-5' DNA helicase activity"	"12.147"
"GO:0005515"	"protein binding"	"12.113"
"GO:0001228"	"transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding"	"11.913"
"GO:0042393"	"histone binding"	"11.897"
"GO:0003713"	"transcription coactivator activity"	"11.879"
"GO:0004003"	"ATP-dependent DNA helicase activity"	"11.47"
"GO:0005072"	"transforming growth factor beta receptor, cytoplasmic mediator activity"	"11.418"
"GO:0035064"	"methylated histone binding"	"11.288"
"GO:0102485"	NA	"11.13"
"GO:0102486"	NA	"11.13"
"GO:0102487"	NA	"11.13"
"GO:0102488"	NA	"11.13"
"GO:0102489"	NA	"11.13"
"GO:0102490"	NA	"11.13"
"GO:0102491"	NA	"11.13"
"GO:0000978"	"RNA polymerase II core promoter proximal region sequence-specific DNA binding"	"11.078"
"GO:0031492"	"nucleosomal DNA binding"	"10.718"
"GO:0004861"	"cyclin-dependent protein serine/threonine kinase inhibitor activity"	"10.665"
"GO:0003714"	"transcription corepressor activity"	"10.639"
"GO:0098505"	"G-rich strand telomeric DNA binding"	"10.286"
"GO:0001567"	"cholesterol 25-hydroxylase activity"	"10.246"
"GO:0036033"	"mediator complex binding"	"10.152"
"GO:0070840"	"dynein complex binding"	"10.058"
"GO:0042826"	"histone deacetylase binding"	"9.885"
"GO:0050681"	"androgen receptor binding"	"9.824"
"GO:0004672"	"protein kinase activity"	"9.721"
"GO:0003834"	"beta-carotene 15,15'-monooxygenase activity"	"9.477"
"GO:0010436"	"carotenoid dioxygenase activity"	"9.477"
"GO:0061575"	"cyclin-dependent protein serine/threonine kinase activator activity"	"9.23"
"GO:0043142"	"single-stranded DNA-dependent ATPase activity"	"9.168"
"GO:0000987"	"core promoter proximal region sequence-specific DNA binding"	"9.143"
"GO:0003689"	"DNA clamp loader activity"	"9.1"
"GO:0003700"	"transcription factor activity, sequence-specific DNA binding"	"9.068"
"GO:0001102"	"RNA polymerase II activating transcription factor binding"	"8.931"
"GO:0032405"	"MutLalpha complex binding"	"8.849"
"GO:0003887"	"DNA-directed DNA polymerase activity"	"8.779"
"GO:0001077"	"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding"	"8.733"
"GO:0072591"	"citrate-L-glutamate ligase activity"	"8.709"
"GO:0003691"	"double-stranded telomeric DNA binding"	"8.524"
"GO:0008094"	"DNA-dependent ATPase activity"	"8.467"
"GO:0004796"	"thromboxane-A synthase activity"	"8.388"
"GO:0036134"	"12-hydroxyheptadecatrienoic acid synthase activity"	"8.388"
"GO:0047341"	"fucose-1-phosphate guanylyltransferase activity"	"8.388"
"GO:0004386"	"helicase activity"	"8.289"
"GO:0000977"	"RNA polymerase II regulatory region sequence-specific DNA binding"	"8.264"
"GO:0031490"	"chromatin DNA binding"	"8.263"
"GO:0097027"	"ubiquitin-protein transferase activator activity"	"8.259"
"GO:0004407"	"histone deacetylase activity"	"8.055"
"GO:0003777"	"microtubule motor activity"	"8.044"
"GO:0046982"	"protein heterodimerization activity"	"7.944"
"GO:0008408"	"3'-5' exonuclease activity"	"7.841"
"GO:0000980"	"RNA polymerase II distal enhancer sequence-specific DNA binding"	"7.83"
"GO:0004860"	"protein kinase inhibitor activity"	"7.822"
"GO:0098599"	"palmitoyl hydrolase activity"	"7.8"
"GO:0097602"	"cullin family protein binding"	"7.799"
"GO:0015111"	"iodide transmembrane transporter activity"	"7.777"
"GO:0033829"	"O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase activity"	"7.719"
"GO:0070463"	"tubulin-dependent ATPase activity"	"7.639"
"GO:0051059"	"NF-kappaB binding"	"7.57"
"GO:0019901"	"protein kinase binding"	"7.56"
"GO:0033613"	"activating transcription factor binding"	"7.383"
"GO:0052894"	"norspermine:oxygen oxidoreductase activity"	"7.382"
"GO:0052895"	"N1-acetylspermine:oxygen oxidoreductase (N1-acetylspermidine-forming) activity"	"7.382"
"GO:1990404"	"protein ADP-ribosylase activity"	"7.325"
"GO:0070012"	"oligopeptidase activity"	"7.296"
"GO:0000403"	"Y-form DNA binding"	"7.289"
"GO:0009378"	"four-way junction helicase activity"	"7.241"
"GO:0004674"	"protein serine/threonine kinase activity"	"7.167"
"GO:0004560"	"alpha-L-fucosidase activity"	"7.141"
"GO:0004527"	"exonuclease activity"	"7.123"
"GO:0031491"	"nucleosome binding"	"7.021"
"GO:0046592"	"polyamine oxidase activity"	"6.996"
"GO:0052901"	"spermine:oxygen oxidoreductase (spermidine-forming) activity"	"6.996"
"GO:0000400"	"four-way junction DNA binding"	"6.938"
"GO:0017076"	"purine nucleotide binding"	"6.918"
"GO:0004402"	"histone acetyltransferase activity"	"6.9"
"GO:0032182"	"ubiquitin-like protein binding"	"6.879"
"GO:0004623"	"phospholipase A2 activity"	"6.837"
"GO:0000225"	"N-acetylglucosaminylphosphatidylinositol deacetylase activity"	"6.824"
"GO:0033798"	"thyroxine 5-deiodinase activity"	"6.824"
"GO:0044547"	"DNA topoisomerase binding"	"6.796"
"GO:0001222"	"transcription corepressor binding"	"6.762"
"GO:0019899"	"enzyme binding"	"6.716"
"GO:0043047"	"single-stranded telomeric DNA binding"	"6.706"
"GO:0015149"	"hexose transmembrane transporter activity"	"6.664"
"GO:0061749"	"forked DNA-dependent helicase activity"	"6.648"
"GO:0019789"	"SUMO transferase activity"	"6.642"
"GO:0017111"	"nucleoside-triphosphatase activity"	"6.629"
"GO:0008353"	"RNA polymerase II carboxy-terminal domain kinase activity"	"6.593"
"GO:0032407"	"MutSalpha complex binding"	"6.568"
"GO:0001085"	"RNA polymerase II transcription factor binding"	"6.547"
"GO:0043140"	"ATP-dependent 3'-5' DNA helicase activity"	"6.437"
"GO:1990446"	"U1 snRNP binding"	"6.387"
"GO:0019912"	"cyclin-dependent protein kinase activating kinase activity"	"6.364"
"GO:0015616"	"DNA translocase activity"	"6.344"
"GO:0018024"	"histone-lysine N-methyltransferase activity"	"6.339"
"GO:0001103"	"RNA polymerase II repressing transcription factor binding"	"6.25"
"GO:0016790"	"thiolester hydrolase activity"	"6.243"
"GO:0048256"	"flap endonuclease activity"	"6.243"
"GO:0051908"	"double-stranded DNA 5'-3' exodeoxyribonuclease activity"	"6.243"
"GO:0045145"	"single-stranded DNA 5'-3' exodeoxyribonuclease activity"	"6.23"
"GO:0003677"	"DNA binding"	"6.214"
"GO:0000701"	"purine-specific mismatch base pair DNA N-glycosylase activity"	"6.201"
"GO:0032041"	"NAD-dependent histone deacetylase activity (H3-K14 specific)"	"6.183"
"GO:0003729"	"mRNA binding"	"6.17"
"GO:0046983"	"protein dimerization activity"	"6.168"
"GO:0051864"	"histone demethylase activity (H3-K36 specific)"	"6.14"
"GO:0003824"	"catalytic activity"	"6.109"
"GO:0033558"	"protein deacetylase activity"	"6.098"
"GO:0043015"	"gamma-tubulin binding"	"6.095"
"GO:0030337"	"DNA polymerase processivity factor activity"	"6.08"
"GO:0004850"	"uridine phosphorylase activity"	"6.055"
"GO:0043522"	"leucine zipper domain binding"	"6.047"
"GO:0004854"	"xanthine dehydrogenase activity"	"6.043"
"GO:0070337"	"3'-flap-structured DNA binding"	"6.032"
"GO:0005521"	"lamin binding"	"6.008"
"GO:0004131"	"cytosine deaminase activity"	"6.005"
"GO:0008803"	"bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity"	"5.958"
"GO:0008536"	"Ran GTPase binding"	"5.951"
"GO:0044212"	"transcription regulatory region DNA binding"	"5.939"
"GO:0008139"	"nuclear localization sequence binding"	"5.928"
"GO:0000405"	"bubble DNA binding"	"5.927"
"GO:0032143"	"single thymine insertion binding"	"5.914"
"GO:0002162"	"dystroglycan binding"	"5.912"
"GO:0032139"	"dinucleotide insertion or deletion binding"	"5.827"
"GO:0061676"	"importin-alpha family protein binding"	"5.821"
"GO:0003950"	"NAD+ ADP-ribosyltransferase activity"	"5.793"
"GO:0051575"	"5'-deoxyribose-5-phosphate lyase activity"	"5.755"
"GO:0032137"	"guanine/thymine mispair binding"	"5.751"
"GO:0003723"	"RNA binding"	"5.727"
"GO:0070412"	"R-SMAD binding"	"5.647"
"GO:0004519"	"endonuclease activity"	"5.619"
"GO:0035174"	"histone serine kinase activity"	"5.616"
"GO:0008853"	"exodeoxyribonuclease III activity"	"5.601"
"GO:0051880"	"G-quadruplex DNA binding"	"5.571"
"GO:0004677"	"DNA-dependent protein kinase activity"	"5.509"
"GO:0036002"	"pre-mRNA binding"	"5.508"
"GO:0003917"	"DNA topoisomerase type I activity"	"5.435"
"GO:0000166"	"nucleotide binding"	"5.434"
"GO:0001227"	"transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding"	"5.429"
"GO:0042162"	"telomeric DNA binding"	"5.413"
"GO:0004855"	"xanthine oxidase activity"	"5.399"
"GO:0070182"	"DNA polymerase binding"	"5.348"
"GO:0034062"	"RNA polymerase activity"	"5.328"
"GO:0052927"	"CTP:tRNA cytidylyltransferase activity"	"5.328"
"GO:0052928"	"CTP:3'-cytidine-tRNA cytidylyltransferase activity"	"5.328"
"GO:0052929"	"ATP:3'-cytidine-cytidine-tRNA adenylyltransferase activity"	"5.328"
"GO:0015651"	"quaternary ammonium group transmembrane transporter activity"	"5.313"
"GO:0032422"	"purine-rich negative regulatory element binding"	"5.313"
"GO:0044389"	"ubiquitin-like protein ligase binding"	"5.305"
"GO:0010484"	"H3 histone acetyltransferase activity"	"5.289"
"GO:0017108"	"5'-flap endonuclease activity"	"5.271"
"GO:0070888"	"E-box binding"	"5.265"
"GO:0008157"	"protein phosphatase 1 binding"	"5.229"
"GO:0019213"	"deacetylase activity"	"5.216"
"GO:0004621"	"glycosylphosphatidylinositol phospholipase D activity"	"5.172"
"GO:0017116"	"single-stranded DNA-dependent ATP-dependent DNA helicase activity"	"5.17"
"GO:0001046"	"core promoter sequence-specific DNA binding"	"5.16"
"GO:0000014"	"single-stranded DNA endodeoxyribonuclease activity"	"5.156"
"GO:0005524"	"ATP binding"	"5.154"
"GO:0003730"	"mRNA 3'-UTR binding"	"5.129"
"GO:0008073"	"ornithine decarboxylase inhibitor activity"	"5.12"
"GO:0070577"	"lysine-acetylated histone binding"	"5.052"
"GO:0061733"	"peptide-lysine-N-acetyltransferase activity"	"5.028"
"GO:0071837"	"HMG box domain binding"	"5.025"
"GO:0009008"	"DNA-methyltransferase activity"	"4.955"
"GO:0003918"	"DNA topoisomerase type II (ATP-hydrolyzing) activity"	"4.922"
"GO:0071987"	"WD40-repeat domain binding"	"4.912"
"GO:0072590"	"N-acetyl-L-aspartate-L-glutamate ligase activity"	"4.897"
"GO:0061685"	"diphthine methylesterase activity"	"4.892"
"GO:0016279"	"protein-lysine N-methyltransferase activity"	"4.86"
"GO:1990825"	"sequence-specific mRNA binding"	"4.835"
"GO:0004468"	"lysine N-acetyltransferase activity, acting on acetyl phosphate as donor"	"4.825"
"GO:0097157"	"pre-mRNA intronic binding"	"4.737"
"GO:0002039"	"p53 binding"	"4.722"
"GO:0052381"	"tRNA dimethylallyltransferase activity"	"4.721"
"GO:0004068"	"aspartate 1-decarboxylase activity"	"4.715"
"GO:0003678"	"DNA helicase activity"	"4.711"
"GO:0032452"	"histone demethylase activity"	"4.697"
"GO:0004523"	"RNA-DNA hybrid ribonuclease activity"	"4.673"
"GO:0030544"	"Hsp70 protein binding"	"4.63"
"GO:1990247"	"N6-methyladenosine-containing RNA binding"	"4.624"
"GO:0016407"	"acetyltransferase activity"	"4.614"
"GO:0016603"	"glutaminyl-peptide cyclotransferase activity"	"4.613"
"GO:0008266"	"poly(U) RNA binding"	"4.589"
"GO:0003916"	"DNA topoisomerase activity"	"4.588"
"GO:0008301"	"DNA binding, bending"	"4.588"
"GO:0045142"	"triplex DNA binding"	"4.554"
"GO:0030619"	"U1 snRNA binding"	"4.539"
"GO:0008296"	"3'-5'-exodeoxyribonuclease activity"	"4.505"
"GO:0070087"	"chromo shadow domain binding"	"4.492"
"GO:0004586"	"ornithine decarboxylase activity"	"4.485"
"GO:0003944"	"N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase activity"	"4.463"
"GO:0047485"	"protein N-terminus binding"	"4.46"
"GO:0030331"	"estrogen receptor binding"	"4.454"
"GO:0004712"	"protein serine/threonine/tyrosine kinase activity"	"4.449"
"GO:0002950"	"ceramide phosphoethanolamine synthase activity"	"4.433"
"GO:0033188"	"sphingomyelin synthase activity"	"4.433"
"GO:0047493"	"ceramide cholinephosphotransferase activity"	"4.433"
"GO:0019904"	"protein domain specific binding"	"4.431"
"GO:0000406"	"double-strand/single-strand DNA junction binding"	"4.421"
"GO:0008143"	"poly(A) binding"	"4.414"
"GO:0000976"	"transcription regulatory region sequence-specific DNA binding"	"4.407"
"GO:0030983"	"mismatched DNA binding"	"4.404"
"GO:0070336"	"flap-structured DNA binding"	"4.402"
"GO:0106050"	NA	"4.397"
"GO:0046332"	"SMAD binding"	"4.396"
"GO:0035198"	"miRNA binding"	"4.394"
"GO:0047429"	"nucleoside-triphosphate diphosphatase activity"	"4.373"
"GO:0046976"	"histone methyltransferase activity (H3-K27 specific)"	"4.346"
"GO:0035497"	"cAMP response element binding"	"4.344"
"GO:0050733"	"RS domain binding"	"4.337"
"GO:0035257"	"nuclear hormone receptor binding"	"4.315"
"GO:0008022"	"protein C-terminus binding"	"4.314"
"GO:0000150"	"recombinase activity"	"4.312"
