geneSet	description	link	C	O	E	R	pValue	FDR	overlapId	userId
hsa04110	Cell cycle	http://www.kegg.jp/kegg-bin/show_pathway?hsa04110+1019+1027+10274+1031+10926+1111+1869+1870+1871+1874+25+4085+4088+4171+4172+4174+4175+4609+5347+5885+5933+595+699+7027+7040+7272+8243+8317+8318+8454+890+9133+9184+9232+9700+983+990+991+993+994+996	115	41	2.4516711833785005	16.723286661753868	0	0	1019;1027;10274;1031;10926;1111;1869;1870;1871;1874;25;4085;4088;4171;4172;4174;4175;4609;5347;5885;5933;595;699;7027;7040;7272;8243;8317;8318;8454;890;9133;9184;9232;9700;983;990;991;993;994;996	ENSG00000097007;ENSG00000169679;ENSG00000154473;ENSG00000145386;ENSG00000157456;ENSG00000110092;ENSG00000117399;ENSG00000164045;ENSG00000101224;ENSG00000004897;ENSG00000093009;ENSG00000094804;ENSG00000097046;ENSG00000170312;ENSG00000135446;ENSG00000111276;ENSG00000123080;ENSG00000149554;ENSG00000055130;ENSG00000006634;ENSG00000101412;ENSG00000007968;ENSG00000282899;ENSG00000112242;ENSG00000205250;ENSG00000135476;ENSG00000164109;ENSG00000073111;ENSG00000112118;ENSG00000100297;ENSG00000076003;ENSG00000136997;ENSG00000166851;ENSG00000164611;ENSG00000164754;ENSG00000080839;ENSG00000166949;ENSG00000072501;ENSG00000118007;ENSG00000198176;ENSG00000105329;ENSG00000112742
hsa04218	Cellular senescence	http://www.kegg.jp/kegg-bin/show_pathway?hsa04218+1019+1111+1432+1869+1870+1871+1874+3364+4088+4605+4609+5933+595+7040+890+9133+983+993	152	18	3.240469738030714	5.554750223015165	2.1493892221613464e-9	3.202589941020406e-7	1019;1111;1432;1869;1870;1871;1874;3364;4088;4605;4609;5933;595;7040;890;9133;983;993	ENSG00000145386;ENSG00000157456;ENSG00000110092;ENSG00000164045;ENSG00000170312;ENSG00000135446;ENSG00000149554;ENSG00000101412;ENSG00000007968;ENSG00000282899;ENSG00000112242;ENSG00000205250;ENSG00000136273;ENSG00000112062;ENSG00000101057;ENSG00000136997;ENSG00000080839;ENSG00000166949;ENSG00000105329
hsa04914	Progesterone-mediated oocyte maturation	http://www.kegg.jp/kegg-bin/show_pathway?hsa04914+1432+3835+4085+5347+6790+699+890+9133+983+993+994+996	82	12	1.7481481481481482	6.864406779661016	1.1830554558223128e-7	1.1751684194501639e-5	1432;3835;4085;5347;6790;699;890;9133;983;993;994;996	ENSG00000087586;ENSG00000169679;ENSG00000145386;ENSG00000157456;ENSG00000164045;ENSG00000101224;ENSG00000004897;ENSG00000170312;ENSG00000079616;ENSG00000164109;ENSG00000112062;ENSG00000166851
hsa04114	Oocyte meiosis	http://www.kegg.jp/kegg-bin/show_pathway?hsa04114+26271+4085+5347+6790+699+8243+8454+9133+9232+9700+983+991+996	101	13	2.1532068654019874	6.037506293002181	1.625948278238809e-7	1.2113314672879127e-5	26271;4085;5347;6790;699;8243;8454;9133;9232;9700;983;991;996	ENSG00000087586;ENSG00000169679;ENSG00000157456;ENSG00000117399;ENSG00000004897;ENSG00000170312;ENSG00000055130;ENSG00000135476;ENSG00000112029;ENSG00000164109;ENSG00000166851;ENSG00000164611;ENSG00000072501
hsa05206	MicroRNAs in cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05206+1027+1869+1870+1871+2146+25+3925+4082+4609+4853+595+9252+9493+993+994	144	15	3.069918699186992	4.8861228813559325	2.969967665134021e-7	1.4857810037849362e-5	1027;1869;1870;1871;2146;25;3925;4082;4609;4853;595;9252;9493;993;994	ENSG00000097007;ENSG00000110092;ENSG00000164045;ENSG00000101224;ENSG00000111276;ENSG00000101412;ENSG00000007968;ENSG00000282899;ENSG00000112242;ENSG00000106462;ENSG00000137807;ENSG00000277443;ENSG00000136997;ENSG00000134250;ENSG00000100784;ENSG00000117632
hsa03030	DNA replication	http://www.kegg.jp/kegg-bin/show_pathway?hsa03030+23649+4171+4172+4174+4175+5426+5558+6118	33	8	0.7035230352303523	11.371340523882896	2.9915053767481936e-7	1.4857810037849362e-5	23649;4171;4172;4174;4175;5426;5558;6118	ENSG00000073111;ENSG00000112118;ENSG00000100297;ENSG00000076003;ENSG00000014138;ENSG00000177084;ENSG00000146143;ENSG00000117748
hsa05166	Human T-cell leukemia virus 1 infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05166+1019+1031+1111+1869+1870+1871+4085+4088+4605+4609+5426+595+7040+7514+9133+9184+9232+991+996	242	19	5.159168925022584	3.6827636923938925	6.288570203460964e-7	2.6771341723305243e-5	1019;1031;1111;1869;1870;1871;4085;4088;4605;4609;5426;595;7040;7514;9133;9184;9232;991;996	ENSG00000154473;ENSG00000157456;ENSG00000110092;ENSG00000117399;ENSG00000004897;ENSG00000135446;ENSG00000123080;ENSG00000149554;ENSG00000101412;ENSG00000007968;ENSG00000282899;ENSG00000112242;ENSG00000164109;ENSG00000101057;ENSG00000136997;ENSG00000177084;ENSG00000164611;ENSG00000166949;ENSG00000105329;ENSG00000082898
hsa05219	Bladder cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05219+1019+1869+1870+1871+1950+4609+595+9252	38	8	0.8101174345076785	9.875111507582515	9.638919393761824e-7	3.5904974741762796e-5	1019;1869;1870;1871;1950;4609;595;9252	ENSG00000110092;ENSG00000135446;ENSG00000101412;ENSG00000007968;ENSG00000282899;ENSG00000112242;ENSG00000138798;ENSG00000136997;ENSG00000100784
hsa05220	Chronic myeloid leukemia	http://www.kegg.jp/kegg-bin/show_pathway?hsa05220+1019+1027+1869+1870+1871+25+4088+4609+595+7040	76	10	1.620234869015357	6.171944692239072	3.860963193713651e-6	1.2784078130296313e-4	1019;1027;1869;1870;1871;25;4088;4609;595;7040	ENSG00000097007;ENSG00000110092;ENSG00000135446;ENSG00000111276;ENSG00000101412;ENSG00000007968;ENSG00000282899;ENSG00000112242;ENSG00000136997;ENSG00000166949;ENSG00000105329
hsa05212	Pancreatic cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05212+1019+1869+1870+1871+1950+4088+595+675+7040	75	9	1.5989159891598916	5.628813559322034	2.582289822761208e-5	7.695223671828399e-4	1019;1869;1870;1871;1950;4088;595;675;7040	ENSG00000139618;ENSG00000110092;ENSG00000135446;ENSG00000101412;ENSG00000007968;ENSG00000282899;ENSG00000112242;ENSG00000138798;ENSG00000166949;ENSG00000105329
