Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0005975~carbohydrate metabolic process	29	14.646464646464647	2.7051365978195566E-24	ENSG00000117411, ENSG00000170191, ENSG00000065833, ENSG00000146701, ENSG00000121578, ENSG00000134333, ENSG00000044446, ENSG00000169919, ENSG00000127415, ENSG00000014641, ENSG00000115850, ENSG00000109956, ENSG00000197713, ENSG00000149541, ENSG00000183196, ENSG00000113552, ENSG00000156958, ENSG00000175040, ENSG00000130313, ENSG00000198380, ENSG00000027847, ENSG00000140835, ENSG00000166796, ENSG00000100504, ENSG00000086062, ENSG00000177156, ENSG00000169299, ENSG00000100994, ENSG00000178802	194	174	16792	14.426116838487971	3.516677577165424E-21	3.516677577165424E-21	4.416860292269072E-21
GOTERM_BP_DIRECT	GO:0006094~gluconeogenesis	18	9.090909090909092	2.6846131350848756E-22	ENSG00000158571, ENSG00000111669, ENSG00000164708, ENSG00000125166, ENSG00000074800, ENSG00000146701, ENSG00000183048, ENSG00000105679, ENSG00000111674, ENSG00000102144, ENSG00000014641, ENSG00000149925, ENSG00000173599, ENSG00000130957, ENSG00000171314, ENSG00000004864, ENSG00000120053, ENSG00000136872	194	44	16792	35.4095595126523	3.4899970756103383E-19	1.7449985378051692E-19	4.383350240434446E-19
GOTERM_BP_DIRECT	GO:0006024~glycosaminoglycan biosynthetic process	16	8.080808080808081	3.4366864294758795E-19	ENSG00000063660, ENSG00000153936, ENSG00000176022, ENSG00000188157, ENSG00000162512, ENSG00000015532, ENSG00000138604, ENSG00000115884, ENSG00000151348, ENSG00000149541, ENSG00000147257, ENSG00000027847, ENSG00000171004, ENSG00000076716, ENSG00000169439, ENSG00000182197	194	42	16792	32.97398134511536	4.467692358318644E-16	1.4892307861062144E-16	5.611311399049916E-16
GOTERM_BP_DIRECT	GO:0030203~glycosaminoglycan metabolic process	14	7.07070707070707	2.3182241843798685E-18	ENSG00000063660, ENSG00000176022, ENSG00000188157, ENSG00000162512, ENSG00000128973, ENSG00000115884, ENSG00000038427, ENSG00000109956, ENSG00000149541, ENSG00000147257, ENSG00000027847, ENSG00000011465, ENSG00000076716, ENSG00000169439	194	29	16792	41.78599360113757	3.013691439693829E-15	7.534228599234572E-16	3.785122110587148E-15
GOTERM_BP_DIRECT	GO:0061621~canonical glycolysis	12	6.0606060606060606	2.2764160534426276E-15	ENSG00000158571, ENSG00000111669, ENSG00000164708, ENSG00000074800, ENSG00000102144, ENSG00000149925, ENSG00000105679, ENSG00000171314, ENSG00000159399, ENSG00000111674, ENSG00000136872, ENSG00000067057	194	26	16792	39.949246629659	3.0309088572266774E-12	6.061817714453355E-13	3.808064974464287E-12
GOTERM_BP_DIRECT	GO:0006096~glycolytic process	12	6.0606060606060606	7.891081086328858E-14	ENSG00000158571, ENSG00000134333, ENSG00000111669, ENSG00000164708, ENSG00000074800, ENSG00000102144, ENSG00000149925, ENSG00000105679, ENSG00000171314, ENSG00000159399, ENSG00000111674, ENSG00000136872	194	34	16792	30.549423893268646	1.0261791416610322E-10	1.7102985694350537E-11	1.2888579092873442E-10
GOTERM_BP_DIRECT	GO:0006027~glycosaminoglycan catabolic process	9	4.545454545454546	3.4463530112277765E-10	ENSG00000063660, ENSG00000188157, ENSG00000127415, ENSG00000169919, ENSG00000162512, ENSG00000115884, ENSG00000147257, ENSG00000076716, ENSG00000169439	194	26	16792	29.96193497224425	4.480258161132511E-7	6.40037003396543E-8	5.627095012172845E-7
GOTERM_BP_DIRECT	GO:0015012~heparan sulfate proteoglycan biosynthetic process	7	3.535353535353535	2.375841598298289E-8	ENSG00000176022, ENSG00000164100, ENSG00000015532, ENSG00000138604, ENSG00000151348, ENSG00000149541, ENSG00000182197	194	17	16792	35.64099454214675	3.088546421714522E-5	3.86073519520469E-6	3.8791972745144676E-5
GOTERM_BP_DIRECT	GO:0006486~protein glycosylation	12	6.0606060606060606	7.288422264185633E-8	ENSG00000128039, ENSG00000176022, ENSG00000140650, ENSG00000117411, ENSG00000151348, ENSG00000178802, ENSG00000109956, ENSG00000149541, ENSG00000121578, ENSG00000179913, ENSG00000033011, ENSG00000182197	194	113	16792	9.191862056381717	9.474500431572164E-5	1.0527666017834392E-5	1.1900295513456172E-4
GOTERM_BP_DIRECT	GO:0006098~pentose-phosphate shunt	6	3.0303030303030303	8.319101678705085E-8	ENSG00000177156, ENSG00000130313, ENSG00000111669, ENSG00000169299, ENSG00000197713, ENSG00000160211	194	11	16792	47.21274601686974	1.0814247844370684E-4	1.0814774146217232E-5	1.358315378841013E-4
