"GO.ID"	"GO.Term"	"zscore"
"GO:0070062"	"extracellular exosome"	"29.767"
"GO:0005759"	"mitochondrial matrix"	"27.399"
"GO:0043202"	"lysosomal lumen"	"23.492"
"GO:0005796"	"Golgi lumen"	"22.018"
"GO:0005829"	"cytosol"	"19.551"
"GO:0043209"	"myelin sheath"	"18.527"
"GO:0005739"	"mitochondrion"	"18.39"
"GO:1904813"	"ficolin-1-rich granule lumen"	"18.079"
"GO:0062023"	NA	"17.82"
"GO:0034774"	"secretory granule lumen"	"16.342"
"GO:0000139"	"Golgi membrane"	"15.418"
"GO:0000502"	"proteasome complex"	"14.891"
"GO:0046658"	"anchored component of plasma membrane"	"14.009"
"GO:0031012"	"extracellular matrix"	"13.491"
"GO:0005576"	"extracellular region"	"13.384"
"GO:0005737"	"cytoplasm"	"12.952"
"GO:0042627"	"chylomicron"	"12.244"
"GO:0022624"	"proteasome accessory complex"	"11.869"
"GO:0034361"	"very-low-density lipoprotein particle"	"11.702"
"GO:0042470"	"melanosome"	"11.269"
"GO:0005874"	"microtubule"	"10.958"
"GO:0031228"	"intrinsic component of Golgi membrane"	"10.605"
"GO:0005832"	"chaperonin-containing T-complex"	"10.527"
"GO:0045252"	"oxoglutarate dehydrogenase complex"	"10.428"
"GO:0033178"	"proton-transporting two-sector ATPase complex, catalytic domain"	"10.174"
"GO:0005952"	"cAMP-dependent protein kinase complex"	"10.165"
"GO:0045254"	"pyruvate dehydrogenase complex"	"9.938"
"GO:0034363"	"intermediate-density lipoprotein particle"	"9.918"
"GO:0005839"	"proteasome core complex"	"9.913"
"GO:0035578"	"azurophil granule lumen"	"9.682"
"GO:0017101"	"aminoacyl-tRNA synthetase multienzyme complex"	"9.341"
"GO:0034366"	"spherical high-density lipoprotein particle"	"9.326"
"GO:0005838"	"proteasome regulatory particle"	"9.297"
"GO:0008540"	"proteasome regulatory particle, base subcomplex"	"9.109"
"GO:0097227"	"sperm annulus"	"9.083"
"GO:0043541"	"UDP-N-acetylglucosamine transferase complex"	"8.779"
"GO:0005945"	"6-phosphofructokinase complex"	"8.731"
"GO:0005615"	"extracellular space"	"8.484"
"GO:0002199"	"zona pellucida receptor complex"	"8.387"
"GO:0015630"	"microtubule cytoskeleton"	"8.369"
"GO:0005940"	"septin ring"	"8.368"
"GO:0031105"	"septin complex"	"8.368"
"GO:0032160"	"septin filament array"	"8.368"
"GO:0030126"	"COPI vesicle coat"	"8.324"
"GO:0098966"	"perisynaptic extracellular matrix"	"8.274"
"GO:0005583"	"fibrillar collagen trimer"	"7.978"
"GO:0099026"	"anchored component of presynaptic membrane"	"7.907"
"GO:0005885"	"Arp2/3 protein complex"	"7.864"
"GO:0019774"	"proteasome core complex, beta-subunit complex"	"7.785"
"GO:0034663"	"endoplasmic reticulum chaperone complex"	"7.582"
"GO:0008541"	"proteasome regulatory particle, lid subcomplex"	"7.555"
"GO:0016469"	"proton-transporting two-sector ATPase complex"	"7.555"
"GO:0035686"	"sperm fibrous sheath"	"7.302"
"GO:0042645"	"mitochondrial nucleoid"	"7.274"
"GO:0032580"	"Golgi cisterna membrane"	"7.128"
"GO:0000015"	"phosphopyruvate hydratase complex"	"7.127"
"GO:0072562"	"blood microparticle"	"7.04"
"GO:0016020"	"membrane"	"6.959"
"GO:0005788"	"endoplasmic reticulum lumen"	"6.848"
"GO:0097228"	"sperm principal piece"	"6.807"
"GO:0044297"	"cell body"	"6.77"
"GO:0019773"	"proteasome core complex, alpha-subunit complex"	"6.735"
"GO:0005793"	"endoplasmic reticulum-Golgi intermediate compartment"	"6.699"
"GO:0071682"	"endocytic vesicle lumen"	"6.686"
"GO:0034362"	"low-density lipoprotein particle"	"6.592"
"GO:0097546"	"ciliary base"	"6.584"
"GO:0030133"	"transport vesicle"	"6.564"
"GO:0016222"	"procollagen-proline 4-dioxygenase complex"	"6.554"
"GO:0030135"	"coated vesicle"	"6.508"
"GO:0001405"	"presequence translocase-associated import motor"	"6.478"
"GO:0005588"	"collagen type V trimer"	"6.469"
"GO:0016234"	"inclusion body"	"6.457"
"GO:0005777"	"peroxisome"	"6.429"
"GO:0031588"	"nucleotide-activated protein kinase complex"	"6.411"
"GO:0071817"	"MMXD complex"	"6.28"
