"ID"	"Pathway"	"zscore"	"obs"	"mean"	"std"
"hsa00534"	"Glycosaminoglycan biosynthesis - heparan sulfate / heparin"	"50.951"	"248"	"20.612"	"4.463"
"hsa00532"	"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"	"32.497"	"131"	"12.742"	"3.639"
"hsa00010"	"Glycolysis / Gluconeogenesis"	"28.483"	"918"	"376"	"19.029"
"hsa00620"	"Pyruvate metabolism"	"21.925"	"436"	"161.262"	"12.531"
"hsa00020"	"Citrate cycle (TCA cycle)"	"20.26"	"387"	"149.195"	"11.737"
"hsa00500"	"Starch and sucrose metabolism"	"19.055"	"290"	"98.972"	"10.025"
"hsa00270"	"Cysteine and methionine metabolism"	"18.822"	"342"	"129.637"	"11.283"
"hsa00260"	"Glycine, serine and threonine metabolism"	"18.449"	"310"	"123.713"	"10.098"
"hsa00640"	"Propanoate metabolism"	"18.112"	"234"	"75.692"	"8.741"
"hsa00970"	"Aminoacyl-tRNA biosynthesis"	"17.933"	"294"	"112.251"	"10.135"
"hsa00280"	"Valine, leucine and isoleucine degradation"	"17.012"	"256"	"96.05"	"9.402"
"hsa00520"	"Amino sugar and nucleotide sugar metabolism"	"16.929"	"317"	"130.611"	"11.01"
"hsa00052"	"Galactose metabolism"	"16.583"	"280"	"109.042"	"10.309"
"hsa00051"	"Fructose and mannose metabolism"	"16.444"	"299"	"121.456"	"10.797"
"hsa00630"	"Glyoxylate and dicarboxylate metabolism"	"16.134"	"217"	"79.551"	"8.519"
"hsa00030"	"Pentose phosphate pathway"	"15.688"	"287"	"122.628"	"10.477"
"hsa03050"	"Proteasome"	"15.386"	"511"	"269.905"	"15.67"
"hsa04922"	"Glucagon signaling pathway"	"15.123"	"706"	"410.746"	"19.524"
"hsa04145"	"Phagosome"	"14.974"	"1033"	"674.126"	"23.966"
"hsa05130"	"Pathogenic Escherichia coli infection"	"14.569"	"844"	"530.034"	"21.55"
"hsa04910"	"Insulin signaling pathway"	"12.661"	"890"	"596.595"	"23.173"
"hsa04540"	"Gap junction"	"12.404"	"881"	"601.684"	"22.518"
"hsa00072"	"Synthesis and degradation of ketone bodies"	"12.274"	"72"	"18.955"	"4.322"
"hsa00380"	"Tryptophan metabolism"	"12.063"	"176"	"74.565"	"8.408"
"hsa00330"	"Arginine and proline metabolism"	"11.887"	"189"	"85.947"	"8.669"
"hsa00071"	"Fatty acid degradation"	"11.755"	"180"	"80.754"	"8.443"
"hsa05110"	"Vibrio cholerae infection"	"11.716"	"455"	"275.07"	"15.358"
"hsa05230"	"Central carbon metabolism in cancer"	"11.541"	"646"	"420.15"	"19.57"
"hsa00900"	"Terpenoid backbone biosynthesis"	"11.51"	"106"	"36.437"	"6.044"
"hsa00290"	"Valine, leucine and isoleucine biosynthesis"	"10.646"	"65"	"19.724"	"4.253"
"hsa00480"	"Glutathione metabolism"	"10.367"	"146"	"64.181"	"7.892"
"hsa00190"	"Oxidative phosphorylation"	"10.249"	"434"	"266.784"	"16.315"
"hsa00230"	"Purine metabolism"	"10.192"	"599"	"403.645"	"19.167"
"hsa04066"	"HIF-1 signaling pathway"	"10.094"	"674"	"472.315"	"19.981"
