Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0005975tcarbohydrate metabolic process	78	39.39393939393939	4.324498883980405E-52	ENSG00000168209, ENSG00000117411, ENSG00000146701, ENSG00000151348, ENSG00000105679, ENSG00000122882, ENSG00000160211, ENSG00000033011, ENSG00000044446, ENSG00000102144, ENSG00000127415, ENSG00000014641, ENSG00000149925, ENSG00000183196, ENSG00000197713, ENSG00000004864, ENSG00000113552, ENSG00000136872, ENSG00000175040, ENSG00000130313, ENSG00000140650, ENSG00000164708, ENSG00000125166, ENSG00000074800, ENSG00000146674, ENSG00000198380, ENSG00000117448, ENSG00000140835, ENSG00000182197, ENSG00000166796, ENSG00000086062, ENSG00000128039, ENSG00000100504, ENSG00000100994, ENSG00000111713, ENSG00000117308, ENSG00000128989, ENSG00000120053, ENSG00000179913, ENSG00000158571, ENSG00000111669, ENSG00000169764, ENSG00000170191, ENSG00000065833, ENSG00000183048, ENSG00000137700, ENSG00000185950, ENSG00000108479, ENSG00000121578, ENSG00000067057, ENSG00000033170, ENSG00000134333, ENSG00000169919, ENSG00000162688, ENSG00000115850, ENSG00000109956, ENSG00000149541, ENSG00000156958, ENSG00000100253, ENSG00000067992, ENSG00000176022, ENSG00000159921, ENSG00000138413, ENSG00000007350, ENSG00000104812, ENSG00000160180, ENSG00000027847, ENSG00000159399, ENSG00000111674, ENSG00000153936, ENSG00000177156, ENSG00000175264, ENSG00000169299, ENSG00000173599, ENSG00000178802, ENSG00000128242, ENSG00000130957, ENSG00000171314	194	778	16792	8.677921183049321	1.655850622676097E-48	1.655850622676097E-48	7.998544454193778E-49
GOTERM_BP_ALL	GO:1901135tcarbohydrate derivative metabolic process	86	43.43434343434344	5.0861666788812695E-45	ENSG00000168209, ENSG00000117411, ENSG00000151348, ENSG00000105679, ENSG00000122882, ENSG00000123989, ENSG00000117620, ENSG00000160194, ENSG00000160211, ENSG00000033011, ENSG00000170425, ENSG00000102144, ENSG00000127415, ENSG00000149925, ENSG00000162512, ENSG00000164100, ENSG00000072571, ENSG00000128973, ENSG00000183196, ENSG00000197713, ENSG00000147257, ENSG00000004864, ENSG00000113552, ENSG00000136872, ENSG00000169439, ENSG00000175040, ENSG00000188157, ENSG00000130313, ENSG00000140650, ENSG00000164708, ENSG00000143252, ENSG00000074800, ENSG00000198380, ENSG00000117448, ENSG00000140835, ENSG00000182197, ENSG00000166796, ENSG00000086062, ENSG00000128039, ENSG00000100504, ENSG00000162813, ENSG00000038427, ENSG00000091140, ENSG00000171004, ENSG00000179913, ENSG00000011465, ENSG00000138271, ENSG00000158571, ENSG00000111669, ENSG00000104522, ENSG00000169764, ENSG00000162433, ENSG00000170191, ENSG00000015532, ENSG00000138604, ENSG00000115884, ENSG00000108479, ENSG00000121578, ENSG00000173540, ENSG00000067057, ENSG00000135318, ENSG00000033170, ENSG00000134333, ENSG00000026508, ENSG00000169919, ENSG00000115850, ENSG00000109956, ENSG00000149541, ENSG00000076716, ENSG00000063660, ENSG00000176022, ENSG00000159921, ENSG00000159399, ENSG00000027847, ENSG00000111674, ENSG00000153936, ENSG00000177156, ENSG00000175264, ENSG00000147224, ENSG00000169299, ENSG00000147853, ENSG00000033100, ENSG00000178802, ENSG00000128242, ENSG00000130957, ENSG00000171314	194	1247	16792	5.969427657305367	1.947493221343638E-41	9.73746610671819E-42	9.407316633419045E-42
GOTERM_BP_ALL	GO:0044723tsingle-organism carbohydrate metabolic process	65	32.82828282828283	3.602946796278365E-42	ENSG00000168209, ENSG00000117411, ENSG00000146701, ENSG00000151348, ENSG00000105679, ENSG00000160211, ENSG00000033011, ENSG00000044446, ENSG00000102144, ENSG00000127415, ENSG00000014641, ENSG00000149925, ENSG00000197713, ENSG00000004864, ENSG00000113552, ENSG00000136872, ENSG00000140650, ENSG00000164708, ENSG00000125166, ENSG00000074800, ENSG00000117448, ENSG00000140835, ENSG00000182197, ENSG00000128039, ENSG00000100504, ENSG00000086062, ENSG00000100994, ENSG00000111713, ENSG00000117308, ENSG00000128989, ENSG00000179913, ENSG00000120053, ENSG00000158571, ENSG00000111669, ENSG00000169764, ENSG00000183048, ENSG00000137700, ENSG00000185950, ENSG00000108479, ENSG00000121578, ENSG00000067057, ENSG00000033170, ENSG00000134333, ENSG00000162688, ENSG00000109956, ENSG00000149541, ENSG00000156958, ENSG00000100253, ENSG00000067992, ENSG00000176022, ENSG00000138413, ENSG00000007350, ENSG00000104812, ENSG00000027847, ENSG00000159399, ENSG00000111674, ENSG00000153936, ENSG00000177156, ENSG00000175264, ENSG00000169299, ENSG00000173599, ENSG00000178802, ENSG00000128242, ENSG00000130957, ENSG00000171314	194	656	16792	8.576502388735227	1.379568328294986E-38	4.59856109431662E-39	6.663969835414145E-39
GOTERM_BP_ALL	GO:0044710tsingle-organism metabolic process	130	65.65656565656566	2.2862321930209136E-36	ENSG00000168209, ENSG00000113643, ENSG00000130635, ENSG00000146701, ENSG00000083444, ENSG00000033011, ENSG00000160194, ENSG00000143149, ENSG00000149925, ENSG00000116260, ENSG00000128973, ENSG00000136872, ENSG00000140650, ENSG00000163516, ENSG00000164708, ENSG00000166347, ENSG00000146674, ENSG00000117448, ENSG00000140835, ENSG00000166796, ENSG00000086062, ENSG00000001084, ENSG00000111713, ENSG00000091140, ENSG00000117308, ENSG00000128989, ENSG00000145730, ENSG00000120053, ENSG00000173221, ENSG00000169764, ENSG00000111669, ENSG00000104522, ENSG00000162433, ENSG00000044574, ENSG00000170191, ENSG00000112715, ENSG00000157212, ENSG00000214274, ENSG00000185950, ENSG00000108479, ENSG00000136810, ENSG00000115677, ENSG00000067057, ENSG00000170312, ENSG00000115850, ENSG00000109956, ENSG00000156958, ENSG00000100253, ENSG00000063660, ENSG00000159921, ENSG00000138413, ENSG00000104812, ENSG00000159399, ENSG00000111674, ENSG00000175264, ENSG00000147224, ENSG00000169299, ENSG00000121966, ENSG00000173599, ENSG00000130957, ENSG00000128242, ENSG00000171314, ENSG00000117411, ENSG00000122884, ENSG00000151348, ENSG00000122882, ENSG00000105679, ENSG00000146648, ENSG00000160211, ENSG00000163235, ENSG00000152952, ENSG00000044446, ENSG00000170425, ENSG00000102144, ENSG00000127415, ENSG00000162512, ENSG00000014641, ENSG00000082212, ENSG00000197713, ENSG00000147257, ENSG00000113552, ENSG00000004864, ENSG00000169439, ENSG00000130313, ENSG00000188157, ENSG00000125166, ENSG00000143252, ENSG00000074800, ENSG00000117407, ENSG00000198380, ENSG00000125398, ENSG00000147383, ENSG00000196557, ENSG00000182197, ENSG00000128039, ENSG00000100504, ENSG00000162813, ENSG00000100994, ENSG00000179913, ENSG00000138271, ENSG00000158571, ENSG00000072682, ENSG00000240972, ENSG00000164904, ENSG00000065833, ENSG00000107902, ENSG00000183048, ENSG00000137700, ENSG00000115884, ENSG00000121578, ENSG00000135318, ENSG00000033170, ENSG00000134333, ENSG00000026508, ENSG00000162688, ENSG00000129521, ENSG00000149541, ENSG00000116761, ENSG00000076716, ENSG00000067992, ENSG00000176022, ENSG00000013275, ENSG00000007350, ENSG00000142168, ENSG00000027847, ENSG00000153936, ENSG00000177156, ENSG00000147852, ENSG00000147853, ENSG00000178802	194	4063	16792	2.7694735747035732	8.753983067077077E-33	2.1884957667692694E-33	4.228589327708464E-33
GOTERM_BP_ALL	GO:0005996tmonosaccharide metabolic process	39	19.696969696969695	2.4842460242337706E-32	ENSG00000158571, ENSG00000111669, ENSG00000146701, ENSG00000137700, ENSG00000183048, ENSG00000108479, ENSG00000185950, ENSG00000105679, ENSG00000067057, ENSG00000160211, ENSG00000033170, ENSG00000102144, ENSG00000014641, ENSG00000149925, ENSG00000197713, ENSG00000004864, ENSG00000113552, ENSG00000136872, ENSG00000156958, ENSG00000067992, ENSG00000140650, ENSG00000164708, ENSG00000007350, ENSG00000125166, ENSG00000074800, ENSG00000159399, ENSG00000117448, ENSG00000111674, ENSG00000086062, ENSG00000177156, ENSG00000175264, ENSG00000169299, ENSG00000173599, ENSG00000178802, ENSG00000130957, ENSG00000171314, ENSG00000117308, ENSG00000128989, ENSG00000120053	194	243	16792	13.89181621484027	9.512178026791107E-29	1.9024356053582214E-29	4.594833480844528E-29
GOTERM_BP_ALL	GO:0030203tglycosaminoglycan metabolic process	34	17.17171717171717	4.5968681461570833E-32	ENSG00000117411, ENSG00000015532, ENSG00000138604, ENSG00000151348, ENSG00000115884, ENSG00000121578, ENSG00000123989, ENSG00000026508, ENSG00000127415, ENSG00000169919, ENSG00000164100, ENSG00000162512, ENSG00000072571, ENSG00000128973, ENSG00000109956, ENSG00000149541, ENSG00000183196, ENSG00000147257, ENSG00000076716, ENSG00000169439, ENSG00000063660, ENSG00000176022, ENSG00000175040, ENSG00000188157, ENSG00000027847, ENSG00000182197, ENSG00000153936, ENSG00000086062, ENSG00000175264, ENSG00000033100, ENSG00000038427, ENSG00000179913, ENSG00000011465, ENSG00000171004	194	162	16792	18.16622120402189	1.7601408131635471E-28	2.933568021939245E-29	8.502315575408846E-29
GOTERM_BP_ALL	GO:1901564torganonitrogen compound metabolic process	93	46.96969696969697	1.6480774433510113E-31	ENSG00000168209, ENSG00000115657, ENSG00000117411, ENSG00000113643, ENSG00000146701, ENSG00000122884, ENSG00000151348, ENSG00000105679, ENSG00000122882, ENSG00000146648, ENSG00000123989, ENSG00000083444, ENSG00000160194, ENSG00000160211, ENSG00000143149, ENSG00000170425, ENSG00000102144, ENSG00000127415, ENSG00000014641, ENSG00000149925, ENSG00000162512, ENSG00000164100, ENSG00000072571, ENSG00000128973, ENSG00000183196, ENSG00000197713, ENSG00000147257, ENSG00000004864, ENSG00000136872, ENSG00000169439, ENSG00000175040, ENSG00000188157, ENSG00000130313, ENSG00000164708, ENSG00000125166, ENSG00000143252, ENSG00000074800, ENSG00000198380, ENSG00000117448, ENSG00000182197, ENSG00000166796, ENSG00000086062, ENSG00000001084, ENSG00000162813, ENSG00000038427, ENSG00000091140, ENSG00000171004, ENSG00000145730, ENSG00000120053, ENSG00000179913, ENSG00000011465, ENSG00000138271, ENSG00000158571, ENSG00000111669, ENSG00000162433, ENSG00000164904, ENSG00000065833, ENSG00000112715, ENSG00000015532, ENSG00000183048, ENSG00000138604, ENSG00000115884, ENSG00000214274, ENSG00000108479, ENSG00000121578, ENSG00000067057, ENSG00000135318, ENSG00000134333, ENSG00000026508, ENSG00000169919, ENSG00000129521, ENSG00000109956, ENSG00000149541, ENSG00000116761, ENSG00000076716, ENSG00000063660, ENSG00000176022, ENSG00000013275, ENSG00000007350, ENSG00000138413, ENSG00000142168, ENSG00000159399, ENSG00000027847, ENSG00000111674, ENSG00000153936, ENSG00000177156, ENSG00000175264, ENSG00000147224, ENSG00000169299, ENSG00000147853, ENSG00000033100, ENSG00000128242, ENSG00000171314	194	2221	16792	3.624391353388694	6.310488530591022E-28	9.014983615130032E-29	3.0482654865351146E-28
GOTERM_BP_ALL	GO:0006022taminoglycan metabolic process	34	17.17171717171717	3.0579380658695205E-31	ENSG00000117411, ENSG00000015532, ENSG00000138604, ENSG00000151348, ENSG00000115884, ENSG00000121578, ENSG00000123989, ENSG00000026508, ENSG00000127415, ENSG00000169919, ENSG00000164100, ENSG00000162512, ENSG00000072571, ENSG00000128973, ENSG00000109956, ENSG00000149541, ENSG00000183196, ENSG00000147257, ENSG00000076716, ENSG00000169439, ENSG00000063660, ENSG00000176022, ENSG00000175040, ENSG00000188157, ENSG00000027847, ENSG00000182197, ENSG00000153936, ENSG00000086062, ENSG00000175264, ENSG00000033100, ENSG00000038427, ENSG00000179913, ENSG00000011465, ENSG00000171004	194	171	16792	17.21010429854705	1.1708844854214394E-27	1.4636056067767992E-28	5.655927822905533E-28
GOTERM_BP_ALL	GO:0019318thexose metabolic process	37	18.68686868686869	1.4010139867504484E-30	ENSG00000158571, ENSG00000111669, ENSG00000146701, ENSG00000137700, ENSG00000183048, ENSG00000108479, ENSG00000185950, ENSG00000105679, ENSG00000067057, ENSG00000160211, ENSG00000033170, ENSG00000102144, ENSG00000014641, ENSG00000149925, ENSG00000004864, ENSG00000113552, ENSG00000136872, ENSG00000156958, ENSG00000067992, ENSG00000140650, ENSG00000164708, ENSG00000007350, ENSG00000125166, ENSG00000074800, ENSG00000159399, ENSG00000117448, ENSG00000111674, ENSG00000086062, ENSG00000175264, ENSG00000169299, ENSG00000173599, ENSG00000178802, ENSG00000130957, ENSG00000171314, ENSG00000117308, ENSG00000128989, ENSG00000120053	194	231	16792	13.86406033828714	5.364482555267467E-27	5.960536172519408E-28	2.5912996984418897E-27
GOTERM_BP_ALL	GO:0006024tglycosaminoglycan biosynthetic process	29	14.646464646464647	5.464808715138564E-30	ENSG00000117411, ENSG00000015532, ENSG00000138604, ENSG00000115884, ENSG00000151348, ENSG00000121578, ENSG00000123989, ENSG00000164100, ENSG00000162512, ENSG00000109956, ENSG00000149541, ENSG00000183196, ENSG00000147257, ENSG00000076716, ENSG00000169439, ENSG00000063660, ENSG00000176022, ENSG00000175040, ENSG00000188157, ENSG00000027847, ENSG00000182197, ENSG00000086062, ENSG00000153936, ENSG00000175264, ENSG00000033100, ENSG00000038427, ENSG00000179913, ENSG00000011465, ENSG00000171004	194	112	16792	22.4120029455081	2.0924752570265562E-26	2.092475257026556E-27	1.0107648681243003E-26
