Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_ALL	GO:0003824tcatalytic activity	133	67.17171717171718	2.6518322372865494E-21	ENSG00000105976, ENSG00000113643, ENSG00000146701, ENSG00000123989, ENSG00000083444, ENSG00000033011, ENSG00000160194, ENSG00000143149, ENSG00000149925, ENSG00000149260, ENSG00000116260, ENSG00000183196, ENSG00000136872, ENSG00000140650, ENSG00000163516, ENSG00000164708, ENSG00000166347, ENSG00000172183, ENSG00000117448, ENSG00000140835, ENSG00000166796, ENSG00000086062, ENSG00000001084, ENSG00000111713, ENSG00000091140, ENSG00000117308, ENSG00000145730, ENSG00000120053, ENSG00000173221, ENSG00000087586, ENSG00000169764, ENSG00000111669, ENSG00000104522, ENSG00000162433, ENSG00000044574, ENSG00000170191, ENSG00000015532, ENSG00000138604, ENSG00000108479, ENSG00000214274, ENSG00000185950, ENSG00000136810, ENSG00000067057, ENSG00000170312, ENSG00000068796, ENSG00000115850, ENSG00000125826, ENSG00000109956, ENSG00000156958, ENSG00000100253, ENSG00000159921, ENSG00000138413, ENSG00000104812, ENSG00000159399, ENSG00000161980, ENSG00000111674, ENSG00000175264, ENSG00000147224, ENSG00000169299, ENSG00000173599, ENSG00000130957, ENSG00000128242, ENSG00000171314, ENSG00000104695, ENSG00000115657, ENSG00000117411, ENSG00000122884, ENSG00000151348, ENSG00000169902, ENSG00000105679, ENSG00000146648, ENSG00000160211, ENSG00000152952, ENSG00000044446, ENSG00000127415, ENSG00000102144, ENSG00000014641, ENSG00000164100, ENSG00000082212, ENSG00000164105, ENSG00000197713, ENSG00000113552, ENSG00000138794, ENSG00000143590, ENSG00000175040, ENSG00000130313, ENSG00000125166, ENSG00000143252, ENSG00000074800, ENSG00000004478, ENSG00000198380, ENSG00000125398, ENSG00000147383, ENSG00000182197, ENSG00000128039, ENSG00000100504, ENSG00000162813, ENSG00000153208, ENSG00000100994, ENSG00000112984, ENSG00000025039, ENSG00000171004, ENSG00000179913, ENSG00000158571, ENSG00000072682, ENSG00000240972, ENSG00000164904, ENSG00000065833, ENSG00000107902, ENSG00000121578, ENSG00000173540, ENSG00000135318, ENSG00000033170, ENSG00000134333, ENSG00000169919, ENSG00000162688, ENSG00000144591, ENSG00000129521, ENSG00000149541, ENSG00000116761, ENSG00000067992, ENSG00000176022, ENSG00000013275, ENSG00000007350, ENSG00000142168, ENSG00000151640, ENSG00000027847, ENSG00000153936, ENSG00000177156, ENSG00000196262, ENSG00000147853, ENSG00000033100, ENSG00000178802	192	6018	16881	1.9431055790960454	2.0286516615242104E-18	2.0286516615242104E-18	4.046644074185604E-18
GOTERM_MF_ALL	GO:0016758ttransferase activity, transferring hexosyl groups	20	10.1010101010101	2.3569406815632236E-12	ENSG00000176022, ENSG00000117411, ENSG00000104812, ENSG00000015532, ENSG00000151348, ENSG00000121578, ENSG00000123989, ENSG00000027847, ENSG00000033011, ENSG00000182197, ENSG00000086062, ENSG00000100504, ENSG00000033170, ENSG00000162688, ENSG00000033100, ENSG00000100994, ENSG00000111713, ENSG00000109956, ENSG00000149541, ENSG00000179913	192	207	16881	8.494867149758454	1.8030227311172098E-9	9.015113100474537E-10	3.5965674882731946E-9
GOTERM_MF_ALL	GO:0016853tisomerase activity	16	8.080808080808081	6.056004654468854E-10	ENSG00000159921, ENSG00000104522, ENSG00000140650, ENSG00000111669, ENSG00000164708, ENSG00000240972, ENSG00000138604, ENSG00000004478, ENSG00000196262, ENSG00000169299, ENSG00000116260, ENSG00000178802, ENSG00000117308, ENSG00000171314, ENSG00000197713, ENSG00000113552	192	165	16881	8.525757575757575	4.6328424374575405E-7	1.5442810508137228E-7	9.241344356425429E-7
GOTERM_MF_ALL	GO:0016757ttransferase activity, transferring glycosyl groups	20	10.1010101010101	7.681915830680907E-10	ENSG00000176022, ENSG00000117411, ENSG00000104812, ENSG00000015532, ENSG00000151348, ENSG00000121578, ENSG00000123989, ENSG00000027847, ENSG00000033011, ENSG00000182197, ENSG00000086062, ENSG00000100504, ENSG00000033170, ENSG00000162688, ENSG00000033100, ENSG00000100994, ENSG00000111713, ENSG00000109956, ENSG00000149541, ENSG00000179913	192	289	16881	6.084558823529412	5.876664179726987E-7	1.4691663685617584E-7	1.172245367442315E-6
GOTERM_MF_ALL	GO:0008194tUDP-glycosyltransferase activity	15	7.575757575757576	9.516243772327735E-10	ENSG00000176022, ENSG00000117411, ENSG00000104812, ENSG00000015532, ENSG00000151348, ENSG00000121578, ENSG00000123989, ENSG00000027847, ENSG00000182197, ENSG00000086062, ENSG00000033100, ENSG00000111713, ENSG00000109956, ENSG00000149541, ENSG00000179913	192	144	16881	9.158528645833332	7.279923515124409E-7	1.4559851269080326E-7	1.452160092174637E-6
GOTERM_MF_ALL	GO:0016740ttransferase activity	61	30.808080808080806	2.0392440251262854E-9	ENSG00000117411, ENSG00000105976, ENSG00000151348, ENSG00000169902, ENSG00000146648, ENSG00000123989, ENSG00000033011, ENSG00000044446, ENSG00000102144, ENSG00000164100, ENSG00000183196, ENSG00000143590, ENSG00000175040, ENSG00000125166, ENSG00000198380, ENSG00000125398, ENSG00000140835, ENSG00000182197, ENSG00000100504, ENSG00000086062, ENSG00000153208, ENSG00000100994, ENSG00000111713, ENSG00000171004, ENSG00000179913, ENSG00000120053, ENSG00000087586, ENSG00000173221, ENSG00000158571, ENSG00000169764, ENSG00000162433, ENSG00000015532, ENSG00000185950, ENSG00000108479, ENSG00000121578, ENSG00000173540, ENSG00000067057, ENSG00000033170, ENSG00000170312, ENSG00000162688, ENSG00000144591, ENSG00000125826, ENSG00000109956, ENSG00000149541, ENSG00000116761, ENSG00000156958, ENSG00000067992, ENSG00000176022, ENSG00000159921, ENSG00000007350, ENSG00000104812, ENSG00000027847, ENSG00000159399, ENSG00000161980, ENSG00000153936, ENSG00000177156, ENSG00000175264, ENSG00000147224, ENSG00000147853, ENSG00000033100, ENSG00000128242	192	2453	16881	2.186398033020791	1.560020441604415E-6	2.600035758915098E-7	3.1118463694745913E-6
GOTERM_MF_ALL	GO:0016491toxidoreductase activity	30	15.151515151515152	8.001889928904707E-9	ENSG00000104522, ENSG00000072682, ENSG00000065833, ENSG00000164904, ENSG00000146701, ENSG00000122884, ENSG00000105679, ENSG00000136810, ENSG00000083444, ENSG00000160194, ENSG00000160211, ENSG00000143149, ENSG00000152952, ENSG00000134333, ENSG00000014641, ENSG00000116260, ENSG00000082212, ENSG00000129521, ENSG00000100253, ENSG00000138413, ENSG00000166347, ENSG00000143252, ENSG00000142168, ENSG00000117448, ENSG00000147383, ENSG00000166796, ENSG00000128039, ENSG00000091140, ENSG00000145730, ENSG00000173221	192	757	16881	3.484354359313078	6.121427083782827E-6	8.744918775782651E-7	1.2210726663131055E-5
GOTERM_MF_ALL	GO:0016616toxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	13	6.565656565656567	8.470470147727048E-9	ENSG00000104522, ENSG00000138413, ENSG00000166347, ENSG00000065833, ENSG00000146701, ENSG00000117448, ENSG00000147383, ENSG00000160211, ENSG00000166796, ENSG00000134333, ENSG00000014641, ENSG00000082212, ENSG00000100253	192	117	16881	9.769097222222221	6.47988866175897E-6	8.099883790357865E-7	1.2925770753735577E-5
GOTERM_MF_ALL	GO:0016614toxidoreductase activity, acting on CH-OH group of donors	13	6.565656565656567	5.046754700209011E-8	ENSG00000104522, ENSG00000138413, ENSG00000166347, ENSG00000065833, ENSG00000146701, ENSG00000117448, ENSG00000147383, ENSG00000160211, ENSG00000166796, ENSG00000134333, ENSG00000014641, ENSG00000082212, ENSG00000100253	192	137	16881	8.342951642335766	3.860692918578046E-5	4.289732404849644E-6	7.701246096392111E-5
GOTERM_MF_ALL	GO:0048029tmonosaccharide binding	9	4.545454545454546	5.9425948913425284E-8	ENSG00000100504, ENSG00000177156, ENSG00000169764, ENSG00000149925, ENSG00000104812, ENSG00000108479, ENSG00000159399, ENSG00000136872, ENSG00000160211	192	48	16881	16.4853515625	4.545981896064699E-5	4.546074895528385E-6	9.06827961610901E-5
