"Pathway"	"Z-score"
"Axon guidance"	"20.437"
"Focal adhesion"	"16.373"
"Pathways in cancer"	"15.585"
"Ras signaling pathway"	"12.909"
"Human papillomavirus infection"	"12.887"
"Adherens junction"	"12.813"
"Proteoglycans in cancer"	"12.708"
"Rap1 signaling pathway"	"12.03"
"Regulation of actin cytoskeleton"	"11.347"
"Chronic myeloid leukemia"	"10.449"
"Pancreatic cancer"	"10.433"
"PI3K-Akt signaling pathway"	"10.295"
"Hepatocellular carcinoma"	"10.206"
"Colorectal cancer"	"9.886"
"Gastric cancer"	"9.882"
"Signaling pathways regulating pluripotency of stem cells"	"9.818"
"AGE-RAGE signaling pathway in diabetic complications"	"9.792"
"Hepatitis B"	"9.792"
"Prostate cancer"	"9.579"
"ECM-receptor interaction"	"9.576"
"MicroRNAs in cancer"	"9.541"
"Breast cancer"	"9.472"
"Melanoma"	"9.443"
"Kaposi's sarcoma-associated herpesvirus infection"	"9.353"
"Transcriptional misregulation in cancer"	"9.291"
"Cushing's syndrome"	"9.126"
"Basal cell carcinoma"	"8.543"
"T cell receptor signaling pathway"	"8.485"
"Endometrial cancer"	"8.397"
"VEGF signaling pathway"	"8.384"
"Bladder cancer"	"8.333"
"MAPK signaling pathway"	"8.292"
"Thyroid cancer"	"8.18"
"Prolactin signaling pathway"	"7.923"
"Cellular senescence"	"7.863"
"HTLV-I infection"	"7.732"
"Acute myeloid leukemia"	"7.666"
"Hippo signaling pathway"	"7.663"
"TGF-beta signaling pathway"	"7.62"
"Thyroid hormone signaling pathway"	"7.599"
"Wnt signaling pathway"	"7.406"
"ErbB signaling pathway"	"7.398"
"FoxO signaling pathway"	"7.396"
"Renal cell carcinoma"	"7.385"
"Glioma"	"7.321"
"Natural killer cell mediated cytotoxicity"	"7.31"
"Neurotrophin signaling pathway"	"7.306"
"Notch signaling pathway"	"7.084"
"Leukocyte transendothelial migration"	"7.065"
"Th17 cell differentiation"	"6.994"
"Non-small cell lung cancer"	"6.955"
"Shigellosis"	"6.904"
"Osteoclast differentiation"	"6.842"
"Choline metabolism in cancer"	"6.78"
"Fc epsilon RI signaling pathway"	"6.73"
"Bacterial invasion of epithelial cells"	"6.608"
"Melanogenesis"	"6.553"
"Viral carcinogenesis"	"6.492"
"Jak-STAT signaling pathway"	"6.447"
"C-type lectin receptor signaling pathway"	"6.391"
"Small cell lung cancer"	"6.325"
"Relaxin signaling pathway"	"6.216"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"6.162"
"Platelet activation"	"6.072"
"Oxytocin signaling pathway"	"6.039"
"B cell receptor signaling pathway"	"5.873"
"p53 signaling pathway"	"5.846"
"Sphingolipid signaling pathway"	"5.75"
"Long-term potentiation"	"5.694"
"Cell cycle"	"5.658"
"Alzheimer's disease"	"5.647"
"Cell adhesion molecules (CAMs)"	"5.393"
"Fluid shear stress and atherosclerosis"	"5.292"
"Th1 and Th2 cell differentiation"	"5.123"
"Hepatitis C"	"5.051"
"GnRH signaling pathway"	"4.896"
"Prion diseases"	"4.882"
"Chemokine signaling pathway"	"4.79"
"Hypertrophic cardiomyopathy (HCM)"	"4.766"
"Salmonella infection"	"4.71"
"TNF signaling pathway"	"4.696"
"Cocaine addiction"	"4.67"
"Mitophagy - animal"	"4.614"
"Phospholipase D signaling pathway"	"4.548"
"Leishmaniasis"	"4.541"
"Pertussis"	"4.475"
"cAMP signaling pathway"	"4.424"
"HIF-1 signaling pathway"	"4.406"
"Apoptosis"	"4.395"
"Amyotrophic lateral sclerosis (ALS)"	"4.265"
"Cholinergic synapse"	"4.225"
"Fc gamma R-mediated phagocytosis"	"4.156"
"Long-term depression"	"4.086"
"Chagas disease (American trypanosomiasis)"	"4.082"
"Other types of O-glycan biosynthesis"	"4.075"
"Apelin signaling pathway"	"4.035"
"Vascular smooth muscle contraction"	"3.929"
"Hedgehog signaling pathway"	"3.903"
"Tuberculosis"	"3.89"
"Dilated cardiomyopathy (DCM)"	"3.844"
"Aldosterone-regulated sodium reabsorption"	"3.793"
"Viral myocarditis"	"3.774"
"Inflammatory bowel disease (IBD)"	"3.714"
"Herpes simplex infection"	"3.689"
"Amphetamine addiction"	"3.684"
"Circadian entrainment"	"3.683"
"Central carbon metabolism in cancer"	"3.674"
"Hematopoietic cell lineage"	"3.602"
"Longevity regulating pathway"	"3.449"
"Type II diabetes mellitus"	"3.437"
"Tight junction"	"3.303"
"Glycosphingolipid biosynthesis - lacto and neolacto series"	"3.294"
"Toll-like receptor signaling pathway"	"3.253"
"Mannose type O-glycan biosynthesis"	"3.225"
"Amoebiasis"	"3.219"
"Endocytosis"	"3.173"
"Hippo signaling pathway - multiple species"	"3.167"
"Insulin resistance"	"3.144"
"Inflammatory mediator regulation of TRP channels"	"3.12"
"Cytokine-cytokine receptor interaction"	"3.03"
"Oocyte meiosis"	"2.945"
"Malaria"	"2.939"
"Fat digestion and absorption"	"2.907"
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"	"2.901"
"Insulin signaling pathway"	"2.886"
"Nicotine addiction"	"2.831"
"Progesterone-mediated oocyte maturation"	"2.81"
"Autophagy - animal"	"2.778"
"Glycerolipid metabolism"	"2.776"
"Ether lipid metabolism"	"2.761"
"Serotonergic synapse"	"2.753"
"Non-alcoholic fatty liver disease (NAFLD)"	"2.673"
"Epithelial cell signaling in Helicobacter pylori infection"	"2.67"
"Apoptosis - multiple species"	"2.653"
"mTOR signaling pathway"	"2.547"
"Maturity onset diabetes of the young"	"2.347"
"IL-17 signaling pathway"	"2.304"
"Adrenergic signaling in cardiomyocytes"	"2.285"
"Adipocytokine signaling pathway"	"2.246"
"Phosphatidylinositol signaling system"	"2.209"
"Measles"	"2.199"
"Folate biosynthesis"	"2.145"
"cGMP-PKG signaling pathway"	"2.059"
"Mucin type O-glycan biosynthesis"	"2.043"
"Endocrine and other factor-regulated calcium reabsorption"	"1.804"
"NF-kappa B signaling pathway"	"1.772"
"Pancreatic secretion"	"1.772"
"Cortisol synthesis and secretion"	"1.77"
"Cholesterol metabolism"	"1.699"
"Huntington's disease"	"1.68"
"Vitamin digestion and absorption"	"1.611"
"Dopaminergic synapse"	"1.584"
"alpha-Linolenic acid metabolism"	"1.574"
"Pathogenic Escherichia coli infection"	"1.517"
"Graft-versus-host disease"	"1.491"
"Glutamatergic synapse"	"1.487"
"Fanconi anemia pathway"	"1.452"
"Complement and coagulation cascades"	"1.416"
"Toxoplasmosis"	"1.295"
"Sphingolipid metabolism"	"1.276"
"Nicotinate and nicotinamide metabolism"	"1.245"
"ABC transporters"	"1.225"
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin"	"1.173"
"Riboflavin metabolism"	"1.165"
"Gap junction"	"1.092"
"Allograft rejection"	"1.037"
"Selenocompound metabolism"	"1.035"
"NOD-like receptor signaling pathway"	"0.872"
"Glycosaminoglycan biosynthesis - keratan sulfate"	"0.795"
"Gastric acid secretion"	"0.737"
"Steroid biosynthesis"	"0.722"
"Estrogen signaling pathway"	"0.718"
"Glycosphingolipid biosynthesis - globo and isoglobo series"	"0.717"
"Pentose and glucuronate interconversions"	"0.712"
"Asthma"	"0.622"
"Glycosphingolipid biosynthesis - ganglio series"	"0.578"
