"GO.ID"	"GO.Term"	"Z-score"
"GO:0004842"	"ubiquitin-protein transferase activity"	"13.595"
"GO:0031720"	"haptoglobin binding"	"10.157"
"GO:0005344"	"oxygen transporter activity"	"9.414"
"GO:0005515"	"protein binding"	"8.988"
"GO:0043177"	"organic acid binding"	"7.975"
"GO:0086080"	"protein binding involved in heterotypic cell-cell adhesion"	"7.907"
"GO:0031072"	"heat shock protein binding"	"7.396"
"GO:0004298"	"threonine-type endopeptidase activity"	"7.391"
"GO:0044183"	"protein binding involved in protein folding"	"7.278"
"GO:0005452"	"inorganic anion exchanger activity"	"7.257"
"GO:0004568"	"chitinase activity"	"7.23"
"GO:0051787"	"misfolded protein binding"	"7.227"
"GO:0008061"	"chitin binding"	"7.189"
"GO:0061630"	"ubiquitin protein ligase activity"	"7.035"
"GO:0086062"	"voltage-gated sodium channel activity involved in Purkinje myocyte action potential"	"6.993"
"GO:0042623"	"ATPase activity, coupled"	"6.882"
"GO:0008823"	"cupric reductase activity"	"6.85"
"GO:0052851"	"ferric-chelate reductase (NADPH) activity"	"6.85"
"GO:0016723"	"oxidoreductase activity, oxidizing metal ions, NAD or NADP as acceptor"	"6.83"
"GO:0004601"	"peroxidase activity"	"6.677"
"GO:0004556"	"alpha-amylase activity"	"6.36"
"GO:0103025"	NA	"6.36"
"GO:0004729"	"oxygen-dependent protoporphyrinogen oxidase activity"	"6.338"
"GO:0004175"	"endopeptidase activity"	"6.097"
"GO:0055131"	"C3HC4-type RING finger domain binding"	"5.665"
"GO:0003947"	"(N-acetylneuraminyl)-galactosylglucosylceramide N-acetylgalactosaminyltransferase activity"	"5.588"
"GO:0051087"	"chaperone binding"	"5.576"
"GO:0051082"	"unfolded protein binding"	"5.549"
"GO:0031625"	"ubiquitin protein ligase binding"	"5.442"
"GO:0019871"	"sodium channel inhibitor activity"	"5.397"
"GO:0097718"	"disordered domain specific binding"	"5.217"
"GO:0016887"	"ATPase activity"	"5.182"
"GO:0004422"	"hypoxanthine phosphoribosyltransferase activity"	"5.026"
"GO:0030618"	"transforming growth factor beta receptor, pathway-specific cytoplasmic mediator activity"	"4.975"
"GO:0015179"	"L-amino acid transmembrane transporter activity"	"4.917"
"GO:0005524"	"ATP binding"	"4.903"
"GO:0047915"	"ganglioside galactosyltransferase activity"	"4.897"
"GO:0008134"	"transcription factor binding"	"4.883"
"GO:0003846"	"2-acylglycerol O-acyltransferase activity"	"4.877"
"GO:0015301"	"anion:anion antiporter activity"	"4.867"
"GO:0005072"	"transforming growth factor beta receptor, cytoplasmic mediator activity"	"4.706"
