"GO.ID"	"GO.Term"	"NetBAS"	"DAVID"
"GO:0004842"	"ubiquitin-protein transferase activity"	"13.595"	NA
"GO:0031720"	"haptoglobin binding"	"10.157"	NA
"GO:0005344"	"oxygen transporter activity"	"9.414"	"4.111020954392922E-4"
"GO:0005515"	"protein binding"	"8.988"	"0.01372185705157462"
"GO:0043177"	"organic acid binding"	"7.975"	NA
"GO:0086080"	"protein binding involved in heterotypic cell-cell adhesion"	"7.907"	NA
"GO:0031072"	"heat shock protein binding"	"7.396"	NA
"GO:0004298"	"threonine-type endopeptidase activity"	"7.391"	NA
"GO:0044183"	"protein binding involved in protein folding"	"7.278"	NA
"GO:0005452"	"inorganic anion exchanger activity"	"7.257"	NA
