"Pathway"	"Z-score"
"Porphyrin and chlorophyll metabolism"	"16.747"
"Ferroptosis"	"10.437"
"Riboflavin metabolism"	"6.568"
"Collecting duct acid secretion"	"5.305"
"Lysosome"	"5.057"
"Malaria"	"4.943"
"Nitrogen metabolism"	"4.363"
"One carbon pool by folate"	"4.09"
"Mitophagy - animal"	"4.088"
"Glutathione metabolism"	"3.325"
"Glycerolipid metabolism"	"3.024"
"beta-Alanine metabolism"	"3.002"
"Adipocytokine signaling pathway"	"2.766"
"Bile secretion"	"2.649"
"Cellular senescence"	"2.621"
"Pyruvate metabolism"	"2.537"
"Inositol phosphate metabolism"	"2.524"
"Glycine, serine and threonine metabolism"	"2.473"
"Fatty acid biosynthesis"	"2.431"
"Cell cycle"	"2.415"
"ABC transporters"	"2.312"
"Longevity regulating pathway"	"2.17"
"Cysteine and methionine metabolism"	"2.156"
"Notch signaling pathway"	"2.142"
"Amyotrophic lateral sclerosis (ALS)"	"2.093"
"Arginine and proline metabolism"	"2.088"
"Mineral absorption"	"2.046"
"Glycerophospholipid metabolism"	"2.039"
"Hematopoietic cell lineage"	"2.023"
"Phagosome"	"1.969"
"Longevity regulating pathway - multiple species"	"1.704"
"Tuberculosis"	"1.624"
"Non-small cell lung cancer"	"1.616"
"Oocyte meiosis"	"1.592"
"Histidine metabolism"	"1.585"
"Drug metabolism - other enzymes"	"1.572"
"AMPK signaling pathway"	"1.568"
"Glycolysis / Gluconeogenesis"	"1.553"
"Proximal tubule bicarbonate reclamation"	"1.533"
"Folate biosynthesis"	"1.478"
"Autophagy - animal"	"1.459"
"HTLV-I infection"	"1.452"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"1.432"
"Viral carcinogenesis"	"1.356"
"Glyoxylate and dicarboxylate metabolism"	"1.346"
"Apoptosis"	"1.338"
"Circadian rhythm"	"1.289"
"Pentose phosphate pathway"	"1.27"
"Nicotinate and nicotinamide metabolism"	"1.264"
"Wnt signaling pathway"	"1.255"
"Peroxisome"	"1.252"
"Propanoate metabolism"	"1.211"
"Citrate cycle (TCA cycle)"	"1.21"
"Autophagy - other"	"1.142"
"Rheumatoid arthritis"	"1.138"
"Apoptosis - multiple species"	"1.133"
"African trypanosomiasis"	"1.075"
"Alanine, aspartate and glutamate metabolism"	"1.047"
"Tyrosine metabolism"	"1.028"
"Thyroid cancer"	"1.016"
"HIF-1 signaling pathway"	"0.985"
"Tryptophan metabolism"	"0.928"
"Bladder cancer"	"0.885"
"Vasopressin-regulated water reabsorption"	"0.824"
"Transcriptional misregulation in cancer"	"0.81"
"Fatty acid degradation"	"0.791"
"Hedgehog signaling pathway"	"0.758"
"Valine, leucine and isoleucine degradation"	"0.743"
"Nucleotide excision repair"	"0.738"
"Thyroid hormone signaling pathway"	"0.734"
"Vibrio cholerae infection"	"0.708"
"Pathways in cancer"	"0.672"
"FoxO signaling pathway"	"0.574"
"Legionellosis"	"0.572"
"Staphylococcus aureus infection"	"0.553"
"Systemic lupus erythematosus"	"0.548"
"Measles"	"0.541"
"Endometrial cancer"	"0.517"
"Lysine degradation"	"0.507"
"Drug metabolism - cytochrome P450"	"0.506"
"Ubiquitin mediated proteolysis"	"0.493"
"Metabolism of xenobiotics by cytochrome P450"	"0.45"
"Parkinson's disease"	"0.446"
"Synaptic vesicle cycle"	"0.44"
"Renin secretion"	"0.424"
"Central carbon metabolism in cancer"	"0.408"
"Adrenergic signaling in cardiomyocytes"	"0.394"
"Shigellosis"	"0.383"
"p53 signaling pathway"	"0.376"
"Fc epsilon RI signaling pathway"	"0.375"
"Epithelial cell signaling in Helicobacter pylori infection"	"0.363"
"Renal cell carcinoma"	"0.36"
"Hippo signaling pathway"	"0.324"
"Prolactin signaling pathway"	"0.322"
"Chemical carcinogenesis"	"0.32"
"Glioma"	"0.311"
"PPAR signaling pathway"	"0.31"
"Melanoma"	"0.305"
"Leishmaniasis"	"0.279"
"Jak-STAT signaling pathway"	"0.255"
"Gastric acid secretion"	"0.254"
"Pancreatic cancer"	"0.252"
"Antigen processing and presentation"	"0.239"
"Pertussis"	"0.233"
"Chronic myeloid leukemia"	"0.23"
"Protein processing in endoplasmic reticulum"	"0.225"
"Ribosome biogenesis in eukaryotes"	"0.224"
"RNA degradation"	"0.213"
"Cardiac muscle contraction"	"0.208"
"Hepatocellular carcinoma"	"0.202"
"NOD-like receptor signaling pathway"	"0.195"
"PI3K-Akt signaling pathway"	"0.184"
"Complement and coagulation cascades"	"0.182"
"Influenza A"	"0.178"
"Insulin secretion"	"0.129"
"GABAergic synapse"	"0.092"
"mRNA surveillance pathway"	"0.083"
"Herpes simplex infection"	"0.07"
"GnRH signaling pathway"	"0.06"
"Kaposi's sarcoma-associated herpesvirus infection"	"0.06"
"Small cell lung cancer"	"0.035"
"Inflammatory mediator regulation of TRP channels"	"0.016"
"Progesterone-mediated oocyte maturation"	"0.011"
"Pancreatic secretion"	"0.003"
"Prostate cancer"	"-0.009"
"Choline metabolism in cancer"	"-0.022"
"Epstein-Barr virus infection"	"-0.035"
"Phosphatidylinositol signaling system"	"-0.036"
"Melanogenesis"	"-0.042"
"Proteoglycans in cancer"	"-0.048"
"Glucagon signaling pathway"	"-0.067"
"Chagas disease (American trypanosomiasis)"	"-0.068"
"Toll-like receptor signaling pathway"	"-0.072"
"C-type lectin receptor signaling pathway"	"-0.081"
"Insulin resistance"	"-0.103"
"D-Arginine and D-ornithine metabolism"	"-0.105"
"Rap1 signaling pathway"	"-0.107"
"TNF signaling pathway"	"-0.125"
"Lipoic acid metabolism"	"-0.174"
"Toxoplasmosis"	"-0.176"
"Biotin metabolism"	"-0.178"
"Human papillomavirus infection"	"-0.181"
"Valine, leucine and isoleucine biosynthesis"	"-0.204"
"Sphingolipid signaling pathway"	"-0.211"
"Neomycin, kanamycin and gentamicin biosynthesis"	"-0.225"
"D-Glutamine and D-glutamate metabolism"	"-0.226"
"Vascular smooth muscle contraction"	"-0.226"
"Caffeine metabolism"	"-0.229"
"Phenylalanine, tyrosine and tryptophan biosynthesis"	"-0.229"
"Neurotrophin signaling pathway"	"-0.231"
"Vitamin B6 metabolism"	"-0.243"
"Phosphonate and phosphinate metabolism"	"-0.252"
"Platelet activation"	"-0.252"
"Thermogenesis"	"-0.261"
"Osteoclast differentiation"	"-0.288"
"Sulfur relay system"	"-0.303"
"Dopaminergic synapse"	"-0.312"
"Hepatitis C"	"-0.312"
"Synthesis and degradation of ketone bodies"	"-0.316"
"Sulfur metabolism"	"-0.32"
"Oxidative phosphorylation"	"-0.322"
"Taurine and hypotaurine metabolism"	"-0.338"
"Ubiquinone and other terpenoid-quinone biosynthesis"	"-0.341"
"Apelin signaling pathway"	"-0.35"
"Fluid shear stress and atherosclerosis"	"-0.369"
"Non-homologous end-joining"	"-0.37"
"Glycosaminoglycan biosynthesis - keratan sulfate"	"-0.385"
"Thiamine metabolism"	"-0.386"
"Glycosphingolipid biosynthesis - globo and isoglobo series"	"-0.387"
"Glycosphingolipid biosynthesis - ganglio series"	"-0.39"
"Hepatitis B"	"-0.397"
"Phenylalanine metabolism"	"-0.416"
"Phospholipase D signaling pathway"	"-0.416"
"Selenocompound metabolism"	"-0.416"
"Ascorbate and aldarate metabolism"	"-0.421"
"Primary bile acid biosynthesis"	"-0.421"
"Breast cancer"	"-0.428"
"Other glycan degradation"	"-0.428"
"Gastric cancer"	"-0.434"
"Glycosaminoglycan degradation"	"-0.446"
"Non-alcoholic fatty liver disease (NAFLD)"	"-0.447"
"Steroid biosynthesis"	"-0.449"
